"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"457",172.610001,176.160004,172.5,174.009995,2465100,147.745163
"458",177.339996,181.520004,174.889999,180.820007,3018800,153.527298
"459",181.070007,181.490005,178.259995,179.759995,2013200,152.627289
"460",180.929993,182.910004,179.759995,180.860001,1831900,153.561264
"461",182.490005,188.210007,181.949997,187.75,3125100,159.41127
"462",187.710007,187.710007,182.740005,183.520004,2197700,155.819748
"463",184.270004,185.619995,181.470001,181.639999,1393800,154.223495
"464",181.619995,182.5,177.770004,180.410004,1453500,153.179169
"465",181.190002,183.979996,180.949997,183.149994,1011400,155.505615
"466",183,183.75,181.009995,183.630005,1024300,155.913162
"467",184.690002,187.380005,183.740005,187.270004,1014000,159.003738
"468",186.190002,187.850006,185.149994,187.289993,811000,159.020721
"469",187.289993,189.160004,186.770004,188.690002,1262100,160.209412
"470",188.729996,191.160004,187.389999,187.919998,916300,159.555634
"471",188.699997,189.169998,186.779999,188.860001,1021500,160.35376
"472",189.070007,189.729996,186.199997,187.399994,1025500,159.11409
"473",184.050003,184.820007,180.300003,182.419998,1731000,156.556595
"474",182.410004,185.070007,181.100006,185.070007,1609700,158.830902
"475",185.240005,186.889999,184.479996,186.820007,1184800,160.332794
"476",185.75,186.539993,182.800003,183.169998,1223100,157.200287
"477",183.559998,185.699997,182.600006,183.020004,1379300,157.071564
"478",182.539993,183.559998,180.600006,182.429993,330700,156.565186
"479",182.889999,183.300003,180.449997,180.729996,1618800,155.106232
"480",181.149994,182.039993,179.710007,181.729996,1721500,155.964432
"481",181.720001,184.320007,181.020004,184.300003,1299900,158.170074
"482",183.979996,185.559998,182.460007,184.600006,1061600,158.427551
"483",184.899994,186.429993,183.679993,185.690002,3131000,159.362976
"484",186.5,186.990005,184.070007,186.949997,1597000,160.444382
"485",187.070007,188.619995,184.539993,185.029999,1337100,158.79657
"486",184.350006,190.759995,182.470001,190.589996,2413500,163.568283
"487",189.940002,190.130005,187.369995,188.419998,1472000,161.705948
"488",188.949997,188.949997,183.550003,186.100006,1269900,159.714859
"489",190.25,191.490005,186.75,187.449997,1608400,160.873459
"490",188.070007,188.229996,181.800003,182.5,1688100,156.625305
"491",182.970001,186.100006,182.970001,184.059998,2518100,157.964111
"492",183.619995,184.839996,181.369995,182.660004,1681100,156.762573
"493",182.759995,183.389999,174.380005,174.979996,1691200,150.171432
"494",176.059998,177.690002,173.169998,175,1443500,150.188599
"495",174.929993,175.589996,170.940002,171.949997,1833900,147.57106
"496",171.949997,172.25,167.740005,168.070007,2304700,144.241165
"497",168.050003,172.130005,164.440002,164.880005,3190500,141.503418
"498",164.880005,165.369995,160.580002,160.660004,1176600,137.881744
"499",160.710007,166.660004,159.770004,166.660004,1542500,143.031067
"500",165.520004,167.360001,162.600006,167.330002,1661600,143.606049
"501",168.869995,170.149994,165.929993,168.100006,1408000,144.266907
"502",168.259995,168.600006,164.979996,167.990005,1225400,144.172485
"503",166.350006,167.289993,163.630005,165.009995,1439900,141.61499
"504",164.339996,167.809998,164.309998,164.869995,1559100,141.494843
"505",165.830002,168.860001,164.179993,167.380005,1056100,143.648972
"506",167.839996,170.649994,167.570007,169.139999,1571100,145.159439
"507",169.800003,173.589996,168.649994,173.179993,1616000,148.626633
"508",173.669998,173.929993,171.800003,173.419998,1022700,148.832626
"509",171.259995,173.919998,170.210007,173.350006,1563400,148.772552
"510",173.179993,173.179993,170.570007,172.350006,1470600,147.914337
"511",171.550003,172.419998,170.190002,170.740005,1093900,146.532623
"512",170.839996,172.880005,170.619995,171.229996,1462900,146.953094
"513",171.220001,173.059998,170.5,172.889999,1359800,148.377777
"514",172.509995,173.880005,171.350006,173.270004,1183100,148.703888
"515",175.520004,175.520004,172.169998,173.960007,1251700,149.296097
"516",173.899994,174.050003,171.839996,173.259995,1192600,148.695282
"517",173.289993,174.279999,172.399994,174.169998,1299800,149.476288
"518",174,176.020004,173.039993,175.270004,1345400,150.420349
"519",175.809998,177.399994,175.539993,177.110001,1228400,151.999451
"520",176.660004,178.789993,175.550003,178.5,1432800,153.192413
"521",178.110001,179.520004,177.690002,179.199997,1817200,153.793167
"522",179.229996,182.619995,178.669998,181.25,2389700,155.55249
"523",181,182.419998,179.589996,182.119995,2544400,156.299133
"524",184.580002,185.220001,176.600006,179.210007,2204400,153.801712
"525",179,181.899994,178.580002,181.869995,1531600,156.08461
"526",182.339996,184.149994,181.119995,184,1322900,157.912582
"527",184,184.970001,182.25,183.850006,973500,157.78389
"528",182.570007,186.029999,181.380005,185.850006,1579900,159.500305
"529",184.880005,186.440002,183.440002,184.100006,1363600,157.998428
"530",184,185.479996,183.389999,185.300003,1124500,159.02832
"531",185.929993,186.039993,183.610001,184.600006,1905100,158.427551
"532",182.199997,184.5,181.639999,184,1281200,159.685928
