"","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume","FISV.Adjusted"
"1",53.41,53.845001,53.244999,53.669998,2142600,53.669998
"2",53.66,54.365002,53.654999,54.325001,1359000,54.325001
"3",54.23,54.59,54.005001,54.305,1662400,54.305
"4",54.205002,55.005001,54.084999,54.915001,1556800,54.915001
"5",54.880001,54.945,53.904999,54.049999,1879800,54.049999
"6",53.98,54.299999,53.775002,54.115002,1459200,54.115002
"7",53.990002,54.275002,53.895,54.27,1071200,54.27
"8",54.27,54.805,53.919998,54.709999,1700600,54.709999
"9",54.695,55.255001,54.584999,55.150002,1397800,55.150002
"10",55.154999,55.75,54.880001,55.220001,1992600,55.220001
"11",55.41,55.41,54.924999,55.040001,1463400,55.040001
"12",54.935001,55.389999,54.529999,54.674999,1257800,54.674999
"13",55.029999,55.16,54.419998,54.785,2327400,54.785
"14",54.744999,54.955002,54.259998,54.330002,1746000,54.330002
"15",54.455002,54.5,54.029999,54.259998,2211600,54.259998
"16",54.400002,54.674999,54.220001,54.27,1749200,54.27
"17",54.25,54.404999,53.904999,53.924999,1701200,53.924999
"18",54.044998,54.145,53.724998,54.049999,2079200,54.049999
"19",54.025002,54.299999,53.669998,54.075001,1908200,54.075001
"20",53.970001,54.125,53.52,53.715,1977600,53.715
"21",53.564999,53.615002,52.360001,52.689999,3407800,52.689999
"22",52.32,52.974998,52.264999,52.73,2628000,52.73
"23",53.205002,53.584999,52.255001,53.360001,2376600,53.360001
"24",53.255001,53.445,53,53.424999,1758600,53.424999
"25",53.419998,53.450001,53.060001,53.209999,1999200,53.209999
"26",53.305,54.18,53.099998,53.889999,2448200,53.889999
"27",53.889999,55.220001,53.705002,54.735001,3791400,54.735001
"28",54.779999,55.055,54.424999,54.535,2453200,54.535
"29",54.779999,55.150002,54.68,55.049999,2159400,55.049999
"30",54.779999,55.18,54.740002,55.07,1719600,55.07
"31",55.07,55.639999,55.014999,55.540001,2675800,55.540001
"32",55.619999,55.75,55.220001,55.625,1670600,55.625
"33",55.625,55.994999,55.330002,55.990002,1978200,55.990002
"34",55.240002,56.27,55.240002,56.195,2022200,56.195
"35",56.049999,57.369999,55.509998,56.91,3976800,56.91
"36",57.080002,57.544998,56.785,57.450001,2475000,57.450001
"37",57.355,58.16,57.185001,58.150002,2062200,58.150002
"38",58.02,58.349998,57.724998,57.790001,2380600,57.790001
"39",57.764999,58.075001,57.544998,57.700001,2417800,57.700001
"40",58.09,58.709999,57.985001,58.555,2092200,58.555
"41",58.375,58.615002,58.040001,58.32,1273600,58.32
"42",58.23,58.77,58.055,58.75,1279400,58.75
"43",58.41,58.705002,58.255001,58.509998,1267600,58.509998
"44",58.595001,58.724998,58.349998,58.474998,1228800,58.474998
"45",58.619999,58.990002,58.34,58.724998,2061400,58.724998
"46",58.834999,59.014999,58.439999,58.724998,2119200,58.724998
"47",59.105,59.150002,58.43,58.639999,1953000,58.639999
"48",58.599998,58.970001,58.535,58.945,1260200,58.945
"49",58.93,59.055,58.465,58.685001,1170600,58.685001
"50",59.029999,59.029999,58.400002,58.825001,1738400,58.825001
"51",58.880001,58.965,58.355,58.630001,1426400,58.630001
"52",58.889999,59.105,58.584999,58.895,3381400,58.895
"53",58.955002,58.974998,58.16,58.349998,1611600,58.349998
"54",58.560001,58.654999,57.759998,58.080002,2769000,58.080002
"55",56.645,58.224998,56.645,57.939999,2725000,57.939999
