"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",28.950001,29.0825,28.690001,29.0375,115127600,27.332474
"2",28.9625,29.127501,28.9375,29.004999,84472400,27.301874
"3",28.98,29.215,28.952499,29.1525,88774400,27.440718
"4",29.195,29.540001,29.1175,29.477501,127007600,27.746637
"5",29.487499,29.8575,29.485001,29.747499,134247600,28.00078
"6",29.692499,29.844999,29.575001,29.7775,97848400,28.029018
"7",29.684999,29.9825,29.65,29.9375,110354400,28.179623
"8",29.725,29.825001,29.5525,29.8125,108344800,28.061966
"9",29.7775,29.905001,29.702499,29.76,104447600,28.012547
"10",29.584999,30.059999,29.555,30,137759200,28.238455
"11",30,30.125,29.9275,29.997499,94852000,28.236101
"12",29.85,30.022499,29.842501,29.945,102389200,28.186684
"13",30.112499,30.112499,29.932501,30,130391600,28.238455
"14",30,30.202499,29.942499,30.02,88200800,28.257284
"15",29.887501,30.025,29.875,29.9925,92844000,28.231394
"16",30.105,30.525,30.07,30.469999,129510400,28.680859
"17",30.4175,30.610001,30.4,30.485001,105350400,28.694977
"18",30.535,30.5875,30.4,30.487499,82251600,28.697329
"19",30.2325,30.407499,30.165001,30.407499,121510000,28.622028
"20",30.2875,30.3475,30.155001,30.3375,196804000,28.556137
"21",31.7575,32.622501,31.752501,32.1875,447940000,30.297506
"22",31.995001,32.3475,31.945,32.1325,134841600,30.245739
"23",32.077499,32.297501,32.040001,32.27,98029200,30.375164
"24",32.282501,32.625,32.224998,32.572498,107383600,30.659901
"25",32.634998,33.022499,32.612499,32.8825,152735200,30.9517
"26",32.837502,33.055,32.805,33.009998,92016400,31.07172
"27",32.912498,33.112499,32.779999,33.105,113399600,31.296238
"28",33.115002,33.235001,33.012501,33.029999,80262000,31.225336
"29",33.27,33.455002,33.1875,33.322498,92141600,31.501858
"30",33.3675,33.772499,33.3125,33.755001,132904800,31.910723
"31",33.880001,34.067501,33.654999,33.877499,142492400,32.02652
"32",33.9175,33.974998,33.709999,33.837502,90338400,31.988712
"33",33.775002,33.9575,33.775002,33.93,88792800,32.07616
"34",34.057499,34.1875,33.994999,34.174999,98028800,32.307781
"35",34.107498,34.279999,34.0275,34.2775,83347600,32.404678
"36",34.345001,34.369999,34.075001,34.1325,83152800,32.267597
"37",33.977501,34.165001,33.82,34.165001,87106400,32.298321
"38",34.285,34.360001,34.07,34.232498,81029600,32.362125
"39",34.27,34.360001,34.174999,34.247501,93931600,32.376305
"40",34.4725,35.037498,34.400002,34.947498,145658400,33.038063
"41",35,35.07,34.689999,34.740002,104844000,32.841908
"42",34.695,34.9575,34.647499,34.945,84432400,33.035698
"43",34.842499,34.942501,34.650002,34.834999,8.7e+07,32.931709
"44",34.764999,34.994999,34.697498,34.880001,69785200,32.974266
"45",34.737499,34.950001,34.705002,34.75,74828800,32.85136
"46",34.685001,34.697498,34.262501,34.669998,88623600,32.775734
"47",34.8125,34.84,34.66,34.785,78451200,32.884441
"48",34.712502,34.857498,34.705002,34.799999,69686800,32.898632
"49",34.825001,34.912498,34.709999,34.747501,61236400,32.848988
"50",34.852501,35.1875,34.7575,35.115002,102767200,33.196419
"51",35.18,35.255001,35.064999,35.172501,76928000,33.250774
"52",35.25,35.25,34.9725,34.997501,175540000,33.085342
"53",35.099998,35.375,35.057499,35.365002,86168000,33.432758
"54",35.5275,35.700001,34.932499,34.959999,158119600,33.049889
"55",34.962502,35.400002,34.939999,35.355,103440800,33.423309
"56",35.314999,35.395,35.1525,35.23,81385200,33.305126
"57",35.375,35.435001,35.087502,35.16,89582400,33.238956
"58",34.8475,35.305,34.654999,35.220001,94300400,33.295685
"59",35.227501,36.009998,35.154999,35.950001,133499200,33.985794
"60",35.919998,36.122501,35.797501,36.029999,116760000,34.061417
"61",36.047501,36.125,35.875,35.982498,84829200,34.016518
"62",35.93,36.067501,35.752499,35.915001,78646800,33.952709
"63",35.927502,36.029999,35.762501,35.924999,79942800,33.962154
"64",35.8125,36.2225,35.7925,36.192501,79565600,34.215042
"65",36.055,36.365002,35.952499,36.005001,110871600,34.0378
"66",36.072498,36.130001,35.862499,35.915001,84596000,33.952709
"67",35.932499,36.044998,35.817501,35.834999,66688800,33.877075
"68",35.900002,35.970001,35.724998,35.7925,75733600,33.836899
"69",35.735001,35.837502,35.014999,35.407501,121517600,33.472939
"70",35.400002,35.537498,35.252499,35.450001,81400000,33.513107
"71",35.477501,35.595001,35.262501,35.262501,71291600,33.335861
"72",35.369999,35.470001,35.217499,35.4575,66328400,33.520206
"73",35.352501,35.509998,35.2775,35.299999,58790000,33.371307
"74",35.470001,35.5,35.112499,35.169998,69313600,33.248405
"75",35.305,35.73,35.290001,35.610001,93278400,33.664371
"76",35.610001,35.669998,35.462502,35.567501,69283600,33.624195
"77",35.875,35.987499,35.794998,35.91,68537200,33.947979
"78",35.977501,36.224998,35.967499,36.1325,75486000,34.158325
"79",36.1175,36.150002,35.845001,35.919998,80164800,33.957428
"80",35.98,36.040001,35.827499,35.947498,56985200,33.983425
"81",36.022499,36.075001,35.817501,35.912498,83441600,33.95034
