"","TDG.Open","TDG.High","TDG.Low","TDG.Close","TDG.Volume","TDG.Adjusted"
"1",251.350006,254.070007,248.660004,250.539993,750300,205.932404
"2",251.610001,252.190002,248.940002,252.050003,579400,207.173553
"3",252.220001,252.690002,249.789993,251.729996,676600,206.910538
"4",251.990005,257.380005,251.110001,256.109985,427800,210.510696
"5",256.01001,256.380005,253.009995,255.330002,461700,209.869583
"6",255.419998,256.149994,253.270004,253.270004,458500,208.176346
"7",253.270004,255.449997,251.869995,252.380005,421200,207.444824
"8",252.529999,255.270004,250.229996,253.610001,469900,208.455811
"9",253.600006,253.610001,249.789993,252.240005,623900,207.329742
"10",251.490005,251.720001,247.320007,249.699997,774400,205.241974
"11",250.240005,253.440002,250.089996,250.889999,622700,206.220093
"12",250,252.550003,248.179993,251.759995,506100,206.935181
"13",250,250.850006,218.600006,226.899994,8692300,186.501404
"14",230,230.360001,217.350006,223.800003,3505000,183.953369
"15",224.679993,227.460007,223.789993,225.210007,3051900,185.11232
"16",225.869995,227,221.449997,221.669998,1256500,182.202591
"17",222.149994,223,218.940002,219.899994,1566300,180.747726
"18",221.75,222.419998,218.279999,219,1287100,180.00798
"19",219,219.25,214.649994,216.610001,1187300,178.043503
"20",216.970001,219.529999,215.009995,216.399994,1673600,177.870895
"21",217.130005,220.039993,216.309998,219.679993,2135400,180.56691
"22",219.410004,221.869995,217.009995,221.770004,1631900,182.28479
"23",222,226.279999,222,225.160004,966800,185.071213
"24",225.940002,231.649994,224.100006,230.940002,2076800,189.822113
"25",238.979996,246.160004,238.199997,245.880005,3034300,202.102112
"26",246.309998,248.789993,244.289993,247.429993,1505100,203.376129
"27",247.429993,253.470001,247.429993,251.610001,968300,206.811905
"28",251.479996,254.160004,250.399994,253.119995,970900,208.053055
"29",253.729996,254.789993,251.179993,252.210007,1140400,207.305069
"30",251.050003,252.720001,249.300003,250.199997,1201800,205.652939
"31",249.639999,251.809998,249.559998,251.009995,779700,206.318726
"32",250.740005,252.529999,249.589996,252.449997,586900,207.50235
"33",251.570007,251.570007,249.070007,249.740005,907400,205.274857
"34",249.309998,254.740005,248.949997,254.600006,894700,209.269547
"35",255.139999,257.070007,253.539993,255.460007,656800,209.97644
"36",255.470001,256.429993,252.179993,254.619995,757200,209.285995
"37",253.220001,254.119995,250.279999,250.990005,729200,206.302292
"38",250.369995,255.070007,248.630005,253.289993,909200,208.19278
"39",253.050003,255.570007,251.190002,254.199997,699600,208.940765
"40",254.360001,259.570007,253.559998,253.669998,923600,208.505127
"41",253.470001,253.710007,248.020004,248.610001,593700,204.346039
"42",247.690002,249.979996,246.360001,248.850006,559500,204.54332
"43",247.619995,248.440002,245.130005,247.190002,597200,203.178879
"44",247.610001,248.339996,233.75,242.559998,2456300,199.373215
"45",241.410004,243.860001,239.509995,240.929993,962400,198.033432
"46",240.809998,242.429993,235.059998,241.630005,3042700,198.60881
"47",239.529999,240.830002,229.770004,231.369995,3391300,190.175537
"48",230.889999,234.860001,229.220001,234.75,1840900,192.953766
"49",235.729996,235.729996,230.199997,231.720001,1879000,190.463242
"50",231.779999,232.919998,228.529999,231.759995,951700,190.496094
"51",238.860001,241.050003,235.449997,237.160004,1478300,194.934662
"52",237.25,243.100006,234.449997,240.050003,1494900,197.31012
"53",240.5,241.009995,237.789993,237.940002,868800,195.57579
"54",238.970001,239.449997,214.990005,224.789993,4355500,184.76709
"55",220.399994,221.300003,213.869995,214.850006,2528400,176.596863
"56",214.850006,216.880005,211.330002,211.529999,2156200,173.867981
"57",211.210007,213.190002,203.720001,210.039993,1976900,172.643265
"58",207.440002,214.679993,207.440002,214.539993,1488600,176.342056
"59",213.809998,217.839996,211.029999,217.559998,1365200,178.824356
"60",216.509995,219.179993,214.929993,218.929993,1122400,179.950424
"61",218.940002,223.110001,218.75,220.029999,1199700,180.854599
"62",220.809998,221.470001,219.339996,220.160004,927300,180.961441
"63",219.199997,221.279999,217.410004,218.759995,762500,179.810715
"64",219,224.720001,219,223.419998,911400,183.641006
"65",223.419998,226.770004,223.419998,224.440002,1121700,184.479416
"66",224.759995,227.899994,224.380005,226.460007,832100,186.139755
"67",228,229.389999,224.289993,228.710007,1156600,187.989151
"68",228.130005,233.809998,228.130005,233,830400,191.515335
"69",232.210007,236.940002,230.919998,236.479996,760600,194.375732
"70",237.050003,237.119995,233.779999,235.649994,1125500,193.693512
"71",234.089996,236.570007,233.009995,233.759995,769400,192.140015
"72",234.559998,239.410004,234.119995,239.229996,574100,196.636108
"73",238.970001,240.539993,229.589996,236.460007,1866600,194.359283
"74",236.449997,238.669998,235.919998,237.410004,487600,195.140152
"75",238.020004,240.190002,236.690002,239.949997,485800,197.227921
"76",240.470001,241.949997,239.699997,240.210007,553600,197.441635
"77",243.279999,249.190002,241.360001,248.330002,846700,204.115891
"78",248.410004,249.910004,245.990005,248.169998,437800,203.98439
"79",248.179993,251.520004,247.360001,250.729996,736400,206.088577
"80",250.779999,252.119995,249.009995,250.889999,396300,206.220093
"81",250.740005,250.740005,246.600006,246.729996,999300,202.800751
"82",247.440002,250.710007,246.050003,249.880005,490100,205.389923
"83",249.899994,251.020004,248.759995,250.839996,644300,206.179001
"84",250.330002,250.330002,245.800003,247.619995,1035800,203.532303
"85",247.320007,250.179993,247.320007,250.039993,609300,205.521423
"86",250,255.529999,249.639999,254.979996,664000,209.581894
"87",254.470001,255.550003,250.740005,255.029999,1042400,209.622986
"88",245.479996,247.5,238.320007,242.419998,1725300,199.258148
"89",242.429993,245.410004,239.729996,244.940002,877000,201.329483
"90",245.550003,245.550003,241.199997,243.149994,630300,199.858154
"91",242.839996,243.639999,240.240005,243.300003,777900,199.981461
"92",242.919998,248.580002,242.919998,248.440002,695000,204.206314
"93",248.789993,250.610001,247.149994,248.960007,856700,204.633728
"94",248.960007,248.960007,242.020004,242.809998,764500,199.578705
"95",241.860001,248.240005,237.539993,247.800003,1356300,203.680252
"96",249.460007,258.929993,247.869995,255.559998,2130400,210.058624
"97",257.029999,258.040009,251.789993,257.399994,1749300,211.570999
"98",258.609985,263.859985,256.970001,263.279999,1022000,216.404114
"99",263.279999,265.899994,262.220001,265.440002,849300,218.179535
"100",266.329987,268.339996,264.48999,267.029999,469200,219.486435
"101",267.059998,267.829987,262.73999,264.410004,427900,217.332916
"102",264.079987,266.600006,263.029999,266.390015,592500,218.960403
"103",267.230011,268.26001,264.130005,268.079987,660400,220.349487
"104",267.709991,271.660004,267.320007,269.140015,692900,221.220779
"105",269.529999,272.079987,268.26001,271.670013,546300,223.300323
"106",271.910004,272.170013,269.98999,270.589996,333700,222.412582
"107",269.640015,272.299988,268.549988,270.170013,439300,222.067383
"108",270.089996,271.859985,267.769989,270.040009,404500,221.960526
"109",270.040009,273.709991,268.720001,273.25,418800,224.598984
"110",274.26001,274.98999,267.23999,269.929993,486600,221.870102
"111",269.119995,270.390015,262.779999,262.779999,1422800,215.993118
"112",262.200012,269.920013,262.049988,269.290009,537200,221.344055
"113",270,273.690002,268.940002,270.589996,463500,222.412582
"114",268.160004,272.450012,267.440002,271.320007,445000,223.012634
"115",270.890015,272.290009,269.690002,270.26001,593900,222.141357
"116",271.420013,272.970001,269.73999,271.119995,440900,222.848236
"117",269.410004,270.670013,265.859985,266,633400,218.639832
"118",267.179993,270.890015,265.660004,267.950012,443100,220.242645
"119",267.980011,269.790009,266.959991,267.5,370500,219.872757
"120",267.609985,270.339996,266.23999,268.119995,588800,220.38237
"121",268.5,273.23999,268.040009,268.25,623300,220.489212
"122",267.630005,269.790009,261.48999,265.380005,795400,218.130219
"123",267.600006,268.399994,265.670013,267.480011,624100,219.856308
"124",267.140015,268.399994,263.600006,265.01001,777100,217.826111
"125",266.359985,269.940002,265.23999,268.869995,511600,220.99884
"126",268.910004,270.980011,265.070007,265.089996,272700,217.891846
"127",265.26001,269.929993,265.26001,268.309998,322100,220.538544
"128",267.149994,268.440002,263.049988,263.600006,467100,216.667145
"129",263.720001,267.850006,263.720001,266.660004,461600,219.182327
"130",267.549988,272.480011,266.959991,270.609985,535100,222.429016
"131",270.609985,271.959991,268.809998,270.630005,302300,222.445465
"132",272.940002,276.049988,271.329987,274.600006,365300,225.708633
"133",273.929993,275.390015,272.079987,275.290009,295800,226.275787
"134",276.059998,284.119995,276.059998,282.140015,737900,231.906189
"135",282.140015,283.290009,280.799988,282.200012,566300,231.955475
"136",282.75,282.75,279.279999,280.549988,217300,230.599243
"137",282.730011,287.339996,281.25,286.440002,376000,235.440567
"138",285.549988,286.25,283.170013,283.859985,350000,233.319931
"139",283.429993,286.51001,283.429993,286.5,286400,235.489899
"140",286.230011,287.450012,284.640015,287.019989,273500,235.917297
"141",287.76001,289.220001,285.070007,287.600006,319900,236.394058
"142",288.549988,289.649994,285.100006,286.049988,314700,235.119995
"143",286.859985,288.200012,281.309998,282.48999,544800,232.193832
"144",282.140015,283.880005,281,282.660004,572600,232.333588
"145",283,284.75,280.609985,282.140015,413900,231.906189
"146",283.329987,284.160004,281.709991,283.079987,364800,232.678787
"147",282.420013,283.940002,280.429993,282.450012,389300,232.160995
"148",279.589996,283.350006,276.089996,280.130005,664200,230.254044
"149",281.299988,281.299988,278.75,280.600006,451200,230.640366
"150",281.160004,285.630005,281.049988,284.390015,468500,233.755585
"151",285,295,283.5,285.700012,788600,234.832321
"152",285.019989,286.26001,276.459991,277.720001,519100,228.273132
"153",277,279.820007,272.850006,273.380005,310300,224.705841
"154",273.209991,275.709991,272.179993,274.359985,193200,225.511337
"155",277.26001,279.869995,275.540009,278.730011,271100,229.103302
"156",278.420013,279.179993,275.369995,278.920013,212900,229.259491
"157",279.23999,281.299988,278.98999,280.359985,217900,230.443069
"158",279.23999,281,274.48999,274.690002,288900,225.782623
"159",273.410004,275.799988,272.76001,273.109985,240500,224.483902
"160",273.059998,273.579987,270.540009,271.429993,242300,223.103027
"161",272.350006,275.399994,270.980011,275.339996,335000,226.316864
"162",274.299988,275.190002,271.660004,271.820007,246800,223.423615
"163",275.01001,277.51001,270.829987,271.429993,431100,223.103027
"164",272.779999,273.809998,270.51001,270.649994,342200,222.461899
"165",271.119995,272.829987,270.950012,271.079987,325200,222.815338
"166",269.380005,275.700012,267.369995,274.75,389700,225.831924
"167",274.809998,277.040009,272.959991,276.51001,282300,227.27858
"168",255.119995,262.940002,254.929993,260.660004,555700,232.770538
"169",261.25,262.450012,256.790009,256.859985,395700,229.377121
"170",256.440002,256.519989,253.539993,254.100006,424300,226.912445
"171",254.490005,254.490005,249.570007,250.429993,409400,223.635101
"172",251.910004,253.899994,249.729996,253.75,382800,226.599884
"173",253.220001,254.610001,252.270004,254.020004,469800,226.841003
"174",255.509995,258.700012,254.610001,255,332500,227.716141
"175",255.350006,256.350006,252.320007,254.179993,293500,226.983871
"176",254,255.130005,251.539993,252.399994,245100,225.394318
"177",252.009995,255.839996,252.009995,254.720001,709400,227.46611
"178",255,256.209991,252.710007,256.149994,633900,228.743088
"179",256.890015,265.040009,256.859985,264.640015,1159700,236.324707
"180",263.940002,267.410004,258.75,265.200012,1227100,236.824799
"181",257.5,262.829987,255.139999,259.25,1754800,231.511414
"182",258.470001,265.200012,256.51001,264.269989,807500,235.994293
"183",263.980011,264.660004,259.649994,260.399994,274600,232.538361
"184",260.279999,260.399994,255.210007,258.220001,336500,230.591614
"185",258.429993,259.540009,255.779999,256.549988,323800,229.100281
"186",256.48999,257.589996,254.130005,254.470001,335100,227.242844
"187",253.440002,255.339996,252.789993,253.550003,312300,226.42128
"188",253.240005,255.869995,252.350006,255.649994,317100,228.296585
"189",256.640015,258.209991,254.940002,258.179993,368400,230.555893
"190",258.130005,262.350006,256.049988,262.329987,352800,234.261856
"191",261.540009,263.579987,261.350006,262.880005,462500,234.753021
"192",263.149994,269.339996,262.690002,268.25,841100,239.548447
"193",267.75,268.779999,263.649994,264.970001,451200,236.619385
"194",264.970001,266.579987,263.929993,266.399994,180400,237.896378
"195",267.109985,267.109985,265.190002,266.529999,223700,238.012482
"196",266.790009,267.029999,262.48999,264.559998,388700,236.25325
"197",264.359985,266.470001,264.26001,266.160004,296900,237.682068
"198",266.309998,267.119995,265.390015,265.48999,386300,237.083755
"199",266.399994,267.410004,261.940002,263.619995,333300,235.413834
"200",263.420013,266.579987,262.170013,266,428700,237.539185
"201",266.380005,266.519989,264.359985,265.700012,438100,237.271286
"202",265.140015,265.829987,262.570007,264.5,365100,236.199677
"203",265.779999,268.619995,263.540009,268.600006,329400,239.861008
"204",268.98999,269.859985,267.070007,267.579987,241900,238.950119
"205",266.829987,268.480011,265.75,267.820007,178700,239.164459
"206",267.420013,273.709991,267.420013,272.619995,301400,243.450882
"207",273.450012,273.679993,269.880005,273,520700,243.790237
"208",272.809998,277.5,270.730011,277.5,555900,247.808746
"209",275.98999,278.279999,275.130005,277.200012,376500,247.540848
"210",277.600006,278.769989,276.220001,277.5,354200,247.808746
"211",279.640015,282.869995,278.929993,280.950012,421200,250.889603
"212",279.839996,283.630005,279.839996,282.549988,662100,252.318405
"213",281.899994,285.149994,280.48999,282.519989,408600,252.291595
"214",282.230011,284.380005,281.380005,283,386700,252.720261
"215",283.579987,283.579987,279.75,283.329987,573400,253.014923
"216",282.170013,285.570007,281.559998,284.970001,662000,254.479492
"217",264.029999,275.700012,260.829987,265.579987,1227800,237.164108
"218",267.130005,270.670013,262.5,267,760600,238.43219
"219",266.089996,266.23999,261.609985,262,714600,233.967178
"220",262.170013,268.369995,261.779999,268.019989,371100,239.343048
"221",267.019989,267.019989,262.75,265.149994,419100,236.780121
"222",266.51001,271.809998,266.26001,268.399994,467500,239.682388
"223",267.079987,267.540009,262.720001,263.079987,296100,234.93161
"224",263.290009,267.820007,263.179993,266.640015,342300,238.110718
"225",267.730011,268.600006,265.700012,267.149994,584600,238.566132
"226",268.070007,269.5,266.649994,268.98999,342700,240.209259
"227",270.320007,275.98999,268.970001,275.649994,296400,246.156693
"228",274.859985,276.890015,270.329987,273.98999,485500,244.674286
"229",274.929993,277.089996,273.679993,277.059998,318600,247.415833
"230",277.230011,279.51001,274.630005,279.320007,335100,249.434006
"231",280,284.26001,279.579987,283.790009,417600,253.425751
"232",283.350006,284.640015,277.130005,279.869995,402200,249.92514
"233",281.970001,282.98999,273.890015,275.01001,498900,245.585175
"234",275.839996,275.839996,270.619995,271.950012,374000,242.85257
"235",272.109985,275.26001,272.109985,274,245600,244.683228
"236",273.390015,276.619995,272.399994,275.149994,476800,245.710159
"237",275.929993,277.48999,274.040009,274.619995,282500,245.236893
"238",274.040009,276.380005,273.179993,274.380005,340400,245.022568
"239",271.429993,271.829987,268.399994,270,489400,241.111206
"240",270.390015,273.559998,270.029999,272.600006,548900,243.433014
"241",273.350006,279.369995,273.350006,274.480011,521000,245.111877
"242",275.720001,278.329987,274.709991,276.549988,467200,246.960373
"243",277.779999,280.470001,274.179993,275.399994,339600,245.933426
"244",275.660004,277.480011,270.640015,270.920013,326500,241.932785
"245",272.450012,273.200012,270.640015,271.420013,238700,242.379272
"246",272.290009,274.480011,268.839996,272.859985,445900,243.665192
"247",273.320007,273.320007,270.320007,270.649994,187900,241.69165
"248",270.829987,274.049988,270.690002,273.109985,187900,243.888443
"249",273.619995,274.920013,271.950012,273.809998,259500,244.513565
"250",274.320007,276.109985,272.880005,275.769989,316800,246.26384
"251",276.609985,279.5,274.619995,274.619995,251800,245.236893
"252",275.459991,276,271.470001,275.109985,327000,245.674454
"253",271.98999,271.98999,265.290009,270.220001,1007200,241.307663
"254",271.73999,273.450012,268.619995,272.839996,636800,243.647339
"255",274.209991,275.799988,273.23999,274.910004,224700,245.495865
"256",274.660004,277.5,273.970001,276.019989,543700,246.487076
"257",277.420013,282.649994,276.679993,282.410004,378500,252.19339
"258",282.119995,282.309998,279.540009,281.230011,353400,251.139664
"259",282.470001,287.809998,281.609985,287.51001,316100,256.747742
"260",288.720001,294.320007,288.100006,292.5,393000,261.203796
"261",294.089996,296.959991,292.769989,293.850006,564600,262.409363
"262",295.970001,296.130005,293.369995,294.440002,378000,262.936249
"263",294.48999,296.209991,292.410004,294.100006,315500,262.632599
"264",296,299.660004,291.670013,299.170013,366000,267.160156
"265",297.329987,299.329987,294.459991,296.850006,279800,265.088379
"266",297,300.690002,296.160004,300.369995,325300,268.23175
"267",300.040009,306.140015,299.640015,303.899994,423600,271.384033
"268",304.25,307.269989,302.299988,306.850006,385800,274.018433
"269",308.529999,314.609985,306.549988,314.130005,317300,280.51947
"270",312.679993,320.359985,312.679993,317.279999,560800,283.332458
"271",315.619995,319.980011,314.609985,317.369995,348100,283.412811
"272",319.980011,321.380005,316.730011,316.910004,440300,283.002045
"273",315.959991,318.470001,313.970001,315.200012,393500,281.475006
"274",312.809998,314.070007,306.660004,307.279999,466900,274.402405
"275",306.390015,311.730011,293.459991,296.859985,717600,265.09729
"276",277,292.839996,268.399994,290.660004,1146700,259.560699
"277",290.609985,300.839996,288.619995,292.100006,560800,260.846588
"278",297,297,281.769989,283,873500,252.720261
"279",287.160004,287.5,274.279999,282.549988,973500,252.318405
"280",283.799988,289.459991,281.589996,286.200012,477800,255.577881
"281",285.369995,287.429993,281.459991,285.799988,381200,255.220657
"282",283.609985,291.01001,281.799988,290.390015,418500,259.31958
"283",292.769989,298.529999,291.76001,298.440002,653700,266.50827
"284",297.720001,300.140015,296.679993,298.350006,473900,266.427887
"285",297.119995,301.290009,296.519989,298.75,301600,266.785065
"286",298.75,302.220001,292.559998,292.720001,407400,261.400269
"287",294.339996,298.350006,291.649994,292.98999,248200,261.641357
"288",294.540009,298.059998,292.480011,297.779999,317800,265.918854
"289",298.48999,299.920013,292.190002,295.160004,359300,263.579193
"290",295.950012,296.970001,291.26001,291.380005,312900,260.203644
"291",292.5,294.350006,288.23999,288.309998,503900,257.462097
"292",288.279999,288.299988,278.98999,284.559998,708300,254.113342
"293",283.410004,286.279999,280.26001,285.149994,667400,254.640213
"294",283,286.059998,280.25,285.579987,369300,255.0242
"295",286.980011,287.339996,280.619995,284.089996,1736900,253.693619
"296",282.200012,288.269989,280.959991,287.019989,1034700,256.31015
"297",288.399994,288.399994,283.660004,286.01001,724300,255.408218
"298",287.660004,293.529999,287.01001,292,1014900,260.757324
"299",293.350006,293.75,287.649994,288,525700,257.185303
"300",288.720001,293.25,287.75,289.51001,834000,258.533752
"301",291.690002,297.160004,289.429993,295.119995,617800,263.543457
"302",295.649994,296.600006,291.049988,296,494000,264.329315
"303",296.170013,299.570007,292.429993,299.230011,583900,267.213745
"304",300.839996,304.140015,298.25,302.5,622500,270.13385
"305",303.779999,309.75,301.850006,308.140015,453700,275.17041
"306",307.630005,311.920013,306.790009,309.339996,451800,276.242004
"307",307.320007,310.98999,302.429993,302.730011,597600,270.339264
"308",302.589996,308.910004,301.779999,302.799988,568900,270.401733
"309",306.209991,309.73999,303.320007,309.390015,247400,276.286682
"310",310.880005,313.929993,303.329987,305.140015,449900,272.491394
"311",305.619995,306.209991,298.149994,300.790009,498300,268.606812
"312",303.579987,307.899994,303.230011,306.940002,608000,274.098816
"313",305.410004,307.5,298.359985,301.070007,381400,268.856842
"314",302.950012,305.730011,299.970001,305.470001,343200,272.786072
"315",300.820007,308.570007,298.579987,308.109985,498200,275.143585
"316",308.98999,312.959991,307.440002,310.940002,518300,277.670807
"317",309.540009,311.570007,305.170013,306.359985,463200,273.580841
"318",308.209991,309.730011,302.980011,303.200012,414300,270.758942
"319",308.119995,308.549988,304.25,306.23999,356000,273.473694
"320",305.100006,310.339996,304.440002,306.73999,218300,273.920197
"321",307.399994,310.890015,307.040009,308.190002,386400,275.215057
"322",309.619995,311.700012,306.529999,309.220001,378400,276.134857
"323",313.029999,321.329987,312.630005,320.25,548200,285.98468
"324",321.290009,325.049988,319.309998,323.630005,402100,289.003052
"325",325.130005,328.790009,323.670013,326.369995,231400,291.44989
"326",327,330.149994,326.070007,329.059998,354800,293.852051
"327",330.279999,331.190002,326.920013,327.700012,298600,292.637573
"328",327.440002,330.51001,327,328.130005,357100,293.021545
"329",329.899994,333.619995,321.079987,326.579987,471100,291.63736
"330",326.119995,326.649994,317.519989,324.380005,478100,289.672791
"331",325.170013,328.51001,322.48999,324.940002,334600,290.172882
"332",324.059998,326.5,318.670013,320.320007,363800,286.047211
"333",322.149994,326.25,320.059998,320.570007,710100,286.270447
"334",321.809998,327.040009,311.109985,314.350006,733400,280.715942
"335",314.51001,322,313.720001,318.970001,417400,284.841644
"336",317.75,322.049988,314.880005,320.209991,282900,285.948944
"337",318.859985,324.51001,318.809998,322.970001,316400,288.413666
"338",322.929993,330.5,322.929993,329.109985,476200,293.896667
"339",329.109985,333.029999,329.109985,331.890015,465100,296.379272
"340",333.649994,335.279999,332.570007,334.480011,304700,298.692139
"341",336.230011,338.890015,334.589996,335.709991,405400,299.790527
"342",335.470001,336.980011,332.600006,333.839996,196500,298.120605
"343",334,334.839996,330.779999,332.670013,328600,297.075806
"344",328.5,328.589996,323.98999,325.390015,447800,290.574738
"345",324.570007,325.309998,322.950012,323.519989,301900,288.904785
"346",323.519989,325.399994,321.73999,324.329987,213100,289.628143
"347",323.73999,330.570007,323.73999,330.100006,249800,294.780762
"348",331.899994,335.049988,331.040009,332.700012,233100,297.10257
"349",332.779999,334.440002,326.470001,327.76001,254300,292.691132
"350",326.350006,334.079987,325.600006,333.720001,259500,298.013428
"351",333.429993,337.089996,332.720001,335.75,251300,299.826263
"352",335.109985,336.390015,332.679993,334.100006,172100,298.352783
"353",332.119995,335.700012,331.130005,333.170013,441200,297.522308
"354",333.649994,336.98999,331.149994,335.820007,293500,299.888763
"355",336.170013,338.98999,333.589996,334.109985,590800,298.361725
"356",336.390015,339.799988,335.609985,338.429993,242000,302.219482
"357",339,339.970001,335.5,337.929993,164400,301.77298
"358",337.660004,338.170013,333.98999,336.299988,327700,300.317383
"359",336.470001,339.880005,336.029999,339.790009,255400,303.43399
"360",339.75,343.899994,338.589996,340.109985,317000,303.719727
"361",340.359985,346.51001,338.579987,346,253700,308.979553
"362",345.5,346.269989,340.399994,342,259900,305.407532
"363",342.98999,343.23999,339,343.01001,168600,306.309479
"364",343.25,344.690002,339.880005,340.290009,211900,303.880493
"365",341.679993,344.269989,339.279999,344.170013,294800,307.345337
"366",342.579987,343.459991,339.350006,339.910004,766200,303.541168
"367",339.970001,340.799988,338.01001,340.160004,305600,303.764404
"368",339.160004,342.079987,336.100006,337.190002,323400,301.112152
"369",337.100006,342.119995,337.019989,340.940002,249000,304.460938
"370",340.01001,341.779999,336.440002,340.76001,350700,304.300201
"371",342.5,343.679993,341.040009,342.23999,506300,305.621857
"372",340.48999,342.089996,336.73999,337.929993,916100,301.77298
"373",338.25,340.970001,335.26001,339.140015,254400,302.853546
"374",339.720001,346.420013,338.269989,338.359985,380600,302.156982
"375",338.369995,338.420013,331.76001,336.820007,441900,300.781769
"376",337.769989,347.660004,334.890015,345.140015,407400,308.211578
"377",343.220001,344.019989,338.040009,342.609985,310700,305.952271
"378",344.399994,347.279999,343.559998,344.440002,159700,307.586456
"379",347.339996,348.01001,343.790009,347.51001,333000,310.327972
"380",347.540009,350,345.970001,348.01001,143900,310.774475
"381",349.829987,355,349,352.950012,432200,315.185944
"382",352.399994,353.480011,351.429993,352.369995,135300,314.667969
"383",352.670013,353.149994,349.899994,351.410004,226300,313.810699
