"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"794",40.369999,41.669998,39.93,41.349998,4665900,39.252758
"795",41.66,42.720001,40.419998,42.700001,4039800,40.534286
"796",42.759998,44.080002,41.189999,41.869999,3277600,39.746387
"797",42.720001,43.25,41.970001,43.189999,2302600,40.999435
"798",41.639999,41.900002,40.209999,40.77,2899900,38.702175
"799",39.689999,40.93,38.860001,39.610001,2975000,37.601013
"800",36.810001,37.599998,34.700001,34.720001,3939600,32.95903
"801",36.52,37.330002,34.52,37.130001,3648300,35.246796
"802",35.950001,36.419998,34.580002,35.43,3356500,33.633022
"803",32.560001,34.580002,31.6,31.77,4495200,30.158653
"804",34,35.84,32.59,35.84,4387700,34.022228
"805",31.75,33.689999,30.299999,30.639999,3168400,29.085966
"806",31.33,32.529999,29.75,30.99,3875600,29.418211
"807",29.190001,29.719999,27.530001,29.35,4376500,27.861395
"808",29.440001,33.869999,29.120001,30.82,3166600,29.256834
"809",31.84,32.209999,30.049999,30.629999,4139900,29.076471
"810",30.360001,31.4,28.389999,28.42,3721800,26.978559
"811",30.4,32.650002,30.18,31.98,3644400,30.358
"812",32.279999,33.57,30.4,31.200001,3323900,29.617561
"813",31.459999,33.779999,30.76,33.540001,4184100,31.838879
"814",32.73,33.939999,32.07,33.360001,3114400,31.668007
"815",32.799999,35.139999,32.16,34.919998,5136000,33.55423
"816",34.950001,37.16,34.419998,36.02,4390100,34.61121
"817",34.169998,36.139999,34.049999,35.900002,5412700,34.495903
"818",35.959999,37.07,35.07,35.939999,4188200,34.534336
"819",35.630001,36.41,35.419998,35.650002,3504600,34.255684
"820",37.400002,38.07,36.869999,37.509998,5256500,36.042931
"821",39.330002,39.41,37.139999,37.32,4768400,35.860359
"822",37.700001,39.57,37.32,39.049999,3152100,37.522701
"823",39.880001,40.91,38.810001,39.43,3478600,37.887836
"824",39.580002,39.740002,38.27,38.790001,3278100,37.272873
"825",39.540001,39.970001,37.84,38.380001,3349400,36.878906
"826",35.93,36.299999,35.029999,35.529999,3675800,34.140373
"827",35.849998,35.849998,34.720001,35.509998,2652600,34.121151
"828",36.919998,37.630001,36.720001,37.330002,2111700,35.869972
"829",36.240002,37.290001,35.849998,36.529999,2033800,35.101261
"830",35.349998,36.400002,35.32,36.049999,2043700,34.640038
"831",37.049999,37.119999,36.060001,36.400002,1603200,34.976345
"832",36.57,38.360001,36.490002,37.720001,2363600,36.24472
"833",38.32,38.91,37.669998,37.869999,2393500,36.388855
"834",38.07,41.349998,38.009998,40.5,3438000,38.915993
"835",39.330002,41.200001,39.049999,40.490002,4238400,38.906384
"836",41.5,42.990002,41.5,42.5,4256700,40.837765
"837",41.619999,42.23,40.970001,41.189999,4537600,39.578999
"838",40.150002,41.610001,40.060001,41,2802800,39.396435
"839",40.25,41.220001,39.91,41.060001,2115100,39.454086
"840",41.75,42.150002,40.630001,40.75,2726500,39.156208
"841",41.099998,41.450001,40.209999,40.5,1563700,38.915993
"842",41.240002,41.77,40.82,40.91,1803000,39.309956
"843",41.509998,42.27,41.48,42.200001,1614100,40.549503
"844",41.09,41.639999,40.380001,40.630001,2326800,39.040909
"845",40.860001,40.860001,38.990002,39.009998,1924900,37.484261
"846",38.580002,38.709999,36.950001,37.32,2895100,35.860359
"847",36.369999,37.509998,35.75,37.490002,2669600,36.023716
"848",37.169998,38.150002,36.799999,38.07,3585600,36.581032
"849",40.060001,41.360001,40.009998,40.860001,2172800,39.261909
"850",40.73,41.25,40.23,40.41,1119700,38.829514
"851",40.77,41.68,40.580002,40.68,1674400,39.088951
"852",40.549999,41.080002,39.93,40,1533300,38.435547
"853",40,40.139999,38.98,39.48,1162200,37.935883
"854",41.07,41.990002,40.639999,41.509998,1910200,39.886486
"855",42.459999,43.169998,42.209999,43.099998,2246700,41.414299
"856",43.540001,43.889999,42.279999,42.549999,2000200,40.885811
"857",42.169998,42.389999,41.330002,42.259998,3734000,40.607155
"858",42.27,42.84,41.959999,42.459999,1580600,40.799332
"859",42.84,43.330002,42.599998,43.23,1642700,41.539219
"860",44,44.509998,43.610001,44.099998,1514300,42.375187
"861",43.990002,44.650002,43.400002,44.639999,1933500,42.89407
"862",46.220001,46.630001,45.060001,45.470001,2276200,43.691608
"863",45.580002,46.299999,45.200001,45.490002,2600600,43.710823
"864",44.66,44.759998,43.509998,44.25,2012800,42.519318
"865",44.299999,45,43.759998,44.099998,1819900,42.375187
"866",41.52,42.84,39.529999,39.66,2771400,38.108841
"867",41.290001,41.73,40.240002,41.200001,1897000,39.588612
"868",39.77,42.529999,39.59,41.919998,2609900,40.280449
"869",45.099998,45.32,43.34,44.59,3990000,42.846024
"870",44.59,44.790001,43.700001,44,2170700,42.279099
"871",43.5,44.43,43.299999,43.52,2133300,41.817879
"872",44.240002,44.369999,42.360001,42.700001,2871100,41.029949
"873",42.509998,42.740002,42.02,42.299999,1544000,40.645592
"874",42.939999,43.169998,42.200001,42.220001,1539700,40.568726
"875",41.919998,41.990002,40.59,40.669998,2122300,39.079346
"876",40.25,41.459999,39.900002,41.419998,1839100,39.800007
"877",40.959999,41.110001,40.119999,40.599998,2897100,39.012077
"878",40.700001,41.349998,40.540001,40.900002,1709900,39.694359
"879",40.619999,41.639999,40.400002,41.41,1701600,40.18932
"880",41.400002,41.490002,39.950001,40.380001,2408900,39.189682
"881",41.139999,42.099998,41.139999,41.400002,2072000,40.179615
"882",42.380001,42.419998,40.630001,41.650002,2405000,40.422249
"883",41.099998,41.650002,40.610001,41.18,2659300,39.966103
"884",41.389999,41.389999,39.279999,39.66,3177100,38.490906
"885",39.5,39.610001,38.509998,38.799999,2644900,37.656261
"886",38.91,40.599998,38.869999,40.450001,1752900,39.257618
"887",40.889999,41.169998,39.880001,39.939999,2211800,38.762653
"888",39.759998,41.119999,39.48,41.060001,1670200,39.84964
"889",41.84,42.029999,40.759998,41.68,1864600,40.451359
"890",41.5,42.389999,41.169998,41.759998,1848000,40.528999
"891",41.970001,42.290001,41.209999,41.259998,1176200,40.043739
"892",40.869999,41.279999,40.419998,40.700001,2001700,39.500256
"893",40.900002,42.099998,40.889999,41.889999,1808300,40.65517
"894",41.509998,42.360001,41.369999,42.259998,1638900,41.014263
"895",42.380001,43.759998,42.07,42.59,2444300,41.334534
"896",42.509998,42.919998,41.990002,42.849998,1801200,41.586868
"897",42.610001,43.900002,42.41,43.830002,2301800,42.537987
"898",43.459999,43.599998,42.610001,42.669998,2693800,41.412178
"899",42.740002,43.259998,42.740002,43.259998,2119900,41.984783
"900",42.509998,42.799999,42.209999,42.700001,1920800,41.441296
"901",42.369999,42.540001,41.639999,41.950001,4898900,40.713406
"902",42.310001,43.080002,41.869999,42.860001,2471300,41.596581
"903",42.75,43.23,42.330002,43.009998,1924500,41.742153
"904",43.5,44.330002,43.450001,43.48,1833800,42.198299
"905",43.849998,43.880001,43.119999,43.259998,1902100,41.984783
"906",42.810001,44.48,42.650002,44.34,2190600,43.032948
"907",44.610001,46.290001,44.490002,46.099998,2165600,44.74107
"908",46.32,46.720001,45.16,45.41,2688500,44.071411
"909",45.919998,46.029999,45.330002,45.889999,1615600,44.537262
"910",45.240002,45.830002,44.990002,45.5,1437800,44.158756
"911",45.18,46.549999,45.02,46.240002,1382900,44.876945
"912",46.529999,46.84,46.209999,46.369999,2126400,45.003113
"913",46.389999,46.82,46.220001,46.369999,2102900,45.003113
"914",46.509998,46.939999,45.689999,45.790001,1715700,44.440208
"915",45.139999,45.82,45.02,45.650002,1226900,44.304337
"916",45.439999,45.439999,44.470001,44.689999,1503000,43.372635
"917",45.150002,46.040001,44.970001,46.02,1286900,44.663429
"918",46.060001,46.080002,45.209999,45.57,1246500,44.226692
"919",45.52,45.869999,45.189999,45.5,1089400,44.158756
"920",45.709999,46.029999,45.169998,45.549999,972300,44.207283
"921",45.73,46.189999,45.560001,45.990002,1245200,44.634312
"922",46.32,46.32,45.450001,45.459999,1897500,44.119938
"923",45.419998,46.639999,45.07,46.639999,2102000,45.265152
"924",46.75,47.66,46.439999,47.459999,2764000,46.060978
"925",47.32,47.880001,46.18,46.610001,2176600,45.236038
"926",47.419998,47.59,46.509998,46.900002,2274900,45.51749
"927",46.200001,46.450001,45.41,45.59,2363600,44.246101
"928",46.130001,46.43,45.630001,46.060001,2257500,44.702251
"929",46.189999,46.259998,45.360001,45.389999,1227400,44.051998
"930",45.650002,46.279999,45.290001,45.93,1286500,44.576077
"931",46.23,46.950001,46.080002,46.73,1781900,45.352501
"932",46.869999,47.330002,46.610001,46.790001,1795400,45.410732
"933",46.990002,47.950001,46.509998,47.560001,1834400,46.158031
"934",47.619999,49.189999,47.009998,48.970001,2519700,47.52647
"935",48.880001,49.970001,48.82,49.18,4002100,47.730278
"936",48.189999,48.32,45.029999,45.799999,2879800,44.449913
"937",45.73,46.189999,45.23,45.68,1936200,44.33345
"938",45.669998,46.48,44.650002,44.669998,1915400,43.353222
"939",44.599998,45.740002,44.099998,44.759998,1495700,43.440567
"940",44.310001,45.389999,44.049999,45.25,1134800,43.916122
"941",46.25,46.939999,45.619999,46.27,1434600,44.906059
"942",45.610001,45.790001,44.560001,44.740002,1190700,43.80267
"943",45.119999,45.75,44.580002,44.860001,1468200,43.920155
"944",45.02,45.549999,44.790001,45.049999,1812000,44.106171
"945",44.349998,46.580002,44.200001,46.040001,2110200,45.075436
"946",46.560001,47.650002,46.259998,47.279999,2120400,46.289455
"947",47.540001,48.23,46.650002,46.93,2280000,45.946785
"948",47.669998,49,47.41,48.650002,1861200,47.630756
"949",48.93,49.490002,48.68,49.439999,1719400,48.404198
"950",49.869999,49.900002,48.509998,48.860001,2080700,47.836357
"951",48.810001,49.580002,48.740002,49.279999,1909900,48.247555
"952",49,49.34,48.349998,48.669998,1616700,47.65033
"953",48.439999,49.68,48.439999,49.380001,1563300,48.345463
"954",48.459999,49.290001,48.02,49.259998,1475000,48.22797
"955",49.48,49.73,48.990002,49.330002,1366100,48.296513
"956",49.549999,50.330002,48.830002,48.970001,1712000,47.94405
"957",49.389999,49.77,48.48,48.509998,2604200,47.493683
"958",48.720001,49.259998,48.43,48.439999,1866600,47.425152
"959",48.110001,50.220001,48.110001,49.900002,2073100,48.854565
"960",50.279999,50.700001,49.610001,50.189999,1845700,49.138489
"961",49.599998,49.610001,48.029999,48.279999,1764400,47.268501
"962",48.119999,48.790001,47.93,48.220001,1487200,47.209766
"963",47.310001,47.540001,46.169998,46.580002,2562500,45.604122
"964",46.34,48.330002,46,47.939999,1911100,46.935623
"965",47.400002,47.939999,46.779999,47.759998,3114200,46.759396
"966",48.610001,49.029999,47.66,48.869999,1791400,47.846142
"967",49.689999,50.330002,49.27,50.049999,1422700,49.001419
"968",49.639999,49.639999,46.900002,46.950001,2370200,45.96637
"969",47.459999,49.599998,47.459999,48.799999,1716000,47.777607
"970",49.32,49.470001,48.200001,48.419998,1350200,47.405567
"971",51.599998,52.900002,50.720001,50.759998,2250100,49.696545
"972",51.029999,52.150002,50.799999,51.779999,1572300,50.695175
"973",51.830002,51.830002,50.610001,50.810001,2111400,49.745502
"974",50.209999,50.5,49.110001,49.610001,1413400,48.570637
"975",50.25,51.919998,50.150002,51.66,1510700,50.57769
"976",53.209999,54.740002,52.099998,54.299999,3099700,53.16238
"977",53.52,54.220001,53.200001,53.860001,1662200,52.731602
"978",54.23,54.380001,52.91,52.919998,1442100,51.811291
"979",52.639999,53.470001,52.349998,52.830002,1332100,51.723179
"980",52.639999,52.93,52.299999,52.549999,1016000,51.449047
"981",53.360001,53.950001,52.740002,53.669998,1559300,52.545578
"982",54.389999,56.5,54.34,56.419998,2232700,55.237965
"983",55.619999,55.919998,54.52,54.779999,2703900,53.632324
"984",54.959999,55.73,54.73,55.07,1052600,53.916248
"985",54.700001,55.34,53.689999,53.700001,2847200,52.574951
"986",55.150002,55.669998,54.75,54.93,1873500,53.779182
"987",55.029999,55.959999,54.830002,55.099998,1839500,53.945618
"988",55.299999,55.93,54.549999,54.799999,1791800,53.651905
"989",55.68,57,55.18,56.419998,1675100,55.237965
"990",55.990002,56.73,55.599998,55.939999,1769800,54.768021
"991",55.419998,57.5,55.419998,56.540001,2055900,55.355453
"992",57.029999,57.389999,56,56.43,1458000,55.247757
"993",56.16,57.220001,55.759998,57.110001,1443200,55.913513
"994",56.549999,56.919998,55.450001,56.639999,1492600,55.453362
"995",57.349998,57.419998,55.48,55.66,1888700,54.493889
"996",56.52,56.77,55.639999,56.57,1456200,55.384823
"997",56.509998,56.77,55.779999,56.439999,1476300,55.257545
"998",56.970001,57.029999,55.400002,55.450001,1973500,54.288292
"999",55.459999,55.459999,53.73,53.93,4603400,52.800129
"1000",53,54.23,52.77,54.139999,1450300,53.005733
"1001",54.209999,54.389999,52.799999,53.09,1677700,51.977734
"1002",53.360001,53.549999,52.43,52.57,1564300,51.468624
"1003",52.939999,52.959999,52.009998,52.439999,620100,51.341351
"1004",52.599998,53.029999,52.029999,52.110001,1425200,51.018265
"1005",52.209999,52.93,51.959999,52.080002,1222600,50.988892
"1006",51.810001,53.139999,51.779999,52.939999,1582400,52.237095
"1007",52.950001,53.380001,52.23,53.189999,1283400,52.483776
