"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"1",757.919983,758.76001,747.700012,753.669983,3521100,753.669983
"2",758.390015,759.679993,754.200012,757.179993,2510500,757.179993
"3",761.549988,782.400024,760.26001,780.450012,5830100,780.450012
"4",782.359985,799.440002,778.47998,795.98999,5986200,795.98999
"5",798,801.77002,791.77002,796.919983,3446100,796.919983
"6",796.599976,798,789.539978,795.900024,2558400,795.900024
"7",793.659973,799.5,789.51001,799.02002,2992800,799.02002
"8",800.309998,814.130005,799.5,813.640015,4873900,813.640015
"9",814.320007,821.650024,811.400024,817.140015,3791900,817.140015
"10",815.700012,816,803.440002,809.719971,3670500,809.719971
"11",809.5,811.72998,804.27002,807.47998,2354200,807.47998
"12",810,813.51001,807.320007,809.039978,2540800,809.039978
"13",815.280029,816.02002,806.26001,808.330017,3376200,808.330017
"14",806.799988,818.5,805.080017,817.880005,2797500,817.880005
"15",822,823.98999,814.5,822.440002,2971700,822.440002
"16",825.789978,837.419983,825.289978,836.52002,3922600,836.52002
"17",835.530029,843.840027,833,839.150024,3586300,839.150024
"18",839,839.700012,829.440002,835.77002,2998700,835.77002
"19",833,833.5,816.380005,830.380005,3747300,830.380005
"20",823.75,826.98999,819.559998,823.47998,3137200,823.47998
"21",829.210022,833.780029,824.940002,832.349976,3850200,832.349976
"22",836.590027,842.48999,828.26001,839.950012,7350500,839.950012
"23",806.719971,818.299988,804,810.200012,10868800,810.200012
"24",809.799988,810.719971,803,807.640015,3897300,807.640015
"25",809.309998,816.159973,807.5,812.5,3466100,812.5
"26",812.690002,821.47998,812.5,819.710022,2858000,819.710022
"27",821.599976,825,819.710022,821.359985,2484900,821.359985
"28",823.820007,828,822.849976,827.460022,2429600,827.460022
"29",831.619995,843,828.549988,836.530029,4172600,836.530029
"30",837,838.309998,831.450012,836.390015,2792400,836.390015
"31",834,842.809998,832.820007,842.700012,2968900,842.700012
"32",841.840027,845,839.380005,844.140015,2714700,844.140015
"33",842,847.27002,840.72998,845.070007,3112300,845.070007
"34",848.840027,857.97998,847.25,856.440002,3507700,856.440002
"35",856.950012,858.429993,852.179993,855.609985,2617000,855.609985
"36",857.570007,860.859985,848,852.190002,3462000,852.190002
"37",844.690002,845.809998,837.75,845.23999,3688000,845.23999
"38",842.380005,852.5,839.669983,848.640015,2713600,848.640015
"39",851.450012,854.090027,842.049988,845.039978,2793700,845.039978
"40",853.049988,854.830017,849.01001,853.080017,2760100,853.080017
"41",853.080017,854.820007,847.280029,848.909973,2132100,848.909973
"42",847.200012,851.98999,846.27002,849.880005,1941100,849.880005
"43",845.22998,848.48999,841.119995,846.609985,2610400,846.609985
"44",845.47998,848.460022,843.75,846.02002,2247600,846.02002
"45",848,853.070007,846.789978,850.5,2286500,850.5
"46",851,856.400024,850.309998,853,2048200,853
"47",857,857.349976,851.719971,852.460022,2436400,852.460022
"48",851.77002,855.690002,851.710022,854.590027,1909700,854.590027
"49",853.549988,853.75,847.549988,852.530029,2130600,852.530029
"50",854.330017,854.450012,847.109985,852.969971,2562200,852.969971
"51",855.299988,855.5,850.51001,853.419983,1842300,853.419983
"52",853.48999,853.830017,850.640015,852.309998,3384400,852.309998
"53",851.51001,857.799988,851.01001,856.969971,2282700,856.969971
"54",858.840027,862.799988,841.309998,843.200012,4382900,843.200012
"55",840.429993,849.369995,839.049988,848.059998,2658700,848.059998
"56",848.200012,850.890015,844.799988,847.380005,1953000,847.380005
"57",851.679993,851.799988,843.530029,845.609985,2138300,845.609985
"58",838.070007,850.299988,833.5,846.820007,2755800,846.820007
"59",851.75,858.460022,850.099976,856,3041600,856
"60",859.049988,876.440002,859.02002,874.320007,4485800,874.320007
"61",874.950012,877.059998,871.659973,876.340027,2762700,876.340027
"62",877,890.349976,876.650024,886.539978,3957600,886.539978
"63",888,893.48999,885.419983,891.51001,3422300,891.51001
"64",891.5,908.539978,890.280029,906.830017,4984700,906.830017
"65",910.820007,923.719971,905.619995,909.280029,7508400,909.280029
"66",913.799988,917.190002,894.48999,898.280029,6344100,898.280029
"67",899.650024,900.090027,889.309998,894.880005,3710900,894.880005
"68",899.630005,908.51001,899,907.039978,3184300,907.039978
"69",907.039978,911.23999,897.5,902.359985,3012700,902.359985
"70",903.090027,904.090027,895.25,896.22998,2456100,896.22998
"71",891.450012,894.969971,884.48999,884.669983,3174600,884.669983
"72",887.5,902.380005,887.5,901.98999,2854700,901.98999
"73",900.98999,909.609985,900.780029,903.780029,2999200,903.780029
"74",907.840027,910.5,897.369995,899.200012,2870200,899.200012
"75",899.700012,905.320007,896.289978,902.059998,2814400,902.059998
"76",902.669983,903.650024,896.77002,898.530029,2420500,898.530029
"77",908.679993,909.98999,903.820007,907.409973,3122900,907.409973
"78",907.039978,909.47998,903,907.619995,3380600,907.619995
"79",910.299988,915.75,907.559998,909.289978,2608900,909.289978
"80",914.390015,921.859985,912.109985,918.380005,5305500,918.380005
"81",948.830017,949.590027,924.330017,924.98999,7364700,924.98999
"82",927.799988,954.400024,927.799988,948.22998,5466500,948.22998
"83",946.650024,950.099976,941.409973,946.940002,3848800,946.940002
"84",946,946,935.900024,941.030029,3582700,941.030029
"85",944.75,945,934.219971,937.530029,2418400,937.530029
"86",940.52002,940.789978,930.299988,934.150024,2866400,934.150024
"87",940.950012,949.049988,939.210022,949.039978,3415700,949.039978
"88",952.799988,957.890015,950.200012,952.820007,3262100,952.820007
"89",953.5,953.75,945,948.950012,2096500,948.950012
"90",945.109985,950.289978,940.780029,947.619995,2194100,947.619995
"91",954.5,962.789978,951.530029,961.349976,3625900,961.349976
"92",958.72998,963.150024,956.059998,957.969971,4270600,957.969971
"93",961,970.059998,960.909973,966.070007,3126100,966.070007
"94",954.700012,960.400024,944.119995,944.76001,5145600,944.76001
"95",944.799988,962.75,944.76001,958.48999,3939300,958.48999
"96",962.840027,968.919983,959.719971,959.840027,3972100,959.840027
"97",964,971.380005,962.900024,970.669983,2642200,970.669983
"98",975.02002,975.200012,966.849976,971.539978,2415600,971.539978
"99",976,981,970.22998,980.349976,2446000,980.349976
"100",984.849976,999,982.109985,993.380005,4822000,993.380005
"101",995,998.650024,989.25,995.780029,3469200,995.780029
"102",996.51001,1001.200012,995.52002,996.700012,3263100,996.700012
"103",1000,1000.119995,982.159973,994.619995,3913100,994.619995
"104",998.590027,998.98999,991.369995,995.950012,2454800,995.950012
"105",998.98999,1008.47998,995.669983,1006.72998,3752300,1006.72998
"106",1007.22998,1013.210022,1003.51001,1011.340027,2719900,1011.340027
"107",1012,1016.5,1001.25,1003,3346400,1003
"108",1005.950012,1010.25,1002,1010.070007,2823000,1010.070007
"109",1012.059998,1013.609985,1006.109985,1010.27002,2767900,1010.27002
"110",1012.5,1012.98999,927,978.309998,7647700,978.309998
"111",967,975.950012,945,964.909973,9447200,964.909973
"112",977.98999,984.5,966.099976,980.789978,4580000,980.789978
"113",988.590027,990.340027,966.710022,976.469971,3974900,976.469971
"114",958.700012,965.72998,950.859985,964.169983,5373900,964.169983
"115",996,999.75,982,987.710022,11472700,987.710022
"116",1017,1017,989.900024,995.169983,5043400,995.169983
"117",998,1004.880005,992.02002,992.590027,4076800,992.590027
"118",998.700012,1002.719971,992.650024,1002.22998,2922500,1002.22998
"119",1002.22998,1006.960022,997.200012,1001.299988,2253400,1001.299988
"120",1002.539978,1004.619995,998.02002,1003.73999,2879100,1003.73999
"121",1008.5,1009.799988,992,993.97998,3386200,993.97998
"122",990.690002,998.799988,976,976.780029,3782400,976.780029
"123",978.549988,990.679993,969.210022,990.330017,3737600,990.330017
"124",979,987.559998,965.25,975.929993,4303000,975.929993
"125",980.119995,983.469971,967.609985,968,3390300,968
"126",972.789978,974.48999,951,953.659973,2909100,953.659973
"127",961.530029,975,955.25,971.400024,3653000,971.400024
"128",964.659973,974.400024,959.02002,965.140015,3259600,965.140015
"129",969.549988,980.109985,969.140015,978.76001,2643400,978.76001
"130",985,999.440002,983.5,996.469971,3546300,996.469971
"131",993,995.98999,983.719971,994.130005,2982700,994.130005
"132",1000.650024,1008.549988,998.099976,1006.51001,3608600,1006.51001
"133",1004.619995,1006.880005,995.900024,1000.630005,2880800,1000.630005
"134",1002.400024,1004.450012,996.890015,1001.809998,2102500,1001.809998
"135",1004.690002,1014.75,1003.809998,1010.039978,3712600,1010.039978
"136",1006,1026.030029,1004,1024.449951,4007600,1024.449951
"137",1025,1031.589966,1022.5,1026.869995,2964000,1026.869995
"138",1031.589966,1034.969971,1022.52002,1028.699951,3097500,1028.699951
"139",1021.280029,1026.099976,1011,1025.670044,2734600,1025.670044
"140",1028.339966,1043.01001,1027.430054,1038.949951,3288000,1038.949951
"141",1038.050049,1043.329956,1032.47998,1039.869995,2447600,1039.869995
"142",1043.199951,1053.199951,1043.199951,1052.800049,2921300,1052.800049
"143",1069.550049,1083.310059,1040.180054,1046,10991700,1046
"144",1012.140015,1032.849976,1001,1020.039978,7709400,1020.039978
"145",1019.049988,1019.049988,987.02002,987.780029,7352100,987.780029
"146",996.109985,1006.400024,991.580017,996.190002,4572600,996.190002
"147",1001.77002,1003.210022,981.72998,995.890015,4070000,995.890015
"148",999.469971,999.5,984.590027,986.919983,3255800,986.919983
"149",989.679993,991.669983,982,987.580017,2730300,987.580017
"150",990.650024,995,987.140015,992.27002,2676600,992.27002
"151",994.349976,996.280029,985.789978,989.840027,2902800,989.840027
"152",982.599976,988,975.27002,982.01001,3569700,982.01001
"153",976.299988,979.859985,954.679993,956.919983,5684100,956.919983
"154",960,970.390015,951.380005,967.98999,3468000,967.98999
"155",978.409973,985.5,976.190002,983.299988,3172900,983.299988
