"","IT.Open","IT.High","IT.Low","IT.Close","IT.Volume","IT.Adjusted"
"1",101.360001,101.449997,99.239998,99.860001,564200,99.860001
"2",100.300003,102.389999,99.830002,101.790001,495500,101.790001
"3",99,99.870003,90.370003,90.559998,5625500,90.559998
"4",91.900002,95.769997,91.620003,95.68,3067500,95.68
"5",97.129997,97.540001,94.769997,95.82,1369300,95.82
"6",95.760002,98.43,95.760002,97.620003,1655700,97.620003
"7",97.080002,100.139999,96.830002,98.959999,1159300,98.959999
"8",98.519997,100,98.080002,99.839996,926200,99.839996
"9",100.290001,102.18,100.019997,101.940002,986000,101.940002
"10",102.129997,102.129997,99.010002,99.410004,911300,99.410004
"11",99.830002,100.599998,98.980003,99.68,674200,99.68
"12",99.419998,99.790001,98.620003,99.010002,384100,99.010002
"13",99.330002,100.25,99.050003,99.440002,353300,99.440002
"14",99.309998,100.540001,98.959999,100.370003,491300,100.370003
"15",100.440002,101.349998,100.440002,100.949997,350400,100.949997
"16",101.269997,101.830002,100.379997,101.18,321800,101.18
"17",100.809998,101.800003,100.489998,101.519997,522300,101.519997
"18",101.669998,101.669998,100.07,100.559998,451900,100.559998
"19",100.459999,100.510002,98.5,99.82,601300,99.82
"20",99.57,99.959999,98.589996,99.360001,1220400,99.360001
"21",100.139999,100.470001,97.830002,98.809998,639800,98.809998
"22",97.059998,100.279999,95.400002,99.150002,1661100,99.150002
"23",100.260002,100.639999,98.639999,99.599998,567200,99.599998
"24",99.589996,99.889999,98.480003,99.07,480100,99.07
"25",99.019997,99.800003,98.209999,98.68,493200,98.68
"26",98.940002,99.260002,97.959999,98.849998,367900,98.849998
"27",98.849998,100.790001,98.080002,100.269997,325200,100.269997
"28",100.75,101.690002,100.43,101.019997,313900,101.019997
"29",101.459999,102,100.769997,101.419998,384200,101.419998
"30",100.410004,101.809998,100.330002,101.25,394800,101.25
"31",100.510002,102.870003,100.360001,102.839996,652900,102.839996
"32",103,104.089996,102.790001,103.43,1070200,103.43
"33",102.410004,103.279999,102.110001,103.129997,796100,103.129997
"34",102.919998,103.75,102.279999,103.379997,376300,103.379997
"35",103.080002,103.650002,102.099998,102.459999,438400,102.459999
"36",102.279999,103.260002,101.68,102.540001,309200,102.540001
"37",101.68,103.730003,101.199997,103.709999,327500,103.709999
"38",103.739998,104.550003,102.940002,104.550003,380400,104.550003
"39",104.5,104.709999,103.150002,103.209999,457000,103.209999
"40",104.239998,104.970001,103.800003,104.199997,555500,104.199997
"41",103.849998,104.260002,103.169998,104.040001,456700,104.040001
"42",103.459999,103.910004,102.900002,103.410004,363900,103.410004
"43",102.709999,103.400002,101.860001,103.110001,352400,103.110001
"44",103.449997,104.120003,102.349998,103.459999,519200,103.459999
