"","ZBRA.Open","ZBRA.High","ZBRA.Low","ZBRA.Close","ZBRA.Volume","ZBRA.Adjusted"
"1",86.580002,87.279999,85.599998,86.25,388200,86.25
"2",85.75,88.029999,85.75,87.029999,463200,87.029999
"3",86.529999,87.199997,84.32,84.75,486600,84.75
"4",84.989998,86.230003,84.029999,85.959999,308300,85.959999
"5",85.68,86.739998,85.239998,85.970001,263300,85.970001
"6",86.449997,86.449997,85.260002,85.440002,420500,85.440002
"7",85.230003,86.849998,84.82,84.989998,346100,84.989998
"8",84.519997,84.800003,81.629997,83.760002,456500,83.760002
"9",84.190002,85.07,83.860001,83.889999,402400,83.889999
"10",83.510002,84.290001,82.730003,82.980003,199500,82.980003
"11",83.07,84.139999,83.019997,83.970001,274800,83.970001
"12",83.910004,84.830002,83.43,83.75,224700,83.75
"13",84.059998,84.290001,83.099998,83.470001,187000,83.470001
"14",83.309998,84.209999,81.730003,84.190002,337900,84.190002
"15",84.589996,85.779999,83.940002,84.980003,280200,84.980003
"16",85.550003,85.550003,84.129997,85.07,294100,85.07
"17",84.940002,85.419998,84.480003,84.68,157400,84.68
"18",84.790001,84.980003,82.459999,84.559998,261300,84.559998
"19",83.879997,84.669998,82.5,84.480003,264400,84.480003
"20",84.510002,84.639999,82.43,83.669998,294000,83.669998
"21",84.5,84.93,82.519997,82.610001,434600,82.610001
"22",82.529999,83.459999,81.019997,82.769997,406700,82.769997
"23",83.040001,83.690002,82.779999,83.489998,360300,83.489998
"24",83.18,84.389999,82.43,83.07,198100,83.07
"25",83.410004,83.82,82.5,83.580002,160100,83.580002
"26",83.5,83.910004,82.489998,83.529999,208500,83.529999
"27",83.489998,84.959999,83.050003,84.629997,202400,84.629997
"28",84.989998,85.32,84.010002,85.029999,184700,85.029999
"29",85.160004,85.980003,84.75,85.32,172500,85.32
"30",85.32,85.629997,84.849998,85.370003,200800,85.370003
"31",84.449997,85.830002,84.449997,85.809998,214000,85.809998
"32",85.730003,85.949997,84.940002,85.230003,369700,85.230003
"33",84.739998,85.989998,84.360001,85.989998,236400,85.989998
