"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume","VNO.Adjusted"
"1",85.149551,85.173805,83.880356,84.656425,1331383,66.333817
"2",84.834274,87.308006,84.583672,87.000809,1529427,68.170784
"3",86.346001,87.105904,85.173805,86.903801,1241948,68.094788
"4",86.645111,87.12207,86.337914,86.750198,1629748,67.974411
"5",86.588524,86.814873,85.561844,85.739693,1543281,67.18261
"6",85.569923,85.828621,84.7211,84.882782,926266,66.511185
"7",84.890862,85.222313,84.009705,84.114792,812709,65.909416
"8",84.082458,84.793854,83.653999,84.535164,1005310,66.2388
"9",84.575584,85.076797,83.815681,84.308815,838686,66.061455
"10",84.365402,85.2789,84.20372,85.214226,1327054,66.770889
"11",85.230392,86.192398,84.826195,85.852867,1020030,67.271301
"12",85.610352,86.087311,85.036377,85.052544,1114290,66.644188
"13",85.133385,85.53759,84.729187,85.521423,1167852,67.011597
"14",85.472916,86.839127,85.359741,86.661278,731562,67.904762
"15",86.887634,87.502022,86.434921,87.057396,777083,68.215126
"16",87.202911,87.42926,86.499596,87.041229,861571,68.202446
"17",86.580437,87.025063,86.491508,86.742119,948903,68.419266
"18",87.033142,87.049316,85.739693,86.402588,763600,68.151451
"19",86.402588,87.016975,85.933708,86.394501,848087,68.145058
"20",86.257072,87.146324,85.828621,85.941795,1007660,67.788002
"21",86.05497,86.523849,83.928864,83.99353,1031534,66.251259
"22",84.017784,84.737267,83.815681,84.413902,1037225,66.582832
"23",85.18998,85.52951,84.527084,84.76152,1014959,66.857025
"24",84.7211,85.004044,84.236053,84.527084,905731,66.672127
"25",84.648346,85.553757,84.648346,84.696846,798360,66.806023
"26",84.753433,85.553757,84.640259,85.101051,489110,67.124847
"27",85.133385,85.400162,84.834274,85.198059,695689,67.20137
"28",85.230392,86.515762,85.181892,86.05497,808380,67.877258
"29",86.378334,86.620857,85.464836,86.05497,725253,67.877258
"30",86.05497,88.399353,85.343575,88.140663,1694195,69.522385
"31",88.051735,88.342766,87.445435,88.14875,1090168,69.52877
