"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"1",62.790001,62.84,62.130001,62.580002,20694100,58.18552
"2",62.48,62.75,62.119999,62.299999,21340000,57.925179
"3",62.189999,62.66,62.029999,62.299999,24876000,57.925179
"4",62.299999,63.150002,62.040001,62.84,19922900,58.427265
"5",62.759998,63.080002,62.540001,62.639999,20382700,58.241299
"6",62.73,63.07,62.279999,62.619999,18593000,58.222706
"7",62.610001,63.23,62.43,63.189999,21517300,58.752678
"8",63.060001,63.400002,61.950001,62.610001,20968200,58.213406
"9",62.619999,62.869999,62.349998,62.700001,19422300,58.297089
"10",62.68,62.700001,62.029999,62.529999,20664000,58.139034
"11",62.669998,62.700001,62.119999,62.5,19670100,58.111145
"12",62.240002,62.98,62.200001,62.299999,18451700,57.925179
"13",62.669998,62.82,62.369999,62.740002,30213500,58.334278
"14",62.700001,63.119999,62.57,62.959999,23097600,58.53883
"15",63.200001,63.740002,62.939999,63.52,24672900,59.059509
"16",63.950001,64.099998,63.450001,63.68,23672700,59.208271
"17",64.120003,64.540001,63.549999,64.269997,43554600,59.756844
"18",65.389999,65.910004,64.889999,65.779999,44818000,61.160809
"19",65.690002,65.790001,64.800003,65.129997,31651400,60.556446
"20",64.860001,65.150002,64.260002,64.650002,25270500,60.110149
"21",64.360001,64.620003,63.470001,63.580002,39671500,59.115299
"22",63.25,63.41,62.75,63.169998,45827000,58.734089
"23",63.5,63.700001,63.07,63.68,30301800,59.208271
"24",63.5,63.650002,63.139999,63.639999,19796400,59.171082
"25",63.740002,63.779999,63.23,63.43,20277200,58.97583
"26",63.57,63.810001,63.220001,63.34,18096400,58.892159
"27",63.52,64.440002,63.32,64.059998,22644400,59.561588
"28",64.25,64.300003,63.98,64,18170700,59.505806
"29",64.239998,64.860001,64.129997,64.720001,22920100,60.175236
"30",64.410004,64.720001,64.019997,64.57,23108400,60.399754
"31",64.5,64.57,64.160004,64.529999,17005200,60.362324
"32",64.739998,65.239998,64.440002,64.519997,20546300,60.352962
"33",64.470001,64.690002,64.300003,64.620003,21248800,60.44651
"34",64.610001,64.949997,64.449997,64.489998,20655900,60.324909
"35",64.330002,64.389999,64.050003,64.360001,19292700,60.203308
"36",64.419998,64.730003,64.190002,64.620003,20273100,60.44651
"37",64.529999,64.800003,64.139999,64.620003,21796800,60.44651
"38",64.540001,64.540001,64.050003,64.230003,15871500,60.081711
"39",64.080002,64.199997,63.759998,63.98,23239800,59.847847
"40",64.129997,64.989998,64.019997,64.940002,26937500,60.745846
"41",64.690002,64.75,63.880001,64.010002,24539600,59.875912
"42",63.990002,64.279999,63.619999,64.25,18135900,60.100418
"43",63.970001,64.559998,63.810001,64.269997,18750300,60.119118
"44",64.190002,64.779999,64.190002,64.400002,18521000,60.24073
"45",64.260002,65.080002,64.25,64.989998,21510900,60.79261
"46",65.190002,65.199997,64.480003,64.730003,19846800,60.549408
"47",65.110001,65.260002,64.75,64.93,19538200,60.736488
"48",65.010002,65.190002,64.57,64.709999,20100000,60.530704
