"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume","GPC.Adjusted"
"1",96.419998,96.540001,94.419998,95.629997,648000,82.790535
"2",96.190002,97.120003,95.949997,97.120003,542900,84.080467
"3",96.379997,96.730003,95.720001,96.669998,414600,83.690895
"4",96.660004,96.790001,96.089996,96.160004,400200,83.249359
"5",96.129997,96.489998,95.559998,96.050003,607700,83.154152
"6",96.099998,97.699997,95.68,97.279999,470400,84.218994
"7",97.120003,97.589996,96.739998,97.480003,468900,84.392143
"8",97.309998,98.209999,96.489998,98.089996,546400,84.920227
"9",98.150002,99.040001,98.150002,98.57,503600,85.335808
"10",98.220001,98.980003,96.940002,97.559998,698300,84.461403
"11",97.43,99.580002,97.160004,99.290001,860800,85.959145
"12",99.269997,100.400002,98.330002,99.110001,774100,85.803291
"13",99.339996,100.029999,98.959999,99.739998,665000,86.348709
"14",97.82,98.190002,95.669998,96.25,1251700,83.327293
"15",96.510002,97.360001,96.07,96.919998,915700,83.907318
"16",97.400002,98.169998,97.199997,97.809998,638200,84.677841
"17",97.440002,98.040001,96.209999,97.139999,837500,84.097794
"18",97.550003,97.610001,96.32,96.669998,655200,83.690895
"19",96.790001,97.110001,95.739998,97.080002,609800,84.04586
"20",96.739998,97.43,95.830002,96.809998,680600,83.81208
"21",96.889999,97.860001,95.800003,96.339996,607300,83.405182
"22",96.360001,97.059998,96.07,96.620003,366300,83.647621
"23",96.75,97.510002,96.529999,97.139999,476300,84.097794
"24",96.970001,97.809998,96.809998,97.209999,463200,84.158409
"25",97.300003,97.75,96.529999,96.970001,372900,83.95063
"26",96.989998,99.07,96.889999,99.040001,866200,85.742691
"27",99.040001,100.099998,98.910004,99.669998,532100,86.288116
"28",99.739998,99.919998,98.940002,99.779999,482800,86.383354
"29",100,100.25,99.059998,99.889999,523400,86.478584
"30",98.959999,99.970001,98.889999,99.660004,493500,86.279457
"31",99.599998,100.120003,99.400002,100.120003,487900,86.677673
"32",100.230003,100.620003,98.519997,99.230003,707800,85.907196
"33",99.050003,100.669998,98.959999,100.669998,902300,87.153839
"34",100.599998,100.900002,96.349998,97.669998,1522900,84.556633
"35",96.980003,97.419998,95.870003,95.989998,904500,83.102196
"36",95.989998,95.989998,94.879997,95,1009400,82.245132
"37",94.690002,96.279999,94.599998,96.25,672800,83.327293
"38",96.279999,96.709999,95.589996,96.18,666400,83.266701
"39",95.830002,96.050003,95.279999,95.709999,760100,82.859779
"40",96.540001,97.260002,96.230003,96.57,709500,83.604324
"41",96.5,96.519997,95.660004,95.870003,606800,82.998299
"42",95.879997,95.989998,94.370003,94.699997,781000,81.985413
"43",94.360001,94.690002,94,94.18,662100,81.53521
"44",94.029999,94.160004,93.440002,93.519997,544700,80.963814
"45",92.809998,93.589996,92.769997,93.150002,556500,81.229782
