"","ABMD.Open","ABMD.High","ABMD.Low","ABMD.Close","ABMD.Volume","ABMD.Adjusted"
"1",112.559998,114.410004,111.480003,112.360001,284400,112.360001
"2",113.019997,115.970001,112.32,115.739998,335800,115.739998
"3",115.900002,116.050003,113.699997,114.809998,383000,114.809998
"4",115.050003,115.919998,114.769997,115.419998,268900,115.419998
"5",115.620003,117.709999,114.669998,117.110001,338900,117.110001
"6",112.480003,114.709999,110,112.239998,830600,112.239998
"7",112.349998,112.949997,109.830002,111.269997,492800,111.269997
"8",110.989998,112.5,110.209999,112.370003,278800,112.370003
"9",112.870003,115.730003,112.220001,115.669998,371400,115.669998
"10",114.690002,115.489998,113.919998,114.019997,272100,114.019997
"11",114.82,114.82,112.910004,113.269997,235800,113.269997
"12",113.470001,113.639999,111.620003,112.209999,387400,112.209999
"13",112,112.300003,110.830002,111.839996,388400,111.839996
"14",111.599998,112.599998,110.260002,111.57,367900,111.57
"15",111.82,112.599998,110.449997,112.300003,303000,112.300003
"16",113.43,115.68,113.199997,114.82,403600,114.82
"17",116.489998,116.489998,105.129997,106.089996,1243200,106.089996
"18",105.75,110.459999,105.75,108.849998,763800,108.849998
"19",108,108.010002,105.379997,106.150002,574700,106.150002
"20",106.300003,107,105.160004,106.370003,454100,106.370003
"21",106.279999,106.760002,104.900002,105.589996,467500,105.589996
"22",104.550003,105.080002,103.529999,104.099998,882900,104.099998
"23",104.849998,105.93,103.82,104.959999,734200,104.959999
"24",105.110001,111.220001,105.110001,110.5,1240500,110.5
"25",111.209999,111.82,109.349998,109.940002,456100,109.940002
"26",109.900002,110.379997,108.419998,108.730003,271400,108.730003
"27",109,109.440002,107.330002,108.449997,372800,108.449997
"28",108.360001,109,107.650002,108.639999,576600,108.639999
"29",108.040001,108.830002,107.330002,107.379997,233700,107.379997
"30",107.599998,109.480003,107.599998,108.959999,362300,108.959999
"31",108.699997,110.699997,108.220001,110.620003,453700,110.620003
"32",110.980003,114.400002,110.610001,114.25,725300,114.25
"33",114.010002,116.919998,112.199997,116.57,548500,116.57
"34",117.150002,118.160004,116.290001,117.809998,430400,117.809998
"35",117.980003,118.150002,116.919998,117,167800,117
"36",117.029999,117.220001,114.360001,116.889999,289300,116.889999
"37",116,117.5,114.279999,117.139999,207200,117.139999
"38",117.360001,118.839996,116.550003,117.940002,716900,117.940002
"39",117.919998,118.709999,116.830002,117.970001,319600,117.970001
"40",119.160004,121.830002,118.019997,121.290001,417000,121.290001
"41",121.75,122.18,119.800003,120.050003,319500,120.050003
"42",119.93,121.720001,119.410004,120.730003,191500,120.730003
"43",119.279999,120.290001,118.050003,119.790001,258600,119.790001
"44",119.080002,120.75,118.660004,120.029999,315700,120.029999
"45",120.279999,121.059998,119.550003,120.129997,207600,120.129997
"46",120.230003,120.830002,119.800003,120.169998,177800,120.169998
"47",120.510002,121.339996,119.769997,121.209999,222700,121.209999
"48",120.949997,121.860001,120.389999,121.690002,250900,121.690002
"49",122.220001,122.220001,120.25,120.529999,164200,120.529999
"50",120.769997,123.389999,120.43,122.970001,235000,122.970001
"51",123,123.199997,121.839996,122.910004,138600,122.910004
"52",123.169998,124.68,122.760002,123.970001,412400,123.970001
"53",123.970001,124.410004,122.519997,123.589996,172000,123.589996
