"","ES.Open","ES.High","ES.Low","ES.Close","ES.Volume","ES.Adjusted"
"1",55.25,55.43,54.77,55.080002,1123100,47.879417
"2",55.169998,55.619999,54.950001,55.27,1264600,48.044579
"3",55.490002,55.490002,54.799999,55.279999,1590700,48.053268
"4",54.84,55.48,54.77,55.259998,1224200,48.035885
"5",55.310001,55.509998,54.549999,54.57,1302800,47.436092
"6",54.490002,54.52,54.080002,54.279999,1608800,47.184002
"7",54.400002,55.110001,54.360001,55.060001,1369600,47.86203
"8",54.91,55.41,54.84,55.310001,1353600,48.07935
"9",55.169998,55.419998,54.759998,55.150002,1053400,47.940266
"10",55.459999,55.779999,55.290001,55.720001,1303600,48.435753
"11",55.689999,55.900002,55.419998,55.52,1288700,48.261898
"12",55.25,55.669998,54.98,55.07,1232700,47.870724
"13",55.150002,55.450001,54.720001,55,1373700,47.809872
"14",55.169998,55.369999,54.709999,54.740002,1913900,47.583866
"15",54.700001,54.919998,54.41,54.549999,1220200,47.418705
"16",54.369999,54.77,54.119999,54.299999,1134900,47.201385
"17",54.299999,54.689999,54.119999,54.529999,1541600,47.401318
"18",54.709999,54.740002,54.099998,54.25,1319100,47.157925
"19",54.400002,54.619999,54.119999,54.43,1240500,47.314396
"20",54.419998,55.389999,54.419998,55.32,1572000,48.088036
"21",54.91,55.240002,54.5,54.700001,1298400,47.549099
"22",54.77,55.41,54.549999,55.349998,1099900,48.114117
"23",55.610001,56.139999,55.330002,55.720001,1933100,48.435753
"24",55.91,56,55.529999,55.68,9e+05,48.400978
"25",55.66,55.900002,55.529999,55.779999,784400,48.487907
"26",55.66,56.709999,55.66,56.490002,1341600,49.105087
"27",56.349998,56.619999,56,56.049999,1087700,48.722614
"28",55.889999,56.450001,55.889999,56.419998,700100,49.044247
"29",56.34,56.560001,56.029999,56.490002,1003900,49.105087
"30",56.34,56.439999,55.66,55.950001,1048900,48.635677
"31",55.599998,55.779999,55.200001,55.759998,995600,48.470528
"32",55.740002,56.299999,55.650002,56.290001,1009400,48.931244
"33",56.299999,56.459999,55.869999,56.150002,1529500,48.80954
"34",56.02,56.919998,55.849998,56.84,1333300,49.409328
"35",56.259998,57.669998,56.09,57.599998,1857000,50.069984
"36",57.860001,58.759998,57.799999,58.119999,1902100,50.521999
"37",58.200001,59.110001,58.169998,59.029999,2113200,51.313034
"38",58.98,59.099998,58.669998,58.720001,1333600,51.043556
"39",58.349998,58.75,58.169998,58.66,1927600,51.407249
"40",57.98,58.599998,57.599998,58.189999,1787800,50.995361
"41",58,58.959999,57.900002,58.59,1258900,51.345905
"42",58.48,58.599998,57.900002,58.279999,1674100,51.074226
"43",58.259998,58.48,57.959999,58.349998,1538800,51.135578
"44",58.189999,58.77,58.189999,58.560001,1652800,51.319622
"45",57.93,58.200001,57.419998,57.52,1324200,50.408207
"46",57.68,58,57.279999,57.380001,1025200,50.285511
"47",57.790001,58.119999,57.43,57.709999,1221200,50.574718
"48",57.68,58.169998,57.630001,58.040001,2299300,50.863911
"49",58,58.34,57.720001,58.330002,1630800,51.11805
"50",58.389999,59.450001,58.34,59.130001,2074100,51.819149
"51",58.849998,58.950001,58.400002,58.540001,1047600,51.302086
"52",58.779999,59.41,58.689999,58.93,3335900,51.643864
"53",58.98,59.299999,58.349998,58.48,1318400,51.249504
"54",58.41,59.720001,58.34,59.439999,1782300,52.090813
"55",59.759998,60.209999,59.52,59.709999,1514200,52.327427
"56",59.599998,60.279999,59.529999,59.669998,1245500,52.292377
"57",59.580002,60.16,59.509998,60.009998,1310600,52.590336
"58",60.259998,60.360001,59.290001,59.549999,1370500,52.187214
"59",59.509998,59.73,59.240002,59.490002,1749700,52.134636
"60",59.43,59.43,58.880001,59.07,1453800,51.76656
"61",58.830002,58.939999,58.369999,58.619999,1185900,51.372196
"62",58.560001,59.09,58.560001,58.779999,1670700,51.512413
"63",58.759998,58.919998,58.27,58.889999,1205300,51.608814
"64",58.830002,59.040001,58.560001,58.860001,2147800,51.582527
"65",58.740002,59.48,58.630001,59.41,1729200,52.064522
"66",59.220001,59.57,58.869999,59.540001,1714000,52.17844
"67",59.669998,59.84,59.34,59.400002,1645200,52.055767
"68",59.310001,59.389999,58.919998,59.279999,1036400,51.950596
"69",59.16,59.360001,58.849998,59.209999,1214900,51.889244
"70",59.080002,59.91,58.990002,59.880001,1280400,52.47641
"71",59.709999,59.919998,59.299999,59.619999,1058000,52.248554
"72",59.779999,60.34,59.73,60.290001,1513600,52.83572
"73",60.200001,60.5,59.889999,60.139999,1385700,52.704258
"74",60.119999,60.139999,59.330002,59.639999,1414700,52.266075
"75",59.639999,59.639999,59.029999,59.439999,1125200,52.090813
"76",59.450001,59.970001,59.450001,59.799999,1286800,52.406303
"77",60,60.189999,59.509998,60.029999,1026100,52.607872
"78",59.810001,60.16,59.650002,60,1340300,52.581573
"79",59.950001,60.16,59.709999,59.740002,1105400,52.353722
