"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"1",158.199997,160.759995,155.740005,156.740005,1259100,138.556503
"2",156.899994,158.25,156.440002,157.699997,765900,139.405167
"3",157.259995,157.410004,154.350006,155.380005,952100,137.354279
"4",155.910004,157.119995,155.5,156.559998,932000,138.397369
"5",155.5,156.800003,154.660004,155.960007,695700,137.866974
"6",156.119995,157.460007,155.449997,156.699997,674500,138.521133
"7",156.449997,157.089996,155.309998,157.009995,679700,138.795151
"8",156.389999,156.389999,154.229996,155.350006,827900,137.327728
"9",156.279999,158.75,155.479996,156.070007,934900,137.964188
"10",154.020004,154.289993,152.460007,152.679993,1078400,134.967499
"11",153.539993,154.860001,152.199997,154.639999,1065800,136.700104
"12",155,157.399994,152.619995,155.350006,890000,137.327728
"13",155.740005,157.710007,155.490005,157.029999,632900,138.81282
"14",155.910004,157.139999,155.320007,155.940002,1143800,137.849289
"15",156.770004,160.220001,156.300003,159.589996,832000,141.075851
"16",160.800003,162.880005,160.070007,162.199997,1065600,143.383072
"17",162.380005,163.970001,161.889999,163.630005,894100,144.647202
"18",163.399994,164.529999,163.020004,164.039993,639600,145.009598
"19",163.940002,163.940002,161.389999,163.25,708800,144.311264
"20",162.160004,163.25,161.389999,162.570007,982300,143.710159
"21",163.990005,166.339996,162.619995,162.720001,1136800,143.842728
"22",161.410004,162.949997,160.520004,162.110001,819700,143.303497
"23",163.889999,164.470001,162.720001,163.889999,1272600,144.877014
"24",162.619995,163.979996,161.570007,163.449997,693000,144.488037
"25",164.25,164.25,162.330002,162.5,847400,143.648254
"26",161.669998,163.190002,160.770004,162.800003,845700,143.913452
"27",162.940002,165.169998,162.050003,164.479996,788100,145.398544
"28",165.139999,165.979996,164.410004,165.309998,634000,146.132294
"29",166.100006,168.289993,165.929993,166.800003,959200,147.449448
"30",166.979996,169.080002,166.470001,168.220001,1077600,148.704666
"31",168.949997,170.809998,167.979996,169.130005,950700,149.509079
"32",168.869995,169.160004,166.460007,167.580002,1183000,148.138916
"33",166.479996,168.020004,166.25,167.910004,730800,148.430649
"34",168.25,169.330002,167.389999,167.929993,809400,148.448318
"35",166.880005,168.610001,166.690002,168.029999,928600,148.536743
"36",168.350006,170.089996,167.389999,169.779999,877600,150.083694
"37",168.559998,169.130005,167.429993,168.669998,1257600,149.102493
"38",168.740005,169.160004,167.850006,167.949997,991300,148.466019
"39",167.190002,168.080002,166.100006,166.970001,1042200,147.599701
"40",169.639999,173.720001,169.449997,172.210007,1049600,152.231812
"41",172.009995,172.009995,166.570007,167.119995,877900,148.37851
"42",167.259995,168.350006,167.089996,168.009995,621000,149.168716
"43",166.559998,167.880005,165.009995,166.970001,805000,148.245331
"44",166.789993,167.979996,165.630005,166.729996,614600,148.032211
"45",168.070007,168.490005,166.130005,166.660004,538200,147.970093
"46",167.289993,167.770004,165.940002,166.529999,608400,147.854691
"47",167.630005,167.630005,164.690002,166.190002,913500,147.55278
