"","TTWO.Open","TTWO.High","TTWO.Low","TTWO.Close","TTWO.Volume","TTWO.Adjusted"
"1",49.349998,50.040001,48.580002,49.220001,1074900,49.220001
"2",49.439999,50.290001,49.360001,50.139999,862300,50.139999
"3",50.119999,50.689999,49.360001,49.360001,779300,49.360001
"4",49.400002,50.34,49.32,49.950001,1131100,49.950001
"5",49.869999,50.669998,49.59,50.459999,1180600,50.459999
"6",50.32,51.049999,50.060001,50.810001,632100,50.810001
"7",50.950001,51.810001,50.669998,51.110001,894900,51.110001
"8",50.939999,51.200001,50.310001,50.869999,626600,50.869999
"9",50.619999,51.73,50.509998,51.610001,874600,51.610001
"10",51.540001,51.700001,51,51.400002,773700,51.400002
"11",51.599998,51.849998,51.349998,51.790001,613000,51.790001
"12",51.889999,52.099998,51.599998,51.790001,713000,51.790001
"13",51.82,52.389999,51.57,52.349998,1043900,52.349998
"14",52.209999,52.560001,52.09,52.16,922000,52.16
"15",52.25,53.330002,51.830002,53.18,894600,53.18
"16",53.66,53.959999,53.200001,53.880001,1089500,53.880001
"17",54.02,54.200001,53.650002,53.75,847400,53.75
"18",54.16,54.16,53.209999,53.689999,951900,53.689999
"19",53.509998,53.650002,52.880001,53.490002,736200,53.490002
"20",53.599998,53.889999,53.189999,53.650002,1058000,53.650002
"21",53.66,55.470001,53.349998,54.360001,1754100,54.360001
"22",54.18,54.810001,53.869999,54.799999,1055100,54.799999
"23",55,55.470001,53.799999,53.93,1813700,53.93
"24",53.970001,54.209999,53.52,54.200001,1354900,54.200001
"25",54.560001,54.66,53.349998,53.700001,1904000,53.700001
"26",56.040001,56.709999,53.419998,53.709999,3101500,53.709999
"27",54.060001,56.130001,53.84,56.02,2790400,56.02
"28",56.450001,58.34,56.130001,57.880001,4129900,57.880001
"29",57.82,58.759998,57.380001,58.419998,2324400,58.419998
"30",58.299999,58.57,57.639999,58.259998,1530200,58.259998
"31",58.16,59.560001,57.849998,59.439999,1663600,59.439999
"32",59.709999,60.200001,59.470001,59.970001,1998400,59.970001
"33",60.02,60.16,58.889999,59.689999,4038200,59.689999
"34",59.990002,59.990002,58.810001,58.98,1747000,58.98
"35",58.740002,58.740002,57.959999,58.439999,1922700,58.439999
"36",58.330002,58.380001,57.07,57.849998,1895200,57.849998
"37",57.349998,57.880001,57.189999,57.560001,1070500,57.560001
"38",57.66,58.23,56.790001,57.470001,2042400,57.470001
"39",57.279999,57.73,56.959999,56.98,1062100,56.98
"40",57.16,59.07,57.119999,58.799999,2071700,58.799999
"41",58.709999,58.740002,57.77,57.880001,705900,57.880001
"42",57.869999,58.369999,57.41,58.119999,825200,58.119999
"43",58.119999,59.049999,58,58.73,1144200,58.73
"44",59.119999,59.52,58.82,59.189999,1296700,59.189999
"45",59.349998,59.790001,59.169998,59.310001,1031700,59.310001
"46",59.43,59.779999,58.98,59.16,729100,59.16
"47",59.619999,59.830002,58.950001,59,1672900,59
"48",59.419998,59.959999,59.240002,59.509998,1399100,59.509998
"49",59.139999,59.709999,59.110001,59.25,898200,59.25
"50",59.389999,59.450001,58.23,59.02,1618500,59.02
"51",59.099998,59.299999,58.400002,58.509998,1469000,58.509998
"52",58.459999,58.84,57.990002,58.009998,17634700,58.009998
"53",58.209999,58.470001,57.619999,57.889999,1626600,57.889999
"54",57.950001,58.099998,56.5,56.599998,1681900,56.599998
"55",56.619999,57.599998,56.59,57.580002,1266700,57.580002
"56",57.57,57.959999,57.32,57.720001,724700,57.720001
"57",57.700001,59.02,57.700001,58.119999,1268700,58.119999
"58",57.419998,58.860001,57.330002,58.57,1283200,58.57
"59",58.48,59.080002,58.259998,58.810001,1336900,58.810001
"60",58.599998,59.049999,58.330002,58.790001,1007400,58.790001
"61",58.66,59.049999,58.66,58.900002,1082300,58.900002
"62",58.860001,59.439999,58.16,59.27,2359300,59.27
"63",59.150002,59.73,58.34,58.740002,1375100,58.740002
"64",58.549999,58.73,57.75,57.849998,1314900,57.849998
"65",57.93,58.73,57.759998,57.860001,1178300,57.860001
"66",57.830002,58.380001,57.490002,58.049999,1368800,58.049999
"67",57.82,58.529999,57.549999,58.470001,1010800,58.470001
"68",58.540001,58.830002,58.150002,58.43,1056200,58.43
"69",58.299999,58.599998,57.740002,58.419998,958800,58.419998
"70",58.240002,58.349998,57.779999,57.869999,1000600,57.869999
"71",57.779999,58.189999,57.360001,57.529999,1074300,57.529999
"72",57.549999,58.77,57.549999,58.549999,895100,58.549999
"73",58.43,59.439999,58.189999,59.389999,1331400,59.389999
"74",59.470001,60.73,59.34,60.450001,1934600,60.450001
"75",60.779999,62.150002,60.43,62.029999,1970900,62.029999
"76",62.150002,62.669998,61.950001,62.290001,1900000,62.290001
"77",63.279999,63.279999,62.52,62.549999,1372300,62.549999
"78",63.07,63.25,62.439999,62.630001,1252100,62.630001
"79",62.779999,62.950001,62.310001,62.779999,760400,62.779999
"80",63.119999,63.630001,62.689999,63.150002,1387400,63.150002
"81",63.34,63.700001,62.709999,62.849998,979500,62.849998
