"","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.Adjusted"
"1",71,71.279999,70.190002,70.519997,1744000,64.222771
"2",70.75,71.18,70.32,70.32,1606300,64.040649
"3",70.370003,71.099998,70.290001,70.589996,2464200,64.28653
"4",70.410004,70.800003,70.18,70.190002,1570600,63.922256
"5",70.349998,70.480003,69.669998,69.779999,2262500,63.54887
"6",69.580002,69.980003,69.18,69.489998,2089900,63.284756
"7",69.459999,70.269997,69.349998,70.129997,1731900,63.867607
"8",69.959999,70.110001,69.389999,69.889999,1337800,63.649044
"9",70.110001,70.290001,69.720001,69.790001,1611500,63.557983
"10",69.540001,69.720001,69.379997,69.480003,1795000,63.275658
"11",69.43,69.669998,69.43,69.589996,1422300,63.375824
"12",69.370003,69.690002,69.25,69.57,1162100,63.35762
"13",69.720001,69.830002,69.449997,69.660004,1331300,63.439575
"14",69.690002,69.870003,69.230003,69.339996,1005000,63.14817
"15",69.349998,69.620003,69,69.559998,1090900,63.348503
"16",69.559998,69.980003,69.559998,69.669998,1931800,63.448689
"17",69.690002,69.849998,69.599998,69.730003,1137000,63.503334
"18",69.849998,69.849998,69.540001,69.639999,1134600,63.42136
"19",69.690002,69.690002,69.370003,69.599998,1146200,63.384937
"20",69.709999,69.980003,69.339996,69.5,1374100,63.293869
"21",69.32,69.610001,69,69.18,1719000,63.00246
"22",69.150002,69.699997,69.059998,69.639999,1613200,63.42136
"23",69.779999,69.989998,69.580002,69.650002,1351300,63.430473
"24",69.809998,69.93,69.309998,69.419998,1006200,63.221012
"25",69.480003,70.089996,69.459999,69.900002,1554800,63.658157
"26",69.849998,70.129997,69.75,70.010002,1604200,63.758339
"27",70.010002,70.309998,69.739998,70.25,1512100,63.976898
"28",70.160004,70.830002,70.040001,70.540001,1617300,64.240997
"29",70.589996,70.989998,70.510002,70.839996,1548800,64.514221
"30",70.790001,71.050003,70.720001,70.860001,1230100,64.532425
"31",70.639999,71.440002,70.5,71.349998,1499000,64.978668
"32",69.639999,71.230003,69.550003,71.18,2252600,64.82386
"33",71.169998,72.470001,71.150002,72.449997,2436500,65.980438
"34",72.349998,73.199997,72.209999,72.82,1717000,66.317413
"35",72.849998,73.209999,72.57,73.010002,1319200,66.490448
"36",73.139999,73.300003,72.589996,72.910004,1490200,66.399376
"37",72.980003,73.150002,72.760002,73.150002,1150600,66.617935
"38",73.07,73.449997,73,73.239998,1144200,66.699913
"39",73.209999,73.529999,73.129997,73.32,2115300,66.772743
