"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume","VMC.Adjusted"
"1",126.040001,127.059998,123.480003,124.639999,1015100,118.964951
"2",124.449997,127.970001,124.059998,127.790001,840500,121.971535
"3",127.43,128.649994,126.309998,127.440002,789700,121.637474
"4",126.5,127.110001,123.370003,123.800003,1104300,118.163231
"5",123.580002,123.800003,122.57,122.720001,892400,117.13237
"6",123.029999,123.800003,122.389999,123.610001,687500,117.98185
"7",123.75,123.75,122.5,123.480003,489400,117.857773
"8",123.389999,123.480003,120.790001,122.540001,833100,116.960564
"9",122.720001,124.5,122.690002,124.400002,898300,118.735886
"10",124.370003,124.370003,121.529999,123.660004,750700,118.029579
"11",123.769997,127.620003,122.809998,127.300003,1572200,121.503853
"12",127.529999,128.389999,125.18,126.300003,1315100,120.549377
"13",126.830002,130.320007,126.830002,129.869995,1304200,123.956841
"14",130.059998,130.520004,128.119995,129.529999,1107000,123.632324
"15",130.350006,133.350006,129.710007,132.350006,1146700,126.323936
"16",134.279999,136.240005,134.130005,135.279999,1574200,129.120514
"17",135.940002,136.820007,134.350006,135.25,955100,129.091873
"18",135.880005,136,133.910004,134.360001,507700,128.242371
"19",133.899994,133.899994,129.729996,130.729996,1739200,124.777649
"20",130.770004,131.600006,126.830002,128.330002,1485900,122.486954
"21",128.970001,129.770004,127.489998,128.320007,1247200,122.477402
"22",128.5,130.149994,127.559998,128.009995,1221100,122.181496
"23",128.970001,129.899994,128.110001,128.880005,841800,123.011909
"24",128.729996,129.119995,126.690002,128.080002,1271200,122.248322
"25",120.739998,125,120.599998,121.800003,4259000,116.254257
"26",121.400002,122.980003,118.57,120.290001,2892000,114.813026
"27",120.290001,121.389999,119.779999,120.5,2188500,115.013451
"28",121.480003,124.410004,121.269997,122.599998,2229200,117.017845
"29",124.470001,129.25,122.370003,122.459999,2054000,116.884232
"30",121.989998,122.779999,120.5,122.739998,1606900,117.151474
"31",122.779999,123.970001,122.349998,123.110001,1331600,117.504639
"32",123.209999,123.519997,119.800003,120.400002,1563500,114.917992
"33",120.25,120.57,118.269997,119.330002,1471700,113.896736
"34",119.959999,122.419998,119.800003,121.32,1572400,115.79612
"35",121.300003,122.169998,120,120.139999,1144800,114.906624
"36",120.330002,120.760002,114.800003,116.349998,3562500,111.281738
"37",114.779999,118.419998,114.099998,117.82,1792300,112.687691
"38",117.269997,122.769997,116.82,120.599998,1894100,115.346611
"39",120.970001,121.870003,119.800003,120.610001,1590000,115.356148
"40",123.169998,125.300003,122.540001,124.379997,2631800,118.961922
"41",124.25,124.269997,121,121.32,1597200,116.035225
"42",121.550003,122.339996,120.57,121.470001,1441000,116.178688
"43",120.550003,121.5,119.709999,120.220001,998700,114.983139
"44",120,120.239998,117.660004,118.370003,1313900,113.213737
"45",118.629997,120.330002,118.370003,119.110001,894000,113.921501
"46",118.919998,119.949997,115.480003,116.900002,1837400,111.80777
"47",118.169998,120.260002,116.900002,118.75,1656500,113.577194
"48",118.870003,119.730003,118.18,119.589996,1255700,114.380569
"49",118.559998,119.540001,117.650002,117.940002,803200,112.802452
