"","PVH.Open","PVH.High","PVH.Low","PVH.Close","PVH.Volume","PVH.Adjusted"
"103",105.889999,106.059998,104.349998,105.949997,1278600,105.482956
"104",106.040001,107.57,105.739998,106.209999,983800,105.741821
"105",106.43,106.690002,105.059998,105.959999,672900,105.49292
"106",105.739998,105.980003,104.559998,105.209999,1174200,104.746223
"107",104.519997,105.07,103.480003,103.650002,963100,103.193092
"108",103.529999,103.830002,102.050003,103.18,988500,102.725174
"109",103.18,104.139999,102.889999,103.160004,639000,102.705261
"110",103.300003,105.989998,102.809998,105.589996,751900,105.12455
"111",105.370003,107.209999,105.300003,106.199997,1115000,105.731865
"112",106.269997,106.269997,105.120003,105.610001,752400,105.144463
"113",106.050003,106.580002,105.260002,106.43,694900,105.960869
"114",104.919998,105.919998,104.760002,105.660004,711000,105.194252
"115",105.480003,105.739998,104.68,105.129997,980800,104.66658
"116",105.260002,105.809998,104.339996,105.720001,611600,105.25399
"117",105.599998,105.599998,104.510002,104.889999,769600,104.427635
"118",104.529999,105.260002,104.470001,105.07,826800,104.606842
"119",105.599998,110.120003,105.580002,109.07,1628400,108.589211
"120",108.709999,110.589996,108.059998,110.480003,1386900,109.993004
"121",111.059998,112.800003,111.059998,112.330002,1243600,111.834839
"122",112.440002,112.959999,111.93,112.480003,901600,111.984184
"123",113.050003,115.860001,112.779999,113.370003,1227000,112.870262
"124",113.599998,114.519997,112.739998,113.779999,1086400,113.278458
"125",114.959999,115.419998,114.089996,114.5,995400,113.99527
"126",114.449997,115.169998,114.230003,114.839996,561500,114.333778
"127",114.639999,114.82,112.910004,113.449997,801600,112.949898
"128",113.040001,113.239998,110.589996,110.879997,850000,110.391228
"129",111.339996,112.580002,111.309998,112.169998,431300,111.675537
"130",112,113.129997,111.480003,112,685100,111.506294
"131",111.889999,112.510002,110.760002,111.760002,704400,111.267357
"132",112.269997,112.989998,111.68,111.830002,685700,111.337051
"133",112.279999,113.699997,111.519997,113.290001,1037600,112.790611
"134",113.669998,113.699997,112.059998,112.559998,568100,112.063828
"135",112.949997,114.510002,112.739998,113.610001,545500,113.109192
"136",113.699997,114.120003,112.169998,112.940002,550900,112.442154
"137",113.300003,114.279999,112.779999,114.07,444400,113.567177
"138",114.389999,116.190002,113.800003,115.75,858600,115.239761
"139",115.870003,117.669998,115.379997,116.980003,714100,116.464355
"140",117.239998,117.239998,116.07,116.519997,658100,116.006371
"141",116.760002,119.720001,116.269997,118.730003,765500,118.206642
"142",118.730003,118.900002,117.510002,118.410004,560500,117.888046
"143",118.510002,119.959999,118.199997,119.160004,629400,118.634743
"144",119.279999,120.489998,118.57,119.940002,914300,119.411301
"145",119.940002,119.940002,118.169998,119.290001,696400,118.764168
"146",119.410004,120.139999,118.449997,120.010002,475100,119.480995
"147",119.699997,120.989998,119.419998,119.730003,557300,119.202225
"148",120,121.610001,119.610001,121.269997,654200,120.735435
"149",121.300003,122.75,121.300003,122.099998,760300,121.561768
"150",123.040001,124.949997,122.139999,124.089996,675200,123.543015
"151",125.839996,126.110001,124.089996,124.300003,846000,123.752075
"152",123.580002,124.699997,123.139999,124.110001,610200,123.562927
"153",123.419998,123.790001,121.419998,121.629997,857000,121.093842
"154",121.349998,124.309998,121.089996,123.879997,686300,123.333916
"155",124.639999,125.089996,123.949997,124.370003,580100,123.82177
"156",123.809998,124.860001,121.739998,123.379997,806600,122.836136
"157",123.489998,124.639999,122.989998,124.160004,634700,123.612686
"158",124,124.830002,122.239998,122.300003,1150300,121.760902
"159",121.5,121.510002,119.07,121.050003,1128500,120.516411
"160",120.809998,120.940002,119.220001,120.059998,898800,119.530769
"161",120.389999,121.419998,119.169998,120.32,1097700,119.827545
"162",120.349998,120.919998,118.660004,120.040001,1583200,119.548698
"163",128,130.25,122,126.919998,3806400,126.400528
"164",127.529999,129.279999,124.139999,125.900002,1507700,125.384712
"165",126.110001,126.419998,124.589996,126.230003,1043600,125.713356
"166",125.870003,127.089996,123.779999,126.620003,909800,126.101761
"167",126.529999,127.919998,125.959999,126.040001,735700,125.524139
"168",126.550003,126.830002,125.349998,125.889999,602200,125.374741
"169",126.190002,126.870003,125.279999,126.529999,498700,126.012131
"170",126.879997,128.75,126.550003,128.5,1033300,127.974045
"171",129.520004,130.75,128.619995,129.110001,881000,128.581558
"172",129.539993,130.080002,128.369995,128.690002,975400,128.163284
"173",128.570007,128.570007,127.339996,127.760002,648400,127.237099
"174",128.410004,130.149994,128.110001,129.600006,752100,129.06958
"175",129.880005,130.240005,127.830002,128.089996,645600,127.565742
"176",128.199997,129.130005,126.559998,127.43,765800,126.908447
"177",127.32,127.32,123.779999,126.43,822200,125.912537
"178",127.129997,128.580002,126.589996,128.100006,1186800,127.575714
"179",128.600006,128.639999,127.660004,128.009995,932100,127.486069
"180",128.080002,128.699997,126.5,127.470001,759600,126.948273
"181",127.760002,128.139999,125.970001,126.68,803300,126.161507
"182",126.690002,127.099998,125.690002,125.849998,496600,125.334915
"183",125.970001,126.209999,125.440002,126.07,433000,125.554001
"184",125.599998,126.959999,124.910004,125.120003,611300,124.607903
"185",125.300003,127.360001,125.019997,126.709999,786500,126.191391
"186",126.459999,126.93,124.879997,126.360001,837100,125.842827
"187",126.209999,126.209999,124.190002,125.519997,869800,125.006271
"188",125.660004,126.610001,125.18,126.059998,512200,125.544052
"189",125.919998,127.010002,124.68,127,504300,126.480209
"190",127,127,125.639999,126.269997,1220300,125.753189
"191",126.32,127.919998,126.150002,127.290001,719400,126.76902
"192",127.199997,127.739998,126.010002,127.32,909300,126.798889
"193",127.18,127.559998,126.239998,127.529999,652100,127.008041
"194",127.580002,127.620003,124.43,125.029999,641000,124.518265
"195",125.07,126.32,124.739998,126.040001,643400,125.524139
"196",125.970001,126.459999,124.830002,126.209999,769600,125.693428
"197",125.779999,125.779999,124.129997,124.800003,652700,124.289223
"198",124.849998,127.18,124.089996,124.940002,711300,124.42865
"199",124.889999,125.360001,123.650002,124.669998,775000,124.159744
"200",124.169998,125.339996,123.970001,124.160004,575200,123.651825
"201",124.730003,125.269997,123.989998,124.360001,480700,123.851006
"202",124.160004,126.129997,123.82,125.739998,634400,125.225365
"203",126.339996,128.679993,126.220001,128.309998,980100,127.784836
"204",128.850006,133.240005,128.729996,129.679993,1051100,129.149231
"205",129.229996,130.119995,129.119995,129.619995,607700,129.089462
"206",129.600006,130.199997,128.559998,130,536400,129.467926
"207",130.130005,130.729996,129.020004,129.039993,467900,128.511856
"208",128.539993,128.570007,126.900002,127.050003,692400,126.530006
"209",126.260002,127.5,125.43,127.360001,676100,126.83873
"210",126.919998,127.279999,126.110001,126.809998,536400,126.290985
"211",127.370003,129.919998,126.910004,127.910004,717200,127.38649
"212",129.020004,129.289993,126.510002,127.559998,706200,127.037903
"213",127.239998,128.509995,126.519997,126.879997,721300,126.360695
"214",127.370003,129.389999,127.040001,127.389999,374100,126.868614
"215",127.440002,127.440002,122.309998,122.739998,921300,122.237625
"216",122.449997,124.610001,120.910004,123.57,898300,123.064255
"217",123.220001,126.110001,123,124.870003,776600,124.358925
"218",125.019997,127.620003,125.019997,127.470001,1009400,126.948273
"219",127.230003,127.75,125.839996,127.470001,508300,126.948273
"220",126.730003,127.379997,125.419998,126.830002,491100,126.310905
"221",126.860001,127.43,125.440002,126.879997,798300,126.360695
"222",126.870003,130.259995,125.980003,129.940002,684500,129.408173
"223",130.669998,133.470001,130.410004,133.119995,1301500,132.57515
"224",133.669998,136.399994,133.169998,136.369995,996500,135.811859
"225",136.410004,136.839996,135.369995,136.110001,812300,135.590714
"226",135.899994,136.119995,134.729996,135.270004,915700,134.753906
"227",136.25,136.759995,135.360001,135.470001,249400,134.95314
"228",135.479996,137.100006,134.830002,135.240005,935600,134.72403
"229",135.300003,138.660004,135.300003,137.559998,1021100,137.035156
"230",138.429993,139.509995,136.460007,137.139999,1385700,136.61676
"231",137,138.5,132.520004,134.550003,2410500,134.036652
"232",135.179993,138.110001,133.630005,137.309998,1347300,136.786102
"233",137.820007,138.270004,134.270004,134.279999,1691800,133.767685
"234",134.759995,134.809998,131.770004,133.600006,1512900,133.090286
"235",133.899994,134.139999,132,133.279999,814300,132.771515
"236",133.009995,134.139999,132.600006,133.729996,668500,133.219772
"237",134.190002,135.410004,133.639999,135.399994,554200,134.883408
"238",134.949997,135.720001,133.580002,134.559998,537200,134.0466
"239",134.729996,134.949997,132.610001,132.940002,781100,132.4328
"240",132.75,134.300003,132.600006,132.610001,791400,132.10405
"241",133.389999,133.440002,130.809998,131.690002,981600,131.187576
"242",132.630005,134.580002,132.610001,134.039993,987700,133.52861
"243",134.360001,137.850006,133.869995,136.309998,963400,135.789963
"244",137.050003,137.910004,135.940002,136.600006,1020400,136.078842
"245",137.470001,137.470001,135.419998,135.619995,530300,135.102585
"246",135.690002,136.880005,134.949997,135.610001,673900,135.092621
"247",136.179993,136.320007,134.639999,135.600006,767700,135.082642
"248",135.399994,136.820007,135.399994,136.520004,342100,135.999146
"249",136.929993,137.160004,135.889999,136.669998,407900,136.148575
"250",136.770004,137.130005,135.860001,136.910004,469100,136.387665
"251",137.789993,138.699997,137.089996,137.210007,628000,136.686508
"252",137.589996,139.380005,137.270004,138.970001,638300,138.439789
"253",139.360001,139.759995,137.929993,139.210007,855200,138.678879
"254",139.190002,142.699997,137.800003,141.419998,1033300,140.880432
"255",141.320007,143.699997,140.100006,143.089996,1099800,142.544067
"256",143.100006,143.630005,140.419998,142.740005,821800,142.195419
"257",142.009995,142.809998,140.539993,141.160004,414300,140.621414
"258",140.880005,141.199997,139.149994,140.940002,581500,140.402267
"259",141.050003,142.630005,140.190002,142.580002,490000,142.036026
"260",143,144.830002,142.589996,143.630005,488800,143.082016
"261",144.149994,144.149994,141.080002,141.399994,518900,140.860504
"262",141.949997,143.229996,140.860001,142.490005,510800,141.946365
"263",147.339996,148.289993,143.789993,144.699997,640900,144.147934
"264",145.529999,147.190002,144.979996,147.070007,568700,146.508911
"265",147.059998,148.669998,145.899994,148.350006,589000,147.784027
"266",148.059998,151.360001,147.110001,151.080002,665900,150.503586
"267",151.630005,153.740005,150.740005,151.339996,628800,150.762573
"268",152.389999,155.639999,151.029999,152.710007,926400,152.12735
"269",153.580002,154.050003,150.889999,153.839996,708300,153.253067
"270",152.990005,157.220001,152.990005,155.160004,680900,154.568054
"271",154.850006,157.960007,153.630005,156.25,729600,155.653854
"272",156.369995,157.800003,154.580002,155.080002,716000,154.488327
"273",153,155.660004,152.089996,154.169998,695400,153.581802
"274",153.309998,154.479996,150.470001,151.070007,592800,150.493637
"275",150.490005,152.589996,146.25,146.25,840800,145.692032
"276",143.059998,147.679993,141.059998,146.929993,1385300,146.3694
"277",152.800003,152.800003,149.029999,149.210007,784600,148.640717
"278",148.369995,148.550003,142.580002,142.679993,908700,142.135605
"279",143.669998,145.300003,139.429993,144.089996,986100,143.540253
"280",144.440002,148.289993,144.440002,146.779999,697600,146.219971
"281",146.220001,147.889999,146.070007,146.979996,411900,146.41922
"282",146.160004,151.380005,146.059998,150.660004,1395100,150.085175
"283",150.779999,151.550003,148.039993,151.550003,751600,150.971817
"284",150.199997,150.270004,147.270004,148.550003,659800,147.983246
"285",147.330002,147.75,145.940002,146.679993,581900,146.120377
"286",146.649994,150.880005,146.649994,148.059998,405600,147.495117
"287",148.899994,150.75,148.559998,149.339996,545600,148.770218
"288",149.960007,149.979996,147.699997,148.860001,760000,148.292068
"289",149.429993,150.559998,147.759995,149.559998,542000,148.989395
"290",150.580002,152.130005,147.550003,147.720001,898100,147.193787
"291",148.169998,149.009995,144.169998,144.279999,1021700,143.766068
"292",143.889999,145.009995,141.190002,142.649994,1183400,142.141846
"293",141.869995,143.809998,139.520004,143.619995,947900,143.108398
"294",142.789993,144.149994,141.059998,143.630005,898700,143.118362
"295",143.990005,144.419998,142.559998,143,888700,142.490616
"296",141.880005,143.070007,139.100006,140.490005,1388200,139.989578
"297",141.539993,142.949997,139.800003,140.259995,1024700,139.760345
"298",140.830002,143.179993,140.490005,143.070007,836400,142.560364
"299",143.059998,144.509995,142.600006,143.320007,576400,142.809509
"300",144.410004,144.860001,142.660004,143.339996,509700,142.829391
"301",144.130005,144.550003,142.589996,143.669998,1550300,143.158234
"302",144.360001,144.360001,141.100006,142.380005,600400,141.872833
"303",142.630005,144.960007,142.630005,143.770004,835300,143.257889
"304",143.720001,144.770004,141.25,142.570007,777200,142.062149
"305",142.699997,145.679993,142.089996,144.779999,619300,144.264267
"306",144.679993,145.779999,142.949997,143,638700,142.490616
"307",142.259995,143.259995,141.289993,141.449997,611100,140.946136
"308",142.220001,143.990005,139.729996,139.860001,575800,139.361816
"309",144.179993,146.410004,140.929993,145.25,1044400,144.73259
"310",145,145.720001,142.389999,143.160004,993700,142.650055
"311",144.300003,145.720001,143.190002,144.020004,1846500,143.506989
"312",151.949997,154.740005,150,151.429993,2752900,150.890579
"313",151.630005,153.850006,149.809998,150.919998,1747600,150.382401
"314",151.529999,155.479996,150.979996,155.160004,1524100,154.607315
"315",154,155.880005,153.339996,155.410004,1111000,154.856415
"316",155.869995,160.220001,155.610001,159.509995,1225200,158.941803
"317",158.360001,159.970001,155.259995,156.729996,1240700,156.171707
"318",158,158.850006,155.5,155.589996,930800,155.035782
"319",157,158.630005,155.860001,157.949997,973600,157.38736
"320",156.679993,159.429993,156.679993,158.009995,765700,157.447144
"321",159.360001,162.789993,159,162.25,1079800,161.672058
"322",163.509995,163.580002,157.550003,159.130005,1093700,158.563156
"323",160.479996,161.699997,159.389999,160.429993,1303400,159.858551
"324",161.160004,161.970001,160,161.270004,1708800,160.695557
"325",162.190002,163.779999,160.610001,161.009995,931500,160.436462
"326",160.839996,161.649994,159.660004,160.360001,630600,159.788773
"327",159.919998,160.600006,158.820007,159.479996,843300,158.911911
"328",160.089996,161.960007,159.740005,160.259995,659200,159.689133
"329",161.229996,161.979996,159.320007,159.830002,743500,159.260696
"330",159.589996,161.080002,158.289993,158.770004,634700,158.204437
"331",158.509995,160.910004,157.380005,160.589996,526300,160.01796
"332",160.610001,162.339996,159.979996,160.509995,601200,159.938248
"333",160.929993,161.440002,159.669998,159.669998,618700,159.101242
"334",158.75,159.559998,155,155.360001,973200,154.80661
"335",154.360001,154.979996,150.880005,152.259995,1476300,151.717636
"336",151.100006,152.580002,150.25,151.460007,1084300,150.920502
"337",151.309998,152.830002,149.149994,152.270004,1027200,151.727615
"338",152.169998,152.570007,149.759995,151.520004,837500,150.98027
"339",151.660004,152.610001,150.699997,151.710007,850400,151.169601
"340",151.710007,153.339996,151.369995,153.059998,750100,152.514786
"341",153.449997,153.979996,151.949997,153,722000,152.455017
"342",153.25,153.899994,152.460007,153.190002,492400,152.644333
"343",153.520004,155.279999,152.919998,154.320007,760600,153.770325
"344",153.910004,156.110001,153.050003,154.610001,605300,154.05928
"345",155,156.630005,154.039993,155.210007,759500,154.69516
"346",154.639999,158.25,154.020004,156.240005,1037800,155.721725
"347",155.490005,155.889999,153.960007,155.110001,607000,154.595474
"348",155.529999,156.460007,154.309998,154.539993,718200,154.027344
"349",155.399994,155.880005,153.929993,154.619995,970000,154.107101
"350",154.380005,158.919998,154.229996,158.039993,1017400,157.515747
"351",157.600006,159.059998,156.860001,158.539993,592700,158.014084
"352",157.960007,158.869995,157.25,157.820007,565900,157.296509
"353",156.649994,157.399994,154.770004,155.110001,1276500,154.595474
"354",156,157.009995,155.369995,155.5,2218100,154.984177
"355",155.75,160.460007,155.039993,160,2821700,159.469254
"356",162,162.490005,157.720001,158.960007,1283700,158.432709
"357",159.100006,159.830002,157.259995,159.830002,911300,159.29985
"358",159.850006,161.190002,158.800003,160.960007,947400,160.426086
"359",161.539993,164.5,160.699997,164.399994,1124400,163.854675
"360",165,167.699997,164.600006,165.110001,969700,164.562317
"361",165,168.270004,164.259995,168.160004,837200,167.602203
"362",168.520004,169.220001,166.380005,166.5,562200,165.947678
"363",166.449997,167.410004,165.559998,166.210007,677500,165.658661
"364",165.929993,166.410004,162,162.300003,878100,161.761642
"365",162.440002,162.440002,159.979996,160.240005,1107200,159.70845
"366",159.729996,161.600006,159.570007,161.410004,987900,160.874603
"367",160.610001,164.009995,160.460007,163.610001,758400,163.067276
"368",161.679993,162.460007,159.5,160.389999,985500,159.857971
"369",160.449997,160.740005,156.639999,157.350006,931100,156.828064
"370",157.139999,157.509995,154.020004,154.399994,1089800,153.887833
"371",155.229996,155.240005,152.029999,152.080002,1493300,151.575516
"372",150.699997,150.979996,148.800003,149.75,1244400,149.253265
"373",151.5,155,151.479996,153.830002,1597300,153.319717
"374",153.410004,155.660004,150.869995,151.699997,1049100,151.196777
"375",150.630005,151.979996,149.330002,151.369995,878900,150.867874
"376",152.229996,154.759995,149.639999,149.720001,960700,149.223358
"377",148.289993,148.669998,146.729996,148.529999,828300,148.037308
"378",148.529999,148.949997,145.639999,145.869995,511400,145.386124
"379",146.910004,147.320007,144.470001,145.820007,1009100,145.336288
"380",145.649994,147.660004,145.539993,146.419998,618700,145.934296
"381",146.490005,150.110001,146.490005,149.660004,1199800,149.163574
"382",149.919998,151.479996,149,151.309998,996100,150.808075
"383",149.800003,149.990005,147.070007,147.619995,1097800,147.130325
"384",148.429993,148.960007,147.860001,148.210007,717000,147.718369
"385",148.119995,149.860001,147.429993,148.270004,471700,147.778168
"386",148.490005,149.440002,147.899994,148,927300,147.509064
"387",148.25,152.320007,148.25,151.490005,1281300,150.987488
"388",150.789993,152.119995,150.339996,151.779999,846000,151.276535
"389",151.830002,154.240005,151.440002,153.550003,734600,153.040665
"390",154,156.399994,153.539993,154.470001,977700,153.957596
"391",155.369995,156.580002,154.229996,155.369995,1065600,154.854614
"392",155.279999,156.369995,153.520004,153.979996,1028800,153.469208
"393",153.550003,157.039993,153.550003,156.990005,709300,156.469254
"394",157.369995,159.839996,156.220001,157.5,973000,156.977539
"395",157.600006,158.029999,153.179993,154.080002,518300,153.568893
"396",153.529999,154.169998,152.360001,153.300003,724400,152.791473
"397",155,155.850006,151.720001,153.520004,839800,153.010773
"398",152.910004,154.410004,150.009995,150.169998,668500,149.67186
"399",149.160004,150.860001,147.419998,150.789993,730400,150.289825
"400",150.710007,151.690002,150.25,150.850006,479000,150.349625
"401",150.470001,152.669998,149.339996,152.050003,657300,151.545639
"402",152.729996,154.169998,152.089996,153.729996,635700,153.220078
"403",154.179993,154.979996,153.539993,154.110001,489500,153.598785
"404",154.130005,157.630005,153.289993,156.179993,652800,155.661896
"405",154.949997,155.979996,153.259995,153.740005,789800,153.229996
"406",154.490005,154.5,152.5,153.240005,433000,152.731674
"407",152.919998,154.210007,151.869995,154.020004,726800,153.509079
"408",153.380005,153.380005,147.539993,148.539993,724300,148.047272
"409",149.020004,149.759995,147.710007,148.25,610800,147.758224
"410",148.589996,150.089996,147.889999,149.190002,816800,148.695114
"411",150.279999,151.770004,149.860001,151.559998,846400,151.057251
"412",152.220001,153.990005,151.690002,152.550003,1132300,152.043961
"413",152.130005,156.339996,152.130005,154.690002,1137600,154.176865
"414",154.419998,156.089996,153.539993,153.979996,873400,153.469208
"415",153.880005,154.839996,151.610001,154.529999,919300,154.017426
"416",155.619995,156.589996,153.690002,154.660004,897300,154.146973
"417",155.339996,157.199997,153.690002,155.940002,1026500,155.460922
"418",155.279999,157.110001,153.059998,156.669998,1989300,156.18869
"419",156,156.470001,141,141.669998,5233600,141.234741
"420",142.289993,144.309998,140.25,143.160004,2709000,142.720215
"421",142.350006,143.080002,136.300003,136.429993,2526600,136.010849
"422",136.279999,137.279999,134.789993,136.940002,2004700,136.519272
"423",137.729996,140.460007,136.220001,136.399994,1908300,135.980957
"424",135.539993,136.070007,131.600006,132.550003,2113400,132.142776
"425",132.830002,136.820007,132.779999,136.559998,1599000,136.140457
"426",136.350006,138.429993,135.339996,138.320007,1617400,137.895065
"427",138.210007,139.850006,137.619995,139.589996,1109200,139.161133
"428",140.160004,141.550003,139.240005,139.679993,905600,139.250854
"429",139.990005,140.839996,138,139.539993,1093700,139.111282
"430",139.110001,139.699997,138.029999,138.610001,950200,138.184143
"431",138.690002,139.589996,137.229996,137.800003,1069100,137.376663
"432",138.529999,139.119995,137.020004,139.050003,1040000,138.622803
"433",141.210007,142.919998,140.229996,142.570007,1350800,142.131989
"434",143.690002,143.690002,141.070007,141.619995,1465100,141.184921
"435",140.979996,141.699997,139.710007,140.5,1373400,140.068359
"436",140.440002,140.460007,138.899994,140.039993,885900,139.609772
"437",140.789993,144.309998,139.669998,142.690002,1002400,142.251648
"438",142.729996,144.729996,142.309998,144.050003,966900,143.607483
"439",143.389999,144.729996,143.119995,144.399994,972700,143.95636
"440",144.5,145.25,141.300003,141.320007,854200,140.885834
"441",141.160004,141.720001,137.080002,137.130005,1143100,136.70871
"442",137.580002,139.899994,137.009995,138.710007,902300,138.283875
"443",138.089996,138.619995,133.5,134.149994,1288800,133.737839
"444",134.589996,135.029999,130.899994,132.899994,1610900,132.491699
"445",132.350006,134.860001,131.759995,134.429993,992700,134.016983
"446",133.779999,136.300003,132.910004,134.619995,995400,134.206421
"447",133.809998,133.809998,124.580002,124.75,1865800,124.366737
"448",124.5,127.809998,123.260002,124.300003,1321700,123.918129
"449",126.690002,127.599998,124.860001,126.050003,947600,125.66275
"450",125.489998,127.75,125.199997,126.589996,633300,126.201088
"451",127.620003,130.020004,126.160004,129.720001,691300,129.321472
"452",129.679993,130.919998,127.529999,127.959999,770700,127.566887
