"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume","PRU.Adjusted"
"1",105.230003,106.099998,103.57,104.860001,2128300,85.312103
"2",105.32,106.519997,105.160004,106.139999,2071700,86.3535
"3",105.519997,106.160004,103.449997,104.550003,1720400,85.059906
"4",105.18,105.970001,104.75,105.150002,1983700,85.548058
"5",104.470001,105.5,103.93,104.739998,1857700,85.2145
"6",105,106.589996,104.889999,105.57,1491500,85.889755
"7",105.720001,107.089996,105.309998,106.489998,1990700,86.638252
"8",105.620003,105.910004,103.050003,104.220001,2302600,84.79142
"9",105.129997,106.459999,104.540001,105.230003,1380300,85.613144
"10",103.989998,104.980003,103.529999,103.919998,2760400,84.547348
"11",104.739998,105.650002,103.639999,105.589996,2525000,85.906029
"12",105.980003,106.029999,103.889999,104.760002,2078300,85.230766
"13",105.269997,106.050003,104.889999,105.589996,1673100,85.906029
"14",105.099998,105.510002,104.099998,104.489998,1292100,85.011101
"15",105.07,106.440002,105.040001,105.690002,1294900,85.987404
"16",106.690002,107.5,106.339996,107.360001,2176300,87.346069
"17",107.330002,108.059998,106.849998,107.339996,2105100,87.329796
"18",106.800003,107.160004,106.260002,106.589996,995400,86.719612
"19",106.07,106.199997,104.010002,105.57,2425700,85.889755
"20",105.459999,106.279999,104.160004,105.110001,1573600,85.515533
"21",106.129997,107.059998,104.599998,105.559998,1579500,85.881607
"22",104.43,105.629997,103.410004,104.43,1552800,84.96228
"23",106.169998,106.879997,105.339996,106.330002,2060400,86.508087
"24",105.419998,106.650002,105.349998,106.110001,1191400,86.329086
"25",106.75,106.989998,105.730003,106.589996,1599200,86.719612
"26",105.889999,105.900002,104.449997,105.220001,2305800,85.605011
"27",105.220001,108.949997,105.220001,108.389999,2421100,88.184059
"28",108.589996,109.150002,108.080002,108.75,2707800,88.476944
"29",108.830002,110.580002,108.769997,109.800003,2189300,89.331215
"30",109.290001,110.989998,109.290001,110.449997,2724700,89.860039
"31",110.769997,111.980003,109.889999,111.790001,2652200,90.950233
"32",111.400002,112.279999,111.18,112.110001,2302000,91.210594
"33",110.279999,111.110001,109.910004,111.110001,2518700,91.005829
"34",111.970001,112.389999,111.040001,111.220001,1905700,91.095917
"35",110.220001,110.980003,110.050003,110.5,2184800,90.50618
"36",110.730003,110.989998,110.120003,110.860001,1552400,90.801056
"37",109.639999,110,108.900002,109.959999,1388900,90.063896
"38",110.059998,111.059998,110.059998,110.949997,1398900,90.874756
"39",110.139999,110.779999,109.75,110.540001,1721700,90.538956
"40",112.720001,114.550003,112.610001,113.82,2602300,93.225471
"41",113.889999,113.989998,111.650002,111.800003,2024000,91.570969
"42",112.110001,113.120003,111.800003,112.559998,1431900,92.193451
"43",111.5,112.169998,111.260002,111.769997,1770000,91.546394
"44",111.559998,111.75,110.93,111.239998,1890300,91.112289
"45",112.349998,112.699997,110.959999,111.089996,1748800,90.989426
"46",111.459999,111.720001,110.540001,110.989998,1486900,90.907532
"47",111.449997,111.82,110.190002,111.059998,1872700,90.964859
"48",111.190002,111.860001,110.940002,111.610001,1245000,91.415344
"49",111.239998,111.239998,110.25,111.07,1285900,90.973053
"50",111.339996,112.029999,110.879997,111.389999,2223000,91.235153
"51",111.599998,112.269997,111.019997,111.620003,1878700,91.423546
"52",111.5,111.620003,109.849998,109.919998,2539600,90.03112
"53",109.639999,109.730003,109,109.120003,1797500,89.375885
"54",109.980003,110,105.550003,105.839996,2713100,86.689369
"55",105.25,106.150002,103.449997,105.419998,1693600,86.34536
"56",105.449997,107.029999,104.980003,105.5,1910100,86.410889
"57",106.010002,106.849998,104.82,105.440002,1725000,86.36174
"58",102.639999,104.790001,102.010002,104.5,2626100,85.591835
"59",104.129997,106.349998,104.029999,105.800003,3699800,86.656609
"60",105.480003,105.970001,104.699997,105.160004,2085400,86.132423
"61",105.300003,107.540001,105.25,107.300003,1995400,87.885208
"62",106.720001,107.5,106.610001,106.68,1890100,87.377388
"63",106.879997,107.300003,104.699997,106.440002,1854000,87.180786
"64",105.839996,106.730003,105.839996,106.190002,1650400,86.976051
"65",107.300003,107.669998,105.300003,105.480003,1709400,86.394508
"66",105.400002,106.650002,104.839996,106.290001,2403500,87.057961
"67",105.300003,106.489998,104.709999,105.860001,1943800,86.705765
"68",105.879997,106.669998,105.239998,105.730003,1108800,86.599266
"69",105.059998,105.790001,104.349998,105.400002,2134000,86.328987
"70",105.709999,105.709999,103.57,103.839996,1779700,85.051247
"71",103.139999,104.440002,102.620003,102.919998,1509200,84.297707
"72",103,104.480003,102.699997,104.300003,1429200,85.428024
"73",103.449997,104.580002,103.139999,103.57,2306800,84.830109
"74",104.830002,105.099998,103.860001,104.169998,1855100,85.321533
"75",105,106.25,104.449997,105.839996,1963800,86.689369
"76",105.629997,106.480003,105.510002,105.650002,2135000,86.533737
"77",108.25,108.839996,107.690002,107.870003,1689200,88.352058
"78",108.900002,109.339996,107.849998,107.889999,2666600,88.368431
"79",107.989998,108.5,107.129997,107.199997,1811300,87.803307
"80",107.510002,107.510002,106.209999,107.080002,1478500,87.704994
"81",107.120003,107.68,106.910004,107.029999,1395000,87.664047
"82",107.639999,107.790001,106.919998,107.459999,1413500,88.016251
"83",107.510002,107.709999,107,107.559998,1512400,88.098137
"84",107.059998,108.779999,107,108.480003,2082500,88.8517
"85",110,111.57,108.839996,109.129997,2464200,89.384064
"86",109.599998,109.809998,108.360001,108.730003,1680000,89.05645
"87",108.459999,108.610001,107.790001,108.260002,2122700,88.671501
"88",108.489998,108.739998,107.620003,107.879997,1456200,88.360245
"89",107.519997,108.709999,107.010002,108.459999,1575000,88.835304
"90",108.040001,108.480003,106.550003,107.790001,1720100,88.286545
"91",107.089996,107.389999,105.830002,106.209999,2247300,86.992424
"92",106.660004,107.639999,106.209999,107.440002,1884500,87.999855
"93",107.5,107.889999,107.080002,107.800003,1557900,88.294731
"94",107.800003,107.800003,103.089996,103.419998,2040100,84.707245
"95",103.419998,104.290001,102.75,103.449997,3823300,84.731819
"96",103.349998,104.610001,103.080002,103.989998,2447700,85.79612
"97",104.379997,104.650002,103.5,104.269997,1222200,86.02713
"98",104.260002,105.489998,104.120003,105.150002,1526200,86.753174
"99",105.589996,105.589996,104.540001,104.959999,1418700,86.59642
"100",105.309998,106.199997,105.059998,106.019997,1008900,87.470955
"101",105.610001,106.010002,104.919998,105.07,1668000,86.687172
"102",104.620003,105,104.279999,104.860001,1069000,86.513901
"103",105,105.019997,103.400002,104.849998,1890800,86.505653
