"","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"1",62.290001,62.330002,61.529999,62.130001,2400000,48.951077
"2",62.169998,62.720001,62.150002,62.610001,2172900,49.329262
"3",62.369999,63.470001,61.779999,63.169998,2516700,49.77047
"4",63.060001,63.369999,62.82,63.049999,1934300,49.675934
"5",63.240002,63.700001,62.799999,63.450001,1533400,49.991077
"6",62.779999,62.779999,60.810001,61.16,2859900,48.186829
"7",61.32,62.060001,60.889999,61.419998,1879400,48.391678
"8",61.32,61.650002,60.5,61.48,1691600,48.438961
"9",61.360001,61.689999,61.130001,61.599998,1391500,48.533504
"10",61.889999,62.57,61.52,62.029999,1500600,48.872288
"11",62.07,62.720001,62.049999,62.220001,1747900,49.021992
"12",61.91,62,61.029999,61.299999,1310200,48.297134
"13",61.389999,62.110001,61.240002,61.900002,1415500,48.769859
"14",61.91,62.240002,61.610001,61.93,1856000,48.793499
"15",61.93,62.48,61.689999,61.990002,1765300,48.840778
"16",61.869999,62.389999,61.110001,61.27,1183400,48.273499
"17",61.290001,61.630001,60.91,60.970001,1023400,48.037132
"18",61.25,61.540001,60.810001,61.080002,1371200,48.123814
"19",61.18,61.669998,60.560001,61.43,1536200,48.399563
"20",61.470001,62.380001,61.439999,61.669998,2535200,48.588646
"21",61.610001,61.98,60.599998,60.639999,1316400,47.777134
"22",60.650002,61.939999,60.599998,61.720001,1682000,48.628048
"23",62.220001,62.41,61.419998,61.650002,2007600,48.572891
"24",61.639999,62.049999,61.34,61.990002,1094000,48.840778
"25",61.990002,62.27,61.650002,61.810001,1552600,48.698956
"26",62.060001,62.450001,61.810001,62.25,1343400,49.045628
"27",62.25,62.43,61.5,61.799999,2206900,48.691082
"28",61.799999,62.049999,61.040001,61.77,2049900,48.667442
"29",61.860001,62.900002,61.66,62.799999,1700900,49.478962
"30",62.799999,62.799999,61.5,61.639999,1668800,48.565022
"31",61.41,61.869999,60.799999,61.68,1263500,48.596531
"32",61.970001,63,61.830002,62.57,1721800,49.297745
"33",62.700001,62.779999,61.610001,62.16,2153100,48.974724
"34",62.25,62.990002,61.790001,62.799999,1925900,49.478962
"35",63.009998,63.799999,62.48,62.720001,1975000,49.415932
"36",63.169998,63.689999,62.990002,63.5,2186100,50.030476
"37",63.57,65,63.110001,64.980003,2316500,51.196541
"38",65.019997,65.889999,64.949997,65.410004,1748100,51.535328
"39",65.410004,65.68,64.940002,65.050003,2108900,51.251694
"40",64.620003,64.900002,63.900002,64.209999,2111500,50.589874
"41",64.209999,64.940002,63.540001,64.900002,2746700,51.133511
"42",63.799999,63.799999,62.790001,63.66,1570700,50.762714
"43",63.360001,63.490002,62.610001,62.709999,1825400,50.005184
"44",62.669998,62.799999,62.23,62.669998,1745500,49.973286
"45",62.349998,62.5,61.029999,61.110001,1654100,48.729332
"46",61.169998,61.360001,59.869999,60.07,2694200,47.90004
"47",60.07,60.990002,59.880001,60.5,1937200,48.24292
"48",60.630001,60.93,59.43,59.73,2374500,47.628918
"49",59.630001,59.77,59.049999,59.360001,2174000,47.333878
"50",59.029999,60.549999,58.959999,60.200001,2884900,48.003704
"51",60.130001,60.66,59.950001,60.459999,1337900,48.211021
"52",60.490002,61.209999,60.200001,60.509998,2448000,48.250893
"53",60.68,61.189999,60.450001,60.529999,1271700,48.266846
"54",60.689999,61.049999,60.439999,60.77,2513400,48.458229
"55",61.060001,62.68,61.009998,62.450001,3785700,49.797852
"56",62.349998,63.669998,62.25,63.209999,3484100,50.403877
