"","HAS.Open","HAS.High","HAS.Low","HAS.Close","HAS.Volume","HAS.Adjusted"
"1",78.110001,79.849998,78.110001,79.800003,1750000,69.5728
"2",79.650002,81.550003,79.650002,80.940002,1881600,70.566689
"3",80.650002,84.190002,79.309998,83.709999,3326700,72.981705
"4",83.550003,83.889999,81.830002,82.870003,2195200,72.249367
"5",82.989998,83.400002,82.169998,82.599998,1331300,72.013954
"6",82.82,83.199997,82.5,82.860001,982700,72.240646
"7",82.550003,82.980003,81.75,82.480003,1339000,71.909317
"8",82.260002,83.919998,81.309998,83.449997,1320800,72.755013
"9",83.650002,83.940002,83.269997,83.860001,1155100,73.112488
"10",83.699997,85.220001,83.559998,85.169998,1653900,74.25457
"11",85.32,85.349998,84.120003,84.550003,1828100,73.714058
"12",84.910004,85.269997,83.589996,83.769997,919000,73.033997
"13",84.050003,84.709999,83.629997,83.989998,950500,73.225815
"14",84.129997,84.599998,83.620003,83.919998,969300,73.16478
"15",84.050003,85.650002,84.050003,85.449997,1131500,74.498688
"16",86.110001,87.110001,86,86.760002,1468100,75.640808
"17",81.120003,82.099998,80.220001,81.510002,4222800,71.063652
"18",81.419998,82.629997,81.389999,82.589996,1649500,72.005241
"19",82,83.480003,81.57,83.370003,1336100,73.136909
"20",82.940002,83.169998,82.010002,82.510002,1828300,72.382454
"21",82.480003,82.589996,81.800003,82.129997,1265000,72.049103
"22",82.07,82.57,81.540001,82.440002,963800,72.321045
"23",82.790001,83.230003,82.220001,82.629997,1856400,72.487732
"24",94.110001,96.339996,93.300003,94.309998,12332700,82.7341
"25",94.279999,97.57,93.260002,94.980003,6446000,83.321861
"26",95.160004,96.730003,95,96.620003,2509500,84.760567
"27",96.519997,98.260002,96.43,97.739998,1775400,85.743073
"28",97.730003,98,97.040001,97.629997,1378500,85.646576
"29",98.260002,98.760002,97.989998,98.129997,1766000,86.085205
"30",98.360001,98.589996,97.540001,97.800003,1978700,85.795723
"31",97.449997,98.059998,97.370003,97.839996,1010600,85.830811
"32",97.900002,98.199997,97.290001,97.639999,894700,85.655365
"33",97.5,98.639999,96.82,98.5,1562500,86.409782
"34",98.989998,99.330002,98.269997,98.879997,1563600,86.743156
"35",98.82,98.959999,98.309998,98.82,1134500,86.690536
"36",98.599998,98.980003,96.93,97.050003,1038000,85.137772
"37",96.870003,97.790001,96.5,97.779999,1110300,85.77816
"38",97.389999,97.620003,96.660004,97.529999,1082800,85.558838
"39",97.519997,97.949997,96.800003,96.870003,1309700,84.979874
"40",97.129997,98.589996,96.879997,97.93,1502200,85.90976
"41",97.879997,98.610001,97.290001,97.529999,1055900,85.558838
"42",97.480003,97.900002,97.040001,97.75,1027900,85.751854
"43",97.510002,97.82,97.010002,97.040001,867300,85.128998
"44",96.790001,97.769997,96.790001,97.199997,1022300,85.269356
"45",97.230003,97.730003,96.919998,97.379997,836000,85.427277
"46",97.68,97.870003,97,97.349998,1001100,85.400948
"47",97.879997,97.879997,97.230003,97.470001,949800,85.506218
"48",97.410004,97.900002,97.269997,97.690002,913500,85.699219
"49",97.879997,98.730003,97.489998,98.18,943500,86.129082
"50",98.32,99.830002,97.93,99.510002,1267100,87.295822
"51",99.660004,100.139999,99.010002,99.239998,953700,87.058968
"52",98.989998,100.550003,98.690002,100.25,1341200,87.944992
"53",100.220001,101.080002,99.529999,100.550003,1355300,88.208168
"54",100.720001,101,98.720001,98.760002,818600,86.637886
"55",98.650002,99.169998,98.029999,98.779999,1492600,86.655418
"56",99.150002,100.230003,99,99.93,998200,87.664261
"57",100.010002,100.459999,99.720001,99.970001,887400,87.699356
"58",99.279999,99.699997,98.75,99.050003,1171500,86.892288
"59",99.059998,99.989998,98.279999,99.400002,925200,87.199318
"60",99.050003,99.690002,98.839996,99.650002,819200,87.41864
"61",99.360001,99.709999,99.099998,99.580002,665000,87.357231
"62",99.599998,100.540001,99.440002,99.82,840400,87.567795
"63",99.900002,100.349998,99.230003,99.589996,1323200,87.366013
"64",99.230003,99.809998,97.610001,97.849998,865400,85.839584
"65",98.010002,98.209999,96.330002,96.559998,2023000,84.707909
"66",96.489998,96.879997,96.040001,96.43,1598200,84.593857
"67",96.690002,96.769997,95.540001,95.75,971100,83.997345
"68",95.870003,96.139999,94.760002,95.779999,805200,84.023651
"69",95.43,96.330002,94.870003,96.290001,848400,84.471062
"70",96.209999,96.989998,95.650002,96.459999,946300,84.620209
"71",96.110001,96.529999,95.459999,95.5,916000,83.778008
"72",95.739998,96.190002,95.07,95.830002,709400,84.067513
"73",95.760002,96.190002,95.410004,95.690002,673700,83.944695
"74",96.160004,96.510002,94.980003,95.510002,982600,83.786804
"75",96.019997,96.559998,95.519997,96.010002,1018400,84.225426
"76",94.839996,96.519997,94.790001,96.029999,1997700,84.242981
"77",102.279999,104.139999,99.68,101.699997,5715000,89.217018
"78",101.169998,102.800003,100.93,101.57,1713300,89.102959
"79",101.370003,101.989998,100.900002,101.040001,1129600,88.638031
"80",100.809998,101.040001,99.730003,100.519997,1284600,88.682144
"81",100.300003,100.360001,98.5,99.110001,1474900,87.438202
"82",99.480003,99.480003,98.010002,98.779999,1316500,87.147049
"83",99.400002,100.029999,98.989998,99.669998,977300,87.932259
"84",99.650002,99.919998,98.669998,99.080002,826500,87.411736
"85",99.300003,99.709999,98.910004,99.370003,786800,87.66758
"86",99.599998,100.220001,99.120003,100.199997,488500,88.399818
"87",100.449997,100.769997,99.650002,99.75,430500,88.002815
"88",99.599998,101.199997,99.43,101.190002,1093600,89.273239
"89",101.120003,101.860001,100.720001,101.82,1090500,89.829041
"90",101.269997,101.519997,100.449997,101.379997,588700,89.440872
"91",101.059998,101.550003,100.849998,101.370003,472700,89.432014
"92",101.230003,101.82,100.879997,101.290001,502700,89.361458
"93",101.129997,101.209999,100.599998,101.019997,650700,89.123253
"94",100.550003,101.080002,99.410004,99.470001,713100,87.755783
"95",99.349998,99.830002,98.620003,99.529999,669000,87.808731
"96",99.57,101.580002,98.269997,101.050003,748600,89.149727
"97",100.68,102.080002,100.5,101.260002,782700,89.334984
"98",101.650002,101.730003,100.510002,100.980003,608400,89.087967
"99",101.730003,104.110001,101.540001,103.959999,1171400,91.717026
"100",104.379997,104.82,103.980003,104.169998,954100,91.902298
"101",104.389999,104.790001,103.720001,104.209999,637300,91.937584
