"","WFC.Open","WFC.High","WFC.Low","WFC.Close","WFC.Volume","WFC.Adjusted"
"1",55.669998,56.349998,55.459999,56,22063800,48.244331
"2",56.16,56.310001,55.610001,56.049999,15036100,48.287411
"3",55.490002,55.82,54.48,55.18,18831600,47.537907
"4",55.259998,55.57,54.700001,55.040001,18715900,47.417297
"5",54.68,54.810001,54.18,54.240002,21794100,46.728092
"6",54.349998,55.18,54.259998,54.619999,17978200,47.055454
"7",54.599998,54.799999,53.720001,54.799999,21100600,47.210526
"8",54.650002,54.779999,53.900002,54.5,20566600,46.95208
"9",55.110001,56.200001,54.650002,55.310001,37231600,47.649902
"10",54.799999,54.959999,53.580002,53.779999,26974400,46.331795
"11",53.779999,54.290001,53.34,54.27,21186700,46.753929
"12",54.240002,54.77,53.860001,54.580002,20906900,47.021
"13",54.75,55.110001,54.619999,55.07,24160800,47.443138
"14",54.709999,55,54.150002,54.25,17227400,46.736698
"15",54.360001,55.07,54.130001,54.700001,18523300,47.124382
"16",55.380001,56.830002,55.279999,56.619999,32252100,48.778473
"17",56.610001,57.330002,56.59,57.18,23769800,49.260914
"18",57.029999,57.110001,56.41,56.59,17186200,48.752628
"19",56.119999,56.32,55.75,56.080002,15961400,48.313259
"20",55.98,56.380001,55.799999,56.330002,22409100,48.528645
"21",56.540001,57.07,55.77,55.91,21157700,48.493935
"22",55.57,55.959999,55.400002,55.75,13044400,48.355167
"23",56.880001,57.290001,56.43,57.27,19879800,49.673546
"24",57.080002,57.41,56.490002,56.549999,13940200,49.049042
"25",56.860001,57.189999,56.27,56.34,14937400,48.866898
"26",56.209999,56.209999,55.169998,55.630001,18592200,48.25108
"27",55.630001,56.77,55.630001,56.73,15907800,49.205162
"28",57.02,57.040001,56.66,56.860001,12268100,49.317928
"29",57.07,57.509998,56.889999,57.080002,15325300,49.508747
"30",57.130001,58,56.990002,57.98,16382900,50.289368
"31",58.099998,59.009998,57.889999,58.549999,25350400,50.783768
"32",58.360001,58.360001,57.509998,58.119999,14694500,50.410801
"33",57.580002,58.099998,57.450001,58.09,15783200,50.384773
"34",58.25,58.630001,57.900002,58.25,16916800,50.523556
"35",58,58.59,58,58.360001,12344200,50.618961
"36",58.43,58.59,58.060001,58.490002,13841400,50.731731
"37",57.700001,57.91,57.32,57.810001,16379100,50.141918
"38",57.810001,58.25,57.709999,58.060001,10101000,50.358757
"39",57.990002,58.32,57.73,57.880001,15558900,50.202641
"40",59.110001,59.990002,59.09,59.73,25912700,51.807247
"41",59.779999,59.790001,58.57,58.709999,17578600,50.922543
"42",58.849998,59.240002,58.669998,58.889999,14740000,51.078659
"43",58.540001,58.880001,58.18,58.610001,13225500,50.835808
"44",58.43,58.52,58.02,58.299999,13099900,50.566921
"45",58.950001,59.130001,58.169998,58.209999,14711300,50.488857
"46",58.450001,58.869999,58.200001,58.700001,15721500,50.913864
"47",58.98,59.18,58.52,58.849998,15120200,51.043964
"48",58.830002,59.029999,58.52,58.700001,14063500,50.913864
"49",58.490002,58.810001,58.25,58.759998,10885000,50.965904
"50",58.900002,59.310001,58.360001,58.709999,17777300,50.922543
"51",58.860001,59.41,58.759998,59.32,18468200,51.451637
"52",59.369999,59.41,58.52,58.669998,20985700,50.887844
"53",58.470001,58.470001,57.619999,57.630001,17663200,49.98579
"54",57.93,57.959999,55.630001,55.849998,31766400,48.441891
"55",55.529999,55.57,54.849998,55.330002,27740900,47.990871
"56",55.23,55.990002,54.98,55.25,1.9e+07,47.921486
"57",55.5,56.049999,55.220001,55.830002,21127500,48.424545
"58",54.630001,55.580002,54.240002,55.389999,16854800,48.042904
"59",55.349998,56.25,55.240002,55.959999,14878900,48.537304
"60",55.939999,56.09,55.549999,55.669998,10329100,48.28577
"61",55.68,56.43,55.610001,56.240002,12106500,48.780163
"62",56.02,56.18,55.619999,55.66,11864600,48.2771
"63",55.700001,55.82,54.790001,55.490002,14550700,48.129658
"64",55.299999,55.330002,54.98,55.200001,11937400,47.878124
"65",55.790001,56.200001,54.93,54.98,17411700,47.687298
"66",54.950001,55.650002,54.709999,55.369999,10387500,48.025558
"67",54.939999,55.310001,54.610001,54.84,15848800,47.565868
"68",54.990002,55.25,54.32,54.540001,14607700,47.305668
"69",54.23,54.259998,53.27,54.16,28086800,46.97607
"70",53.950001,54.02,53.049999,53.119999,25601300,46.074013
"71",51.799999,52.75,51.349998,51.349998,47982000,44.53878
"72",51.639999,52.759998,51.259998,52.720001,31959100,45.72707
"73",52.360001,52.669998,52.09,52.450001,22257500,45.492878
"74",52.880001,53.139999,52.049999,52.150002,17414600,45.232677
"75",52.720001,53.59,52.43,53.5,31552900,46.40361
"76",53.389999,53.84,52.950001,53,26177300,45.969929
"77",54.150002,54.34,53.59,53.650002,23856700,46.533718
"78",54.330002,55.09,54.290001,54.560001,27061300,47.323009
"79",54.599998,55.07,54.360001,54.540001,15915500,47.305668
"80",54.540001,54.650002,53.91,54.439999,13978000,47.218925
"81",54.330002,54.580002,53.73,53.84,16501900,46.698513
"82",54.099998,54.75,53.970001,54.459999,13915800,47.236275
"83",54.459999,54.610001,54.060001,54.540001,15634900,47.305668
"84",54.009998,54.889999,53.950001,54.849998,15737100,47.908337
"85",55.27,55.599998,54.869999,55.18,17054100,48.196575
"86",55.25,55.389999,54.880001,55.110001,13078800,48.135433
"87",55.119999,55.290001,54.75,55.040001,14242800,48.074295
"88",55.139999,55.369999,54.450001,54.68,14402900,47.759846
"89",54.43,54.91,54.360001,54.720001,15897200,47.794788
"90",54.279999,54.419998,53.060001,53.740002,32200100,46.938816
"91",53.299999,53.32,52.540001,53.02,29642300,46.309937
"92",53.060001,53.419998,53.02,53.32,15245000,46.571972
"93",53.400002,53.439999,52.950001,53.259998,12650100,46.519558
"94",53.259998,53.259998,51.650002,52.240002,33173100,45.628654
"95",52.310001,52.959999,51.950001,52.380001,19790100,45.750931
"96",52.57,53.34,52.389999,53.060001,16895000,46.344875
"97",53.27,53.32,52.5,53.009998,13947000,46.301193
"98",53.009998,53.560001,52.849998,53.389999,11751700,46.633106
"99",53.490002,53.610001,52.799999,53.09,11304400,46.371078
"100",53.25,53.25,52.57,52.779999,16643800,46.100304
"101",52.630001,52.810001,52.369999,52.41,14247700,45.777142
"102",52.16,52.5,51.900002,52.16,19379700,45.558777
"103",52.23,52.25,50.830002,51.139999,30519700,44.667854
"104",51.529999,52.209999,51.060001,52.080002,21001800,45.488899
"105",51.669998,52.240002,51.529999,51.810001,19477300,45.253067
"106",51.709999,52.18,51.669998,51.720001,13663800,45.174461
"107",51.32,52.029999,51.240002,51.810001,14887500,45.253067
"108",51.84,52.310001,51.700001,52.09,17022400,45.497635
"109",52.09,53.029999,51.880001,52.560001,22644200,45.908154
"110",52.860001,53.950001,52.799999,53.799999,25750000,46.991219
"111",53.98,54.59,53.939999,54.09,22791400,47.244518
"112",54.349998,54.689999,54.279999,54.450001,17966000,47.55896
"113",54.09,54.639999,53.57,54.529999,16575000,47.62883
"114",54.040001,54.450001,53.810001,53.900002,17232300,47.078571
"115",53.93,54.240002,53.650002,53.889999,23492700,47.069836
"116",54.310001,54.639999,54.119999,54.240002,15367300,47.375534
"117",54.060001,54.099998,53.43,53.459999,13622200,46.694241
"118",53.470001,53.48,52.799999,52.98,12653700,46.274994
"119",52.799999,52.889999,52.220001,52.490002,15362200,45.847015
"120",52.700001,52.830002,52.32,52.450001,21868500,45.81208
"121",52.73,53.43,52.59,52.900002,12532800,46.205124
"122",53.02,53.66,52.91,53.16,13496300,46.432224
"123",53.610001,54.419998,53.52,54.330002,20961700,47.454144
"124",55.650002,56.599998,55.209999,55.779999,32552100,48.720638
"125",56.029999,56.049999,55.16,55.41,16750700,48.397469
"126",55.810001,56.450001,55.709999,55.779999,11825000,48.720638
"127",55.970001,56.02,55.34,55.779999,14086900,48.720638
"128",55.98,56.32,55.5,55.560001,14481200,48.528473
"129",55.779999,55.830002,55.25,55.740002,11503500,48.685699
"130",55.529999,55.810001,55.34,55.59,10979000,48.554688
"131",55.66,55.709999,54.82,55.040001,14842700,48.074295
"132",54.93,55.240002,54.599998,55.169998,11951500,48.187836
"133",55.259998,55.669998,55.060001,55.599998,14201800,48.563416
"134",54.310001,55.200001,54.119999,54.990002,17949600,48.030621
"135",54.900002,54.98,54.439999,54.709999,14953600,47.786053
"136",54.310001,54.919998,54.23,54.799999,13603300,47.86467
"137",54.799999,55.209999,54.689999,54.939999,12366200,47.986942
"138",54.959999,55.310001,54.68,54.880001,15123500,47.93454
"139",54.43,54.619999,54.099998,54.169998,17384500,47.314392
"140",54.099998,54.41,54.040001,54.27,18489900,47.401741
"141",55,55.41,54.91,55.060001,20167800,48.091759
"142",55.32,55.330002,54.810001,54.91,19686900,47.960747
"143",54.860001,54.959999,54.389999,54.709999,17352600,47.786053
"144",54.299999,54.57,53.18,53.299999,32590600,46.554501
"145",53.419998,54.220001,53.400002,53.939999,20378100,47.113495
"146",54.23,54.389999,53.849998,54.080002,19350300,47.23579
"147",53.540001,53.959999,53.450001,53.619999,19422100,47.174194
"148",53.5,53.66,53.34,53.400002,19374700,46.980659
"149",53.669998,53.700001,51.91,52.84,44664600,46.487968
"150",52.73,52.950001,52.43,52.540001,22673700,46.224026
"151",52.32,53.299999,52.220001,52.709999,24877800,46.373589
"152",52.279999,52.810001,52.139999,52.790001,14631600,46.443977
"153",52.389999,52.720001,51.919998,51.950001,18373000,45.704952
"154",51.830002,52.209999,51.740002,51.939999,14714500,45.696156
"155",52.369999,53.09,52.34,52.84,16313200,46.487968
"156",53.200001,53.360001,52.830002,52.849998,11028100,46.496765
"157",53.009998,53.209999,52.459999,52.689999,11224400,46.355995
"158",52.470001,52.630001,51.790001,51.799999,16814300,45.572994
"159",51.630001,52.139999,51.380001,51.68,17130600,45.467411
"160",51.740002,51.91,51.400002,51.82,13503100,45.590588
"161",51.950001,52.27,51.919998,52.220001,12984100,45.942505
"162",51.830002,52.48,51.799999,52.029999,10019500,45.775341
"163",52.189999,52.529999,52.040001,52.16,12345000,45.889709
"164",52.27,52.57,51.759998,51.77,15307800,45.5466
"165",51.950001,52.02,51.419998,51.630001,12425900,45.423424
"166",51.209999,51.5,51.130001,51.419998,10715500,45.238659
"167",51.459999,51.740002,51.200001,51.360001,11427500,45.185883
"168",51,51.240002,50.869999,51.07,25231100,44.93074
"169",51.060001,51.490002,50.93,50.970001,16217700,44.842766
"170",50.630001,50.669998,49.759998,50.099998,31251300,44.077343
"171",50.25,50.27,49.560001,49.880001,26854000,43.883797
"172",49.939999,49.939999,49.27,49.68,23367300,43.707836
"173",49.610001,49.98,49.43,49.580002,18975700,43.619862
"174",50,50.799999,49.939999,50.66,17987100,44.570023
"175",50.849998,51.73,50.84,51.57,17129500,45.370632
"176",51.389999,51.509998,51.18,51.459999,12617300,45.273857
"177",51.540001,51.720001,51.080002,51.290001,13739400,45.124298
"178",51.279999,51.68,51.25,51.66,28494300,45.449825
"179",51.669998,52.84,51.610001,52.709999,20943400,46.373589
"180",52.720001,53.59,52.529999,53.360001,17047000,46.94545
"181",53.389999,54.110001,53.279999,53.75,21560400,47.288574
"182",53.549999,54.240002,53.52,54.060001,16210900,47.561314
"183",53.919998,54.360001,53.75,54.25,18047800,47.72847
"184",54.07,54.330002,53.549999,54.029999,11595900,47.534908
"185",54.099998,54.279999,53.759998,53.799999,12052500,47.332554
"186",54.470001,54.529999,54.060001,54.209999,15840800,47.693275
"187",54.290001,54.330002,53.740002,54.25,14531700,47.72847
"188",54.25,55.23,54.09,55.150002,20872300,48.520275
"189",55.16,55.470001,54.860001,55.470001,11764400,48.801807
"190",55.330002,55.619999,54.849998,55.580002,17405100,48.898582
"191",55.310001,55.349998,54.900002,54.959999,14697800,48.353115
"192",55,55.77,54.779999,55.389999,14560700,48.731426
"193",55.48,55.68,55.220001,55.580002,11151200,48.898582
"194",55.619999,55.700001,54.919998,55.139999,11377000,48.511486
"195",55.369999,55.720001,55.150002,55.610001,12800500,48.92498
"196",55.439999,55.709999,55.259998,55.66,12843100,48.968967
"197",55.689999,55.709999,55.060001,55.209999,15067500,48.573059
"198",53.490002,53.709999,52.84,53.689999,35310000,47.235786
"199",53.650002,53.970001,53.419998,53.799999,22802400,47.332554
"200",53.98,54,53.119999,53.189999,18614700,46.795898
"201",53.41,54.07,53.32,53.41,21604000,46.989445
"202",53.110001,53.93,53,53.75,12669700,47.288574
"203",54.209999,55.07,54.040001,54.919998,28407700,48.317917
"204",54.75,55.040001,54.700001,54.91,18102100,48.309128
"205",55,55.560001,55,55.419998,18779400,48.757816
"206",55.490002,55.580002,54.869999,55.25,17096900,48.608253
"207",55.450001,56.169998,55.450001,55.619999,15979200,48.933781
"208",55.23,56.040001,55.130001,55.869999,17258600,49.153725
"209",55.450001,55.959999,55.310001,55.849998,12249200,49.136127
"210",55.950001,56.52,55.900002,56.139999,14619200,49.391266
"211",56.32,56.84,56.189999,56.209999,11678300,49.452858
"212",55.799999,56.52,55.349998,56.48,15630000,50.037571
"213",56.25,56.439999,55.900002,56.349998,10049200,49.92239
"214",56.099998,56.43,56,56.18,10414900,49.771786
"215",56.169998,56.290001,54.669998,55.049999,18679100,48.770676
"216",54.799999,54.990002,54.049999,54.259998,24047100,48.070789
"217",53.900002,54.189999,53.209999,54,24438800,47.840446
"218",54.02,54.130001,53.790001,53.810001,13671700,47.672131
"219",53.52,53.91,53.41,53.720001,13447000,47.592388
"220",53.52,54.099998,53.32,54.040001,20830100,47.875889
"221",53.630001,54.119999,53.490002,53.75,18238600,47.618969
"222",53.950001,54.860001,53.860001,54.599998,26361800,48.372005
"223",54.209999,54.459999,53.970001,54.150002,15814800,47.973343
"224",54.119999,54.209999,53.849998,54.049999,16943100,47.884743
"225",54.080002,54.580002,53.990002,54.52,13757000,48.301136
"226",54.459999,54.619999,54.029999,54.060001,11421700,47.893608
"227",54.189999,54.310001,54,54.09,5386500,47.920174
"228",54.02,54.459999,53.860001,53.950001,11066800,47.796154
"229",53.869999,55.889999,53.720001,55.57,25685200,49.231373
"230",55.84,57.25,55.700001,56.68,29631800,50.214756
"231",57.029999,57.330002,56.380001,56.470001,30984400,50.028702
"232",56.57,57.18,55.439999,56.200001,31242400,49.789505
"233",57.27,57.990002,57.200001,57.389999,28720400,50.843773
"234",58.66,59.41,57.439999,58.549999,39754900,51.871452
"235",58.68,59.099998,58.119999,58.57,26758300,51.889172
"236",58.450001,60,58.290001,59.360001,32990600,52.589062
"237",59.310001,59.919998,59.150002,59.310001,22017100,52.544762
"238",58.959999,59.299999,58.619999,58.869999,15876600,52.154945
"239",58.709999,60.560001,58.709999,60.330002,25040400,53.448418
"240",60.310001,60.5,59.380001,59.400002,18227000,52.624504
"241",59.549999,59.990002,59.209999,59.220001,14731000,52.465031
"242",59.450001,60.650002,59.349998,59.869999,36467500,53.040882
"243",60.439999,61.130001,60.369999,60.919998,19970900,53.971115
"244",61.200001,61.27,60.279999,60.360001,17062700,53.474991
"245",60.880001,61.07,60.060001,60.139999,16544500,53.28009
"246",60.68,62.119999,60.68,61.610001,22130700,54.582409
"247",62,62.240002,61.189999,61.549999,11653200,54.529251
"248",61.5,61.720001,60.799999,61.130001,11662800,54.157162
"249",61.099998,61.240002,60.66,60.950001,10010800,53.997696
"250",61.029999,61.310001,60.91,61.299999,10550900,54.30777
"251",61.459999,61.580002,60.669998,60.669998,10711400,53.74963
"252",61.040001,61.360001,60.700001,61.09,13819300,54.121723
"253",61.220001,61.77,61.099998,61.560001,14203700,54.538116
"254",61.98,63.049999,61.91,62.330002,18740500,55.22028
"255",62.759998,62.810001,62.09,62.75,14217900,55.592381
"256",62.66,62.73,61.939999,62.040001,15569400,54.96336
"257",62.299999,62.77,62.07,62.259998,15766500,55.158264
"258",62.48,63.400002,62.360001,63.119999,18107500,55.920174
"259",63.650002,63.669998,62.689999,63.009998,22075000,55.822712
"260",63.200001,63.400002,62.049999,62.549999,25886100,55.41518
"261",62.790001,63.150002,62.18,62.5,17907800,55.370892
"262",62.849998,64.040001,62.490002,63.880001,23892900,56.593479
"263",63.869999,64.309998,63.860001,63.950001,16305900,56.655495
"264",64.150002,64.260002,63.830002,64.220001,16524000,56.894695
"265",64,64.75,63.970001,64.730003,12245200,57.346531
"266",64.309998,64.849998,64.220001,64.489998,12937100,57.133892
"267",64.949997,65.629997,64.800003,65.480003,20180300,58.010983
"268",65.699997,65.849998,65.400002,65.650002,17568700,58.161591
"269",65.889999,66.040001,65.25,65.93,16251900,58.409645
"270",65.779999,66.309998,65.660004,65.82,16105200,58.312191
"271",65.43,65.93,65.279999,65.279999,16158900,57.83379
"272",65.269997,66.099998,65.160004,65.779999,18147900,58.276752
"273",65.370003,66.089996,65.059998,65.510002,15717600,58.383705
"274",65.330002,65.529999,63.830002,64.07,18905300,57.100349
"275",58.700001,59.889999,57.5,58.16,103394400,51.833252
"276",56.91,58.5,55.869999,57.279999,83076900,51.048977
"277",56.939999,58.119999,56.75,57.540001,45551000,51.280697
"278",57.330002,57.439999,55.349998,55.400002,43569700,49.373486
"279",56.139999,56.540001,54.720001,56.130001,48904600,50.024078
"280",56.360001,57.119999,55.880001,56.5,24401300,50.353832
"281",56.060001,58.09,55.950001,58,24234200,51.690659
"282",57.849998,59.599998,57.799999,59.549999,23681800,53.072037
"283",59.82,60.099998,59.150002,60.02,22397300,53.490917
