"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"1",174.389999,176.720001,174.259995,175.449997,1321800,156.738449
"2",176.139999,176.259995,174.210007,175.539993,1238500,156.818893
"3",175.779999,178.360001,175.100006,176.139999,1279700,157.354889
"4",176,177.770004,175.740005,177.460007,998600,158.534119
"5",176.600006,177.5,175.710007,176.070007,1072100,157.292389
"6",176.770004,177.899994,175.75,176.360001,1094600,157.551422
"7",176.330002,177.110001,175.270004,177.070007,1425700,158.185699
"8",177.229996,177.229996,173.600006,176.520004,1275700,157.694412
"9",176.770004,178.080002,176.410004,177.889999,952900,158.918259
"10",177,177.990005,174.970001,175.970001,1202200,157.203049
"11",175.169998,176.089996,174.300003,175.990005,949900,157.902847
"12",177,178.360001,175.899994,177.809998,1523600,159.535812
"13",178.309998,178.919998,176.850006,178.279999,1755400,159.957504
"14",178.520004,179.190002,176.100006,177.229996,1265500,159.015411
"15",176.339996,178.419998,175.850006,177.25,1213800,159.033371
"16",176.419998,177.199997,172.429993,175.320007,2656100,157.301712
"17",175.5,177.619995,175.25,177.300003,1844700,159.078217
"18",176.309998,187.369995,175.699997,185.139999,4340200,166.112473
"19",185.229996,186.309998,180.679993,182.470001,2802800,163.716873
"20",181.139999,181.470001,178.899994,181.080002,2235800,162.469742
"21",181.309998,182.440002,180.149994,181.029999,1244300,162.424881
"22",180.75,181.309998,179.110001,180.360001,1129600,161.82373
"23",180.029999,183.25,180.020004,183.119995,1544700,164.300064
"24",183.399994,184.610001,182.669998,183.039993,1106800,164.228302
"25",183.910004,185,183.100006,183.210007,1532600,164.380844
"26",182.899994,183.940002,181.940002,183.139999,1249600,164.318024
"27",183.679993,183.839996,182.419998,182.589996,1310500,163.824524
"28",182.839996,184.660004,182.160004,184.399994,1414100,165.448502
"29",184.649994,187.5,184.649994,186.600006,1272300,167.422424
"30",187.050003,187.479996,184.610001,187.229996,1391200,167.987686
"31",186.759995,188.300003,186.240005,187.990005,998600,168.669601
"32",188.050003,188.759995,186.429993,188.740005,1153500,169.342499
"33",188.600006,189.100006,187.399994,189.059998,1163300,169.629608
"34",189.020004,189.940002,188.600006,189.589996,1102800,170.105133
"35",189.580002,189.979996,188.740005,189.889999,765700,170.374329
"36",189.869995,190.589996,187.529999,188.300003,1157700,168.947723
"37",187.899994,189.710007,187.009995,189.630005,1147500,170.141006
"38",189.649994,190.889999,188.270004,190.399994,1605000,170.831879
"39",190.190002,191.309998,189.300003,189.809998,1874400,170.302521
"40",190.5,193.169998,190.240005,192.410004,2088600,172.63533
"41",192.199997,192.649994,190.669998,191.050003,1064900,171.41507
"42",190.990005,191.050003,188.740005,189.649994,1501800,170.158966
"43",189.279999,191.309998,189.009995,190.940002,1126100,171.316391
"44",190.899994,192.199997,190.429993,191.470001,926600,171.791946
"45",191.320007,191.389999,190.080002,190.380005,925800,170.813919
"46",190.529999,191.330002,189.830002,190.339996,843200,170.778061
"47",191.850006,191.850006,189.619995,190.839996,835600,171.226639
"48",190.830002,191.679993,190.619995,191.559998,853000,171.87265
"49",190.830002,191,189.330002,189.75,1055100,170.248642
"50",190.080002,192,189.75,191.660004,985900,171.962402
"51",191.970001,192.179993,189.919998,190.649994,1082600,171.056198
"52",191.309998,194,190.899994,193.270004,1824500,173.406952
"53",193.199997,193.649994,191.770004,191.979996,930500,172.249527
"54",192.350006,193.160004,188.25,188.690002,1266500,169.297623
"55",188.880005,190.130005,187.949997,189.600006,835900,170.11412
"56",189.539993,190.610001,189.009995,189.559998,794500,170.078217
"57",189.539993,189.899994,186.350006,187.520004,1498600,168.247879
"58",184.889999,186.179993,183.720001,185.490005,1930600,166.426514
"59",185,189.449997,184.880005,188.440002,1231000,169.073318
"60",188,188.919998,187.199997,188.289993,869700,168.938751
"61",188.440002,189.300003,188.199997,188.779999,926000,169.378357
"62",188.389999,188.559998,186.419998,187.199997,2063800,167.96077
"63",187.479996,188.199997,186.259995,187.740005,1259500,168.445251
"64",187.740005,188.330002,186.339996,187.720001,1073600,168.427322
"65",187.619995,189.320007,185.729996,185.850006,932000,167.499039
"66",185.869995,187.130005,185.850006,186.300003,745700,167.904587
"67",188.800003,189.419998,186.600006,188.039993,1189400,169.472748
"68",188.089996,188.850006,187.259995,187.660004,911100,169.130325
"69",187.440002,188.940002,186.669998,188.380005,810600,169.77919
"70",188.429993,188.699997,186.130005,186.339996,1121000,167.940628
"71",186.039993,188.009995,185.639999,186.729996,1173300,168.292145
"72",187.179993,188.970001,186.869995,188.889999,843900,170.238876
"73",188.300003,189.600006,187.070007,187.380005,1199400,168.877975
"74",187.839996,188.240005,187.029999,187.75,1239800,169.211426
"75",188.020004,189.039993,187.380005,188.130005,984000,169.553894
"76",188.839996,189.899994,188.199997,188.940002,1153300,170.28392
"77",191.380005,192.490005,190.410004,191.910004,1561400,172.960648
"78",190.869995,193.479996,190.690002,193.240005,1819800,174.159332
"79",194.669998,196.970001,193.740005,194.850006,1958000,175.610382
"80",195.479996,196.619995,193.949997,195.029999,976500,175.772598
"81",195.039993,195.279999,193.429993,193.789993,1195400,174.654999
"82",194.240005,195,193.149994,193.149994,1004500,174.078201
"83",193.899994,194.070007,193,194.070007,941500,174.907394
"84",193.869995,194.5,192.889999,194.179993,773500,175.0065
"85",194.279999,195.130005,193.380005,194.550003,1101800,175.340012
"86",194.75,195.990005,194.270004,195.970001,703200,176.619766
"87",195.589996,196.5,195.130005,196.330002,893600,176.944244
"88",196.490005,197,196.070007,196.589996,749300,177.178513
"89",195.059998,195.889999,193.350006,194.389999,1365500,175.19577
"90",194.259995,195.429993,193.169998,194.979996,905600,175.727524
"91",194.360001,195.639999,194.169998,195.589996,674900,176.277283
"92",195.479996,196.029999,194.880005,195.179993,906000,175.907776
"93",195.070007,196.190002,194.809998,195.289993,790000,176.006882
"94",195.289993,195.289993,191.610001,192.009995,1379000,173.050797
"95",191.789993,193.509995,190.309998,192.639999,1256200,173.618591
"96",193.210007,196.5,192.960007,195.869995,1070000,176.529602
"97",197.479996,199,196.300003,197.75,1453400,178.224014
"98",198.220001,199.369995,197.039993,199.320007,1018900,179.639008
"99",199.600006,200.610001,199.080002,199.979996,679100,180.23381
"100",200.509995,201.899994,200.190002,201.089996,1122100,181.234207
"101",201.089996,202.580002,200.850006,202.240005,751100,182.27063
"102",202.190002,202.649994,200.949997,202.009995,921100,182.063385
"103",202.369995,203.279999,201.580002,203.25,1488800,183.180908
"104",203.160004,203.470001,201.880005,202.520004,1293500,182.523056
"105",202.699997,205.070007,202.580002,203.699997,917400,183.586533
"106",203.369995,203.479996,201.339996,201.470001,902000,181.576691
"107",200.929993,201.240005,198.300003,198.440002,1192700,178.845871
"108",198.850006,199.020004,197.729996,198.869995,938600,179.233383
"109",198.869995,199.830002,197.589996,199.639999,996500,179.927399
"110",199.639999,200.740005,198.440002,199.470001,1056500,179.77417
"111",199.470001,200.059998,197.029999,198.399994,1858300,178.809814
"112",198.399994,200.929993,198.119995,200.550003,1263500,180.747543
"113",200.550003,202.449997,200.350006,201.279999,934600,181.405411
"114",199.770004,202.270004,199.240005,202.029999,827500,182.08139
"115",202.369995,203.300003,201.660004,202.669998,1391500,182.658188
"116",203.410004,204.740005,203,204.520004,1066100,184.325531
"117",203.759995,205.169998,203.759995,203.860001,838400,183.730682
"118",204.399994,204.880005,203.5,203.889999,669700,183.757736
"119",203.789993,203.979996,201.190002,201.259995,907800,181.387421
"120",201.229996,202.419998,200.809998,201.320007,1203300,181.441483
"121",201.770004,202.330002,200.130005,200.199997,676900,180.432114
"122",200.110001,200.360001,198.830002,198.839996,713800,179.20639
"123",199.820007,201.419998,199.330002,200.830002,787100,180.999924
"124",200.990005,201.070007,196.130005,196.960007,1423000,177.512009
"125",197.75,199.210007,196.259995,198.100006,944700,178.539474
"126",199.419998,200.550003,198.139999,199.660004,750600,179.945435
"127",199.029999,201.210007,198.949997,200.740005,1152300,181.683182
"128",200.699997,201.070007,198.789993,199.020004,799700,180.126419
"129",199.5,202.179993,199.119995,201.259995,1300600,182.153748
"130",201.220001,202.240005,200.210007,201.070007,1028600,181.981812
"131",200.800003,201.009995,198.75,199.910004,1139400,180.931946
"132",201.320007,202.470001,199.869995,201.110001,1404100,182.018021
"133",201.190002,201.470001,199.970001,200.149994,778900,181.149139
