"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume","NTRS.Adjusted"
"1",90.339996,90.5,88.949997,89.639999,1445300,79.724274
"2",89.989998,90.68,88.889999,90.489998,1338300,80.480255
"3",90.379997,90.849998,89,90.099998,1261500,80.133392
"4",90.440002,90.93,89.589996,89.839996,1203200,79.902153
"5",89.470001,90.209999,88.739998,89.029999,830200,79.181755
"6",89.239998,90.379997,88.559998,89.269997,1053200,79.39521
"7",89.220001,90.040001,88.860001,90.019997,959800,80.062233
"8",89.639999,89.879997,88.449997,89.790001,689600,79.857681
"9",90.150002,91.139999,89.910004,90.190002,862600,80.213432
"10",89.660004,89.82,88.029999,88.150002,1550100,78.399101
"11",83.540001,84.900002,82.480003,83.989998,3433400,74.699265
"12",84.099998,84.449997,83.370003,83.519997,1872600,74.281273
"13",83.800003,84.339996,82.760002,83.360001,1757100,74.138947
"14",83.059998,83.910004,82.459999,82.669998,1215400,73.525276
"15",83.019997,83.970001,82.330002,83.489998,1247100,74.254562
"16",84.160004,84.529999,82.870003,84.07,1544000,74.770432
"17",84.209999,84.410004,83.120003,83.949997,1228400,74.663681
"18",84,84.010002,83.099998,83.68,845600,74.423546
"19",83.32,83.589996,81.919998,83.150002,897700,73.952179
"20",82.830002,83.870003,82.57,82.959999,1335000,73.783203
"21",83.760002,84.43,83.040001,83.309998,1258900,74.094498
"22",82.610001,83.269997,81.959999,82.82,793400,73.658691
"23",83.870003,84.589996,83.599998,84.400002,1108900,75.063904
"24",84.099998,84.779999,83.989998,84.550003,1304800,75.197319
"25",84.739998,84.779999,84.050003,84.360001,1138300,75.028328
"26",83.709999,84.160004,83.209999,84,1069900,74.708153
"27",84.25,85.580002,83.699997,85.510002,1283400,76.051125
"28",85.809998,86.040001,85.269997,85.370003,1135400,75.926613
"29",85.739998,86.870003,85.739998,86.279999,721500,76.735947
"30",86.379997,87.870003,86.139999,87.580002,1256300,77.892159
"31",87.830002,88.839996,86.550003,88.660004,952600,78.852684
"32",88.599998,88.989998,87.089996,87.339996,1132800,77.678703
"33",86.599998,87.589996,85.940002,87.199997,913600,77.554176
"34",87.620003,88.360001,87.32,88.059998,723100,78.319046
"35",87.419998,87.949997,87.050003,87.5,605000,77.820999
"36",87.900002,87.93,86.980003,87.690002,591200,77.989983
"37",86.849998,87.190002,85.440002,87.050003,768100,77.420784
"38",87.18,87.589996,86.940002,87.529999,528400,77.847672
"39",87.080002,87.540001,86.690002,87.349998,1011300,77.687592
"40",88.769997,90.220001,88.760002,89.410004,1299700,79.867165
"41",89.440002,89.440002,88.269997,88.339996,879300,78.911362
"42",88.410004,89.010002,87.889999,88.709999,934300,79.241875
"43",88.059998,88.300003,87.440002,87.709999,1033900,78.348602
"44",87.809998,88.760002,87.400002,88.389999,973500,78.956032
"45",89.300003,90.199997,88.709999,88.919998,1432900,79.429436
"46",89.440002,89.989998,89.080002,89.400002,1223500,79.858238
"47",90,90.150002,88.779999,89.300003,831600,79.768921
"48",89.230003,90.019997,88.550003,89.809998,1048300,80.224487
"49",89.540001,89.980003,88.75,89.720001,804100,80.144081
"50",90.150002,90.160004,89.400002,89.529999,1220900,79.974365
"51",89.940002,90.669998,89.580002,89.989998,876700,80.385262
"52",90.110001,90.269997,88.580002,88.68,1956200,79.215088
"53",88.519997,88.870003,87.790001,88.019997,1217200,78.625519
"54",88.419998,88.75,86.190002,86.330002,2777200,77.115891
"55",85.93,86.839996,84.93,86.57,1599300,77.330284
"56",86.739998,87.769997,86.019997,86.739998,1008500,77.482147
"57",86.760002,87.610001,85.089996,85.75,1297100,76.597794
"58",84.440002,85.389999,83.169998,85.07,1255600,75.990379
"59",84.919998,86.480003,84.410004,86.190002,1411300,76.990829
"60",85.82,86.459999,85.699997,86.120003,750200,76.928322
"61",86,87.459999,85.870003,87.190002,975500,77.884117
"62",87.010002,87.190002,86.360001,86.580002,854300,77.339211
"63",86.470001,87.410004,84.970001,86.220001,952300,77.017639
"64",86.029999,86.610001,85.639999,86.279999,697400,77.071228
"65",87.010002,87.739998,85.68,85.75,1388000,76.597794
"66",85.910004,86.440002,84.959999,86.400002,928000,77.178436
"67",85.830002,86.769997,85.410004,86.089996,717400,76.901505
"68",85.93,86.629997,85.32,85.519997,761500,76.392342
"69",86.120003,86.669998,85.019997,86.639999,1441700,77.392807
"70",86.669998,86.669998,85.150002,85.769997,849800,76.615646
"71",85.330002,86.599998,85,85.029999,703600,75.954651
"72",85.150002,86.57,84.93,86.419998,752300,77.196289
"73",85.720001,86.379997,85.220001,85.760002,762400,76.606743
