"","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume","ZBH.Adjusted"
"1",103.870003,103.900002,102.589996,103.330002,1381100,99.637398
"2",103.879997,105.349998,103.379997,104.279999,1502800,100.553459
"3",104.580002,105.279999,104.110001,104.949997,1453900,101.199509
"4",105.139999,105.309998,103.620003,104.959999,1821000,101.20916
"5",104.769997,107.199997,104.769997,107,1163300,103.176254
"6",110.510002,115.940002,110.5,113.669998,3973400,109.607895
"7",113.989998,116.160004,113.419998,114.75,2485000,110.649307
"8",113.709999,114.900002,111.980003,114.43,1546700,110.340744
"9",114.620003,115.410004,114.089996,115.199997,1034300,111.083244
"10",114.209999,115.75,114.050003,115.449997,1241400,111.32428
"11",115.660004,116,114.730003,115.470001,902200,111.34359
"12",115.110001,115.379997,113.919998,114.580002,934600,110.485397
"13",114.800003,115.339996,113.190002,113.650002,1401800,109.588623
"14",113.379997,114.470001,113.379997,114.160004,1369700,110.080383
"15",113.93,115.339996,113.5,114.559998,1336300,110.466087
"16",114.559998,116.190002,114.389999,115.940002,1484600,111.796799
"17",115.910004,116.260002,114.93,115.349998,1147600,111.227875
"18",115.830002,117.800003,115.519997,116.959999,1213200,112.780342
"19",116.839996,116.839996,114.949997,115.389999,2850600,111.266434
"20",115.860001,120.410004,115.860001,118.330002,2963000,114.101364
"21",118.809998,119.25,117.349998,118.510002,1461400,114.274948
"22",117.75,118.32,117.050003,117.620003,1685500,113.41674
"23",118.199997,118.959999,117.629997,118.139999,1019000,113.918182
"24",117.779999,118.279999,116.730003,117.239998,1075200,113.050316
"25",117.830002,118.379997,117.110001,118.110001,800100,113.889229
"26",117.870003,118.220001,116.849998,117.150002,1011000,112.963524
"27",117.150002,118.099998,117.110001,117.599998,1002000,113.397446
"28",117.540001,117.809998,116.870003,117.330002,780500,113.137115
"29",117.43,118.120003,117.239998,117.75,659900,113.542091
"30",117.379997,117.75,116.68,117.18,1129700,112.992485
"31",116.760002,117.75,116.709999,117.309998,1160200,113.117805
"32",117.57,118,115.870003,116.32,1490200,112.163208
"33",116.209999,116.870003,115.330002,116.870003,1220700,112.69355
"34",116.940002,117.550003,116.540001,117.169998,1495800,112.982826
"35",116.870003,117.25,116.360001,116.900002,1327900,112.722473
"36",117.029999,117.389999,115.489998,116.379997,1463700,112.221039
"37",115.910004,117.07,115.639999,116.919998,990300,112.741745
"38",117.099998,117.300003,116.330002,116.959999,1577900,112.780342
"39",116.970001,117.480003,116.629997,117.080002,1244200,112.896057
"40",117.559998,119.449997,117.349998,118.889999,1101300,114.641357
"41",118.5,118.599998,117.519997,118.019997,772200,113.802429
"42",117.93,118.379997,117.300003,118.279999,708100,114.053154
"43",117.489998,117.760002,116.93,117.220001,851200,113.031029
"44",116.830002,117.330002,116.209999,117.07,887600,112.886414
"45",117.080002,117.889999,116.639999,117.599998,904800,113.397446
"46",117.839996,119.449997,116.959999,119.18,1116500,114.921005
"47",119.25,120.400002,119.25,120.080002,1544400,115.788834
"48",120.25,120.639999,119.209999,119.790001,1630800,115.509201
"49",119.199997,119.709999,118.470001,118.68,961600,114.438866
"50",119.099998,120.169998,118.57,119.650002,1016300,115.374207
"51",120.199997,120.199997,118.849998,119.410004,1081100,115.142769
"52",119.349998,122.089996,118.839996,121.669998,2289900,117.322006
"53",121.599998,122.269997,121.099998,121.650002,1343000,117.302742
"54",122,123.150002,120.599998,120.980003,1339100,116.656685
"55",120.959999,122.400002,120.599998,121.379997,1005800,117.042381
"56",121.239998,121.720001,120.110001,120.400002,999500,116.097412
"57",120.400002,121.110001,120.309998,120.660004,716500,116.348114
"58",120.660004,120.660004,118.82,120.290001,1450100,115.991333
"59",120.889999,121.459999,119.940002,121.190002,888900,116.859161
"60",120.839996,121.769997,120.739998,121.370003,507400,117.264954
"61",120.970001,121.910004,120.900002,121.360001,526400,117.255295
"62",120.790001,122.459999,120.519997,122.110001,860900,117.979942
"63",121.980003,122.279999,120.279999,121.349998,971800,117.245628
"64",121.639999,121.800003,119.709999,120.769997,577000,116.685242
"65",120.760002,121.550003,120.050003,120.18,783900,116.115219
"66",120.419998,120.470001,119.580002,120.199997,885900,116.134537
"67",120.120003,120.43,119.769997,119.879997,436800,115.825363
"68",119.980003,120.769997,119.769997,120.029999,457900,115.970268
"69",119.809998,120.029999,119.25,119.580002,497800,115.535507
"70",118.910004,119.599998,118.519997,119.169998,657500,115.139366
"71",119.029999,120.230003,118.339996,119.529999,688400,115.48719
"72",120.019997,121.160004,119.739998,121.160004,555700,117.062065
"73",120.580002,120.900002,119.169998,119.57,953000,115.525833
"74",120.199997,120.779999,119.529999,120.260002,797100,116.192497
"75",120.330002,122.25,119.459999,121.849998,833400,117.728722
"76",121.660004,122.07,120.809998,121.190002,814200,117.091049
"77",122.470001,123.519997,121.82,123.269997,903200,119.100693
"78",123.400002,124.760002,123.010002,124.489998,1076800,120.279434
"79",124.650002,125.419998,123.970001,125.32,1745100,121.081352
"80",115.5,118.5,115,118.099998,5906400,114.105545
"81",117.75,119.900002,117.029999,119.650002,2363700,115.603149
"82",119.690002,121.949997,119,120.82,2195700,116.733566
"83",120.900002,121.25,120.290001,120.629997,1160100,116.549988
"84",120.459999,120.730003,118.599998,119.43,1084300,115.390572
"85",119.349998,119.68,116.18,116.849998,2343500,112.897842
"86",117.459999,117.459999,115.75,116.540001,1501100,112.598328
"87",116.610001,117.209999,116.029999,116.910004,1233000,112.955818
"88",116.849998,118.839996,116.800003,118.660004,1453400,114.646637
"89",118.489998,119.709999,118.040001,119.489998,1349600,115.448555
"90",119.830002,121.160004,118.639999,121.019997,2013300,116.926796
"91",120.860001,122.93,120.550003,121.260002,2028500,117.158691
"92",120.980003,123.120003,120.099998,122.330002,2520100,118.192513
"93",120.150002,121.699997,118.400002,119.779999,3868300,115.728752
"94",119.779999,119.779999,117.370003,117.720001,1767800,113.738411
"95",117.720001,118.599998,116.82,117.260002,1089200,113.293976
"96",117.57,117.949997,116.220001,117.669998,1006100,113.690086
"97",118.059998,118.059998,116.93,117.790001,1016000,113.806038
"98",117.989998,118.290001,117.279999,117.809998,1257200,113.825371
"99",117.900002,119.190002,117.400002,119.099998,1164800,115.071732
"100",119.360001,119.889999,118.959999,119.300003,631200,115.264984
"101",119.449997,119.650002,118.910004,119.230003,648100,115.197342
"102",118.620003,119.050003,118.019997,118.43,520700,114.424416
"103",118.43,119.410004,117.599998,119.209999,817400,115.178017
"104",119.68,123.050003,119.309998,122.669998,1632700,118.520996
"105",121.75,124.349998,121.75,123.940002,1394200,119.748047
"106",124.339996,124.339996,123.190002,123.93,1030100,119.738388
"107",123.5,124.449997,123.5,124.169998,1118700,119.970253
"108",124.5,124.730003,123.900002,124.349998,835700,120.144165
