"","BBY.Open","BBY.High","BBY.Low","BBY.Close","BBY.Volume","BBY.Adjusted"
"255",67.900002,68.970001,67.459999,68.870003,4115000,62.375107
"256",68.68,70.110001,68.419998,69.690002,3617800,63.117783
"257",69.93,70.220001,69.150002,69.779999,3177200,63.199299
"258",69.339996,70.870003,69.050003,70.339996,2740800,63.706478
"259",70.230003,72.019997,69.93,71.709999,2805900,64.947289
"260",71.790001,73.449997,71.739998,73.25,3439900,66.342049
"261",73.779999,74.110001,71.809998,72.400002,3748100,65.57222
"262",72.260002,74.629997,72.260002,74.260002,3199300,67.256805
"263",74.269997,74.75,73.900002,74.690002,2737600,67.646248
"264",75.099998,77.07,74.779999,76.860001,3445700,69.611595
"265",76.949997,78.110001,76.550003,78.059998,2271500,70.698433
"266",78.029999,78.589996,77.199997,77.519997,2512800,70.209366
"267",77.519997,77.779999,76.129997,76.790001,2543400,69.54821
"268",76.07,76.309998,75.18,76.269997,3531900,69.077248
"269",76.459999,77.879997,76.370003,77.849998,3133900,70.508232
"270",77.43,77.870003,76.489998,76.589996,2589800,69.367065
"271",76.199997,76.510002,75.18,76.290001,2962100,69.095375
"272",75.360001,75.43,72.470001,73.059998,5266800,66.169975
"273",72.57,74.360001,72.080002,73.099998,3190100,66.206207
"274",72.559998,72.980003,71.019997,71.239998,5040400,64.521606
"275",70.540001,71.949997,67.989998,68.019997,4096000,61.605274
"276",66.580002,70.699997,65.050003,70.300003,4672900,63.670261
"277",70.110001,72.309998,69.870003,71.260002,3468200,64.539726
"278",71.389999,72.07,68.769997,68.790001,3850500,62.302658
"279",69.510002,71.410004,67.580002,70.760002,3394400,64.086876
"280",71.110001,71.269997,68.949997,70.349998,3257700,63.715542
"281",70.059998,70.879997,69.699997,70.099998,2881600,63.489105
"282",69.739998,72.809998,69.410004,72.519997,3602700,65.680901
"283",73.059998,73.32,71.839996,73.32,2283900,66.405449
"284",73.269997,74.25,72.769997,73.18,2165700,66.278641
"285",72.629997,73.440002,71.720001,71.919998,2665200,65.137482
"286",72.239998,72.900002,70.739998,70.790001,2871600,64.114059
"287",71.400002,71.940002,71.120003,71.290001,2477300,64.566887
"288",72.089996,73.32,71.629997,73.169998,2320400,66.269592
"289",73.669998,74.25,72.510002,72.57,3714900,65.726173
"290",73.029999,73.43,71.110001,71.489998,4393100,64.748016
"291",72.019997,73.93,71.639999,72.440002,5052500,65.608452
"292",74.449997,76.029999,72.730003,75.300003,13379800,68.19873
"293",74.849998,75.18,72.269997,73.040001,6929000,66.151855
"294",72.860001,75.510002,72.5,75.059998,6127400,67.981354
"295",75.379997,77.32,75.379997,76.769997,4348200,69.530106
"296",74.790001,75.379997,72.889999,73.639999,5496700,66.695267
"297",74.080002,74.260002,72.650002,73.25,3638900,66.342049
"298",73.870003,73.959999,72.199997,73.82,3316000,66.858299
"299",73.82,74.199997,70.599998,72.050003,3142000,65.255211
"300",72.620003,73.349998,71.18,71.519997,3626700,64.775192
"301",71.959999,71.980003,69.75,69.900002,5157400,63.307976
"302",69.809998,70.339996,68.940002,68.989998,3789300,62.483799
"303",69.010002,70.129997,68.639999,69.730003,5474600,63.153999
"304",69.57,69.760002,68.300003,68.529999,3300500,62.067177
"305",68.309998,70.220001,68.309998,70.040001,3979400,63.434776
"306",69.519997,69.809998,68.410004,68.440002,3523100,62.386497
"307",67.889999,68.370003,66.980003,67.25,3187400,61.30175
"308",67.43,68.559998,66.650002,66.68,3324800,60.782169
"309",67.900002,69.949997,67.760002,69.510002,3501500,63.361851
"310",69.660004,69.669998,67.389999,67.739998,3098500,61.748402
"311",68.089996,69.660004,67.839996,68.559998,3794400,62.49588
"312",68.989998,70.650002,68.989998,69.989998,3783800,63.7994
"313",69.870003,70.43,67.989998,68.919998,2978600,62.824039
"314",69.25,70.68,69.230003,70.339996,2612800,64.118423
"315",69.339996,73.169998,69.139999,72.860001,3825200,66.415565
"316",73.059998,73.150002,71.93,72.120003,2934800,65.740982
"317",71.699997,72.610001,70.099998,70.489998,3203100,64.25518
"318",70.940002,71.5,69.809998,69.82,3002300,63.644436
"319",70.779999,72.160004,70.419998,71.720001,2166400,65.376381
"320",71.169998,72.099998,70.760002,70.910004,1589300,64.638039
"321",71.330002,71.919998,71.150002,71.300003,2537100,64.99353
"322",71.989998,73.300003,70.830002,71.129997,2775000,64.838554
"323",71.940002,72.610001,71.330002,71.910004,2514400,65.549583
"324",72.849998,73.339996,72.029999,72.75,2096500,66.315277
"325",74.5,75.800003,74.370003,75.400002,4496700,68.730881
"326",74.839996,75.330002,72.919998,73.339996,3347900,66.853073
"327",73.900002,74.199997,71.949997,72.300003,3407900,65.90509
"328",72.489998,73.720001,72.480003,73.5,1947200,66.998947
"329",73.629997,74.25,72.470001,73.169998,2897700,66.69812
"330",72.889999,74.620003,72.839996,74.379997,2646900,67.801102
"331",74.709999,76.019997,74.349998,75.620003,2615600,68.931435
"332",75.919998,77.25,75.739998,77.040001,2450800,70.225822
"333",77.5,78.220001,76.360001,76.529999,3078100,69.760941
"334",76.209999,76.410004,74.199997,75.379997,3648200,68.712662
"335",75.529999,76.32,74.910004,75.870003,2247900,69.159309
"336",75.559998,75.559998,73.940002,75.010002,2754300,68.375389
"337",74.849998,76.68,74.68,76.220001,2176800,69.478363
"338",76.379997,76.690002,74.879997,75.5,1850100,68.822037
"339",75.370003,75.879997,75,75.629997,2094200,68.940529
"340",75.720001,76.519997,75.07,76.220001,2073400,69.478363
"341",76.669998,76.970001,75.93,76.830002,2558600,70.034416
"342",76.519997,78.290001,76.209999,77.779999,2085900,70.900383
"343",77.900002,78.760002,77.779999,78.25,2363900,71.328819
"344",77.900002,79.080002,77.419998,78.599998,2209300,71.647835
"345",78.949997,79.900002,78.349998,78.510002,2976100,71.565811
"346",78.879997,79.589996,78.629997,78.779999,2506500,71.811928
"347",78.550003,79.309998,77.870003,78.25,2755300,71.328819
"348",78.889999,79.389999,78.139999,78.300003,3567200,71.374382
"349",78.93,78.980003,75.150002,75.470001,4844100,68.794701
"350",75.080002,76.559998,74.650002,75.949997,4737500,69.232231
"351",70.889999,72.860001,69.709999,70.900002,16433300,64.628899
"352",71,71.040001,68.32,68.449997,8746200,62.395611
"353",68.110001,69.279999,67.769997,68.18,4732000,62.149487
"354",68.470001,69.889999,67.550003,69.599998,4777300,63.443897
"355",69.449997,69.529999,68.199997,68.25,5613400,62.213295
"356",68.5,69.43,67.910004,68.849998,3602200,62.76022
"357",68.940002,70.059998,68.639999,69.860001,3260900,63.680904
"358",69.470001,71.860001,69.32,71.760002,4834300,65.412842
"359",71.75,72.080002,70.75,71.559998,3071500,65.230522
"360",71.870003,72.669998,71.349998,71.660004,3425100,65.321678
"361",71.260002,72.540001,70.910004,72.309998,2816400,65.914177
"362",72.449997,74.230003,72.339996,73.639999,3999800,67.126549
"363",74.050003,74.25,72.919998,74.050003,3238900,67.50029
"364",73.699997,73.739998,72.800003,73.260002,3644200,67.188469
"365",73.209999,74.029999,73.040001,73.32,3295300,67.243484
"366",72.879997,74.980003,71.93,74.809998,6386900,68.610016
"367",74.099998,77.120003,73.970001,77.059998,4096200,70.673531
"368",76,76.800003,75.120003,76.410004,4189100,70.077408
"369",76.379997,76.629997,75.18,75.860001,3307100,69.57299
"370",75.849998,77.739998,75.760002,77.230003,2931500,70.829453
"371",77.690002,77.970001,76.050003,76.260002,3604000,69.93985
"372",75.919998,76.709999,74.580002,75.110001,3348300,68.885139
"373",75.470001,77.230003,75.230003,76.519997,2853900,70.178299
"374",76.540001,76.93,74.050003,74.080002,3002900,67.940521
"375",73.93,75.279999,73.160004,74.989998,3235700,68.775085
"376",75.389999,76.120003,74.580002,74.580002,3004500,68.399071
"377",74.330002,74.449997,72.839996,74.349998,2745600,68.188118
"378",74.330002,74.900002,73.550003,73.629997,1185700,67.527794
"379",73.980003,74.309998,73.260002,73.739998,2141200,67.6287
"380",73.830002,74.389999,73.199997,74.279999,1442500,68.12394
"381",74.57,75.419998,74.400002,75.209999,2397500,68.976852
"382",75.690002,75.760002,74.900002,75.709999,2094500,69.43541
"383",74.540001,74.75,73.029999,74.279999,3230700,68.12394
"384",74.650002,75.080002,74.209999,74.690002,1257400,68.499969
"385",74.779999,76.779999,74.779999,75.879997,3106100,69.591339
"386",75.75,76.220001,75.220001,75.480003,1586500,69.22451
"387",75.779999,76.830002,75.489998,76.559998,1910100,70.214973
"388",76.599998,76.879997,75.970001,76.349998,1910300,70.022377
"389",76.349998,78.790001,76.199997,77.980003,3399600,71.517303
"390",77.510002,77.739998,76.040001,76.110001,2779600,69.802292
"391",75.970001,76.919998,75.75,76.400002,1532400,70.06823
