"","MMC.Open","MMC.High","MMC.Low","MMC.Close","MMC.Volume","MMC.Adjusted"
"1",67.849998,68.040001,67.309998,67.870003,2318200,62.084984
"2",67.919998,68.529999,67.919998,68.290001,1715100,62.469193
"3",68.279999,68.529999,68.059998,68.309998,1562300,62.48748
"4",68.400002,68.830002,68.25,68.68,1842500,62.825954
"5",68.419998,68.43,67.779999,67.800003,1167900,62.020947
"6",67.839996,68.330002,67.459999,67.510002,1781900,61.755676
"7",67.400002,67.68,66.959999,67.440002,2162100,61.691639
"8",67.139999,67.660004,66.75,67.580002,2110200,61.819714
"9",67.690002,68.099998,67.68,67.730003,1222000,61.956917
"10",67.400002,68.019997,67.160004,67.639999,1384800,61.87458
"11",67.849998,68.269997,67.580002,68.169998,1750200,62.359406
"12",68.32,68.32,67.330002,67.449997,1577600,61.700775
"13",67.620003,67.989998,67.489998,67.989998,2107200,62.194748
"14",67.580002,67.720001,67.330002,67.559998,1235100,62.112003
"15",67.800003,68.360001,67.739998,68.230003,1813300,62.727985
"16",68.519997,68.800003,68.410004,68.660004,2164000,63.123318
"17",68.690002,69,68.550003,68.75,1418100,63.206043
"18",68.940002,69.18,68.669998,68.849998,1956800,63.297981
"19",68.559998,68.790001,67.940002,68.339996,1874900,62.829113
"20",68.260002,68.470001,67.699997,68.019997,2191400,62.53492
"21",68.120003,68.410004,67.32,67.410004,2126300,61.974121
"22",67.779999,69.779999,67.610001,69.550003,2931500,63.94154
"23",70.25,70.599998,69.690002,70.519997,2985800,64.833328
"24",70.199997,70.650002,69.860001,69.910004,1654900,64.272522
"25",70.190002,70.260002,69.709999,69.769997,1127900,64.143784
"26",69.379997,70.440002,69.330002,70.410004,2278200,64.732185
"27",70.410004,70.870003,70.410004,70.580002,1641500,64.888489
"28",70.690002,71.290001,70.449997,71.080002,2866500,65.348152
"29",71.25,71.730003,71.029999,71.480003,1414300,65.715912
"30",71.550003,71.989998,71.43,71.940002,1492100,66.138817
"31",71.879997,72.720001,71.669998,72.629997,1609000,66.773163
"32",72.5,73.290001,72.440002,73.260002,2173700,67.352371
"33",72.93,73.519997,72.730003,73.519997,2029800,67.591377
"34",73.379997,73.669998,72.720001,72.93,1729600,67.048981
"35",72.510002,73.18,72.5,72.93,1502900,67.048981
"36",73.150002,73.57,72.870003,73.540001,2203100,67.609787
"37",73.18,73.739998,72.949997,73.510002,1908400,67.582214
"38",73.650002,73.900002,72.660004,73.470001,868800,67.545433
"39",73.230003,73.720001,73.050003,73.480003,1825600,67.554626
