"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"1",83.389999,83.919998,83.019997,83.599998,1029000,76.980042
"2",83.550003,83.93,83.120003,83.489998,778200,76.878761
"3",83.239998,83.629997,82,82.639999,734700,76.096069
"4",82.879997,83.410004,82.510002,82.889999,587700,76.326256
"5",82.889999,83.110001,82.580002,83.019997,853300,76.445953
"6",82.959999,83.080002,82.129997,82.629997,626900,76.086853
"7",82.300003,82.910004,82.300003,82.879997,522300,76.317078
"8",82.610001,82.610001,81.629997,82.18,624400,75.672508
"9",82.389999,83.089996,82.07,82.269997,542500,75.755356
"10",81.809998,82.099998,80.57,80.730003,865700,74.337311
"11",80.970001,81.68,80.550003,81.650002,708800,75.184448
"12",81.690002,82.260002,81.279999,81.860001,566700,75.377823
"13",82.07,82.510002,81.830002,82.360001,616400,75.838242
"14",82.639999,83.5,81.949997,82.440002,855700,75.911911
"15",82.580002,84.82,82.32,84.349998,1126400,77.670662
"16",84.690002,85.440002,84.489998,85.290001,994800,78.53624
"17",85.110001,85.290001,83.349998,83.360001,1298400,76.759048
"18",83.379997,83.379997,81.68,82.980003,1237800,76.409164
"19",82.389999,83.07,81.18,81.699997,1685600,75.230499
"20",81.349998,81.699997,79.900002,80.709999,1381200,74.318909
"21",81.160004,81.779999,79.75,80.029999,1528100,73.692741
"22",79.860001,81.059998,79.629997,81,1961600,74.585938
"23",82.93,83.75,78.949997,81.599998,3440200,75.13842
"24",81.370003,82.309998,80.199997,81.730003,3032600,75.258133
"25",81.720001,81.980003,76.919998,77.339996,11475000,71.215759
"26",77.82,79.449997,77.82,78.25,2484800,72.053696
"27",78.5,78.779999,77.75,77.809998,1740400,71.648521
"28",77.900002,78.519997,77.230003,78.370003,1596100,72.164192
"29",78.790001,79.389999,78.419998,78.480003,1412600,72.265495
"30",78.269997,78.699997,77.919998,78.68,1271200,72.449654
"31",78.610001,79.589996,78.370003,79.400002,1379400,73.112625
"32",79.470001,79.599998,78.440002,78.660004,1131000,72.431229
"33",78.419998,79.360001,78.230003,79.309998,796300,73.029747
"34",79.230003,80.419998,79.199997,80.150002,1073200,73.803261
"35",80.07,80.790001,79.610001,79.650002,994300,73.342819
"36",80.010002,80.360001,78.769997,79.360001,1071300,73.07579
"37",78.970001,80.330002,78.419998,80.269997,1118900,73.91375
"38",80.25,80.379997,79.190002,79.279999,874400,73.002129
"39",79,79.550003,78.910004,78.970001,1427000,72.716682
"40",79.769997,80.269997,78.980003,79.980003,1158000,73.646713
"41",79.730003,80.099998,79.07,80.019997,903800,73.683533
"42",80.019997,80.720001,79.57,80.550003,1051100,74.171577
"43",79.970001,80.300003,79.690002,79.970001,1292000,73.637505
"44",79.650002,80.169998,78.75,79.660004,1459900,73.352051
"45",79.760002,80.510002,79.639999,80.199997,1408600,73.849266
"46",80.129997,81.389999,80.019997,81.370003,1209700,74.92662
"47",81.279999,82.449997,81.279999,82.099998,1221400,75.598831
"48",81.629997,82.120003,81.120003,81.650002,1213400,75.617332
"49",81.400002,83.860001,81.199997,83.360001,2022800,77.201012
"50",83.459999,85.43,83.449997,85.239998,1927900,78.942123
"51",85.339996,86.230003,84.800003,85.150002,1755800,78.858757
"52",85.300003,85.75,84.669998,84.720001,1485100,78.460533
"53",84.529999,84.769997,83.650002,84.300003,1277500,78.071564
"54",86.75,87,83.559998,83.760002,2523400,77.571449
"55",84.129997,84.889999,83.290001,83.589996,1868700,77.414017
"56",83.529999,84.25,83.410004,83.739998,1253100,77.552925
"57",83.959999,84.300003,83.389999,83.669998,929700,77.488098
"58",83.150002,84.199997,82.75,84,847000,77.793739
"59",84,84.480003,83.779999,84,851200,77.793739
"60",84,84.370003,83.900002,84.129997,994500,77.914116
"61",84.129997,84.93,84.099998,84.870003,1180100,78.599442
"62",84.599998,86.510002,84.389999,86.220001,2114100,79.849709
"63",86.220001,86.389999,84.519997,84.830002,1253900,78.562393
"64",84.379997,85.099998,84.25,84.519997,1216000,78.275284
"65",84.779999,85.190002,83.68,83.830002,1022300,77.636299
"66",83.900002,84.760002,83.379997,84.199997,665200,77.978928
"67",84.169998,84.580002,83.690002,84.25,1059200,78.025246
"68",84.32,84.379997,83.669998,83.709999,555400,77.525146
"69",83.68,83.68,83.050003,83.449997,801800,77.28437
"70",83.400002,83.470001,82.489998,82.839996,753000,76.719429
"71",83,83.150002,82.290001,82.339996,827000,76.256363
"72",82.529999,83.139999,82.459999,83.080002,596800,76.941704
"73",82.849998,83.18,82.480003,82.639999,636400,76.534203
"74",82.730003,83.480003,82.730003,83.370003,712700,77.210274
"75",83.68,84.25,83.389999,84.099998,638300,77.886337
"76",84.019997,84.080002,83.589996,83.720001,761400,77.534416
"77",84.769997,84.970001,84.32,84.720001,538400,78.460533
"78",84.769997,85.639999,84.769997,85.389999,754200,79.081024
"79",85.459999,85.980003,85.300003,85.379997,578700,79.071754
"80",85.470001,86.209999,85.410004,86.07,523700,79.7108
"81",86.110001,86.169998,85.309998,85.970001,1087100,79.618156
"82",86.269997,86.629997,85.879997,86.160004,735300,79.794128
"83",86.269997,86.459999,85.400002,85.919998,825800,79.571854
"84",85.639999,86.379997,85.639999,86.370003,676700,79.988617
"85",86.32,86.790001,85.400002,86.099998,908400,79.738564
"86",87.43,87.690002,83.599998,84.440002,2176700,78.201218
"87",84.300003,84.580002,83.110001,83.589996,1776900,77.414017
"88",83.599998,84.790001,83.480003,84.769997,1100400,78.506821
"89",84.629997,85.769997,84.040001,85.769997,1256300,79.432961
"90",85.339996,86.970001,84.529999,85.360001,928600,79.05323
"91",85.050003,85.269997,84.190002,84.209999,657800,77.988205
"92",84.5,84.989998,84.32,84.480003,589100,78.238266
"93",84.389999,84.720001,83.599998,83.699997,1135000,77.515884
"94",83.699997,83.699997,81.580002,81.849998,1327000,75.802567
"95",81.220001,81.699997,80.68,80.830002,1302300,74.857948
"96",81.050003,81.199997,79.629997,80.830002,1571300,74.857948
"97",81.949997,83.129997,81.629997,82.93,1475800,76.802773
"98",82.93,82.93,81.779999,82.110001,980300,76.043358
"99",82.050003,82.349998,80.970001,82.220001,941800,76.145226
"100",82.669998,83.220001,81.889999,82.269997,1346200,76.191536
"101",82.279999,82.720001,81.669998,81.860001,952900,75.811836
"102",82.809998,83.93,82.239998,82.830002,1317000,76.710182
"103",82.870003,83.599998,82.43,83.57,2092500,77.395493
"104",83.949997,85.650002,83.489998,85.639999,1490800,79.312561
"105",85.580002,86.790001,85.199997,86.620003,1318800,80.220146
"106",86.589996,87.449997,86.379997,87.309998,1077400,80.859169
"107",87.209999,87.959999,86.519997,87.459999,1001900,80.998093
"108",87.779999,87.970001,85.669998,86.18,1151600,79.812637
"109",86.18,86.739998,85.209999,86.650002,834200,80.247925
"110",86.75,87.769997,85.389999,86.169998,1173800,79.803391
"111",85.739998,86.209999,85.099998,86.110001,1638300,79.747818
"112",86.300003,86.889999,85.639999,86.040001,1200000,80.1203
"113",86.029999,86.029999,84.5,84.870003,875800,79.030807
"114",84.290001,84.660004,83.860001,84.449997,993400,78.639702
"115",84.660004,84.919998,84.300003,84.720001,1172300,78.891129
"116",85.050003,86.300003,84.919998,86.199997,783000,80.269295
"117",86,86.029999,85.410004,85.739998,730800,79.840942
"118",86.07,86.379997,85.82,86.239998,1100200,80.306534
"119",86.25,87.699997,85.949997,87.360001,1038900,81.34948
"120",87.410004,88.760002,87.080002,88.639999,1641400,82.541428
"121",88.75,89.150002,88.389999,88.419998,758200,82.336555
"122",88.559998,88.790001,87.720001,87.720001,792000,81.6847
"123",88.160004,88.669998,87.809998,88.129997,1108300,82.066513
"124",88.089996,88.300003,86.190002,86.800003,1436700,80.828026
"125",87,87.559998,86.68,86.739998,1229300,80.772156
"126",86.989998,87.279999,86.669998,86.68,472300,80.71627
"127",86.830002,87.220001,86.419998,86.830002,815200,80.855949
"128",86.699997,86.709999,85.589996,85.959999,860700,80.045807
"129",86.349998,87.599998,86.290001,87.309998,617400,81.302933
"130",86.839996,87.599998,86.839996,87.230003,548500,81.228439
"131",87.379997,87.779999,86.68,87.650002,479900,81.61953
"132",88.199997,88.790001,87.910004,88.650002,581500,82.550743
"133",88.580002,88.910004,88.059998,88.330002,683400,82.252762
"134",88.239998,88.650002,87.769997,88.610001,460700,82.513489
"135",88.43,88.550003,88.059998,88.279999,444700,82.206177
"136",88.089996,88.470001,87.5,88.449997,540400,82.364479
"137",88.809998,90,88.519997,89.779999,726400,83.602974
"138",89.779999,89.989998,89.220001,89.959999,531500,83.770599
"139",89.989998,91.419998,89.639999,90.519997,1081500,84.292061
"140",90.510002,91.080002,90.150002,90.669998,552600,84.431755
"141",90.889999,91.5,90.650002,91.389999,669400,85.102211
"142",91.510002,92.190002,91.230003,91.839996,686800,85.521248
"143",91.989998,92.32,91.379997,92.209999,732500,85.865807
"144",91.989998,92.669998,91,91.010002,1015400,84.748352
"145",91.220001,91.449997,89.739998,90.68,1004700,84.441063
"146",91.050003,92.169998,90.900002,91.949997,726200,85.62368
"147",91.900002,91.989998,90.309998,90.43,646400,84.208275
"148",90.510002,91.349998,90.209999,90.400002,971400,84.180328
"149",91.589996,93.75,89.629997,90.370003,2085500,84.152405
"150",90.349998,90.349998,88.639999,89.199997,1307000,83.062897
"151",89.18,89.480003,88.300003,88.580002,989000,82.485558
"152",88.129997,88.529999,87.699997,88.510002,773400,82.420364
"153",87.849998,88.169998,86.970001,86.989998,901000,81.004944
"154",87.150002,88.32,86.959999,87.480003,806000,81.461243
