"","KSU.Open","KSU.High","KSU.Low","KSU.Close","KSU.Volume","KSU.Adjusted"
"1",85.519997,85.639999,80.620003,80.82,2920500,76.489868
"2",81.260002,82.07,79.050003,81.18,4636700,76.830574
"3",81.220001,82.919998,81.080002,81.709999,2346900,77.332169
"4",81.699997,84.300003,81.410004,83.809998,1778100,79.319672
"5",83.300003,83.75,81.220001,81.550003,1712500,77.180763
"6",81.540001,82.440002,80.779999,81.279999,924200,76.925217
"7",81.269997,82.230003,81.25,81.449997,1641200,77.086098
"8",81.209999,82.389999,80.379997,82.120003,1701000,77.72023
"9",82.459999,84.080002,81.769997,83.889999,1844600,79.39537
"10",84.410004,86.25,83.730003,84.260002,1850600,79.74556
"11",83.980003,85.360001,83.360001,84.959999,1666400,80.408043
"12",87.190002,88.080002,84.169998,84.5,2940400,79.972694
"13",85,89.089996,84.110001,87.910004,4102700,83.200005
"14",86.07,86.949997,84.970001,85.599998,2065200,81.013756
"15",85.93,87,85.5,86.349998,1325200,81.723579
"16",86.690002,88.940002,86.599998,88.870003,1920200,84.108582
"17",87.550003,89.059998,87.010002,87.279999,2571900,82.603745
"18",87.489998,87.489998,85.169998,86,2429600,81.392334
"19",85.739998,86.690002,85.18,86.360001,1579300,81.73304
"20",85.989998,86.25,85.18,85.910004,2237400,81.307167
"21",85.790001,86.839996,85.400002,86.050003,2028400,81.439651
"22",85.57,85.720001,84.5,84.940002,1246800,80.38913
"23",85.220001,86.150002,84.5,85.610001,1340000,81.023216
"24",85.489998,86.139999,84.769997,85.220001,977800,80.654121
"25",85.529999,86.050003,84.68,85,1316900,80.445915
"26",84.830002,85.080002,83.650002,85.059998,1375500,80.502686
"27",85.300003,86.389999,85.300003,85.959999,1320500,81.354454
"28",86.099998,86.489998,85.470001,85.800003,1802100,81.203049
"29",86.349998,87.279999,86.010002,86.669998,1133100,82.026428
"30",86.68,86.709999,85.589996,86.419998,2378000,81.789825
"31",86.050003,86.900002,85.870003,86.75,1757800,82.10215
"32",86.839996,87.25,86.400002,86.849998,1021800,82.196785
"33",86.559998,87.050003,86.029999,86.889999,1126100,82.234642
"34",87.230003,88,87.050003,87.660004,1388300,82.963409
