"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"1",103.68,104.769997,103.449997,104.050003,3379100,95.939247
"2",104.339996,106.5,104.099998,105.82,4439000,97.571297
"3",105.639999,106.25,105.040001,105.349998,2328300,97.137917
"4",105.800003,106.75,105.410004,106.489998,2633300,98.189056
"5",105.940002,106.309998,104.849998,105.190002,2195000,96.990402
"6",105,105.349998,104.629997,104.889999,1745100,96.713783
"7",105.099998,105.830002,104.970001,105.709999,1235300,97.469864
"8",105.160004,105.43,103.989998,105.169998,2166000,96.971931
"9",105.559998,106,104.959999,105.790001,1360500,97.543625
"10",105.709999,105.709999,104.099998,104.339996,2438800,96.20665
"11",104.959999,105.650002,104.449997,105.239998,1941200,97.036499
"12",105.43,105.699997,104.919998,105.019997,1526100,96.833641
"13",105.470001,107.029999,105.040001,106.739998,2843900,98.419563
"14",106.790001,107.300003,106.449997,107.120003,2073100,98.769943
"15",106.370003,108,106.370003,107.669998,2277800,99.277077
"16",107.82,108.470001,107.580002,108.059998,2181200,99.636681
"17",107.949997,108.080002,106.93,107.629997,1560000,99.240189
"18",107.800003,107.989998,107.099998,107.989998,1220700,99.572121
"19",107.730003,107.730003,106.449997,107.059998,2420700,98.714638
"20",106.309998,107.150002,105.639999,107.050003,1645800,98.705406
"21",107.300003,107.860001,106.650002,107.150002,1375100,98.797615
"22",107.150002,107.580002,106.620003,107.43,1167600,99.055779
"23",107.510002,108.080002,107.279999,107.989998,1895100,99.572121
"24",107.760002,108.150002,107.449997,108.059998,2022300,99.636681
"25",108.489998,108.900002,108.07,108.760002,1755900,100.282127
"26",108.279999,108.550003,107.75,108.410004,1605900,99.959419
"27",108.410004,109.190002,108.089996,109.120003,2715500,100.614044
"28",109.25,110.389999,109.150002,110.239998,2757800,101.646744
"29",109.970001,112.18,109.519997,110.75,2704100,102.117004
"30",109.879997,110.419998,109.059998,110.050003,3521100,101.471558
"31",109.080002,109.669998,108.309998,109.120003,5231900,100.614044
"32",109.150002,109.400002,107.959999,109.169998,4757900,100.660141
"33",111.769997,112.160004,107.779999,110.269997,6717800,101.674408
"34",110.239998,110.269997,108.550003,109.610001,3355000,101.065857
"35",108.800003,109.919998,108.699997,109.650002,4206300,101.102722
"36",109.550003,109.699997,106.720001,107.730003,4170700,99.33239
"37",107.269997,108.669998,107.080002,108.620003,2166400,100.153023
"38",108.650002,109.739998,108.559998,109.510002,1835200,100.973648
"39",108.910004,110.620003,108.910004,109.489998,2812500,100.9552
"40",110.720001,111.779999,110.709999,111.220001,2859800,102.550346
"41",110.769997,111.230003,109.379997,109.540001,2348400,101.001305
"42",109.419998,111.010002,108.860001,110.830002,1886800,102.19075
"43",109.910004,111.059998,109.709999,110.839996,1688700,102.199959
"44",110.830002,110.949997,110.019997,110.239998,1640000,101.646744
"45",110.440002,111.309998,110.150002,110.470001,1892600,101.85881
"46",110.540001,110.900002,108.809998,109.580002,2125600,101.038185
"47",109.830002,110,108.879997,109.919998,1876800,101.351685
"48",110.169998,110.669998,109.349998,109.879997,1450700,101.314796
