"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume","TAP.Adjusted"
"1",97.889999,98.589996,97.220001,97.879997,1104900,88.743034
"2",98.43,99.519997,98.220001,99.410004,1213400,90.130226
"3",99.480003,100.279999,99.010002,99.68,2072700,90.375023
"4",99.669998,100.209999,99.32,99.790001,879500,90.474739
"5",99.68,99.68,97.93,98.279999,1347700,89.105705
"6",98.330002,98.709999,95.879997,96.410004,2558100,87.410278
"7",96.489998,96.949997,95.610001,95.669998,1590700,86.739342
"8",95.389999,95.720001,94.849998,95.43,2101400,86.521744
"9",96.120003,97.790001,95.870003,97.620003,1608400,88.507317
"10",97.529999,98.839996,97.529999,97.910004,1339400,88.770233
"11",98,99.220001,97.93,98.199997,1138500,89.033165
"12",97.989998,98.470001,97.419998,97.540001,993600,88.434784
"13",97.959999,98.139999,97.139999,97.620003,908200,88.507317
"14",97.059998,97.629997,95.839996,96.190002,1698100,87.210808
"15",96.190002,97.269997,94.5,96.879997,2209300,87.836395
"16",97.300003,97.849998,96.690002,96.989998,2238900,87.936111
"17",97.089996,97.440002,95.93,96.040001,1305000,87.074806
"18",95.989998,96.459999,95.18,95.349998,1017400,86.449219
"19",95.510002,95.540001,94.419998,95.470001,1179300,86.558022
"20",95.239998,96.690002,94.910004,96.519997,1299300,87.509995
"21",96.349998,96.980003,95.660004,96.419998,1300400,87.419342
"22",96.879997,97.209999,95.889999,95.949997,1094600,86.993195
"23",96.620003,97.669998,96.129997,97,1519500,87.94519
"24",97.129997,97.129997,96.209999,96.480003,1904300,87.473724
"25",96.400002,96.620003,94.510002,94.889999,3250800,86.032158
"26",94.910004,96.720001,94.650002,95.620003,2693900,86.694023
"27",95.620003,96.93,95.339996,96.669998,1655200,87.645981
"28",96.669998,96.940002,95.870003,95.949997,1562100,86.993195
"29",96.389999,96.559998,95.669998,96.209999,1653200,87.228928
"30",97.169998,100.099998,94.120003,99.5,4140200,90.211807
"31",99,99.349998,98.32,99.029999,2634800,89.78569
"32",98.809998,100.330002,98.519997,99.800003,1864900,90.48381
"33",99.919998,102.139999,99.629997,101.589996,2856500,92.10672
"34",101.139999,101.910004,100.290001,100.529999,2355700,91.145676
"35",100.150002,100.809998,99.760002,100.220001,1062500,90.864601
"36",100,101.18,99.860001,100.050003,1036300,90.71048
"37",99.800003,101.169998,98.919998,101.019997,1729500,91.966797
"38",100.699997,100.849998,99.32,99.519997,1634000,90.601219
"39",99.790001,100.699997,99.050003,100.389999,1657100,91.39325
"40",100.470001,100.889999,99.610001,99.660004,1325300,90.728699
"41",98.970001,99.550003,98.410004,98.489998,1430700,89.663544
"42",98.349998,99.860001,98.260002,99.849998,1912100,90.901665
"43",99.5,99.650002,98.150002,98.230003,986800,89.426826
"44",98.230003,98.370003,96.790001,96.989998,1546000,88.297958
"45",96.760002,97.18,96.25,96.769997,1952600,88.097687
"46",96.629997,97.129997,96.220001,96.790001,1298900,88.115883
"47",97.370003,97.5,96.470001,97.099998,854400,88.398102
"48",96.82,97.550003,96.650002,97.489998,1494300,88.753151
"49",97.550003,98.120003,97,97.110001,735800,88.407211
"50",97.139999,98.330002,97,97.900002,981500,89.126427
"51",97.980003,98.489998,97.629997,98.230003,980300,89.426826
"52",98.75,99.370003,97.019997,98.379997,1612300,89.5634
"53",98.599998,98.870003,97.980003,98.639999,1303700,89.800087
"54",98.75,99.650002,97.980003,98.029999,1820700,89.244759
"55",98.25,98.449997,97.360001,97.510002,887100,88.77137
"56",97.089996,97.919998,97.059998,97.25,872900,88.534653
"57",97.290001,97.730003,96.739998,97.019997,586700,88.325272
"58",96.589996,96.980003,96.139999,96.459999,1032100,87.815453
"59",96.25,96.57,95.489998,96.300003,1392500,87.6698
"60",96.169998,96.739998,95.75,96.660004,1115700,87.997536
"61",96.209999,96.559998,95.5,95.57,1307600,87.005211
"62",95.349998,96.18,95.199997,95.709999,1453700,87.132675
"63",95.980003,96.269997,95.18,95.459999,1328300,86.905083
"64",95.279999,95.75,94.599998,95.589996,1538100,87.02343
"65",95.459999,96.239998,95.110001,95.459999,1446500,86.905083
"66",95.620003,97,95.599998,96,1449600,87.396683
"67",95.860001,96.230003,95.18,95.370003,995700,86.823135
"68",95.260002,96.099998,95.059998,95.889999,827400,87.296532
"69",95.769997,95.769997,94.709999,95.580002,1092200,87.014343
"70",95.529999,95.720001,95.169998,95.559998,834600,86.996117
"71",95.5,95.610001,94.559998,94.559998,855900,86.085732
"72",94.779999,95.18,94.470001,95.129997,676100,86.604652
"73",94.980003,96.599998,94.720001,96.32,1176100,87.687996
"74",96.32,96.620003,95.760002,96.160004,1473500,87.542351
"75",95.480003,95.589996,94.599998,95.050003,1607300,86.531815
"76",94.980003,95.199997,94.580002,94.860001,1807600,86.358841
"77",95.620003,96.410004,95.489998,96.040001,1185000,87.433098
"78",96.339996,96.970001,96.32,96.519997,1215900,87.870071
"79",96.43,96.769997,95.790001,95.830002,972000,87.241905
"80",96.199997,96.650002,95.559998,95.779999,1319300,87.196404
"81",95.760002,96.050003,95.169998,95.889999,958500,87.296532
