"","ADI.Open","ADI.High","ADI.Low","ADI.Close","ADI.Volume","ADI.Adjusted"
"1",72.599998,74.129997,72.089996,72.510002,2687200,65.913002
"2",72.769997,73.029999,72.25,72.360001,1971000,65.776634
"3",72.410004,72.610001,71.279999,71.32,2067300,64.831261
"4",71.580002,71.949997,71,71.599998,2069700,65.085785
"5",71.639999,72.510002,71.519997,71.940002,2399500,65.394844
"6",71.870003,72.510002,71.849998,72.349998,2403200,65.76754
"7",72.269997,72.660004,72.07,72.620003,1580900,66.013
"8",72.419998,72.419998,71,72.220001,2099200,65.649368
"9",72.360001,72.879997,72.110001,72.669998,1509100,66.058441
"10",72.230003,73.410004,71.849998,72.279999,2374600,65.703918
"11",72.639999,73.629997,72.220001,73.010002,2107100,66.367493
"12",72.879997,73.389999,72.290001,72.440002,1988200,65.849365
"13",72.089996,73.650002,72.089996,72.879997,1811600,66.249336
"14",72.739998,73.239998,72.410004,72.779999,2205600,66.158432
"15",73.010002,73.68,72.559998,73.510002,3312900,66.822014
"16",74.690002,75.589996,74.510002,74.540001,3944300,67.758308
"17",74.370003,74.540001,73.769997,74.199997,4172100,67.449226
"18",74.550003,76.940002,74.25,76.93,3820600,69.93087
"19",76.760002,76.760002,75.230003,76.279999,2476300,69.339996
"20",76.139999,76.190002,74.599998,74.940002,2609900,68.12191
"21",75.760002,76.730003,75.419998,76.169998,2588600,69.240005
"22",75.660004,76.029999,75.139999,75.230003,2490000,68.385513
"23",75.519997,75.730003,75.260002,75.519997,2143100,68.649147
"24",75.650002,75.650002,74.940002,75.529999,1789200,68.658234
"25",75.690002,76.580002,75.389999,76.309998,2136100,69.367264
"26",77,77.75,76.779999,77.480003,3397800,70.430832
"27",77.769997,77.769997,76.480003,76.510002,2192300,69.54908
"28",76.779999,76.779999,75.540001,76.529999,1667900,69.567253
"29",77.010002,78.029999,76.809998,77.919998,2637600,70.830795
"30",77.839996,77.970001,77.07,77.839996,2589600,70.758057
"31",80.800003,81.629997,77.959999,81.599998,7032700,74.17598
"32",81,82.57,80.75,81.970001,3465000,74.512314
"33",81.800003,82.5,81.480003,82.480003,2933200,74.975914
"34",82.5,82.870003,81.989998,82.82,2375600,75.284973
"35",82.309998,82.389999,81.519997,82.059998,3679500,75.00164
"36",82.150002,82.160004,81.029999,81.610001,2277500,74.590355
"37",80.970001,81.699997,80.82,81.68,2841100,74.654343
"38",81.650002,82.43,81.239998,82.279999,1793100,75.202728
"39",82.18,82.239998,81.580002,81.93,2045400,74.882813
"40",82.449997,83.790001,82.150002,83.760002,2265100,76.555428
"41",83.389999,84.080002,83.040001,83.650002,2714300,76.454872
"42",83.620003,83.650002,83.040001,83.18,2357200,76.025322
"43",83,84.239998,82.349998,83.849998,3717400,76.63768
"44",83.699997,84.169998,83.209999,83.410004,2892700,76.235535
"45",83.769997,83.849998,83.18,83.480003,2381400,76.299507
"46",83.379997,83.660004,82.800003,83.169998,2005300,76.01619
"47",83.870003,83.870003,82.029999,82.199997,7495200,75.129608
"48",82.150002,82.989998,82.050003,82.760002,4873800,75.641426
"49",82.519997,83.730003,82.400002,83.68,4881100,76.482292
"50",83.449997,83.669998,82.559998,83.510002,4499200,76.326927
"51",83.290001,83.5,82.410004,82.720001,4107700,75.604881
"52",83.309998,83.339996,82.730003,83.260002,4184000,76.098427
"53",83.260002,83.699997,82.879997,82.900002,2714000,75.769409
"54",83.25,83.459999,81.690002,81.800003,3316600,74.764008
"55",81.839996,82.260002,81.650002,82.120003,2604300,75.056496
"56",82.239998,82.330002,81.309998,81.540001,3395000,74.526375
"57",81.860001,82.949997,81.400002,81.639999,2223500,74.61779
"58",81,81.540001,80.389999,81.400002,2450700,74.398407
"59",81.309998,82.510002,81.07,82.199997,2916400,75.129608
"60",81.889999,82.220001,81.470001,81.910004,2040500,74.864548
"61",81.870003,82.610001,81.629997,82.199997,1337700,75.129608
"62",82.050003,82.480003,81.769997,81.949997,2337300,74.901108
"63",82.019997,82.269997,80.860001,81.239998,3084400,74.252182
"64",80.809998,81.389999,80.5,81.239998,5040800,74.252182
"65",81.589996,81.650002,80,80.040001,3513800,73.155396
"66",80.110001,80.660004,79.589996,80.32,3970800,73.411308
"67",80.300003,80.589996,79.650002,80.010002,3308900,73.127968
"68",80,80.120003,79.190002,79.330002,2907000,72.506477
"69",78.940002,78.949997,76.940002,78.080002,6040200,71.363991
"70",78.269997,78.449997,76.629997,76.870003,2904100,70.258064
"71",76.870003,77.849998,76.470001,76.510002,2223200,69.929024
"72",76.779999,77.199997,76.150002,76.389999,2462200,69.819359
"73",75.830002,77.529999,75.82,77.410004,3342500,70.75161
"74",77.690002,78.199997,76.93,76.989998,2625500,70.367729
"75",77.519997,78.889999,77.199997,78.660004,2898900,71.894096
"76",77.199997,78.18,76.410004,77.629997,4476600,70.95269
"77",79.470001,80.07,78.989998,79.220001,2993600,72.40593
"78",79.400002,79.730003,78.949997,79.349998,2570300,72.524727
"79",79.410004,79.459999,77.580002,77.980003,2998700,71.272583
"80",78.650002,78.879997,77.559998,77.849998,2375300,71.153755
"81",77.860001,77.980003,75.959999,76.199997,4316400,69.645683
"82",75.050003,76.419998,74.650002,76.220001,4571800,69.663963
"83",76.480003,76.489998,75.300003,75.510002,5528100,69.015045
"84",75.309998,75.860001,75.160004,75.599998,3132000,69.097298
"85",75.739998,76.169998,75.209999,75.660004,2300600,69.152161
"86",75.779999,75.870003,75.269997,75.790001,3283400,69.270966
"87",75.660004,76.589996,75.360001,76.379997,5040200,69.810196
"88",76.830002,79.190002,76.769997,78.5,5265300,71.747856
"89",79.510002,80.010002,78.620003,79.029999,3944400,72.232269
"90",78.730003,79.25,77.809998,78.440002,2288800,71.693024
"91",78.620003,79.040001,78.459999,78.629997,1975300,71.866684
"92",79.169998,80.370003,78.809998,80.209999,4034200,73.31076
"93",80.449997,81.309998,80.080002,81.050003,3011900,74.078529
"94",80.019997,80.269997,78.370003,78.419998,3592000,71.674736
"95",79.519997,81.32,79.029999,80.480003,5026600,73.557533
"96",80.650002,82.269997,80.650002,81.239998,4024400,74.252182
"97",81.57,82.360001,81.43,82.089996,2009500,75.029068
"98",82.089996,82.32,80.900002,81.959999,2146500,74.910248
"99",82.459999,82.580002,81.669998,82.120003,1749100,75.056496
"100",82.32,82.949997,81.739998,82.339996,4015000,75.257553
"101",82.5,82.889999,81.940002,82.809998,1910600,75.687134
"102",83,85.169998,83,84.800003,6744900,77.505966
"103",88.989998,90.489998,85.760002,85.760002,14864300,78.383392
"104",86.279999,86.32,81.900002,82.209999,11366000,75.138756
"105",81.610001,82.139999,79.919998,80.910004,8927600,73.950569
"106",81.010002,81.300003,78.260002,78.75,8580200,71.976357
"107",78.610001,80.440002,78.610001,80.099998,5486300,73.21022
"108",80.150002,81.099998,80.129997,80.830002,3913700,74.29483
"109",81.300003,82.510002,80.339996,82.440002,3754700,75.774643
"110",82.93,82.980003,77.580002,78.599998,4941900,72.245117
"111",78.010002,80.470001,77.93,79.739998,5528600,73.292969
"112",80.150002,81.730003,80.150002,81.230003,4063400,74.662491
"113",81.690002,81.860001,79.980003,80.940002,3173900,74.39595
"114",79.779999,80.75,79.540001,79.75,2986100,73.302147
"115",80.18,80.230003,78.970001,80.040001,5700600,73.568703
"116",81,81.25,79.839996,80.370003,3118000,73.872032
"117",80.279999,81.650002,79.18,79.199997,3918100,72.7966
"118",79.5,80.209999,79,79.980003,3525100,73.513557
"119",80.800003,81.669998,80,81.32,4364500,74.745216
"120",81.160004,82.139999,80.900002,81.550003,10736900,74.956635
"121",81.949997,82.099998,79.910004,80.57,2536500,74.055847
"122",80.139999,80.550003,77.82,78.139999,4009800,71.822311
"123",78.550003,79.389999,77.860001,79.199997,2721300,72.7966
"124",78.940002,79.120003,76.18,77.739998,3580600,71.454651
"125",78.300003,78.330002,77.220001,77.800003,2193600,71.509811
"126",78.269997,78.550003,76.07,76.110001,1368100,69.956451
"127",76.489998,78.110001,76.379997,77.739998,2767400,71.454651
"128",76.910004,77.730003,76.510002,77.330002,2898000,71.077812
"129",77.639999,78.849998,77.5,78.470001,2803700,72.125641
"130",78.510002,78.860001,77.760002,78.730003,2167800,72.364616
"131",78.949997,80.360001,78.269997,79.860001,2763000,73.403252
"132",80.400002,81.169998,80.029999,80.370003,2590800,73.872032
"133",80.32,80.75,79.860001,80.269997,1709300,73.780106
"134",80.720001,81.690002,80.510002,81.550003,2153600,74.956635
"135",81.610001,81.849998,80.940002,81.089996,1483000,74.533798
"136",80.959999,81.190002,80.150002,81.139999,1686000,74.579781
"137",81.349998,81.379997,80.120003,80.370003,2810300,73.872032
"138",80.349998,80.889999,79.989998,80.849998,1804800,74.313225
"139",80.07,80.220001,78.43,78.959999,3122500,72.576004
"140",78.959999,79.459999,78.419998,78.75,1924700,72.382996
"141",78.790001,80.099998,78.449997,79.519997,1865700,73.090736
"142",80.139999,81.300003,79.800003,80.720001,2298100,74.193733
"143",80.830002,81.279999,78.959999,79.550003,2683400,73.118317
"144",79.239998,79.370003,78.489998,79.239998,1677700,72.833374
"145",79.459999,79.93,78.940002,79.010002,2199700,72.621979
"146",79.230003,79.470001,78.639999,78.949997,1728100,72.566811
"147",79.489998,79.650002,78.360001,78.82,2250800,72.447334
"148",78.669998,78.989998,77.730003,77.940002,2162900,71.638489
"149",78.089996,78.400002,77.529999,77.779999,2382200,71.491417
"150",79.650002,79.650002,77.760002,78.870003,2047900,72.493309
"151",78.660004,79.879997,78.410004,78.970001,1894200,72.585213
"152",78.519997,78.650002,77.419998,77.980003,1979000,71.67524
"153",77.470001,77.949997,76.650002,76.830002,2355400,70.61824
"154",76.760002,78.290001,76.410004,78.040001,1919400,71.730423
"155",78.660004,80.160004,78.57,79.900002,2230200,73.440025
"156",79.93,80.370003,79.279999,79.959999,1784200,73.495148
"157",80.010002,80.900002,79.790001,80.059998,2147200,73.58709
"158",79.800003,79.889999,77.550003,77.559998,2064500,71.289207
"159",77.599998,78.07,77.029999,77.739998,1884400,71.454651
"160",77.809998,77.989998,76.949997,77.699997,1461300,71.417892
"161",78.120003,79.300003,78.089996,79.169998,1735400,72.769058
"162",78.5,79.300003,78.120003,79.07,1597900,72.677132
"163",79.349998,79.440002,78.830002,79.269997,1316900,72.860947
