"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"893",79.120003,83.919998,78.910004,83.660004,3690200,81.176765
"894",83.830002,86.400002,83.669998,85.25,2862100,82.719566
"895",85.330002,86.489998,85,86.059998,2635300,83.505539
"896",86.5,87.239998,85.120003,85.739998,2678700,83.195023
"897",85.739998,86.889999,85.269997,85.919998,1586800,83.369675
"898",85.970001,86.629997,85.010002,85.449997,1997100,82.913628
"899",85.059998,86.199997,85.010002,85.989998,1643800,83.437592
"900",85.129997,85.129997,84.029999,84.610001,1238300,82.098572
"901",84.230003,85.089996,83.699997,85.080002,1587200,82.554626
"902",84.970001,86.18,84.75,85.610001,1309100,83.068878
"903",84.709999,85.300003,84.5,84.910004,1415300,82.389664
"904",85.599998,86.970001,85,86.900002,1467900,84.320587
"905",86.529999,87.389999,86.529999,87.360001,1434900,84.766937
"906",87.059998,88.629997,86.809998,88.599998,1361700,85.970131
"907",88.580002,90.639999,87.360001,89.849998,2262900,87.499062
"908",90.480003,91.300003,89.809998,90.389999,1522800,88.024925
"909",90.610001,90.989998,89.870003,90.330002,1575700,87.966507
"910",90.019997,90.019997,88.25,88.5,1550100,86.184387
"911",88.5,89.459999,88.010002,88.949997,1365600,86.622597
"912",89.25,89.529999,88.370003,88.610001,1856700,86.291496
"913",88.959999,89.480003,88.379997,88.559998,986500,86.242798
"914",88.459999,89.050003,87.760002,88.110001,1402100,85.804573
"915",87.669998,88.349998,86.889999,87.18,984400,84.898918
"916",87.040001,87.440002,86.459999,87.019997,1300400,84.743088
"917",87.25,87.910004,86.699997,86.900002,1695600,84.626244
"918",87.459999,87.839996,86.169998,86.410004,1324600,84.149071
"919",86.07,87.239998,85.419998,86.870003,1103100,84.597031
"920",87.440002,87.550003,85.970001,86.330002,1105700,84.071159
"921",86.089996,86.5,85.519997,86.489998,1149900,84.226967
"922",85.970001,86.669998,85.690002,85.839996,1435600,83.593971
"923",85.980003,87.129997,85.010002,87.050003,1730400,84.772316
"924",87.040001,88.199997,87.040001,87.879997,1534700,85.580597
"925",88.860001,89.029999,84.790001,85.449997,1610600,83.214172
"926",86.389999,86.769997,85.010002,85.620003,1490400,83.379738
"927",84.82,85.239998,83.360001,83.489998,1752500,81.305466
"928",83.879997,85.510002,83.550003,84.959999,2129300,82.737007
"929",84.540001,85.629997,82.360001,82.839996,1415800,80.67247
"930",83.050003,84.230003,82.900002,83.889999,2842900,81.694992
"931",84.639999,86.589996,84.199997,86.360001,1551500,84.100365
"932",86.389999,86.980003,85.660004,85.769997,1743000,83.525803
"933",86.769997,87.290001,85.849998,86.419998,1328800,84.158806
"934",85.040001,86.900002,84.230003,85.860001,1621700,83.613449
"935",85.940002,86.239998,83.980003,84.239998,2237100,82.035835
"936",83.410004,83.580002,80.360001,81.860001,1665800,79.718117
"937",81.480003,83.169998,80.970001,82.339996,1342500,80.185547
"938",82.580002,83.550003,81.169998,81.610001,1465700,79.474655
"939",81.25,83.199997,80.410004,82.160004,1093800,80.010277
"940",82.540001,84.099998,81.809998,83.529999,1192900,81.344421
"941",84.669998,86.650002,84.669998,86.550003,1588300,84.285416
"942",86.260002,87.199997,85.779999,86.150002,1120000,83.895874
"943",86.529999,87.699997,84.68,85.279999,1984600,83.048637
"944",86.010002,86.220001,83.559998,84.489998,1136000,82.279297
"945",83.550003,85.839996,82.849998,84.989998,1038900,82.766205
"946",85.93,88.43,85.68,88.089996,1195900,85.785103
"947",88.080002,89.849998,87.449997,87.68,1253200,85.385834
"948",88.769997,90,88.370003,89.889999,1060100,87.538002
"949",89.610001,89.959999,88,89.940002,779500,87.5867
"950",90,90.959999,88.830002,89.220001,1837600,86.885544
"951",90.220001,90.269997,89.129997,89.779999,1746300,87.430885
"952",88.940002,89.900002,87.599998,88.540001,1667100,86.223328
"953",88.260002,90,88.260002,88.970001,1182800,86.642075
"954",87.980003,89.239998,87.860001,89.160004,928000,86.82711
"955",89.610001,91.330002,87.949997,89.940002,1918200,87.5867
"956",89.970001,91.599998,89.970001,91.059998,2596200,88.677391
"957",91.379997,92,89,90.339996,3928900,87.976234
"958",90.089996,91.779999,90.019997,90.910004,2538600,88.531326
"959",92.019997,92.480003,90.599998,91.690002,1730100,89.290916
"960",92.07,92.959999,91.739998,92.639999,1556400,90.216049
"961",91.260002,91.419998,89.489998,90.57,1896800,88.200226
"962",90.760002,91.389999,88.370003,88.449997,1339600,86.135681
"963",86.790001,87.519997,84.889999,84.889999,1855100,82.668823
