"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"1",49.635735,50.095402,48.933216,49.462273,795570,46.049076
"2",49.731136,50.563747,49.635735,50.485691,804909,47.001865
"3",50.34692,51.326973,50.234173,50.676495,916520,47.179508
"4",50.711189,50.971378,50.34692,50.581093,771818,47.090683
"5",50.555073,50.980053,50.173462,50.260193,718665,46.791927
"6",50.381615,50.546402,49.783173,50.043365,856910,46.590069
"7",50.147442,50.945358,49.939289,50.936687,920094,47.421738
"8",51.101475,51.474415,50.459671,51.422375,898533,47.873917
"9",51.483089,51.647877,51.257587,51.405029,862213,47.857758
"10",51.431049,51.569817,50.693844,50.954033,617201,47.437881
"11",51.023418,51.448395,50.702515,50.780571,594256,47.276398
"12",51.405029,51.717258,51.127495,51.46574,1083705,47.914284
"13",51.699913,52.888119,51.604511,52.307026,2772389,48.697521
"14",52.055508,52.740677,52.038162,52.679966,1037585,49.044727
"15",52.853428,54.006939,52.679966,53.451866,2112296,49.763359
"16",53.772766,54.223763,53.460537,54.09367,1055226,50.360874
"17",54.215092,54.501301,53.590633,53.902863,1341400,50.183228
"18",53.868172,54.084995,53.330441,53.555943,932892,49.860256
"19",53.417171,53.417171,51.951431,52.471813,1453472,48.850929
"20",52.419773,52.740677,51.968777,52.176929,1263688,48.576397
"21",52.367737,52.775368,51.934086,52.558544,945691,48.931683
"22",52.567215,52.836079,51.91674,52.454468,898302,48.834778
"23",52.61058,52.827408,52.090199,52.298351,1092122,48.689442
"24",52.298351,52.801388,51.942757,52.619255,1734919,48.988201
"25",50.581093,51.595837,49.141369,49.462273,4356149,46.049076
"26",50.364265,50.364265,49.028622,49.644405,2190124,46.218639
"27",49.956635,50.208153,49.488293,49.687771,1300353,46.259003
"28",50.008675,50.251518,49.505638,50.164787,1844800,46.703102
"29",50.442326,51.43972,50.442326,50.954033,1731921,47.437881
"30",50.659149,51.058109,50.199478,50.355595,1582031,46.880753
"31",50.078056,50.7719,49.982655,50.216827,1688799,46.75156
"32",50.242844,50.858631,49.97398,50.156113,1452088,46.695026
"33",50.303555,50.702515,49.947964,50.503036,2912363,47.018017
"34",50.615784,50.928013,50.017345,50.225498,1540408,46.759628
"35",49.982655,50.945358,49.921944,50.685169,2963210,47.187588
"36",51.023418,51.257587,50.104076,50.294884,1312691,46.824226
"37",49.939289,50.450996,49.713791,50.416306,1310154,46.937275
"38",50.390285,50.546402,49.878578,49.982655,581227,46.533543
"39",49.835213,50.407631,49.687771,49.97398,1194969,46.525459
"40",50.641804,51.8647,50.563747,51.361664,2056145,47.817398
"41",51.205551,51.751949,51.17086,51.561146,1754174,48.003105
"42",51.639202,51.847355,51.214226,51.413704,1306810,47.865833
"43",51.14484,51.43972,50.74588,51.300953,1297817,47.76086
"44",51.196877,51.621857,50.832611,51.248917,1568541,47.712425
"45",51.214226,51.405029,50.537727,50.572418,1427183,47.082611
"46",50.728535,51.5438,50.728535,51.023418,2035391,47.502487
"47",51.49176,52.176929,51.266262,52.081528,1190011,48.487583
"48",52.185604,52.532524,51.882046,52.350391,934507,48.737888
"49",51.91674,52.22897,51.552471,51.673893,755446,48.10807
