"","AWK.Open","AWK.High","AWK.Low","AWK.Close","AWK.Volume","AWK.Adjusted"
"1",72.370003,72.449997,71.510002,72.25,806300,66.105316
"2",72.489998,73,72.160004,72.809998,640000,66.617691
"3",72.690002,73.209999,71.720001,72.93,763100,66.727486
"4",72.650002,73.07,72.449997,72.839996,919700,66.645157
"5",72.879997,73,71.190002,71.349998,794100,65.281868
"6",71.209999,71.25,70.519997,70.720001,1087800,64.705452
"7",70.660004,71.25,70.32,70.57,945600,64.568214
"8",70.599998,70.870003,69.959999,70.690002,949100,64.677986
"9",70.620003,71.050003,70.400002,70.82,589500,64.796951
"10",71.110001,72.330002,71.010002,72.07,957300,65.940659
"11",72.010002,72.639999,71.57,72.599998,1361100,66.425575
"12",71.809998,72.519997,71.730003,71.870003,834300,65.757652
"13",71.82,72.400002,71.580002,71.93,813000,65.812553
"14",72.010002,72.209999,71.480003,71.769997,743500,65.666138
"15",71.769997,72,71.309998,71.910004,819100,65.79425
"16",71.440002,71.879997,71,71.720001,1202100,65.620407
"17",71.669998,72.43,71.5,72.190002,941300,66.05043
"18",72.300003,72.5,72.010002,72.309998,869300,66.160233
"19",71.919998,72.360001,71.550003,71.910004,1073900,65.79425
"20",71.949997,73.470001,71.889999,73.440002,1062500,67.19413
"21",72.910004,72.919998,71.629997,71.800003,1315400,65.693588
"22",71.910004,73.040001,71.760002,72.989998,1099100,66.782417
"23",72.690002,72.970001,72.07,72.410004,736100,66.593849
"24",72.540001,72.540001,71.889999,72.089996,857500,66.299561
"25",72.050003,72.230003,71.699997,72.089996,783500,66.299561
"26",72.230003,73.150002,71.940002,72.93,790800,67.07209
"27",72.93,73.120003,72.459999,72.849998,716200,66.998505
"28",72.870003,73.470001,72.550003,73.459999,701200,67.559525
"29",73.379997,73.699997,72.980003,73.220001,650300,67.338791
"30",72.919998,73.220001,72.529999,72.809998,777100,66.961723
"31",72.470001,73.040001,71.889999,73.010002,670200,67.145668
"32",73.120003,73.730003,73.010002,73.440002,625400,67.541122
"33",73.440002,74.019997,73.160004,73.809998,2662800,67.881424
"34",73.809998,74.440002,73.629997,74.379997,1024800,68.405624
"35",75,75.239998,73.050003,74.919998,1212700,68.902252
"36",75.010002,75.75,74.980003,75.57,993400,69.500053
"37",75.709999,76.690002,75.709999,76.300003,866200,70.171425
"38",76.220001,76.75,75.779999,76.449997,830300,70.309357
"39",76.489998,78.730003,76.269997,78,1766400,71.734863
"40",77.040001,78.440002,76.879997,77.660004,1647600,71.422173
"41",77.540001,78.110001,77.050003,77.839996,1341000,71.587708
"42",77.879997,78.080002,77.029999,77.339996,914700,71.127876
"43",77.230003,77.589996,77.059998,77.300003,752600,71.09108
"44",77.300003,77.480003,76.849998,76.889999,692500,70.714012
"45",76.32,76.339996,75.25,75.470001,650600,69.408073
"46",75.489998,75.919998,75.089996,75.279999,557500,69.23333
"47",75.809998,76.169998,75.290001,75.919998,597200,69.821938
"48",76,76.43,75.919998,76.089996,674700,69.978271
"49",76,76.449997,75.830002,76.010002,367800,69.904701
"50",75.519997,77.459999,75.239998,77.220001,760600,71.017502
"51",76.900002,77.040001,75.660004,75.739998,843800,69.656364
"52",75.660004,76.720001,75.57,76.199997,1876600,70.079445
"53",76.400002,76.43,75.510002,75.93,522400,69.831123
"54",76,76.779999,75.529999,76.489998,801300,70.346123
"55",76.860001,77.440002,76.860001,77.160004,859600,70.962326
"56",77,77.580002,76.290001,76.489998,647700,70.346123
"57",76.629997,77.230003,76.300003,77.089996,571900,70.897957
"58",77.580002,77.669998,76.410004,76.839996,877600,70.66803
"59",76.709999,77.279999,76.440002,77.190002,951600,70.989922
"60",77.07,77.349998,76.470001,77.169998,1035500,70.971512
"61",77.050003,77.190002,76.32,77,949600,70.815178
"62",77.089996,78.050003,77.059998,77.769997,1453700,71.523338
"63",77.589996,77.75,76.730003,77.139999,915900,70.943947
"64",77.260002,77.970001,77.099998,77.720001,735800,71.477348
"65",77.699997,78.510002,77.360001,78.290001,896600,72.001556
"66",78.059998,78.290001,77.339996,77.940002,684900,71.679672
"67",78.029999,78.480003,77.849998,77.900002,540400,71.642906
"68",78,78.089996,77.480003,78.019997,487400,71.753235
"69",77.940002,78.5,77.75,78.300003,657300,72.010773
"70",78.370003,78.839996,78.110001,78.82,1039300,72.488991
"71",78.790001,78.949997,78.129997,78.57,581100,72.259071
"72",78.599998,79.230003,78.57,79.160004,788000,72.801682
"73",79.220001,79.639999,79.019997,79.5,660800,73.114365
"74",79.480003,79.690002,79.010002,79.32,723300,72.948845
"75",79.32,79.32,78.360001,79.169998,874000,72.810867
"76",79.279999,80.639999,79.209999,80.510002,1126100,74.043251
"77",80.510002,81.260002,80.279999,80.769997,1101400,74.282356
"78",80.5,81.099998,80.5,80.970001,731800,74.466309
