"","LHX.Open","LHX.High","LHX.Low","LHX.Close","LHX.Volume","LHX.Adjusted"
"1",103.379997,103.849998,102.449997,102.720001,698100,94.612793
"2",103,103.589996,102.489998,103.279999,660300,95.128586
"3",103.110001,103.93,102.690002,103.410004,638900,95.248344
"4",103.510002,104.709999,103.470001,104.550003,683700,96.298378
"5",104.190002,104.379997,102.120003,102.139999,602500,94.078583
"6",102.239998,102.260002,101.160004,101.709999,477900,93.682518
"7",101.419998,101.949997,101.050003,101.790001,427400,93.75618
"8",101.769997,102.07,101.010002,101.790001,383200,93.75618
"9",101.870003,102,101.190002,101.760002,377400,93.728569
"10",101.199997,101.379997,99.889999,100.18,527000,92.27327
"11",100.290001,101.400002,100.089996,100.849998,698400,92.890373
"12",101.059998,101.709999,99.800003,99.989998,579000,92.098259
"13",100.449997,100.699997,99.889999,100.190002,478300,92.282486
"14",100.099998,100.940002,99.129997,100.709999,548800,92.761436
"15",100.730003,102.410004,100.580002,102.07,436000,94.014107
"16",102.370003,102.370003,100.830002,101.120003,463000,93.139069
"17",101.010002,101.650002,100.989998,101.230003,377700,93.240417
"18",101.459999,103.610001,101.029999,102.529999,720400,94.437798
"19",104.290001,104.290001,101.879997,102.379997,555400,94.299644
"20",102.169998,102.730003,100.610001,102.709999,658100,94.6036
"21",102.82,103.339996,101.5,101.830002,748700,93.79303
"22",100.809998,105.32,100.790001,104.980003,1395700,96.694435
"23",105.209999,105.470001,104.239998,104.300003,1023600,96.0681
"24",104.150002,105.900002,104.019997,105.129997,1410800,96.832596
"25",104.93,105.470001,104.040001,105.339996,864000,97.026009
"26",104.980003,105.610001,104.580002,104.910004,2214300,96.629959
"27",105.330002,105.809998,104.470001,104.489998,878000,96.243088
"28",105.010002,105.93,104.160004,105.739998,708400,97.394447
"29",106.010002,107.029999,105.800003,107.010002,676800,98.564209
"30",106.360001,107.970001,106,107.940002,708800,99.420807
"31",107.470001,108.089996,107.110001,107.32,1004500,98.849747
"32",107.57,108.82,107.519997,108.650002,1107200,100.074768
"33",108.57,109.470001,108,109.459999,609400,100.820854
"34",109.540001,111.199997,109.540001,111.019997,727400,102.257713
"35",110.510002,110.699997,109.629997,110.440002,714600,101.723488
"36",110.449997,110.739998,109.589996,109.839996,1252900,101.17086
"37",109.589996,111.099998,109.5,111.099998,742800,102.331413
"38",111.120003,111.669998,110.940002,111.370003,1609700,102.580093
"39",110.959999,111.620003,109.510002,109.900002,882100,101.226105
"40",110.800003,111.260002,110.379997,110.910004,859600,102.156395
"41",110.809998,111.269997,110.050003,110.300003,754400,101.594551
"42",110.5,110.589996,109.980003,110.459999,822200,101.741905
"43",109.68,110.190002,109.32,109.900002,718800,101.226105
"44",109.629997,110.519997,109.519997,109.730003,556800,101.069527
"45",109.730003,110.150002,109.300003,110.029999,759800,101.345863
"46",109.910004,110.809998,109.620003,109.989998,1056400,101.309006
"47",109.459999,110.639999,109.199997,110.620003,765700,102.382645
"48",110.339996,111.220001,109.769997,110.790001,757900,102.539955
"49",110,110.699997,109.879997,110.559998,547800,102.327087
"50",110.849998,111.919998,110.57,111.75,802200,103.42849
"51",111.919998,112.339996,111.449997,111.650002,543500,103.335938
"52",111.980003,112.690002,111.57,112.309998,1487500,103.946777
"53",112.410004,112.82,112.139999,112.550003,448400,104.168938
"54",112.589996,113,110.760002,110.900002,1125600,102.641785
"55",110.910004,111.230003,110.260002,110.989998,460800,102.725082
"56",110.839996,111.959999,110.730003,111.419998,569900,103.123055
"57",111.209999,112.160004,110.449997,110.889999,514300,102.632523
"58",110.050003,110.970001,109.43,110.790001,1134400,102.539955
"59",110.739998,111.989998,110.5,111.690002,440800,103.372948
"60",111.540001,111.760002,110.400002,111.129997,552700,102.854652
"61",111.199997,112.050003,110.879997,111.790001,680400,103.4655
"62",111.599998,111.599998,110.739998,111.269997,812800,102.984238
"63",111.379997,111.690002,109.790001,110.269997,1366900,102.058701
"64",110.230003,110.949997,109.690002,110.110001,601900,101.910614
