"","REGN.Open","REGN.High","REGN.Low","REGN.Close","REGN.Volume","REGN.Adjusted"
"1",370.839996,384.940002,368.440002,379.700012,1064500,379.700012
"2",374.869995,389.220001,373.850006,383.109985,781500,383.109985
"3",381.149994,385.720001,380.220001,380.920013,628000,380.920013
"4",360.480011,361.929993,354,358.679993,3254600,358.679993
"5",359.209991,360.390015,349.23999,355.059998,1885600,355.059998
"6",356,375.940002,355.200012,373,1787200,373
"7",371.839996,379.950012,361.660004,364.470001,1655700,364.470001
"8",362,367.369995,358.5,364.440002,663700,364.440002
"9",364.76001,373.480011,364.440002,368.160004,943800,368.160004
"10",367.649994,369.970001,359.730011,363.23999,879200,363.23999
"11",363.700012,365.950012,358.929993,362.950012,474000,362.950012
"12",363.200012,366.299988,359.970001,363.410004,586200,363.410004
"13",365.670013,369.75,362.070007,362.559998,782000,362.559998
"14",361.970001,363.589996,354.170013,354.359985,899400,354.359985
"15",355.040009,356.440002,347,347.959991,905400,347.959991
"16",350,350.75,344.809998,348.929993,934500,348.929993
"17",348.73999,352.880005,340.089996,340.75,1312600,340.75
"18",342.339996,349.970001,340.959991,346.5,620600,346.5
"19",344.890015,347.040009,342.160004,344.5,668200,344.5
"20",344.049988,360,343.5,359.290009,1052500,359.290009
"21",358.73999,364.799988,355.01001,364.170013,1033000,364.170013
"22",361.140015,364.809998,357.890015,360.559998,578800,360.559998
"23",362.429993,363.25,352.079987,358.26001,733200,358.26001
"24",357.859985,362.450012,353.589996,362,750300,362
"25",360.609985,363.100006,355.890015,357.690002,689800,357.690002
"26",355.880005,359,351.029999,353.25,876900,353.25
"27",347.070007,366.950012,347,360,1722800,360
"28",360.950012,364.390015,357.380005,359.869995,713600,359.869995
"29",364.220001,378.470001,363.200012,375.660004,1539100,375.660004
"30",375.950012,378.320007,371.609985,376.519989,991900,376.519989
"31",375.429993,384.579987,374,384,926300,384
"32",379,382.079987,369.200012,373.019989,1276800,373.019989
"33",372.420013,375,369.299988,371.179993,775500,371.179993
"34",372.179993,375.76001,370,371.609985,722600,371.609985
"35",371.609985,373.160004,369.119995,370.220001,569200,370.220001
"36",370.98999,371.220001,357.220001,360.959991,1118900,360.959991
"37",359.880005,361.079987,355,361.01001,782600,361.01001
"38",361.149994,373.359985,359.940002,373.049988,537900,373.049988
"39",373.299988,374.970001,368.420013,373.5,759200,373.5
"40",378,381.920013,372.519989,379.049988,757500,379.049988
"41",379.049988,381.98999,375,375.859985,512200,375.859985
"42",375.980011,379.459991,371,378.660004,513300,378.660004
"43",378.130005,383.98999,376.450012,381.929993,1020800,381.929993
"44",378.76001,382.220001,370.630005,372.519989,890400,372.519989
"45",373.589996,382.690002,373.51001,381.369995,832700,381.369995
"46",383.179993,392.23999,381.429993,390.140015,1101000,390.140015
"47",392.950012,392.950012,384.209991,388.230011,743500,388.230011
"48",389.200012,389.980011,384.279999,388.880005,572700,388.880005
"49",386.869995,393.589996,386.869995,391.100006,548200,391.100006
"50",393.640015,399.720001,391.829987,397.799988,808200,397.799988
"51",397.459991,399,389.290009,392.589996,770900,392.589996
"52",380.049988,386.690002,370.679993,380.290009,2839500,380.290009
"53",380.829987,385.709991,377.720001,382.019989,576900,382.019989
"54",382.890015,383.089996,370.23999,370.980011,1224600,370.980011
"55",373.119995,374.73999,366.130005,369.140015,684600,369.140015
"56",369.190002,370.730011,364.440002,365.019989,677100,365.019989
"57",367.920013,374.850006,366.720001,373,881400,373
"58",371.690002,384.959991,371.040009,383.679993,1385900,383.679993
"59",383.470001,388.820007,376.220001,382.549988,1651300,382.549988
"60",382.459991,401.209991,382.059998,394.140015,1945500,394.140015
"61",394.890015,397.209991,385.820007,386.179993,966300,386.179993
"62",385.75,390,382.600006,387.51001,570300,387.51001
"63",388,392.75,382.26001,383.190002,994400,383.190002
"64",383.940002,386.059998,379.279999,382.920013,681100,382.920013
"65",382.929993,384.51001,375.720001,377.359985,772200,377.359985
"66",379,381.980011,376.359985,379.480011,1119600,379.480011
"67",379.600006,381.359985,375.609985,380.549988,741700,380.549988
"68",380.01001,382.890015,372.829987,373.26001,896500,373.26001
"69",372.5,373.890015,363.98999,367.070007,850900,367.070007
"70",367,372.600006,364.230011,366.329987,661000,366.329987
"71",367.609985,373.869995,366.5,370.369995,699800,370.369995
"72",373,374.359985,369.109985,373.450012,573800,373.450012
"73",371.040009,374.720001,363.390015,366.059998,520000,366.059998
"74",368.119995,371.309998,366.519989,370.959991,501300,370.959991
"75",371.920013,377.480011,368.049988,376.399994,767900,376.399994
"76",376.399994,379.200012,368.809998,370.119995,639700,370.119995
"77",373.829987,374.940002,369.049988,371.929993,715000,371.929993
"78",373.089996,376.23999,370,372.320007,711700,372.320007
"79",372.119995,375.399994,369.470001,371.390015,516400,371.390015
"80",370.899994,371.709991,360,366.619995,1981500,366.619995
"81",368.51001,393.5,368.299988,388.48999,2179400,388.48999
"82",388.799988,399.980011,388.220001,396.170013,1246900,396.170013
"83",396.649994,402.98999,392.700012,402.040009,884400,402.040009
"84",402,408.119995,400.390015,407.029999,1265500,407.029999
"85",410.190002,437.320007,410.190002,434.309998,2320300,434.309998
"86",434.790009,438.470001,426.399994,429,1060600,429
"87",427.76001,436.470001,421.880005,423.380005,864500,423.380005
"88",422.829987,428.720001,421.549988,427.179993,566400,427.179993
"89",427.130005,431.73999,422.950012,431.570007,518900,431.570007
"90",429.790009,441.709991,428.850006,440.429993,895600,440.429993
"91",441.540009,452.880005,438.589996,442.049988,1213700,442.049988
"92",440.380005,450.779999,439.609985,450.410004,772100,450.410004
"93",451.790009,456.73999,445.799988,454.75,943100,454.75
"94",451.290009,458.579987,445.299988,446.720001,749400,446.720001
"95",448,462.959991,446.049988,457.329987,1107600,457.329987
"96",456.059998,458.48999,448,450.01001,996000,450.01001
"97",448.480011,464.399994,448.390015,460.98999,782200,460.98999
"98",462,464.25,458.790009,461.369995,573900,461.369995
"99",461.369995,461.940002,452.109985,458.23999,461300,458.23999
"100",460.040009,460.040009,455.019989,455.700012,671600,455.700012
