"","VRSK.Open","VRSK.High","VRSK.Low","VRSK.Close","VRSK.Volume","VRSK.Adjusted"
"1",81.589996,82.080002,81.050003,81.32,545700,79.863365
"2",81.279999,82.010002,81.230003,81.959999,651800,80.49189
"3",81.690002,82.230003,81.510002,81.660004,394700,80.197273
"4",81.519997,82.400002,81.43,82.379997,515900,80.904373
"5",82.029999,82.25,81.550003,81.730003,489600,80.266029
"6",81.720001,82.330002,81.419998,82.260002,594600,80.786552
"7",82.059998,82.75,81.889999,82.75,468600,81.267754
"8",82.760002,82.760002,81.629997,82.32,557600,80.845459
"9",82.449997,82.709999,82.279999,82.629997,350600,81.149895
"10",82.449997,82.449997,81.410004,81.550003,553300,80.089249
"11",81,81.160004,80.209999,81.080002,742000,79.627663
"12",80.949997,81.480003,80.199997,80.919998,609900,79.470528
"13",81.269997,81.519997,80.760002,81.360001,500400,79.902641
"14",81.230003,81.480003,80.849998,81.18,508500,79.725883
"15",81.379997,82.209999,81.25,82.169998,466900,80.698128
"16",82.5,83.019997,82.419998,82.690002,455000,81.208817
"17",82.629997,82.720001,82.25,82.529999,296100,81.051689
"18",82.209999,82.790001,82.129997,82.68,362400,81.199005
"19",82.629997,82.760002,82.230003,82.739998,362200,81.257927
"20",83,83,81.949997,82.639999,795300,81.159714
"21",82.629997,82.919998,81.43,81.760002,544300,80.295479
"22",81.529999,82.209999,81.309998,82.150002,532100,80.678497
"23",82.800003,83.519997,82.68,83.519997,542300,82.023956
"24",83.18,83.32,82.949997,83.269997,362900,81.778435
"25",83.269997,83.279999,82.900002,83.010002,471200,81.523102
"26",82.879997,83.760002,82.809998,83.610001,349700,82.112335
"27",82.150002,84.110001,82.150002,84.07,572000,82.56411
"28",84.279999,84.690002,83.769997,84.519997,350600,83.006035
"29",84.989998,85.230003,84.629997,84.959999,407400,83.438171
"30",84.800003,85.099998,84.690002,85.089996,448400,83.565826
"31",84.139999,84.489998,83.389999,83.769997,762600,82.26947
"32",84.080002,84.989998,83.529999,84.269997,526200,82.760521
"33",84.279999,84.900002,84.07,84.900002,645400,83.379242
"34",84.800003,85.419998,84.160004,85.190002,1201200,83.664047
"35",85.440002,87.400002,81.900002,82.230003,2245400,80.757057
"36",82.470001,83.709999,82.400002,82.839996,1144300,81.356133
"37",82.93,84,82.800003,83.949997,1052500,82.446251
"38",83.620003,83.839996,83.269997,83.790001,573300,82.289131
"39",83.720001,83.809998,82.779999,82.919998,862400,81.4347
"40",83.550003,84.489998,83.260002,84.32,765900,82.809616
"41",84.18,84.459999,83.370003,83.669998,468700,82.171265
"42",83.839996,84.150002,83.330002,83.949997,509600,82.446251
"43",83.68,83.93,82.839996,82.870003,959000,81.385612
"44",82.620003,83.150002,81.529999,81.839996,797100,80.374046
"45",81.589996,82,80.519997,80.709999,1415700,79.26429
"46",80.839996,80.870003,79.709999,80.050003,1014500,78.616112
"47",80.360001,80.43,79.760002,79.940002,976800,78.508087
"48",80.099998,80.199997,79.360001,79.760002,884100,78.331306
"49",79.510002,79.660004,79.089996,79.349998,779500,77.92865
"50",79.589996,80.190002,79.389999,80.07,943300,78.635757
