"","WRB.Open","WRB.High","WRB.Low","WRB.Close","WRB.Volume","WRB.Adjusted"
"1",44.533333,44.533333,44.099998,44.459999,515100,40.456676
"2",44.466667,45.240002,44.466667,45.106667,662850,41.04512
"3",45.16,45.18,44.666668,44.886665,502050,40.844929
"4",44.906666,44.959999,44.626667,44.713333,417300,40.687199
"5",44.720001,44.720001,43.98,43.98,484650,40.019905
"6",44.133331,44.813332,43.98,44.606667,606450,40.590137
"7",44.560001,44.900002,44.373333,44.799999,438300,40.766056
"8",44.599998,44.793331,43.939999,44.5,576600,40.49308
"9",44.639999,45.053333,44.553333,44.746666,430950,40.717533
"10",45.026669,45.133331,44.5,44.740002,730950,40.711456
"11",44.933334,45.293331,44.66,44.779999,849150,40.747864
"12",44.906666,45.113335,44.493332,44.753334,561450,40.72361
"13",44.860001,45,44.473331,44.540001,423750,40.529472
"14",44.540001,44.720001,44.333332,44.486668,292500,40.480942
"15",44.599998,45.16,44.599998,44.886665,681000,40.844929
"16",45.080002,45.453335,44.98,45.053333,620550,40.99659
"17",45.133331,45.353333,45.006668,45.293331,328500,41.214973
"18",45.266666,45.293331,45,45.200001,309150,41.130051
"19",44.880001,45.16,44.720001,44.866669,621450,40.826729
"20",44.926666,45.086666,44.366669,44.806667,944400,40.772129
"21",44.939999,45.346668,44.226665,44.733334,868350,40.705399
"22",44.893333,45.286667,44.853333,45.200001,653850,41.130051
"23",45.466667,45.553333,45.193333,45.246666,502200,41.172512
"24",45.299999,45.533333,45.113335,45.313332,796950,41.23317
"25",45.393333,45.646667,45.266666,45.346668,526200,41.263508
"26",45.253334,45.353333,45.013332,45.106667,688800,41.04512
"27",45.233334,45.546665,45.146667,45.52,423000,41.421234
"28",45.553333,45.706669,45.226665,45.52,551250,41.421234
"29",45.546665,45.759998,45.446667,45.746666,392550,41.627491
"30",45.633331,46.126667,45.593334,46.080002,409650,41.930805
"31",46.086666,46.653332,45.973331,46.639999,605850,42.440384
"32",46.666668,47.259998,46.586666,47.173332,846000,42.925694
"33",47.073334,47.073334,46.713333,47.040001,385500,42.804371
"34",47.053333,47.279999,46.913334,47.146667,436350,42.901432
"35",47.086666,47.586666,46.886665,47.433334,621750,43.162281
"36",47.593334,47.779999,47.353333,47.706669,419700,43.411007
"37",47.506668,47.786667,47.5,47.68,365850,43.386745
"38",47.626667,47.666668,47.119999,47.253334,760200,42.998489
"39",47.106667,47.553333,46.959999,47.346668,1040850,43.08342
"40",47.746666,48.373333,47.740002,48.086666,855600,43.756779
"41",48.02,48.02,47.293331,47.34,592050,43.077354
"42",47.279999,47.473331,47.046665,47.426666,356850,43.156219
"43",47.153332,47.486668,47.146667,47.299999,378900,43.040958
"44",47.293331,47.486668,47.073334,47.426666,375750,43.156219
"45",47.393333,47.626667,47.233334,47.413334,672750,43.144089
"46",47.413334,47.773335,47.413334,47.773335,603150,43.471668
"47",47.846668,48.16,47.773335,48.106667,610350,43.774982
"48",47.986668,48.433334,47.973331,48.419998,621900,44.139622
"49",48.273335,48.52,48.213333,48.32,445350,44.04847
"50",48.486668,48.726665,48.366669,48.653332,534900,44.352325
"51",48.686668,48.779999,48.193333,48.373333,470250,44.097092
"52",48.153332,48.533333,47.900002,48.459999,1434300,44.176086
"53",48.386665,48.386665,48.073334,48.113335,463050,43.860073
"54",48.386665,48.386665,47.493332,47.613335,575400,43.404274
