"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"128",260.059998,261.359985,257.630005,258.940002,540100,241.827713
"129",259.76001,263.73999,259.329987,261.98999,642700,244.676147
"130",261.609985,263.549988,260.549988,261.779999,507900,244.480072
"131",262.01001,263,260.140015,262.640015,523800,245.283203
"132",263.619995,265.109985,263,263.959991,533600,246.515976
"133",264.369995,265.290009,263.279999,263.859985,476300,246.422562
"134",263.950012,265.51001,263.690002,264.829987,576900,247.32843
"135",264.839996,266.269989,263.26001,264.809998,609600,247.309784
"136",265.040009,266.73999,263.640015,264.23999,471500,246.777466
"137",264.420013,265.320007,264.070007,264.920013,388500,247.412582
"138",264.920013,265.559998,263.420013,264.769989,519100,247.272446
"139",263.630005,265.299988,262.140015,265.299988,575700,247.76741
"140",265.51001,266.329987,265.070007,265.269989,530900,247.739395
"141",266.450012,266.809998,263.660004,264.049988,708200,246.600006
"142",264.230011,265.359985,259.390015,263.859985,815900,246.422562
"143",264.23999,264.290009,259,260.76001,1315600,243.52742
"144",261.130005,264.279999,260.220001,264.100006,587700,246.646698
"145",264.890015,266,263.070007,263.130005,638700,245.74086
"146",263.320007,264.720001,263.040009,264.640015,673000,247.151062
"147",264.519989,266.869995,264.140015,266.829987,755700,249.196243
"148",267,268.899994,265.119995,268.779999,980100,251.017395
"149",268.899994,269.23999,267.459991,269.23999,653000,251.447067
"150",269.51001,269.730011,268.519989,269.579987,696700,251.764587
"151",269.339996,270.200012,269.079987,269.820007,616100,251.988647
"152",270.850006,273.799988,270.170013,273.100006,978900,255.051987
"153",274,274.609985,270.230011,270.549988,865300,252.670441
"154",271.109985,272.769989,269.100006,269.279999,700600,251.484406
"155",270.23999,271.890015,269.23999,271.399994,687400,253.46431
"156",271.25,271.480011,270.019989,271.140015,456400,253.221466
"157",271.359985,271.359985,269.079987,269.98999,931300,252.14743
"158",270.040009,270.809998,268,268.130005,581700,250.410416
"159",268.980011,269.170013,267.170013,267.609985,551200,249.924744
"160",267.709991,268.040009,264.350006,267.700012,517600,250.008835
"161",269,273.48999,268.570007,272.820007,613200,254.790482
"162",271.720001,272.600006,270.48999,270.769989,413900,252.875885
"163",269.880005,270.640015,268.299988,268.540009,393600,251.722931
"164",269.98999,270.570007,268.549988,269.329987,616100,252.463501
"165",270,270.649994,267.179993,267.899994,492900,251.123047
"166",269.709991,271.519989,268.609985,270.720001,473700,253.766388
"167",270.809998,271.209991,269.799988,271.01001,303900,254.0383
"168",271.730011,272.769989,270.019989,272.209991,689500,255.163086
"169",272.029999,272.320007,268.829987,268.829987,552800,251.994736
"170",270.920013,270.920013,267.799988,268.070007,632800,251.28241
"171",268.950012,268.950012,265.25,265.269989,543600,248.657715
"172",265.529999,266.029999,264.359985,265.869995,504300,249.220154
"173",265.829987,268.149994,265,267.450012,861000,250.701187
"174",268.600006,269.820007,268.040009,269.299988,765300,252.435349
"175",268.880005,270.380005,268.410004,268.959991,492400,252.116653
"176",268.26001,268.829987,266.51001,266.700012,516700,249.998199
"177",266.410004,266.630005,264.690002,265.690002,562900,249.051437
"178",265.75,267.200012,265.040009,267.029999,864500,250.307541
"179",267.029999,276.200012,264.809998,275.970001,1854500,258.687683
"180",276.140015,279.899994,275.019989,278.329987,1412600,260.899811
"181",278.25,281.570007,278,280.040009,1068000,262.502808
"182",279.890015,281.01001,278.700012,280.420013,565400,262.859039
"183",281.540009,282.929993,280.209991,281.549988,641300,263.918182
"184",281.5,281.609985,278.880005,281.369995,716600,263.749481
"185",281.600006,284.929993,281.470001,284.73999,922600,266.908417
"186",285.040009,287.269989,284.829987,286.839996,890100,268.876831
"187",285.730011,286.23999,283.929993,284.619995,671700,266.795929
"188",285.269989,287.809998,283.769989,287.720001,618600,269.701843
"189",288.5,289.950012,287.220001,289.899994,499300,271.7453
"190",289.799988,292.320007,289.019989,291.079987,576800,272.85141
"191",291,292.609985,290.209991,292.179993,572200,273.882538
"192",291.890015,293.220001,290.959991,292.679993,540500,274.351166
"193",292.940002,293.380005,291.850006,293.329987,382000,274.960541
"194",293.75,294.980011,292.149994,293.859985,727800,275.457306
"195",294.709991,294.709991,292.070007,293.329987,638900,274.960541
"196",293.790009,295.359985,292.940002,295.190002,487400,276.704071
"197",295.119995,298.880005,295,298.679993,705900,279.975464
"198",299.179993,299.329987,296.220001,296.399994,771100,277.838257
"199",297,297.570007,294.309998,295.779999,525400,277.25708
"200",295.5,295.869995,293.73999,294.320007,585100,275.888519
"201",294.670013,294.670013,290.850006,292,863300,273.713776
"202",292,293.100006,288.570007,292.649994,662500,274.32312
"203",293.75,294.619995,292.040009,294.600006,606100,276.151001
"204",295.410004,297.100006,294,294.049988,733000,275.635376
"205",293.200012,294.549988,292.23999,294.029999,969200,275.616638
"206",300.630005,306.609985,299.73999,304.75,1545100,285.665314
"207",306,306,295.559998,297.98999,1057700,279.328674
"208",298,299.019989,296.790009,297.660004,642900,279.019318
"209",296.869995,298.290009,295.200012,296.369995,469200,277.810089
"210",296.98999,297.410004,295.390015,295.529999,462700,277.022766
"211",295.670013,296.48999,293.980011,294.170013,580800,275.747925
"212",293.880005,301.48999,293.880005,301.359985,711800,282.48761
"213",301.179993,303.359985,299.149994,301.660004,517700,282.76886
"214",300.859985,303.48999,300.269989,301.859985,366700,282.956329
"215",301.98999,304.670013,301.98999,303.309998,510800,284.315552
"216",303.299988,304.25,302.5,303.299988,524600,284.306152
"217",302.869995,303.579987,298.089996,299.140015,529800,280.406677
"218",298.5,299.660004,297.559998,298.130005,391900,279.45993
"219",297.730011,298.959991,294.440002,298.480011,656100,279.788055
"220",297.170013,300.529999,296.149994,300.459991,521600,281.643982
"221",300.769989,302.339996,299.640015,299.940002,804900,281.156616
"222",300.380005,301.25,299.529999,300.549988,440600,281.728271
"223",299.570007,300.089996,296.670013,296.850006,457200,278.260132
"224",296.959991,301.25,296.76001,300.940002,703200,282.093964
"225",302.140015,304.929993,301.089996,304.309998,706800,285.25293
"226",303.23999,303.619995,300.299988,302.019989,463700,283.106354
"227",302.820007,303.899994,302.190002,302.720001,273000,283.762451
"228",302.890015,304.25,302.079987,303.630005,511600,284.615417
"229",305.220001,309.23999,304.820007,307.899994,911000,288.618073
"230",308.140015,308.329987,306.049988,306.690002,786000,287.483826
"231",307,309.76001,304.779999,307.399994,3033200,288.149445
"232",307,307.809998,297,299.630005,1097300,281.782684
"233",301.730011,303.100006,300.5,300.559998,1180700,282.657257
"234",301.529999,301.839996,297.519989,297.75,584800,280.014618
"235",297.959991,301.290009,297.820007,300.200012,629600,282.318726
"236",300.26001,303.869995,300.200012,302.679993,655100,284.65097
"237",303.25,305.670013,301.01001,305.670013,684300,287.462891
"238",306.519989,307.170013,303.859985,304.559998,674700,286.419006
"239",306.220001,307.920013,305.100006,307.279999,977700,288.976959
"240",306.959991,311.079987,306.959991,308.459991,746300,290.086639
"241",309.450012,310.079987,306.320007,306.910004,904500,288.629028
"242",308.529999,311.149994,307.519989,310.470001,1333500,291.976959
"243",311.019989,311.130005,306.730011,308.399994,675200,290.030243
"244",308.720001,309.880005,307.040009,307.119995,612300,288.826477
"245",307.929993,308.51001,306.380005,306.619995,593400,288.356262
"246",307.540009,307.73999,304.070007,304.48999,818100,286.353149
"247",305.769989,305.769989,303.700012,303.779999,567100,285.685425
"248",304.420013,306.429993,303.730011,303.839996,498500,285.741852
"249",304.649994,306.329987,304.079987,306.160004,468200,287.923676
"250",306.820007,308.51001,305.850006,308.290009,376700,289.926849
"251",308.25,309.190002,306.910004,306.910004,430900,288.629028
"252",307.350006,307.720001,303.209991,305.23999,715000,287.058472
"253",304.73999,307.25,304.609985,306.649994,722100,288.384521
"254",306.579987,308.709991,305.609985,308.549988,582400,290.171356
"255",309.089996,310.23999,307.209991,308.220001,842800,289.860992
"256",308.950012,309.339996,307.570007,308.26001,660800,289.898621
"257",309.230011,312.929993,308.709991,310.390015,828900,291.901794
"258",309.339996,309.480011,306.359985,307.609985,676100,289.287292
"259",308.880005,309.709991,308.26001,309.549988,493200,291.111786
"260",310,315.709991,309.670013,315.149994,706100,296.378143
"261",317.420013,318.700012,312.329987,312.540009,756100,293.923645
"262",314.98999,317.809998,313.320007,317.51001,613100,298.597595
"263",317.5,318.700012,314,314.299988,598700,295.578857
"264",316.230011,317.190002,314.690002,316.369995,874000,297.525482
"265",316.100006,316.579987,313.559998,315.140015,731300,296.368774
"266",315.230011,315.350006,312.670013,313.480011,653700,294.807617
"267",313.450012,316.320007,312.679993,313.459991,857500,294.788879
"268",316.73999,325.98999,314.470001,325,1406000,305.641479
"269",326.079987,335.570007,323.630005,335.559998,1297900,315.572479
"270",336,341.26001,335.049988,338.339996,1389800,318.18689
"271",335.279999,341.279999,333.519989,339.459991,1297400,319.240173
"272",340.630005,344.200012,339.619995,340.529999,1318300,320.24649
"273",340.529999,349.179993,340.23999,342.859985,1455200,322.437622
"274",340.899994,344.170013,336.720001,336.790009,1227000,316.729248
"275",333.75,339.529999,316.269989,322.369995,1541600,303.168152
"276",314.109985,329,313.01001,327.5,1716400,307.992523
"277",326.76001,342.140015,326.01001,337.660004,2099900,317.547394
"278",338.410004,341.670013,323.459991,324.01001,1520900,304.71051
"279",327.910004,338,323.459991,332.690002,1750000,312.873444
"280",334.600006,341.339996,330.570007,337.440002,1284800,317.340485
"281",335.119995,344.380005,335.119995,343.359985,897900,322.907867
"282",346.149994,350.420013,342.399994,349.619995,1536800,328.795044
"283",352.98999,357,352.059998,356.910004,1316900,335.650757
"284",355.910004,358.839996,354.73999,356,957900,334.794983
"285",352.450012,355.160004,348.579987,350.359985,1171800,329.490906
"286",352.309998,356.309998,350.420013,350.820007,1337100,329.923523
"287",351.790009,352.559998,347.519989,348.630005,842400,327.863983
"288",350,351.579987,348.170013,351.51001,845000,330.572388
"289",353.200012,355.839996,352.149994,355.089996,504700,333.939209
"290",354.649994,359.429993,353.579987,353.660004,876000,332.59436
"291",354.299988,357.26001,349.769989,350.040009,1018900,329.190063
"292",351.119995,351.869995,337.220001,339.540009,1461100,319.315399
