"","MRK.Open","MRK.High","MRK.Low","MRK.Close","MRK.Volume","MRK.Adjusted"
"1",56.440842,57.614506,56.345421,57.395039,12564158,49.660542
"2",57.729008,58.005726,57.290077,57.375954,9863671,49.644032
"3",57.46183,57.805344,57.251907,57.356869,10581446,49.627518
"4",57.337788,57.690842,56.803436,57.509541,10730053,49.759617
"5",57.53817,58.664124,57.328243,58.301525,10201861,50.444866
"6",58.396946,58.435116,57.146946,57.175571,16036706,49.470654
"7",59.484734,60.267178,57.967556,58.807251,34281862,50.88245
"8",59.666031,60.34351,59.274811,59.360687,26079899,51.361294
"9",59.475189,59.809158,59.255726,59.484734,10447617,51.468632
"10",59.083969,59.2271,58.396946,58.664124,11101150,50.758606
"11",58.568703,58.950382,58.282444,58.36832,8522022,50.502659
"12",58.253819,58.282444,57.318703,57.566795,11944999,49.809158
"13",59.541985,60.03817,59.303436,59.666031,26451834,51.625504
"14",58.979008,59.541985,58.807251,58.979008,10691382,51.031063
"15",58.769085,58.864506,57.948475,58.40649,10990900,50.53569
"16",58.511452,58.568703,57.9771,58.282444,15255736,50.428368
"17",58.225189,58.549618,57.767178,58.396946,13317460,50.527431
"18",58.568703,59.150764,58.492367,58.921757,6972554,50.981525
"19",58.70229,58.883587,58.139313,58.616413,8230573,50.717319
"20",58.263359,59.389313,58.129772,59.150764,10292513,51.179668
"21",59.217556,59.417938,58.740459,59.255726,11547702,51.270489
"22",59.770992,61.269085,59.666031,61.240459,19901730,52.987751
"23",60.935116,61.383587,60.372135,61.345421,12209724,53.078583
"24",60.992367,61.975189,60.973282,61.965649,9598422,53.615227
"25",61.793892,61.956108,61.116413,61.259541,8840194,53.004269
"26",60.973282,61.526718,60.90649,61.374046,6190326,53.103348
"27",61.374046,61.851147,61.354961,61.440842,7391439,53.161144
"28",61.374046,61.612595,61.030533,61.21183,8940907,52.962982
"29",61.307251,61.860687,61.278625,61.803436,7494353,53.474869
"30",61.67939,62.709923,61.479008,62.652672,10629550,54.209663
"31",61.927483,62.853054,61.879772,62.175571,18662050,53.796852
"32",62.15649,62.414124,61.507633,62.270992,12938922,53.879414
"33",62.213741,62.557251,61.889313,62.395039,9482618,53.986748
"34",61.927483,62.767178,61.927483,62.480915,7740633,54.061054
"35",62.5,62.738548,62.10878,62.299618,9096221,53.904182
"36",62.519085,63.082062,62.356869,62.833969,7184669,54.366528
"37",62.643131,63.129772,62.624046,63.129772,8849626,54.622463
"38",62.767178,62.919846,62.557251,62.833969,7476222,54.366528
"39",62.795803,63.120228,62.643131,62.853054,8112044,54.383045
"40",63.043892,63.740459,62.872135,63.177483,11193374,54.66375
"41",63.339695,63.530533,62.9771,63.053436,9062790,54.556419
"42",63.053436,63.568703,62.795803,63.530533,8716111,54.969227
"43",63.053436,63.721375,62.88168,63.425571,9104500,54.878407
"44",62.433205,63.2729,62.204197,62.938931,8728478,54.457352
"45",62.938931,63.091602,62.280533,62.786259,8821645,54.325241
"46",62.948475,63.005726,62.519085,62.872135,8106280,54.399551
