"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"309",105.809998,106.489998,103.440002,105.089996,3045200,89.040947
"310",105.75,106.349998,103.720001,104.139999,2433000,88.236031
"311",104.120003,105.440002,102.32,103.150002,2304200,87.397217
"312",103.290001,106.209999,103.290001,105.68,2258700,89.540848
"313",105.410004,105.949997,102.360001,103.709999,1750200,87.871704
"314",103.93,104.410004,102.43,104.139999,1724500,88.236031
"315",101.110001,102.970001,96.190002,102.730003,4713600,87.041374
"316",103.389999,105.489998,103.209999,104.849998,2069700,88.837593
"317",103.510002,104,99.919998,100.790001,2404100,85.397629
"318",101.529999,101.830002,99.400002,99.43,3719900,84.245331
"319",101.419998,103.779999,100.830002,102.339996,3192000,86.710922
"320",101.849998,102.610001,101.080002,102.209999,1708100,86.600777
"321",103.199997,104.529999,102.82,103.699997,4214900,87.86322
"322",104.059998,104.580002,102.629997,103.040001,1750200,87.304024
"323",104.18,105.25,103.510002,104.540001,2314500,88.574951
"324",105.32,106.519997,104.620003,106.040001,1788500,89.845871
"325",107.239998,109.449997,106.730003,108.870003,3163200,92.243675
"326",108.410004,108.459999,106.660004,107.599998,2390300,91.167633
"327",107.75,108.309998,106.709999,107.68,2673900,91.23542
"328",107.5,108.529999,107.239998,108.32,2178500,91.777679
"329",108.709999,109.529999,104.809998,105.940002,2491100,89.761147
"330",105.5,105.980003,104.099998,105.389999,3471600,89.295135
"331",105.769997,107.139999,105.099998,106.489998,2058200,90.22715
"332",109.150002,109.540001,105,106.669998,3208100,90.379662
"333",106.669998,107.739998,105.32,105.730003,2200500,89.583206
"334",105.5,105.75,103.059998,103.790001,2341600,87.939484
"335",104.139999,105.639999,103.720001,104.75,2599800,88.752876
"336",104.68,104.879997,102.68,103.949997,2170900,88.07505
"337",103.529999,104.980003,102.459999,104.790001,2129500,88.786766
"338",104.989998,106.089996,104.160004,104.599998,1903600,88.625778
"339",104.5,104.660004,103.459999,104.540001,3054800,88.574951
"340",105.239998,110.400002,105.239998,109.900002,3547000,93.116379
"341",109.879997,113.510002,109.730003,112.419998,3472000,95.251534
"342",112.470001,113.529999,111.970001,112.57,2234400,95.378624
"343",112.870003,113.330002,111.57,111.980003,1854400,94.878731
"344",111.650002,112.489998,111.150002,112.169998,1534200,95.039711
"345",113.940002,116.379997,113.779999,115.309998,3360100,97.700172
"346",115.099998,116.279999,114.93,116.190002,2311500,98.445801
"347",116.110001,116.870003,115.910004,116.220001,1903900,98.471207
"348",117,117.709999,116.230003,117.529999,1770800,99.581146
"349",117.779999,118.790001,116.050003,116.169998,1715300,98.428848
"350",115.199997,115.82,113.169998,115.660004,1573400,97.996727
