"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume","WDC.Adjusted"
"1",68.949997,70.300003,68.580002,69.43,4479000,62.206825
"2",69.580002,71.580002,69.550003,70.540001,3653200,63.201359
"3",71.059998,72.129997,70.129997,70.550003,3638300,63.210327
"4",70.480003,71.190002,69.959999,70.379997,3274300,63.057999
"5",70.900002,72.300003,70.43,71.860001,3909600,64.384041
"6",71.82,72.199997,70.779999,70.839996,3651200,63.470139
"7",71.169998,72.559998,70.57,71.449997,4370700,64.016685
"8",70.93,71.029999,69.099998,70.75,3450900,63.389523
"9",70.589996,71.82,70.589996,71,2078400,63.613518
"10",70.739998,72.339996,70.730003,71.620003,4505700,64.169022
"11",71.989998,73.470001,71.580002,73.239998,4413100,65.620461
"12",72.059998,73.110001,71.629997,71.669998,4121300,64.213814
"13",72.389999,73.400002,72.279999,72.629997,3513000,65.073929
"14",72.949997,73,71.099998,72.650002,4707200,65.091858
"15",74.010002,76.519997,73.93,76.010002,6509200,68.102303
"16",79.779999,81.260002,79.099998,80.019997,13358900,71.695114
"17",79.839996,81.669998,78.360001,78.470001,9977800,70.306381
"18",78.860001,80.040001,78.139999,79.519997,5244200,71.247131
"19",79.279999,79.860001,78.510002,79.220001,3845900,70.978355
"20",79.110001,79.910004,77.800003,79.730003,3617800,71.435287
"21",80.470001,80.699997,78.459999,79.160004,3897800,70.924576
"22",79.18,79.93,78.800003,79.230003,2982700,70.987297
"23",79.379997,79.849998,78.980003,79.129997,2624900,70.897697
"24",79,79.650002,78.550003,78.940002,2307400,70.727478
"25",79.339996,79.589996,78.650002,79.050003,2629200,70.826027
"26",77.75,77.889999,76.139999,77.080002,4499200,69.060974
"27",77.739998,78.580002,77.349998,78.050003,2884900,69.930077
"28",78.199997,78.449997,76.839996,77.360001,2878200,69.311859
"29",78,78.669998,77.800003,78.470001,2399900,70.306381
"30",77.349998,77.470001,75.980003,76.410004,5390400,68.460686
"31",76.5,77,75.809998,76.010002,3362100,68.102303
"32",76.5,77.699997,75.779999,75.949997,2946400,68.048531
"33",75.75,75.809998,74.260002,74.910004,4790700,67.116722
"34",74.940002,75.550003,74.639999,74.900002,3437500,67.107773
"35",74.720001,75.470001,74.260002,74.470001,2811400,66.722511
"36",74.910004,75.389999,74.300003,74.589996,2888100,66.830017
"37",73.120003,74.660004,72.75,74.650002,4087500,66.883789
"38",74.589996,76.209999,74.040001,76.099998,4015500,68.18293
"39",75.900002,77.620003,75.699997,76.879997,5078100,68.881783
"40",78.129997,78.5,76.599998,78.32,4667800,70.171959
"41",78.43,79.150002,76.080002,76.279999,4867100,68.344185
"42",76.669998,78.220001,76.660004,77.540001,3223100,69.473106
"43",76.970001,77.599998,75.43,76.800003,3855000,68.810104
"44",76.800003,77.379997,75.949997,76.800003,2123200,68.810104
"45",76.68,77.150002,76.260002,76.449997,1648500,68.496521
"46",76.059998,76.07,73.07,74.260002,5024800,66.534363
"47",75.010002,75.480003,74.529999,75,2747200,67.197372
"48",74.870003,76.010002,74.730003,75.699997,2104200,67.824547
"49",75.269997,75.800003,74.470001,75.699997,2355000,67.824547
"50",75.559998,76.949997,74.900002,76.720001,3205800,68.738426
"51",77.050003,77.870003,76.459999,77.139999,2516000,69.114731
"52",77.300003,77.620003,76.650002,76.870003,3394300,68.872833
"53",76.889999,77.599998,76.010002,76.419998,3514900,68.469643
"54",76.839996,77.010002,73.139999,73.220001,5142600,65.602554
"55",72.980003,75.040001,71.379997,74.93,3583900,67.134651
"56",74.650002,76.290001,74.050003,76.190002,3575700,68.263557
"57",79.68,81.099998,77.57,78.18,8681900,70.046539
"58",77.230003,79.120003,76.82,78.57,3534000,70.395958
"59",78.720001,81,78.589996,80.559998,4000400,72.178925
"60",80,81.489998,79.550003,81.389999,4498400,73.377998
"61",81.07,84.279999,80.900002,83.75,6704000,75.505692
"62",83.610001,84,82.389999,82.529999,4155100,74.405792
"63",82.599998,82.93,80.510002,82.139999,4051500,74.054199
"64",81.870003,83.410004,81.5,82.989998,2902400,74.820511
"65",83.370003,84.730003,82.059998,82.699997,4093400,74.559036
"66",82.800003,84.330002,82.5,84.089996,3160000,75.812218
"67",84.059998,85.370003,83.059998,85.169998,4234900,76.785919
"68",85.400002,86.260002,84.099998,84.779999,5373600,76.434296
"69",86.550003,88,84.720001,86.050003,7809000,77.579285
"70",86.25,86.480003,83.690002,84.209999,5763900,75.920418
"71",83.800003,84.75,83.019997,83.5,5045700,75.280304
"72",83.580002,84.449997,83.07,84.160004,3868300,75.875336
"73",83.82,84.18,82.550003,82.870003,3799000,74.712334
"74",83.440002,83.830002,82.629997,82.800003,2625200,74.649208
"75",83.379997,84.589996,83.230003,84.410004,2796400,76.100731
"76",84.650002,84.82,83.110001,83.110001,2670500,74.928703
"77",84.559998,86.470001,84.160004,85.769997,4009400,77.326843
"78",87,87.470001,85.089996,86.879997,3957600,78.327576
"79",84.5,85.370003,83.449997,84.610001,7984900,76.281029
"80",85.129997,85.989998,83.790001,85.709999,6021600,77.272751
"81",90.629997,91,86.410004,89.07,17420600,80.301987
"82",88,88.43,86.129997,87.699997,8368400,79.066849
"83",87.800003,88.110001,86.129997,87.290001,4849300,78.697235
"84",87.029999,89.330002,86.480003,89.220001,4382100,80.437233
"85",89.349998,90.349998,88.540001,89.169998,3337800,80.392143
"86",88.93,90.739998,88.610001,90.720001,3057000,81.789574
"87",90.339996,90.650002,89.559998,89.900002,3901300,81.050301
"88",88.93,90.510002,88.43,88.879997,3841700,80.130692
"89",88.910004,89.800003,88.75,89.540001,2376700,80.725739
"90",89.019997,89.900002,88.589996,89.68,2124100,80.851936
"91",89.75,90.099998,89.080002,89.650002,1981200,80.824905
"92",89.540001,89.779999,88.510002,89.019997,3022400,80.25692
"93",89.010002,89.589996,88.730003,88.959999,2197200,80.202827
