"","ANSS.Open","ANSS.High","ANSS.Low","ANSS.Close","ANSS.Volume","ANSS.Adjusted"
"344",165.899994,165.899994,163.779999,165.479996,529700,165.479996
"345",165.270004,166.229996,164.059998,165.279999,431300,165.279999
"346",165.479996,165.990005,163.539993,164.580002,310800,164.580002
"347",164.320007,165.949997,163.25,164.929993,345700,164.929993
"348",165.809998,166.759995,163.410004,164.520004,259000,164.520004
"349",164.580002,164.929993,163.169998,163.449997,363800,163.449997
"350",162.320007,164.169998,161.100006,164.160004,406800,164.160004
"351",164.009995,164.610001,161.850006,163.220001,546900,163.220001
"352",163.059998,163.740005,161.740005,162.320007,322700,162.320007
"353",161.199997,162.860001,160.490005,161.589996,370700,161.589996
"354",158.869995,164.449997,158.869995,162.889999,412000,162.889999
"355",162.990005,163.979996,161.789993,162.800003,965300,162.800003
"356",163.809998,166.190002,163,165.800003,474800,165.800003
"357",165.809998,168.199997,165.559998,168.089996,296500,168.089996
"358",159.770004,170.710007,159.770004,170.020004,470900,170.020004
"359",170.080002,171.639999,169.289993,171.539993,485600,171.539993
"360",171.990005,171.990005,168.660004,170.869995,840500,170.869995
"361",170.639999,172.589996,169.759995,172.229996,467100,172.229996
"362",172.539993,173.350006,170.009995,172.990005,317000,172.990005
"363",173.369995,176.119995,172.839996,175.960007,396200,175.960007
"364",175.779999,178.059998,175.410004,175.789993,472100,175.789993
"365",176.669998,178.149994,175.039993,176.919998,415200,176.919998
"366",176.919998,178.339996,175.699997,177.779999,760900,177.779999
"367",176.919998,178.279999,175.570007,177.919998,342600,177.919998
"368",176.529999,177.690002,175.380005,176.759995,584300,176.759995
"369",179.779999,183.479996,179,182.729996,668500,182.729996
"370",183.679993,184.949997,180.830002,181.899994,485100,181.899994
"371",182.399994,182.399994,178.380005,179.320007,975100,179.320007
"372",179.050003,179.050003,175.220001,177.149994,775900,177.149994
"373",177.5,178.839996,176.490005,177.270004,398700,177.270004
"374",177.839996,179.720001,171.589996,171.690002,510100,171.690002
"375",171.539993,174.289993,171.229996,172.929993,571500,172.929993
"376",173.380005,175.339996,173.179993,174.179993,700700,174.179993
"377",173.419998,176.710007,172.389999,176,346600,176
"378",176.899994,176.899994,172.970001,173.339996,259600,173.339996
"379",174.429993,175.460007,172.740005,175.380005,436900,175.380005
"380",175.160004,178.059998,175.160004,177.710007,371600,177.710007
"381",178.410004,179.899994,176.800003,177.149994,621600,177.149994
"382",176.520004,178.339996,176.169998,176.460007,439900,176.460007
"383",175.449997,177.580002,175.039993,176.690002,530300,176.690002
"384",177.880005,181.039993,177.300003,180.149994,614500,180.149994
"385",180.119995,180.759995,179.210007,179.720001,451900,179.720001
"386",180.369995,180.720001,178.279999,178.789993,310900,178.789993
