"","WST.Open","WST.High","WST.Low","WST.Close","WST.Volume","WST.Adjusted"
"539",104.959999,105.93,104.589996,105.110001,475300,104.191666
"540",105.089996,105.279999,103.709999,103.769997,344700,102.86335
"541",103.480003,104.5,103.050003,103.889999,182900,102.982315
"542",103.870003,105.279999,103.510002,104.75,519000,103.834793
"543",105.089996,107,105.089996,106.139999,447100,105.212662
"544",106.25,106.25,103.650002,104.900002,441500,103.98349
"545",105.080002,105.080002,103.980003,104.489998,421700,103.577072
"546",104.349998,105.099998,102.32,102.610001,447100,101.713501
"547",102.290001,103.25,102.07,102.470001,325700,101.574738
"548",101.860001,102.279999,101.150002,101.57,356100,100.682594
"549",101.970001,103.160004,101.809998,103.040001,200800,102.139755
"550",103.07,103.699997,102.669998,103.43,326500,102.526337
"551",103.589996,105.419998,103.209999,105.239998,595000,104.320526
"552",105.089996,106.18,104.779999,106.010002,481800,105.083801
"553",106.129997,106.709999,105.290001,105.709999,880800,104.786423
"554",106.099998,106.099998,104.080002,105.940002,369400,105.014427
"555",106.480003,106.480003,105.269997,105.779999,471500,104.855804
"556",105.809998,106.050003,104.360001,105.089996,257300,104.171829
"557",104.660004,107.349998,104.660004,106.809998,328400,105.876801
"558",106.089996,106.849998,103.519997,103.669998,232200,102.764244
"559",103.650002,105.269997,103.050003,104.959999,441400,104.042976
"560",105.870003,106.269997,104.82,105.5,301400,104.578262
"561",105.470001,106.860001,104.730003,106.32,403700,105.391098
"562",106.650002,108.760002,106.129997,107.559998,488200,106.620247
"563",108.330002,110.389999,108.110001,110.199997,486000,109.237198
"564",110.839996,112.389999,110.089996,111.779999,608500,110.803398
"565",111.809998,111.809998,110.129997,111.269997,337600,110.297852
"566",111.919998,112.879997,111.279999,111.800003,473500,110.823212
"567",112.019997,112.279999,110.660004,111.860001,364000,110.882683
"568",112.110001,113.940002,111.660004,112.870003,291800,111.883865
"569",112.419998,113.18,111.089996,113.129997,263700,112.141586
"570",112.32,113.650002,112.160004,112.949997,286600,111.963158
"571",113.089996,114.660004,112.730003,114.550003,240900,113.549187
"572",114.470001,114.669998,113.25,114.529999,277800,113.529366
"573",115.059998,116.110001,114.480003,115.769997,323600,114.758522
"574",115.910004,117.160004,115.839996,116.900002,421600,115.878662
"575",117.199997,117.389999,113.330002,113.889999,429700,113.040001
"576",114.389999,114.389999,110.839996,111.639999,317100,110.806793
"577",112.040001,112.699997,109.879997,111.519997,379800,110.687691
"578",110.839996,112.540001,110.139999,112.160004,393900,111.322906
"579",113.419998,115.410004,112.330002,115.199997,286800,114.34021
"580",115,116.059998,114.379997,115.209999,385900,114.350151
"581",119.650002,123.089996,118,122.260002,779500,121.347534
