"","CRL.Open","CRL.High","CRL.Low","CRL.Close","CRL.Volume","CRL.Adjusted"
"1",76.699997,76.779999,75.25,76.529999,402100,76.529999
"2",77.339996,79.669998,77.309998,79.32,752300,79.32
"3",79.32,81,78.620003,80.559998,883500,80.559998
"4",80.279999,81.019997,80.169998,80.830002,443800,80.830002
"5",81.029999,81.339996,80.209999,80.599998,362900,80.599998
"6",81,82.889999,81,81.300003,357100,81.300003
"7",81.150002,81.150002,79.440002,80,421200,80
"8",79.739998,80.75,78.839996,80.739998,490600,80.739998
"9",80.93,81.459999,80.300003,80.540001,289000,80.540001
"10",79.949997,80.07,78.599998,79.790001,514100,79.790001
"11",80.050003,80.419998,79.080002,80.019997,425700,80.019997
"12",79.849998,80.190002,78.510002,80.07,382200,80.07
"13",79.889999,80.199997,79.25,79.860001,440500,79.860001
"14",79.629997,80.099998,78.980003,79.419998,460700,79.419998
"15",79.650002,79.650002,78.25,79.279999,218400,79.279999
"16",79.739998,79.949997,79.139999,79.860001,1011900,79.860001
"17",79.870003,79.940002,78.82,78.839996,326800,78.839996
"18",78.769997,79.330002,78.699997,79.050003,400400,79.050003
"19",78,78.980003,77.610001,78.379997,292100,78.379997
"20",77.93,80.989998,77.660004,80.800003,287200,80.800003
"21",80.779999,82.029999,80.209999,81.919998,420100,81.919998
"22",81.309998,82,80.739998,81.860001,288300,81.860001
"23",82.050003,82.669998,81.330002,82.43,228500,82.43
"24",82.199997,82.470001,81.360001,81.989998,171300,81.989998
"25",82.389999,82.610001,81.459999,82.580002,289500,82.580002
"26",82.300003,82.949997,81.559998,82.489998,368000,82.489998
"27",82.690002,83.709999,82.389999,83.599998,339500,83.599998
"28",84,84,82.919998,83.339996,403200,83.339996
"29",83.330002,83.790001,81.809998,82.470001,772700,82.470001
"30",86.489998,89.589996,85,88.949997,1207000,88.949997
"31",88.989998,89.440002,87.739998,88.720001,625800,88.720001
"32",88.32,88.599998,87.43,88.410004,471800,88.410004
"33",88.25,89.120003,87.82,88.5,273600,88.5
"34",88.599998,89,87.93,88.400002,267600,88.400002
