"","TDY.Open","TDY.High","TDY.Low","TDY.Close","TDY.Volume","TDY.Adjusted"
"1",124,124.690002,123.019997,124,128600,124
"2",124,125.190002,124,124.07,216800,124.07
"3",123.900002,125.5,122.720001,123.360001,124200,123.360001
"4",123.610001,123.900002,122.339996,122.610001,91800,122.610001
"5",122.080002,122.080002,120.709999,121.110001,123000,121.110001
"6",121.660004,123.199997,121.139999,122.739998,99600,122.739998
"7",122.690002,123.099998,121.269997,123.010002,97300,123.010002
"8",122.610001,122.760002,120.059998,122.610001,89400,122.610001
"9",123.199997,124.599998,121.839996,124.260002,108900,124.260002
"10",123.580002,123.580002,121.209999,121.470001,84800,121.470001
"11",121.900002,122.989998,119.669998,122.809998,76000,122.809998
"12",123,124.839996,122.120003,123.120003,109400,123.120003
"13",123.419998,123.510002,122.559998,123.059998,79500,123.059998
"14",122.949997,123.5,121.330002,122.410004,54900,122.410004
"15",122.980003,124.07,121.660004,123.379997,148600,123.379997
"16",124.190002,124.440002,122.970001,124.150002,107900,124.150002
"17",124.269997,124.980003,122.720001,122.75,293100,122.75
"18",122.419998,123.669998,122.260002,122.669998,203200,122.669998
"19",121.849998,122.459999,119.690002,122.019997,129300,122.019997
"20",121.57,123.029999,119.739998,122.870003,128900,122.870003
"21",123.82,124.230003,122.010002,123.050003,140500,123.050003
"22",127,129.5,125.260002,128.740005,290200,128.740005
"23",129.429993,131.139999,128.199997,130.220001,189700,130.220001
"24",129.149994,129.539993,127.779999,128.309998,152200,128.309998
"25",126.879997,129.860001,126.879997,128.429993,170800,128.429993
"26",127.669998,128.25,127.120003,127.830002,138800,127.830002
"27",128.460007,129.899994,128.100006,128.690002,139800,128.690002
"28",128.75,130.690002,128.289993,130.660004,116400,130.660004
"29",131.100006,132.350006,130.759995,131.070007,94900,131.070007
"30",130.320007,131.490005,129.600006,131.110001,88700,131.110001
"31",130.419998,132.429993,130.419998,132.339996,84800,132.339996
"32",132.419998,133.139999,131.070007,132.789993,160400,132.789993
"33",132.839996,134,131.179993,133.979996,178900,133.979996
"34",134.240005,134.789993,133.600006,134.679993,92700,134.679993
"35",133.929993,134.690002,132.639999,132.669998,128600,132.669998
"36",132.600006,133.419998,130.479996,131.399994,122400,131.399994
"37",130.029999,131.820007,130.020004,131.800003,63900,131.800003
"38",131.240005,133.940002,131.240005,133.860001,155600,133.860001
"39",132.770004,133.919998,131.289993,131.410004,174900,131.410004
"40",133.600006,135.889999,133.589996,135.240005,137900,135.240005
"41",135.350006,135.669998,131.669998,132.059998,172900,132.059998
"42",131.860001,132.770004,131.429993,132.570007,98600,132.570007
"43",131.300003,132.410004,131.220001,131.899994,93200,131.899994
"44",131.289993,132.110001,131,131.309998,93100,131.309998
"45",131.940002,131.940002,128.970001,129.399994,146200,129.399994
"46",129.600006,130.089996,128.350006,128.460007,94400,128.460007
"47",129,130,128.300003,129.550003,107200,129.550003
"48",129.550003,130.570007,128.770004,130.429993,93500,130.429993
"49",129.539993,129.960007,128.410004,129.729996,58500,129.729996
"50",130.110001,132.199997,130.110001,131.869995,136000,131.869995
"51",132.570007,133.029999,130.789993,131.160004,141300,131.160004
"52",131,131.919998,130.100006,131.460007,423700,131.460007
"53",131.440002,131.440002,129.729996,129.779999,77700,129.779999
"54",130.889999,130.889999,125.050003,125.139999,185900,125.139999
"55",124.699997,125.760002,122.57,124.169998,258800,124.169998
"56",123.989998,125.940002,123.989998,125.389999,77000,125.389999
"57",126.010002,126.470001,124.449997,124.910004,92000,124.910004
"58",123.050003,125.07,121.989998,124.739998,77900,124.739998
"59",124.449997,127.629997,123.690002,127.040001,124500,127.040001
"60",126.709999,127.489998,125.639999,126.139999,54800,126.139999
"61",126.239998,127.550003,126.230003,127.099998,102700,127.099998
"62",127.099998,127.589996,126.220001,126.459999,134400,126.459999
"63",126.449997,126.790001,124.550003,126.019997,128000,126.019997
"64",125.980003,126.919998,124.779999,125.730003,118900,125.730003
"65",126.589996,127.879997,124.510002,124.529999,118100,124.529999
"66",124.739998,125.970001,123.660004,125.940002,92700,125.940002
"67",125.349998,127.099998,125.199997,126.669998,74800,126.669998
"68",126.769997,127.879997,125.099998,125.650002,104400,125.650002
"69",125.290001,127.300003,122.879997,127.25,84500,127.25
"70",126.889999,126.889999,123.980003,124.120003,77900,124.120003
"71",123.919998,124.389999,121.580002,121.959999,107300,121.959999
"72",122.730003,125.010002,122.510002,124.809998,106400,124.809998
"73",124.190002,125,123.5,124.870003,112500,124.870003
"74",125.349998,125.760002,124.309998,124.690002,102500,124.690002
"75",125.010002,127.059998,124.290001,126.860001,155800,126.860001
"76",127.089996,127.940002,126.480003,127.43,247600,127.43
"77",129.880005,132.070007,128.960007,131.809998,164900,131.809998
"78",133.229996,134.380005,132.029999,133.669998,185500,133.669998
"79",133.990005,134.970001,132.759995,134.259995,161800,134.259995
"80",134.539993,135.210007,133.860001,134.800003,103600,134.800003
"81",135.320007,135.529999,134.190002,134.830002,219200,134.830002
"82",135.229996,135.229996,133.679993,134.559998,105400,134.559998
"83",134.399994,134.880005,133.740005,134.520004,228700,134.520004
"84",133.550003,133.710007,132.119995,133.300003,147100,133.300003
"85",136.210007,137,131.990005,135.690002,155700,135.690002
"86",136.529999,136.660004,133.080002,135.759995,193200,135.759995
"87",135.320007,135.669998,133.990005,135.479996,205500,135.479996
"88",135.100006,135.179993,133.270004,133.729996,122000,133.729996
"89",133.139999,134.149994,132.520004,133.270004,112000,133.270004
"90",132.940002,133.320007,131.190002,132.360001,159800,132.360001
"91",131.559998,131.710007,130.380005,130.869995,103900,130.869995
"92",131.020004,132.869995,130.850006,131.919998,174300,131.919998
"93",131.839996,131.990005,130.360001,131.550003,127500,131.550003
"94",131.550003,131.550003,126.639999,126.849998,160300,126.849998
"95",126.07,127.169998,124.580002,126.050003,176500,126.050003
"96",126.800003,128.490005,125.82,127.860001,162000,127.860001
"97",128.899994,130.149994,128.509995,129.059998,119300,129.059998
"98",129.619995,129.619995,127.779999,128.960007,92500,128.960007
"99",128.899994,129.779999,128.259995,128.929993,77500,128.929993
"100",129.339996,131.059998,129,131.029999,154300,131.029999
"101",130.639999,131.630005,130.009995,131.350006,117300,131.350006
"102",131.080002,131.279999,129.550003,129.990005,80200,129.990005
"103",130.210007,131.910004,128.649994,131.509995,128100,131.509995
"104",131.979996,133.399994,131.009995,133.369995,126500,133.369995
"105",133.529999,136.5,132.949997,133.839996,156800,133.839996
"106",133.520004,134.029999,131.119995,131.179993,117500,131.179993
"107",130.289993,131.039993,129.660004,129.869995,138400,129.869995
"108",129.919998,129.919998,127.980003,128.130005,141600,128.130005
"109",127.849998,132.119995,127.169998,131.100006,182900,131.100006
"110",131.759995,133.479996,131.570007,133.020004,220200,133.020004
"111",133.110001,133.110001,130.5,131.020004,185800,131.020004
"112",131.160004,131.630005,130.470001,130.669998,180000,130.669998
"113",130.990005,130.990005,129.309998,130,153300,130
"114",128.529999,131.759995,128.149994,131.630005,155500,131.630005
"115",130.639999,131.710007,129.740005,130.970001,571100,130.970001
"116",131.839996,133,130.679993,132.610001,303100,132.610001
"117",132.029999,132.320007,128.990005,129.320007,261600,129.320007
"118",129.600006,130.119995,127.410004,128.119995,221600,128.119995
"119",128.419998,128.850006,126.839996,126.949997,160100,126.949997
"120",126.980003,127.639999,125.010002,125.360001,3350200,125.360001
"121",126.050003,127.540001,125.360001,126.239998,310900,126.239998
"122",126.029999,126.730003,123.290001,123.519997,268700,123.519997
"123",124.160004,125.919998,124.019997,125.730003,233300,125.730003
"124",125.830002,126.910004,123.370003,124.739998,229500,124.739998
"125",125.540001,128.289993,125.379997,127.650002,284500,127.650002
"126",128.419998,129.050003,127.75,128.110001,94300,128.110001
"127",129.610001,131.5,128.919998,131.279999,262300,131.279999
"128",130.479996,131.729996,129.259995,129.429993,301500,129.429993
"129",129.729996,133.679993,129.669998,133.25,232400,133.25
"130",132.929993,133.949997,131.990005,132.720001,165600,132.720001
"131",132.889999,133.399994,131.229996,133.039993,124200,133.039993
"132",133.970001,135.820007,133.970001,134.860001,150000,134.860001
"133",134.990005,134.990005,133.330002,133.679993,178100,133.679993
"134",133.869995,135.119995,133.789993,134.380005,174000,134.380005
"135",134.190002,136.080002,133.429993,135.679993,231400,135.679993
"136",135.399994,135.600006,134.089996,134.389999,235800,134.389999
"137",134.970001,136.610001,134.729996,136.5,248300,136.5
"138",136.509995,136.960007,135.179993,135.470001,243500,135.470001
