"","CDW.Open","CDW.High","CDW.Low","CDW.Close","CDW.Volume","CDW.Adjusted"
"959",128.520004,129.830002,127.32,129.440002,337800,128.149826
"960",130.300003,130.539993,128.669998,130,310900,128.704239
"961",128.270004,129.610001,124.220001,125.669998,426500,124.417397
"962",125.349998,126.199997,123.120003,123.279999,620100,122.051216
"963",120.330002,120.75,118.309998,118.730003,706900,117.546577
"964",117.279999,122.089996,117.019997,120.949997,733100,119.744438
"965",119.940002,123.199997,118.610001,122.599998,1147000,121.377991
"966",125.169998,129.460007,123.220001,126.449997,1247600,125.189613
"967",130.050003,131.809998,127.660004,130.720001,676900,129.417068
"968",132.149994,135.949997,130.089996,133.850006,993800,132.515854
"969",135.220001,139.75,135.110001,138.179993,1322200,136.802673
"970",138.300003,139.490005,137.110001,138.050003,676100,136.673996
"971",141.089996,146.949997,141.089996,143.949997,1568900,142.515182
"972",141.330002,144.220001,136.869995,137.529999,1310300,136.159164
"973",138.320007,139.339996,136.869995,138.699997,582300,137.317505
"974",138.460007,139.229996,135.259995,135.559998,456400,134.208817
"975",136.990005,138.429993,136.820007,137.589996,1199500,136.218582
"976",139.309998,140.820007,138.570007,139.080002,677900,137.693741
"977",137.610001,138.960007,136.330002,136.779999,711400,135.416641
"978",137.100006,138.110001,135.669998,135.729996,1481000,134.377121
"979",134.740005,135.070007,131.050003,132.779999,1418900,131.456528
"980",132.449997,133.600006,131.919998,131.949997,783700,130.634781
"981",132.259995,132.690002,130.229996,131.220001,1102800,129.912094
"982",131.850006,137.669998,131.669998,136.820007,1970100,135.870438
"983",136.240005,136.339996,131.330002,131.940002,786800,131.024292
"984",132.110001,132.419998,131.080002,132.229996,357100,131.312286
"985",131.5,131.5,129.059998,130.490005,1082000,129.584366
"986",131.929993,133.100006,131.029999,132.020004,985800,131.10376
"987",131.970001,132.279999,130.610001,131.210007,587000,130.299377
"988",130.809998,132.949997,130.740005,131.25,610900,130.339096
"989",131.550003,134.380005,131.350006,133.5,925400,132.573486
"990",133.25,134.75,132,132.940002,742400,132.017365
"991",133.600006,134.320007,132.320007,132.940002,1203400,132.017365
"992",133,133.460007,131.110001,131.949997,687800,131.034225
"993",131.5,132.369995,130.899994,131.710007,542600,130.795898
"994",130.720001,131.610001,128.820007,130.699997,689100,129.792908
"995",131.570007,134.110001,130.75,131.729996,937000,130.81575
"996",132.190002,133.259995,131.759995,132.830002,650100,131.908112
"997",132.710007,133.190002,131.770004,132.259995,570100,131.342087
"998",128.910004,135.380005,128.910004,135.240005,885700,134.301407
"999",135.850006,136.630005,133.270004,134.369995,2098300,133.437424
"1000",131.75,132.130005,129.300003,130.990005,1153600,130.080887
"1001",131.350006,131.649994,129.470001,130.75,1207100,129.842545
"1002",131.410004,132.589996,129.669998,129.850006,782500,128.948792
"1003",130.460007,130.529999,128.25,129.229996,392900,128.333099
"1004",130.75,131.509995,129.630005,131.059998,954100,130.150406
"1005",132.009995,133.889999,128.839996,129.470001,740600,128.571457
"1006",129.330002,131.470001,129,130,483600,129.097748
"1007",129.820007,132.169998,129.399994,131.789993,493700,130.875336
