"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"1",73.199997,73.230003,71.190002,72.059998,2143800,63.948025
"2",72.150002,72.760002,71.82,72.089996,1907500,63.974648
"3",72.959999,72.959999,71.68,72.330002,1840400,64.187645
"4",72.089996,72.360001,71.339996,71.550003,2240000,63.990887
"5",71.489998,72,71.019997,71.559998,1466200,63.999809
"6",71.660004,72.629997,71.550003,72.25,2029500,64.616928
"7",72.040001,73.089996,72.040001,72.889999,1952100,65.189308
"8",72.870003,74.059998,72.68,73.809998,2122200,66.012108
"9",73.68,73.830002,72.900002,73.370003,1410200,65.618599
"10",73.139999,74.050003,72.730003,72.879997,1331300,65.180382
"11",73.260002,73.260002,72.43,73.160004,852400,65.430794
"12",72.919998,73.290001,72.360001,72.589996,1140000,64.921013
"13",72.739998,73.660004,72.629997,73.440002,1224500,65.681183
"14",73.379997,73.440002,72.440002,73,1436200,65.287682
"15",73.220001,73.82,73.059998,73.669998,1137900,65.886894
"16",72.959999,73.699997,72.5,73.57,1435900,65.79747
"17",73.760002,74.459999,73.400002,73.550003,749000,65.779564
"18",73.68,73.82,72.699997,73.559998,1100700,65.788521
"19",74.040001,74.040001,73.019997,73.82,1139400,66.021065
"20",73.959999,74.089996,72.790001,73.279999,1132500,65.538116
"21",73.260002,73.690002,71.730003,72.18,1898600,64.554314
"22",72.080002,72.349998,71.43,71.629997,1709000,64.062408
"23",72.970001,73.18,71.629997,71.82,1681200,64.232353
"24",71.800003,72.959999,71.68,72.330002,2188300,64.688469
"25",72.400002,73.230003,71.809998,71.849998,1263600,64.259186
"26",71.699997,73.510002,71.699997,73.440002,982800,65.681183
"27",73.459999,75.220001,73.18,75.07,1592900,67.138992
"28",75.330002,76.760002,75.32,76.279999,1690400,68.221153
"29",76.419998,76.709999,76.019997,76.080002,1156000,68.042282
"30",75.400002,76.25,74.849998,76.239998,1057100,68.185364
"31",76.059998,76.300003,75.269997,75.739998,1395100,67.738213
"32",75.989998,76.300003,75.440002,75.800003,658400,67.791878
"33",75.699997,76.75,75.610001,76.730003,1195900,68.623634
"34",76.540001,77.110001,76.440002,76.699997,1269500,68.596779
"35",75.919998,76.150002,74.879997,75.419998,1471800,67.452003
"36",75.510002,76.059998,75.209999,75.459999,1089000,67.487785
"37",75.019997,75.660004,74.620003,75.459999,1160000,67.487785
"38",75.510002,75.650002,74.309998,74.529999,1410700,66.656052
"39",74.650002,75.019997,74.339996,74.68,1602300,66.790192
"40",75.43,75.480003,74.730003,74.889999,929800,66.978012
"41",74.849998,75.550003,74.610001,75.470001,1065700,67.496735
"42",75.400002,75.440002,74.489998,75.110001,696600,67.174767
"43",74.970001,75.230003,74.209999,74.68,1118000,66.790192
"44",74.790001,74.790001,74.110001,74.510002,1329800,66.638161
"45",74.57,75.540001,74.519997,75.18,1218900,67.237381
"46",75.07,75.589996,74.879997,75.220001,778100,67.273155
"47",75.160004,75.800003,73.830002,74.160004,2159700,66.325142
"48",74.360001,74.550003,73.809998,74.449997,1863300,66.584496
"49",74.589996,74.75,74.010002,74.610001,1026400,66.727592
"50",74.550003,75.919998,74.309998,75.830002,1400000,67.818695
"51",75.839996,76.120003,75.239998,75.400002,956500,67.434135
"52",75.769997,77.07,75.540001,76.660004,2140500,68.561012
"53",76.690002,77.099998,76.339996,76.860001,932300,68.739891
"54",77,77.400002,76.459999,76.599998,1381200,68.507347
"55",76.540001,77.160004,76.309998,77,1370100,68.865082
"56",77.080002,77.529999,76.580002,76.639999,1221700,68.543129
"57",76.660004,77.160004,76.459999,76.709999,1242600,68.605743
"58",76.059998,76.540001,75.199997,75.580002,2614300,67.595116
"59",78.980003,82.82,78.910004,82.620003,10816000,73.891357
"60",81.949997,83.099998,81.580002,82.57,3739100,73.846626
"61",82.300003,83.029999,82.029999,82.830002,1825300,74.079163
"62",82.830002,84.129997,82.510002,83.669998,3256600,74.830421
"63",83.639999,83.790001,82.849998,83.209999,2064700,74.419022
"64",83.110001,84.43,82.669998,83.980003,2184700,75.107666
"65",84.150002,84.550003,82.699997,82.879997,1589200,74.123886
"66",82.709999,83.629997,82.379997,83.379997,1616500,75.078339
"67",83.209999,83.470001,82.68,82.839996,1528700,74.59211
"68",82.980003,83.300003,82.629997,82.699997,1048100,74.466034
"69",82.790001,83.010002,82.360001,82.940002,1025600,74.682152
"70",83.029999,83.18,82.059998,82.489998,1601100,74.276962
"71",82.410004,82.830002,81.870003,81.970001,951800,73.808731
"72",82.400002,82.650002,82.059998,82.639999,1169500,74.412018
"73",82.580002,83.279999,82.43,82.720001,825300,74.484055
"74",83.209999,83.449997,82.580002,83.040001,1037500,74.772202
"75",83.360001,84.07,82.910004,84.050003,1284100,75.681648
