"","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted"
"1",121.860001,122,118.959999,119.620003,5123800,106.513206
"2",119,119.739998,118.18,119.480003,3780800,106.388557
"3",119.339996,120.199997,119.099998,119.699997,4261100,106.584435
"4",118.93,121.5,118.519997,120.760002,4089200,107.528275
"5",120.760002,121.059998,120.330002,120.43,3021800,107.234467
"6",120.459999,120.849998,119.730003,120.25,3108400,107.074165
"7",120.93,121.5,120.620003,120.879997,3565200,107.635139
"8",120.300003,122.309998,120.199997,122.099998,3480700,108.721458
"9",122.239998,122.239998,121.099998,121.5,2877400,108.187202
"10",120.75,122.800003,120.699997,122.75,4077600,109.300247
"11",122.809998,123,121.800003,122.709999,3395000,109.264618
"12",122.239998,123,122.040001,122.18,3155200,108.792694
"13",122.260002,122.949997,122.019997,122.260002,4887100,108.863922
"14",121.690002,122.080002,119.82,121.379997,7022600,108.08036
"15",121.970001,122.059998,120.519997,121.050003,3495200,107.786499
"16",121.489998,121.919998,120.949997,121.790001,3968300,108.445435
"17",121.860001,122.379997,121.760002,121.879997,2497300,108.525566
"18",122.269997,122.989998,121.480003,122.860001,3592700,109.398178
"19",122.809998,123.209999,122.300003,123.019997,3778000,109.540657
"20",123.019997,123.339996,122.099998,122.57,3733300,109.139977
"21",121.900002,122.5,121.699997,122.419998,3233400,109.006386
"22",122.540001,123.980003,122.260002,123.220001,3236600,109.718758
"23",123.309998,124.510002,123.279999,124.239998,3183000,110.626968
"24",124.089996,124.900002,123.949997,124.449997,2760300,110.813972
"25",124.949997,125.419998,124.589996,124.589996,2847200,110.938637
"26",124.580002,125.360001,124.489998,124.669998,2835200,111.009865
"27",124.669998,125,124.360001,124.480003,2493600,110.840675
"28",124.68,126.110001,124.519997,125.82,3681400,112.033859
"29",126.019997,126.68,125.489998,125.540001,2993800,111.784554
"30",125.5,126.07,125.269997,125.809998,2663100,112.024948
"31",125.660004,126.790001,125.449997,126.480003,2974900,112.621544
"32",126.75,127.82,126.309998,126.699997,3006000,112.817436
"33",126.779999,127.879997,126.68,127.800003,3677400,113.796898
"34",127.160004,128.320007,127.160004,128.039993,4495200,114.010605
"35",127.519997,128.110001,126.400002,127.849998,3670700,113.841431
"36",127.93,128.899994,127.440002,128.270004,3178000,114.215416
"37",128.360001,128.740005,127.75,128.649994,3537200,114.553772
"38",127.68,127.75,126.779999,126.989998,5184000,113.907944
"39",127.080002,127.93,126.580002,127.650002,4619300,114.499954
"40",128.020004,130,127.620003,129.050003,5471600,115.75573
"41",129.050003,129.809998,128.149994,128.229996,6738100,115.020195
"42",128.229996,128.660004,127.440002,127.900002,4067700,114.724197
"43",127.900002,128.339996,127.400002,128.029999,3271500,114.840805
"44",128.059998,128.309998,127.339996,128.070007,3332400,114.876686
"45",128.070007,128.360001,127.470001,128.089996,3571700,114.894623
"46",127.949997,128.720001,127.690002,128.139999,3265700,114.939491
"47",128.559998,128.589996,127.720001,127.980003,3178900,114.795944
"48",128.009995,128.270004,127.349998,127.610001,3130800,114.464066
"49",127.650002,128.229996,127.5,127.800003,2492700,114.634506
"50",128.210007,128.300003,127.470001,127.879997,3529300,114.706261
"51",128.300003,128.899994,127.93,127.980003,3945700,114.795944
"52",128.570007,129.979996,128.419998,128.639999,12532700,115.387962
"53",128.990005,129.479996,128.470001,128.779999,3415500,115.51355
"54",129.220001,129.75,128.179993,128.520004,4062400,115.280342
"55",128.580002,129.149994,128.410004,129.100006,3174200,115.800575
"56",129.139999,129.589996,128.809998,129,2774500,115.710892
"57",129.380005,129.679993,129.160004,129.339996,3568200,116.015862
"58",129.080002,129.820007,129.020004,129.490005,2540400,116.150414
"59",129.460007,129.770004,128.940002,129.449997,3487400,116.114517
"60",129,129.669998,128.630005,128.839996,3197800,115.56736
"61",128.75,129.529999,128.600006,129.320007,2018000,115.99794
"62",129.389999,130.190002,129.300003,129.610001,3041700,116.258041
"63",129.5,129.710007,128.860001,129.610001,3287100,116.258041
"64",129.139999,129.529999,128.649994,129.289993,3414000,115.971016
"65",129.889999,131.580002,129.649994,130.410004,4052200,116.975632
"66",130.309998,130.660004,129.960007,130.149994,3856900,116.742409
"67",130.020004,130.399994,129.619995,129.960007,2176600,116.571983
"68",129.949997,130.649994,129.520004,129.979996,2709300,116.58992
"69",130.619995,131.240005,129.800003,131.199997,3677600,117.684235
"70",131.309998,131.559998,130.869995,131.259995,3195500,117.738083
"71",131,131.139999,130.570007,130.759995,2429200,117.289566
"72",131.25,131.869995,130.910004,131.350006,3236400,117.818802
"73",132.009995,132.800003,131.800003,132.300003,3617400,118.670959
"74",132.639999,133,132.339996,132.639999,3132800,118.975899
"75",132.649994,133.440002,132.639999,133.270004,2697300,119.541
"76",133.550003,133.880005,133.149994,133.410004,3466100,119.666565
"77",134.240005,134.759995,133.259995,134.229996,5041000,120.402092
"78",138.139999,141.990005,137.179993,141.699997,10893800,127.102577
"79",141.699997,142,140.339996,140.839996,7132200,126.331161
"80",141.880005,142.789993,140.850006,140.869995,5183700,126.35807
"81",140.389999,140.759995,139.779999,139.929993,4779900,125.514915
"82",139.860001,141.449997,139.839996,141.149994,3747200,126.609238
"83",140.979996,141.809998,140.720001,141.229996,3774100,126.680984
"84",142.199997,142.699997,141.399994,142.619995,4278400,127.927773
"85",142.619995,143.669998,142.259995,143.449997,4178800,128.672287
"86",143.419998,143.979996,142.580002,143.960007,2452700,129.129761
"87",143.929993,144.5,143.660004,144.240005,2813000,129.38092
"88",144.089996,144.979996,144,144.360001,3053800,129.488541
"89",143.860001,144.639999,143.729996,144.520004,2273300,129.632065
"90",144.080002,144.410004,143.399994,144.210007,1941900,129.35405
"91",144.5,145.5,144.460007,145.360001,2747900,130.385529
"92",145.429993,146.399994,145.429993,146.279999,3332800,131.210754
"93",146.550003,147.669998,146.279999,147.289993,3540900,132.116714
"94",147.289993,147.460007,146.240005,146.410004,3875600,131.327362
"95",146.410004,147.240005,145.809998,147.009995,2730900,131.865555
"96",147.25,148.830002,146.839996,148.149994,4071200,132.888092
"97",148.300003,148.880005,147.929993,148.190002,3294500,132.923996
