"","FB.Open","FB.High","FB.Low","FB.Close","FB.Volume","FB.Adjusted"
"1",116.029999,117.839996,115.510002,116.860001,20663900,116.860001
"2",117.550003,119.660004,117.290001,118.690002,19630900,118.690002
"3",118.860001,120.949997,118.32,120.669998,19492200,120.669998
"4",120.980003,123.879997,120.029999,123.410004,28545300,123.410004
"5",123.550003,125.43,123.040001,124.900002,22880400,124.900002
"6",124.82,125.5,124.279999,124.349998,17324600,124.349998
"7",124.349998,126.120003,124.059998,126.089996,18356500,126.089996
"8",125.610001,126.730003,124.800003,126.620003,18653900,126.620003
"9",127.489998,129.270004,127.370003,128.339996,24884300,128.339996
"10",128.039993,128.339996,127.400002,127.870003,15294500,127.870003
"11",128.410004,128.429993,126.839996,127.919998,13145900,127.919998
"12",128.229996,128.350006,127.449997,127.550003,12195500,127.550003
"13",128.100006,128.479996,126.779999,127.040001,19097200,127.040001
"14",127.309998,129.25,126.949997,128.929993,16593600,128.929993
"15",129.380005,129.899994,128.380005,129.369995,15162700,129.369995
"16",130,131.740005,129.770004,131.479996,18731300,131.479996
"17",131.630005,133.139999,131.440002,132.779999,20020100,132.779999
"18",132.679993,132.949997,131.080002,132.179993,19539500,132.179993
"19",131.580002,131.580002,129.600006,130.979996,18956100,130.979996
"20",130.169998,130.660004,129.520004,130.320007,19790500,130.320007
"21",132.25,133.490005,130.679993,133.229996,50139800,133.229996
"22",133.220001,135.490005,130.399994,130.839996,54366400,130.839996
"23",131.240005,132.850006,130.759995,130.979996,24804900,130.979996
"24",130.979996,132.059998,130.300003,132.059998,17058500,132.059998
"25",132.240005,133,131.660004,131.839996,14596400,131.839996
"26",132.600006,134.440002,132.440002,134.199997,22390600,134.199997
"27",134.490005,134.5,133.309998,134.139999,16470600,134.139999
"28",134.100006,134.940002,133.679993,134.190002,15061900,134.190002
"29",134.699997,134.699997,133.699997,134.050003,13526200,134.050003
"30",134.100006,134.229996,132.550003,133.850006,14364900,133.850006
"31",133.449997,133.699997,132.660004,133.440002,13226500,133.440002
"32",133.070007,133.869995,133.020004,133.839996,12831100,133.839996
"33",133.5,134.089996,133.169998,133.529999,12276500,133.529999
"34",133.5,133.910004,132.899994,133.720001,14759100,133.720001
"35",133.600006,136.789993,133.460007,136.119995,27360100,136.119995
"36",135.889999,136.119995,134.330002,135.360001,18422500,135.360001
"37",134.160004,135.619995,134.160004,135.440002,12625700,135.440002
"38",135.259995,137.179993,135.020004,136.410004,14306700,136.410004
"39",136.789993,136.809998,134.75,135.539993,16112100,135.539993
"40",136.470001,137.479996,136.300003,137.419998,16257000,137.419998
"41",137.089996,137.820007,136.309998,136.759995,12294800,136.759995
"42",136.630005,137.330002,136.080002,137.169998,11160600,137.169998
"43",136.880005,137.830002,136.509995,137.419998,12748200,137.419998
"44",137.029999,138.369995,136.990005,137.300003,13527100,137.300003
"45",137.149994,137.990005,137.050003,137.720001,10184500,137.720001
"46",137.720001,138.570007,137.399994,138.240005,15535300,138.240005
"47",138.910004,139.490005,138.220001,138.789993,16314100,138.789993
"48",138.710007,139.679993,138.669998,139.600006,10955500,139.600006
"49",139.460007,139.460007,138.520004,139.320007,12944000,139.320007
"50",139.289993,140.100006,138.490005,139.720001,19344800,139.720001
"51",140.199997,140.25,139.729996,139.990005,13612900,139.990005
"52",140.339996,140.339996,139.699997,139.839996,20592800,139.839996
"53",139.710007,140.190002,139.25,139.940002,12099500,139.940002
"54",141.149994,142.309998,138.399994,138.509995,29894800,138.509995
"55",137.929993,139.789993,137.600006,139.589996,17055400,139.589996
"56",139.479996,140.389999,139.089996,139.529999,13022800,139.529999
"57",140.080002,141.020004,139.759995,140.339996,16664700,140.339996
"58",139.050003,140.649994,138.770004,140.320007,12800500,140.320007
"59",140.360001,141.949997,140.009995,141.759995,14679400,141.759995
"60",141.990005,142.860001,141.429993,142.649994,16527600,142.649994
"61",142.399994,142.949997,141.850006,142.410004,12404000,142.410004
"62",142.309998,142.630005,141.889999,142.050003,11478300,142.050003
"63",141.929993,142.470001,140.820007,142.279999,13564000,142.279999
"64",141.860001,142.089996,141.270004,141.729996,12948600,141.729996
"65",142.259995,143.440002,141.289993,141.850006,17158100,141.850006
"66",142.110001,142.220001,140.910004,141.169998,15103400,141.169998
"67",141.199997,141.550003,140.240005,140.779999,11818300,140.779999
"68",141,141.429993,140.630005,141.039993,9039400,141.039993
"69",140.800003,141.029999,138.809998,139.919998,16638100,139.919998
"70",139.720001,140.399994,139.440002,139.580002,11612500,139.580002
"71",139.619995,140.580002,139.330002,139.389999,10965600,139.389999
"72",139.759995,141.550003,139.75,141.419998,11519700,141.419998
"73",141.270004,141.910004,140.610001,140.960007,14807500,140.960007
"74",141.350006,143.039993,141.270004,142.270004,15563900,142.270004
"75",142.949997,144.25,142.690002,143.800003,15968200,143.800003
"76",143.899994,144.169998,142.270004,143.679993,12382000,143.679993
"77",144.960007,145.669998,144.339996,145.470001,14407200,145.470001
"78",145.789993,147.149994,145.789993,146.490005,17767500,146.490005
"79",147.089996,147.589996,146.089996,146.559998,12395000,146.559998
"80",146.669998,147.75,146.139999,147.699997,11275100,147.699997
"81",149.5,151.529999,149.070007,150.25,30652200,150.25
"82",151.740005,152.570007,151.419998,152.460007,25218300,152.460007
"83",153.339996,153.440002,151.660004,152.779999,21870400,152.779999
"84",153.600006,153.600006,151.339996,151.800003,29782500,151.800003
"85",150.169998,151.520004,148.720001,150.850006,36225500,150.850006
"86",151.449997,151.630005,149.789993,150.240005,17148500,150.240005
"87",150.710007,151.080002,149.740005,151.059998,15827500,151.059998
"88",151.490005,152.589996,150.210007,150.479996,17453900,150.479996
"89",150.229996,150.520004,148.860001,150.289993,12080700,150.289993
"90",150.309998,150.649994,149.410004,150.039993,11841900,150.039993
"91",150.399994,150.460007,149.630005,150.330002,9598200,150.330002
"92",150.169998,151.479996,149.770004,150.190002,15064700,150.190002
"93",150.110001,150.210007,149.029999,149.779999,14550800,149.779999
"94",148,148.669998,144.419998,144.850006,28300100,144.850006
"95",144.720001,148.149994,144.509995,147.660004,23031600,147.660004
"96",148.449997,149.389999,147.960007,148.059998,16187900,148.059998
"97",148.080002,148.589996,147.690002,148.240005,12586700,148.240005
"98",148.520004,148.809998,147.25,148.070007,12817800,148.070007
"99",148.509995,150.229996,148.419998,150.039993,17862400,150.039993
"100",150.300003,152.589996,149.949997,151.960007,19891400,151.960007
"101",152.229996,152.25,151.149994,152.130005,14996200,152.130005
"102",151.970001,152.899994,151.639999,152.380005,13226000,152.380005
"103",152.699997,153.350006,151.089996,151.460007,18023900,151.460007
"104",151.75,152.289993,150.300003,151.529999,14530600,151.529999
"105",151.850006,153.630005,151.300003,153.610001,16854400,153.610001
"106",153.639999,154.710007,153.410004,153.630005,12520400,153.630005
"107",153.410004,154.520004,152.479996,152.809998,13457100,152.809998
"108",153.270004,153.75,152.339996,153.119995,12066700,153.119995
"109",154.080002,154.729996,153.100006,154.710007,17799400,154.710007
"110",154.770004,155.589996,146.610001,149.600006,35577700,149.600006
"111",148.169998,149.199997,144.559998,148.440002,33170200,148.440002
"112",150.149994,151.179993,148.899994,150.679993,20483400,150.679993
"113",151.259995,152.399994,149.050003,150.25,20808800,150.25
"114",147.669998,150.039993,146.369995,149.800003,18994200,149.800003
"115",149.589996,150.830002,148.600006,150.639999,22882400,150.639999
"116",151.710007,153.570007,151.710007,152.869995,19026500,152.869995
"117",152.880005,153.839996,152.210007,152.25,14743900,152.25
"118",152.360001,154.080002,151.880005,153.910004,15039800,153.910004
"119",153.009995,154.550003,152.910004,153.399994,13005500,153.399994
"120",152.720001,155.199997,152.649994,155.070007,18027000,155.070007
"121",156.25,156.5,153.199997,153.589996,18049700,153.589996
"122",152.839996,153.309998,150.389999,150.580002,19360800,150.580002
