"","MHK.Open","MHK.High","MHK.Low","MHK.Close","MHK.Volume","MHK.Adjusted"
"1",201.679993,204.149994,200.080002,201.75,492800,201.75
"2",202,206.410004,202,205.880005,544100,205.880005
"3",205.449997,206.179993,203.089996,204.350006,540500,204.350006
"4",204.550003,206.369995,203.320007,204.440002,590900,204.440002
"5",205.279999,205.770004,203.520004,203.729996,458300,203.729996
"6",203.139999,205.520004,203,203.179993,520100,203.179993
"7",203.820007,204.160004,200.839996,202.199997,494200,202.199997
"8",200.960007,202.039993,199.899994,201.740005,468600,201.740005
"9",201.619995,203.130005,201.110001,202.410004,387900,202.410004
"10",201.729996,202.669998,200.740005,201.809998,457400,201.809998
"11",202.169998,204.600006,201.529999,204.089996,777500,204.089996
"12",204.509995,210.210007,204.509995,205.899994,863300,205.899994
"13",206.399994,208.009995,206.399994,207.139999,617500,207.139999
"14",207.080002,210.300003,206.740005,209.520004,892000,209.520004
"15",210.630005,215.990005,210.630005,214.869995,1027700,214.869995
"16",215.630005,217.960007,215.190002,215.380005,942900,215.380005
"17",215.330002,216.520004,213.889999,215.449997,417800,215.449997
"18",214.880005,215.289993,214.039993,215.169998,334900,215.169998
"19",213.419998,216.080002,212.130005,215.460007,484500,215.460007
"20",215.630005,216.419998,213.429993,215.839996,558100,215.839996
"21",215.850006,217.25,213.070007,215.869995,493400,215.869995
"22",215.580002,216.979996,214.800003,216.029999,558600,216.029999
"23",216.309998,217.509995,214.830002,215.389999,455600,215.389999
"24",214.460007,216.479996,212.770004,213.380005,749000,213.380005
"25",214.460007,216.179993,213.75,214,566300,214
"26",214.270004,215.5,213.470001,214.100006,458100,214.100006
"27",214.100006,215.369995,211.130005,214.770004,999200,214.770004
"28",212.5,224.169998,209.899994,222.720001,2023900,222.720001
"29",224.410004,225.529999,222.679993,223.800003,688400,223.800003
"30",223.389999,224.300003,222.190002,224.229996,540700,224.229996
"31",224,224.979996,222.410004,222.979996,459000,222.979996
"32",223.199997,224.009995,220.240005,221.779999,421700,221.779999
"33",221.369995,222,219.220001,221.550003,470600,221.550003
"34",222.080002,224.880005,219.529999,224.539993,603500,224.539993
"35",225.020004,226.149994,223.559998,225.050003,532300,225.050003
"36",226.169998,226.580002,224.449997,225.309998,394800,225.309998
"37",224.919998,226.229996,223.369995,225.960007,343700,225.960007
"38",225.259995,228.300003,224.330002,228.080002,461000,228.080002
"39",228.020004,228.520004,226.059998,226.360001,489100,226.360001
"40",229.309998,233.699997,228.259995,231.529999,547000,231.529999
"41",230.399994,232.460007,229.710007,230.149994,354900,230.149994
"42",230.570007,232.449997,229.25,229.669998,368200,229.669998
"43",227.779999,229.759995,226.740005,228.039993,396700,228.039993
"44",227.929993,229.360001,226.240005,227.300003,345100,227.300003
"45",227.899994,230.889999,227,229.570007,360100,229.570007
"46",229.199997,230.550003,226.740005,228.130005,332900,228.130005
"47",229.509995,230.979996,228.940002,230.389999,344500,230.389999
"48",230.270004,231.470001,229.279999,231.070007,308500,231.070007
"49",229.460007,231.190002,228.940002,229.919998,267500,229.919998
"50",231,231.619995,228.529999,231,525200,231
"51",231,233.570007,230.160004,231.399994,626700,231.399994
"52",231.229996,231.550003,229.199997,230.199997,665200,230.199997
"53",230.830002,231.990005,228.970001,231.899994,848100,231.899994
"54",232.179993,232.199997,229.070007,229.419998,341600,229.419998
"55",227.449997,228.169998,224.009995,227.919998,693600,227.919998
"56",228.300003,230.809998,227.949997,229.380005,296200,229.380005
"57",229.570007,230.059998,225.529999,227.020004,732200,227.020004
"58",224.740005,228.070007,223.839996,227.630005,330600,227.630005
"59",227.320007,228.850006,226.029999,227.990005,438700,227.990005
"60",226.820007,230.210007,226.419998,229.960007,473500,229.960007
"61",229.839996,232.139999,228.839996,228.910004,397100,228.910004
