"","REG.Open","REG.High","REG.Low","REG.Close","REG.Volume","REG.Adjusted"
"1",68.959999,69.150002,68.099998,68.889999,1012000,57.275806
"2",69.120003,70.099998,68.779999,69.989998,718900,58.190357
"3",69.400002,70.230003,68.959999,70.150002,629300,58.32338
"4",69.860001,70.510002,69.760002,70.300003,582900,58.448101
"5",70.339996,70.339996,69.129997,69.330002,749000,57.641628
"6",69.080002,69.360001,68.68,68.699997,578200,57.117832
"7",68.760002,68.879997,68.059998,68.18,834200,56.685505
"8",68.190002,69.019997,67.540001,69,961200,57.367268
"9",68.970001,69.339996,68.709999,68.879997,385600,57.26749
"10",69.080002,69.760002,68.739998,69.709999,712600,57.957573
"11",69.660004,70.169998,69.190002,70.010002,553100,58.206989
"12",69.589996,69.82,68.800003,68.910004,464300,57.292435
"13",69.239998,69.809998,68.870003,69.760002,581500,57.999149
"14",69.849998,71.169998,69.739998,71.010002,711400,59.038383
"15",71.07,71.5,70.790001,71.139999,824600,59.146481
"16",71.110001,71.199997,69.849998,70.150002,643900,58.32338
"17",70.349998,70.5,69.790001,69.879997,477000,58.0989
"18",69.949997,70.300003,69.18,69.449997,551400,57.741383
"19",69.360001,69.639999,68.629997,68.949997,580600,57.325703
"20",69.160004,70.059998,68.830002,69.730003,719400,57.974194
"21",69.639999,70.080002,68.620003,68.690002,495300,57.109535
"22",68.849998,69.540001,68.709999,69.489998,571500,57.774654
"23",70.07,70.089996,69.279999,69.849998,723600,58.073963
"24",69.940002,70.309998,69.510002,69.889999,579000,58.10722
"25",69.580002,70.379997,69.199997,69.300003,621900,57.616684
"26",69.57,70.379997,69.190002,70.040001,648700,58.231941
"27",70.639999,71.279999,70.07,70.910004,774700,58.955254
"28",70.660004,71.339996,70.660004,71.300003,565900,59.279507
"29",71.5,71.730003,70.790001,71.239998,355700,59.229618
"30",70.900002,71.349998,70.050003,70.120003,697400,58.298439
"31",69.790001,69.830002,68.989998,69.239998,757600,57.566795
"32",69.18,69.959999,69.099998,69.519997,543700,57.799583
"33",69.650002,69.800003,68.800003,69.75,572900,57.990829
"34",69.650002,70.589996,69.440002,70.510002,666100,58.622692
"35",70.019997,70.43,69.300003,70.010002,454700,58.631065
"36",70.32,71.230003,69.919998,70.949997,734600,59.418266
"37",70.620003,71.449997,69.559998,71.190002,2595300,59.619278
"38",71.059998,72.050003,70.730003,71.699997,1551300,60.046383
