"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"1",69.290001,70.860001,69,70.540001,8112200,70.540001
"2",71.080002,73.07,70.760002,72.800003,9289500,72.800003
"3",72.809998,73.660004,72.529999,72.790001,4695600,72.790001
"4",72.889999,74.129997,72.550003,73.800003,4466100,73.800003
"5",74.050003,74.440002,73.510002,73.959999,3933100,73.959999
"6",74.120003,74.300003,73.440002,73.980003,3994800,73.980003
"7",74.269997,76.080002,74.059998,75.769997,7591300,75.769997
"8",75.169998,75.75,74,75.209999,4681700,75.209999
"9",74.839996,75.779999,74.699997,75.639999,3690000,75.639999
"10",75.300003,75.300003,74.370003,75.019997,3152500,75.019997
"11",75.589996,76.220001,75.080002,75.779999,3969500,75.779999
"12",75.720001,76.169998,75.339996,75.57,3274300,75.57
"13",75.760002,76.120003,75.43,76.029999,4593600,76.029999
"14",75.699997,76.959999,75.699997,76.160004,3770900,76.160004
"15",76.32,77.459999,75.949997,77.110001,3730300,77.110001
"16",77.529999,78.589996,77.25,78.470001,5690400,78.470001
"17",79,79.080002,77.279999,77.949997,4121000,77.949997
"18",78.190002,78.57,77.919998,78.209999,2219300,78.209999
"19",77.800003,78.779999,77.099998,78.709999,4964000,78.709999
"20",78.449997,80,78.169998,79.099998,7835200,79.099998
"21",78.910004,79.300003,77.449997,78.580002,6199700,78.580002
"22",78.330002,80.260002,77.889999,80.129997,7676100,80.129997
"23",80.389999,80.709999,79.809998,80.209999,4975400,80.209999
"24",80.019997,80.120003,79.349998,79.75,2664200,79.75
"25",80.279999,80.529999,79.540001,80.209999,3628200,80.209999
"26",80,80.830002,79.629997,80.699997,2568000,80.699997
"27",80.699997,81.980003,80.489998,81.029999,5147500,81.029999
"28",81.410004,82,80.540001,80.639999,3061900,80.639999
"29",81.18,81.300003,80.459999,80.910004,4327500,80.910004
"30",80.949997,81.300003,80.559998,80.919998,4809500,80.919998
"31",81.230003,82.830002,80.889999,81.669998,5271900,81.669998
"32",81.519997,81.720001,80.5,80.82,5234700,80.82
"33",80.57,81.470001,80.25,81.470001,3674100,81.470001
"34",81.68,82.419998,81.290001,82.18,4325000,82.18
"35",82,82.389999,81.709999,82.080002,2741400,82.080002
"36",82.330002,83.129997,81.830002,82.07,5595200,82.07
"37",81.410004,81.82,80.970001,81.779999,4434200,81.779999
"38",81.629997,81.919998,80.900002,81.540001,3289300,81.540001
"39",81.5,81.830002,80.690002,81.349998,10533000,81.349998
"40",82.870003,84.400002,82.110001,83.809998,14319200,83.809998
"41",83.559998,83.699997,82.349998,82.669998,5884800,82.669998
"42",82,82.589996,81.650002,82.220001,6217200,82.220001
"43",81.760002,82.720001,81.620003,82.5,5328500,82.5
"44",83.360001,84.389999,82.809998,82.970001,5431800,82.970001
"45",82.959999,83.839996,82.940002,83.480003,3732400,83.480003
"46",83.190002,83.580002,82.809998,83.279999,3646900,83.279999
"47",83.559998,83.949997,83.239998,83.510002,3930000,83.510002
"48",83.470001,83.739998,83.080002,83.610001,3463700,83.610001
"49",83.419998,83.620003,82.730003,83.510002,2933500,83.510002
"50",83.559998,83.769997,83,83.480003,3074100,83.480003
"51",83.949997,84,83.269997,83.519997,3762100,83.519997
"52",83.940002,83.980003,83.019997,83.029999,7828200,83.029999
"53",83.029999,83.629997,82.809998,82.900002,3428700,82.900002
"54",83,83.18,81.370003,81.550003,4206200,81.550003
"55",81.690002,81.970001,81.139999,81.879997,3057000,81.879997
"56",82,82.400002,81.459999,81.519997,3056700,81.519997
"57",81.879997,82.25,81.290001,81.610001,3701800,81.610001
"58",81,81.790001,80.5,81.610001,3403000,81.610001
"59",81.440002,82.349998,81.300003,82.139999,3216000,82.139999
"60",82.040001,82.440002,81.660004,82.379997,2874000,82.379997
"61",82.25,82.589996,82.019997,82.559998,3483000,82.559998
"62",82.269997,82.93,82.190002,82.489998,3174000,82.489998
"63",82.610001,82.980003,81.550003,82.309998,4224200,82.309998
"64",82.739998,83.129997,82.529999,82.970001,4441500,82.970001
"65",83.190002,86.419998,83.010002,85.339996,13289300,85.339996
"66",85.419998,85.449997,84.370003,85,5014400,85
"67",84.699997,84.849998,83.82,84.379997,4876400,84.379997
"68",84.129997,84.610001,83.860001,84.239998,3401300,84.239998
"69",84.07,84.269997,83.300003,83.860001,2536200,83.860001
"70",83.830002,84.080002,83.199997,83.370003,3098400,83.370003
"71",83.199997,84.059998,83.129997,83.129997,2594700,83.129997
"72",83.25,84.230003,83,84.199997,2960800,84.199997
"73",84,84.400002,83.529999,83.709999,2498200,83.709999
"74",84.080002,84.209999,83.349998,83.5,2840600,83.5
"75",83.949997,84.360001,83.459999,84.050003,4012300,84.050003
"76",84.010002,84.400002,83.650002,83.790001,2946100,83.790001
"77",84.510002,84.650002,83.75,84.169998,3193800,84.169998
"78",84.57,85.129997,84.349998,84.75,3016500,84.75
"79",84.75,85.120003,84.389999,84.949997,2165000,84.949997
"80",85.379997,86.32,85.290001,85.849998,2944500,85.849998
"81",85.779999,86.220001,85.279999,86.120003,2919200,86.120003
"82",86.25,86.879997,86.25,86.660004,3290000,86.660004
"83",86.790001,87.199997,86.110001,87.089996,3503200,87.089996
"84",86.970001,87.059998,86.190002,86.550003,2786700,86.550003
"85",86.75,87.129997,86.290001,86.519997,2140100,86.519997
"86",86.440002,86.980003,86.220001,86.970001,2595800,86.970001
"87",86.93,87.169998,86.620003,86.860001,2168400,86.860001
"88",87.029999,87.620003,86.900002,87.129997,2887000,87.129997
"89",87.379997,87.620003,86.900002,87.309998,2920700,87.309998
"90",87.379997,87.949997,86.57,87.709999,2731600,87.709999
"91",87.970001,89.279999,87.57,89.040001,5586600,89.040001
"92",89.269997,89.940002,89.050003,89.800003,4053900,89.800003
"93",90.010002,90.279999,89.410004,89.75,6422300,89.75
"94",89.75,89.75,87.57,87.839996,5619200,87.839996
"95",87.879997,88.400002,87.169998,87.75,10180000,87.75
"96",90.949997,91,86.440002,87.400002,15733500,87.400002
"97",87.540001,89.050003,86.870003,88.940002,6058400,88.940002
"98",88.730003,89.25,88.160004,88.489998,4344600,88.489998
"99",88.43,89.720001,88.330002,89.599998,4577200,89.599998
"100",89.970001,91.809998,89.910004,91.269997,7407100,91.269997
"101",90.93,91.099998,90.459999,90.830002,5284500,90.830002
"102",90.5,91.07,90.470001,90.860001,4626500,90.860001
"103",90.690002,90.970001,89.480003,89.639999,6030100,89.639999
"104",90,90.639999,89.32,90.050003,4890600,90.050003
"105",90.239998,91.089996,89.830002,90.860001,4969200,90.860001
"106",91,91.879997,90.75,91.379997,5537300,91.379997
"107",91,91.949997,90.800003,91.099998,4296700,91.099998
"108",91.449997,91.989998,90.620003,91.389999,3484000,91.389999
"109",91.389999,91.620003,90.589996,91.25,3804900,91.25
"110",91.089996,91.220001,85.230003,87.269997,11672200,87.269997
