"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"1",31.266666,31.84,31.02,31.84,6498300,31.84
"2",31.84,32.43,31.626667,32.18,6161700,32.18
"3",32.303333,32.636665,32.203335,32.396667,4602900,32.396667
"4",32.466667,32.626667,32.143333,32.356667,8923200,32.356667
"5",32.523335,32.876667,32.443333,32.650002,5063400,32.650002
"6",32.653332,33.233334,32.650002,33.046665,5731200,33.046665
"7",33.086666,33.116669,32.346668,32.883331,4481100,32.883331
"8",32.563332,32.633331,32.166668,32.529999,4234200,32.529999
"9",32.653332,32.653332,32.053333,32.376667,5420400,32.376667
"10",32.163334,32.466667,32.003334,32.293331,4944600,32.293331
"11",32.400002,32.466667,31.896667,31.93,4353000,31.93
"12",31.973333,32.240002,31.616667,32.096668,6176400,32.096668
"13",32.009998,32.310001,31.673332,31.836666,3478200,31.836666
"14",31.833332,31.866667,31.423332,31.666668,3429000,31.666668
"15",31.766666,31.813334,31.263332,31.466667,4899300,31.466667
"16",31.586666,32.130001,31.556667,32.016666,5063100,32.016666
"17",32.066666,32.296665,31.656668,31.709999,4883700,31.709999
"18",31.889999,32.446667,31.843332,32.433334,4813800,32.433334
"19",32.356667,32.41,31.83,32.156666,3566400,32.156666
"20",32.130001,32.299999,31.75,32.080002,11127600,32.080002
"21",32.169998,32.793331,32.036667,32.673332,9573900,32.673332
"22",30.719999,30.73,28.85,29.91,26681100,29.91
"23",30.139999,30.466667,29.836666,30.156668,13786500,30.156668
"24",30.193333,30.23,29.556667,29.956667,10202100,29.956667
"25",30.053333,30.33,29.956667,30.236668,7410000,30.236668
"26",30.15,30.366667,30.103333,30.276667,5351100,30.276667
"27",30.276667,30.396667,30.046667,30.273333,4007400,30.273333
"28",30.243334,30.263332,29.963333,30.113333,6676800,30.113333
"29",30.036667,30.166668,29.84,29.986668,6414300,29.986668
"30",29.93,30.093332,29.743334,29.83,5281800,29.83
"31",29.809999,30.216667,29.766666,30.103333,5006700,30.103333
"32",30.116667,30.193333,29.74,29.976667,5172300,29.976667
"33",29.956667,30.033333,29.75,29.913334,7315200,29.913334
"34",31.163334,31.43,30.746668,30.889999,11196600,30.889999
"35",30.796667,30.886667,30.633333,30.736668,6492600,30.736668
"36",33.419998,33.493332,31.483334,31.9,18691800,31.9
"37",31.559999,31.673332,31.373333,31.586666,5286600,31.586666
"38",31.559999,31.763332,31.26,31.553333,4352100,31.553333
"39",31.506666,31.530001,31.206667,31.346666,5327100,31.346666
"40",31.516666,31.643333,30.6,31.313334,11705400,31.313334
"41",31.216667,31.396667,30.77,31.120001,8176800,31.120001
"42",30.833332,31.120001,30.629999,30.813334,5933400,30.813334
"43",30.57,30.700001,29.743334,29.983334,13514100,29.983334
"44",29.883333,30.34,29.883333,30.18,8454900,30.18
"45",30.146667,30.496668,29.82,29.843332,8718600,29.843332
"46",29.806667,31.120001,29.733334,31.02,11495400,31.02
"47",31.07,31.17,30.653334,30.913334,8733000,30.913334
"48",30.913334,31.316668,30.809999,31.200001,4714200,31.200001
"49",31.066668,31.516666,31.030001,31.286667,4827900,31.286667
"50",31.309999,31.493334,31.209999,31.316668,5825400,31.316668
"51",31.316668,31.453333,30.879999,30.983334,3831900,30.983334
"52",30.916668,31.93,30.433332,31.466667,9019500,31.466667
"53",31.413334,31.48,31.236668,31.360001,4381800,31.360001
"54",31.383333,31.643333,30.886667,30.953333,5030700,30.953333
"55",30.969999,31.190001,30.783333,31.156668,4118400,31.156668
"56",31.156668,31.773333,31.073334,31.433332,4999500,31.433332
"57",31.43,32.009998,31.42,31.863333,5829300,31.863333
"58",31.823334,32.116669,31.49,31.956667,5612100,31.956667
"59",31.870001,32.163334,31.190001,31.463333,6951300,31.463333
"60",31.396667,31.629999,31.27,31.463333,3953700,31.463333
"61",31.49,31.556667,31.206667,31.286667,2937300,31.286667
"62",31.246668,31.516666,31.073334,31.356667,3611700,31.356667
"63",31.326668,31.546667,31.190001,31.483334,4152000,31.483334
"64",31.383333,31.483334,30.98,31.033333,3508500,31.033333
"65",31.09,31.636667,31,31.030001,5484000,31.030001
"66",30.98,31.143333,30.813334,31.133333,2630700,31.133333
"67",31.186666,31.703333,31.113333,31.486668,3699600,31.486668
"68",31.433332,31.73,31.299999,31.473333,4020600,31.473333
"69",31.326668,31.463333,31.113333,31.200001,3909300,31.200001
"70",31.25,31.370001,31.043333,31.25,2937000,31.25
"71",31.133333,31.58,30.966667,31.433332,3586800,31.433332
"72",31.5,32.07,31.383333,31.893333,4699500,31.893333
"73",31.709999,31.746668,31.223333,31.586666,3897900,31.586666
"74",31.879999,32.366669,31.790001,32.23,4917600,32.23
"75",32.246666,32.993332,32.226665,32.836666,5891400,32.836666
"76",32.849998,32.943333,32.576668,32.59,7101000,32.59
"77",32.953335,33.143333,32.543331,32.653332,6013200,32.653332
"78",32.636665,33,32.566666,32.973331,8052900,32.973331
"79",36.373333,37.68,35.580002,36.433334,23006100,36.433334
"80",36.286667,37.136665,35.913334,36.556667,8449200,36.556667
"81",36.5,36.953335,36.259998,36.556667,5058300,36.556667
"82",36.636665,36.869999,36.563332,36.633331,4857900,36.633331
"83",36.639999,36.799999,36.536667,36.703335,4246800,36.703335
"84",36.716667,36.763332,36.389999,36.619999,2851500,36.619999
"85",36.683334,36.996666,36.526669,36.816666,2890500,36.816666
"86",36.866669,36.950001,36.636665,36.860001,2528700,36.860001
"87",36.93,36.950001,36.523335,36.66,3846900,36.66
"88",36.616669,36.806667,36.583332,36.663334,2891100,36.663334
"89",36.576668,36.900002,36.266666,36.869999,3189300,36.869999
"90",36.606667,36.869999,36.5,36.75,2327700,36.75
"91",36.696667,37,36.576668,36.863335,3076500,36.863335
"92",36.799999,37.84,36.723331,37.810001,4850100,37.810001
"93",38.246666,38.646667,37.580002,37.883331,9544800,37.883331
"94",37.883331,38.133331,37.279999,37.279999,4989900,37.279999
"95",37.166668,37.503334,37.003334,37.316666,4786500,37.316666
"96",37.503334,37.846668,37.34,37.630001,3236400,37.630001
"97",37.663334,38.266666,37.509998,38.029999,4045800,38.029999
"98",38,38.076668,37.663334,37.846668,2997300,37.846668
"99",37.923332,38.099998,37.683334,38.063332,2661300,38.063332
"100",38.169998,38.273335,37.866669,38.056667,2463600,38.056667
"101",38.166668,38.486668,37.996666,38.083332,2672700,38.083332
"102",38.049999,38.363335,37.876667,38.200001,3345600,38.200001
"103",38.376667,38.863335,38.139999,38.356667,3418500,38.356667
"104",38.513332,39.130001,38.386665,39.126667,3800400,39.126667
"105",39.226665,39.396667,38.916668,39.186668,2358600,39.186668
"106",39.106667,39.163334,38.736668,38.983334,2416200,38.983334
"107",38.833332,39.110001,38.810001,38.946667,2213400,38.946667
"108",39.166668,39.560001,39.043331,39.396667,2790300,39.396667
"109",39.396667,39.599998,39.156666,39.376667,3275400,39.376667
"110",39.433334,39.583332,38.389999,38.706669,3206700,38.706669
"111",38.650002,38.673332,37.259998,38.130001,5151600,38.130001
"112",38.200001,38.57,37.976665,38.349998,3660600,38.349998
"113",38.513332,38.560001,38.036667,38.336666,3012000,38.336666
"114",38.119999,38.426666,37.863335,38.316666,2544600,38.316666
"115",38.343334,38.549999,38.003334,38.330002,4646400,38.330002
"116",38.526669,39.706669,38.400002,39.613335,4721100,39.613335
"117",39.606667,40.146667,39.18,39.290001,4186800,39.290001
"118",39.216667,39.776669,39.096668,39.630001,2944800,39.630001
"119",39.566666,39.816666,39.443333,39.509998,2959500,39.509998
"120",39.403332,40.080002,39.076668,40.049999,5381100,40.049999
"121",40.053333,40.246666,39.396667,39.439999,2257500,39.439999
"122",39.389999,39.503334,38.993332,39.043331,2216100,39.043331
"123",39.283333,39.59,39.040001,39.463333,1784100,39.463333
"124",39.369999,39.443333,38.669998,39.076668,2399400,39.076668
"125",39.32,39.626667,39.073334,39.413334,3281400,39.413334
"126",39.533333,39.73,39.143333,39.336666,2218800,39.336666
"127",39.290001,39.983334,39.146667,39.860001,3120900,39.860001
"128",39.57,39.813332,38.946667,39.026669,4347000,39.026669
"129",39.266666,39.566666,39.266666,39.389999,2265000,39.389999
"130",39.326668,39.536667,39.110001,39.176666,2834700,39.176666
"131",39.146667,39.336666,38.93,39.196667,2900100,39.196667
