"","CCI.Open","CCI.High","CCI.Low","CCI.Close","CCI.Volume","CCI.Adjusted"
"1",87.25,87.620003,86.5,86.800003,2472100,73.582489
"2",87.07,87.510002,87.029999,87.32,1939500,74.023331
"3",87.239998,87.510002,86.779999,87.239998,2400300,73.955498
"4",87.239998,87.330002,85.449997,85.5,2568800,72.480469
"5",85.610001,86,84.589996,85.730003,2141600,72.675438
"6",85.529999,85.690002,83.959999,84.360001,2220700,71.514053
"7",84.449997,85.610001,84.220001,85.199997,1645200,72.226158
"8",85.110001,85.43,84.629997,85.18,1379500,72.20919
"9",85.199997,85.980003,85.160004,85.68,1270500,72.633041
"10",85.629997,87.5,85.589996,87.360001,1816700,74.057213
"11",87.389999,88.269997,87.059998,87.199997,1318800,73.921577
"12",87.059998,87.25,85.669998,85.800003,1782000,72.734779
"13",86.110001,86.889999,86.089996,86.82,1842900,73.599464
"14",86.900002,87.360001,86.830002,87.059998,1424900,73.80291
"15",87.129997,87.690002,86.800003,87.660004,1885400,74.311554
"16",88.029999,88.139999,86.800003,87.18,1797400,73.904648
"17",88.059998,90.139999,87.790001,88.010002,2120100,74.608253
"18",88.160004,88.540001,86.68,86.849998,1497600,73.624893
"19",86.940002,87.089996,86.220001,86.760002,1390100,73.548584
"20",87.349998,87.860001,86.839996,87.830002,3073200,74.455681
"21",88.279999,88.790001,86.629997,86.650002,2286500,73.455345
"22",86.709999,87.879997,86.5,87.769997,1777500,74.404793
"23",88.339996,89.129997,88.120003,88.739998,2090300,75.227089
"24",88.720001,88.720001,86.940002,87.040001,1711700,73.785942
"25",87.290001,87.550003,86.720001,87.419998,1093600,74.108093
"26",87.5,88.269997,87.370003,87.660004,1116500,74.311554
"27",87.730003,88,87.360001,87.779999,1052600,74.413284
"28",87.529999,87.709999,86.93,87.559998,1229100,74.226776
"29",87.940002,90.230003,87.919998,90.220001,2225300,76.481712
"30",90.029999,90.339996,89.169998,90.25,2041500,76.507172
"31",89.620003,90.169998,89.040001,90.040001,1717800,76.329132
"32",90.099998,90.970001,90.099998,90.5,1558500,76.719078
"33",90.550003,91.349998,88.540001,89.230003,3408600,75.642464
"34",89.209999,90.110001,88.830002,90,2552600,76.295219
"35",90.349998,90.650002,89.779999,90.580002,1865100,76.786911
"36",90.900002,92.110001,90.639999,91.260002,2490000,77.363358
"37",91,92.660004,90.540001,92.589996,2147800,78.490822
"38",92.660004,93.110001,91.879997,92.57,1558300,78.473869
"39",92.510002,93.699997,92.220001,93.529999,2294000,79.287697
"40",93.43,93.43,91.910004,93.010002,1942700,78.846878
"41",93.150002,93.650002,92.559998,92.690002,1416300,78.575607
"42",92.449997,92.769997,90.849998,91.75,2546500,77.77874
"43",91.589996,92.190002,91.290001,91.959999,2135300,77.956749
"44",91.900002,92.769997,91.239998,91.5,1408500,77.566826
"45",92.230003,92.389999,90.599998,90.610001,2161300,76.812332
"46",90.730003,90.879997,90.019997,90.510002,2210700,76.72757
"47",90.510002,91.389999,89.879997,90.279999,2127100,76.532585
"48",90.410004,90.790001,90.07,90.599998,2523000,76.803856
"49",90.339996,90.57,89.639999,89.650002,1838500,75.998512
"50",88.860001,90.330002,88.709999,89.919998,2883000,77.043816
"51",89.919998,90.199997,89.040001,89.620003,2528100,76.786781
"52",89.599998,90.32,89.529999,89.800003,2597700,76.941002
"53",89.800003,91.07,89.779999,90.889999,2404400,77.874924
"54",91.18,92.059998,90.620003,90.699997,3294100,77.712135
"55",90.970001,91.809998,90.440002,91.720001,3937300,78.586067
"56",91.660004,93.269997,91.440002,93,2405400,79.682793
"57",93.089996,93.949997,92.790001,93.68,2232300,80.265404
"58",93.480003,94.059998,93.300003,93.959999,2740500,80.50531
"59",93.989998,94.769997,93.919998,94.580002,3497700,81.03653
"60",94.629997,95.449997,94.400002,94.540001,1883900,81.002258
"61",94.540001,95,94.089996,94.620003,1384800,81.070793
"62",94.25,94.75,93.919998,94.449997,2118000,80.92514
"63",94.440002,95.470001,93.779999,94.230003,2128400,80.736656
"64",94.220001,94.279999,93.690002,93.830002,1900300,80.393944
"65",94.010002,94.5,93.639999,93.690002,1609700,80.273979
"66",93.599998,94.489998,93.379997,94.379997,1982400,80.865158
"67",94.419998,94.870003,93.93,94.5,1324600,80.967987
"68",94.540001,95.029999,94.510002,94.980003,1231700,81.379265
"69",95.150002,96.099998,95.120003,95.82,1860700,82.098969
"70",95.5,96.480003,95.360001,96.449997,1857600,82.638741
"71",96.400002,96.489998,95.879997,96,2057000,82.253189
"72",96.43,96.75,95.900002,96.300003,2387600,82.510223
"73",96.209999,97.07,95.940002,96.790001,2008300,82.930069
"74",96.870003,97.300003,96.279999,96.519997,1976100,82.698723
"75",96.580002,96.580002,95.68,96.040001,4264100,82.287453
"76",95.830002,96.209999,95.139999,95.529999,2207000,81.850487
"77",95.949997,96.160004,94.220001,94.709999,3261400,81.147919
"78",96.730003,97,93.510002,94.269997,2857400,80.770912
"79",94.199997,94.699997,93.75,94.5,5034000,80.967987
"80",94.5,95.589996,94.5,95.019997,2593900,81.413528
"81",94.870003,95.010002,94.089996,94.599998,1821300,81.053658
"82",94.879997,95.209999,94.139999,94.690002,2033800,81.130783
"83",94.760002,94.93,94.059998,94.349998,1960500,80.839447
"84",94.639999,94.779999,93.870003,94.07,1579600,80.599556
"85",93.779999,95,93.220001,94.779999,1672700,81.207886
"86",94.870003,96.029999,94.699997,95.919998,1527000,82.184639
"87",96.059998,96.059998,94.889999,95.360001,1664000,81.704834
"88",95.370003,95.480003,94.629997,94.949997,1261100,81.353554
"89",94.870003,95.080002,94.129997,94.709999,1446600,81.147919
"90",94.529999,94.849998,94.139999,94.419998,1044300,80.899422
"91",94.07,94.360001,93.800003,94.059998,1383500,80.590996
"92",94.150002,95.82,93.910004,95.730003,1930600,82.021866
"93",95.949997,96.529999,95.620003,95.93,1578100,82.193207
"94",96.419998,98.980003,96.190002,98.120003,4158700,84.069626
"95",98.099998,98.82,96.779999,98.650002,2280100,84.52372
"96",98.830002,99.529999,98.059998,99.440002,2195200,85.2006
"97",99.440002,99.940002,98.839996,99.910004,1887200,85.60331
"98",100.010002,101.220001,99.849998,100.779999,2043300,86.348717
"99",100.980003,102.129997,100.709999,101.169998,1882000,86.682854
"100",100.690002,103.190002,100.690002,102.779999,1569300,88.062309
"101",102.870003,102.870003,101.949997,102.809998,1821300,88.08802
"102",102.75,103.93,102.620003,103.519997,3048600,88.696358
"103",103.709999,104.339996,101.540001,101.650002,4980700,87.094124
"104",102.010002,103.580002,101.669998,103.449997,1982900,88.636368
"105",103.970001,104.68,103.529999,104.589996,1847200,89.613136
"106",104.32,104.639999,103.400002,103.459999,1303500,88.644951
"107",103.519997,104.010002,103.029999,103.160004,1219800,88.387901
"108",103.360001,103.809998,102.599998,103.209999,924500,88.430733
"109",103.209999,103.559998,100.360001,101.18,2383500,86.691429
"110",101.029999,102.82,100.900002,102.059998,1481900,87.445404
"111",100.459999,102.470001,99.589996,102.209999,3039000,87.573929
"112",102.18,102.949997,101.57,102.129997,1928200,87.505394
"113",101.980003,102.989998,101.620003,101.910004,2472600,88.136726
"114",101.559998,102.260002,101.150002,101.300003,1642900,87.609169
"115",101.139999,101.949997,100.769997,101.18,3079400,87.505386
"116",101.360001,101.470001,100.809998,101.089996,1796900,87.427551
"117",101.279999,101.510002,99.949997,100.620003,1637600,87.021072
"118",99.760002,100.099998,98.839996,99.5,2825200,86.052444
"119",99.709999,100.400002,99.440002,99.739998,2063100,86.26001
"120",99.82,100.199997,99.480003,99.839996,2688000,86.346474
"121",100.099998,100.099998,99.339996,99.75,1961700,86.268654
"122",101.669998,103.980003,101.669998,101.910004,5558200,88.136726
"123",102.080002,102.230003,100.760002,101.18,2316200,87.505386
"124",101.239998,101.239998,99.110001,100.029999,2745000,86.510818
"125",99.970001,100.639999,99.720001,100.18,1394800,86.640533
"126",100.529999,101.059998,98.82,99.309998,859400,85.888123
"127",99,99.389999,98.360001,99.010002,2074300,85.628677
"128",98.790001,98.93,97.669998,98.370003,1273100,85.075172
"129",98.57,99.599998,98.57,99.470001,1306400,86.026505
"130",99.650002,99.739998,98.900002,99.169998,868500,85.767036
"131",99.239998,99.300003,98.07,98.290001,1231500,85.005981
"132",98.839996,100.529999,98.779999,100.050003,1124300,86.528122
"133",100.110001,100.559998,99.639999,100.309998,685600,86.752968
"134",100.5,101.610001,100.480003,101.099998,1967300,87.436226
"135",100.870003,100.870003,96.809998,96.809998,3650400,83.726021
"136",96.32,97.480003,95.639999,96.639999,2950800,83.578987
"137",94.980003,98.779999,93.139999,98.660004,6701000,85.325981
"138",98.699997,99.230003,96.07,97.269997,6212800,84.123833
"139",97.269997,99.75,96.110001,99.169998,23616100,85.767036
"140",99.360001,99.800003,98.040001,99.139999,6329100,85.741104
"141",99.279999,99.540001,98.510002,99.5,5560200,86.052444
"142",99.580002,99.809998,98.879997,99.559998,5984800,86.104347
"143",99.769997,100.199997,99.010002,100.190002,4721500,86.6492
"144",100.169998,101.07,99.480003,100.580002,4786800,86.986488
"145",100.629997,101.239998,99,100.580002,5191200,86.986488
"146",100.919998,101.5,100.25,100.889999,2762200,87.254593
"147",100.879997,101.830002,100.169998,101.809998,2940100,88.05024
"148",101.970001,101.980003,100.610001,100.919998,2272800,87.280533
"149",100.550003,102.059998,100.550003,102.019997,2373700,88.23185
"150",101.629997,101.980003,100.75,101.150002,2432900,87.479446
"151",100.900002,101.489998,99.699997,100.029999,2160500,86.510818
"152",100.07,100.779999,99.389999,100.769997,2539900,87.15081
"153",100.769997,101.019997,100.339996,100.709999,1954300,87.09893
"154",101.07,101.220001,100.529999,100.849998,1985300,87.220001
"155",101.25,102.459999,100.629997,102.370003,1776500,88.534561
"156",102.099998,103.080002,101.790001,103.059998,2104600,89.131302
"157",102.839996,105.050003,102.839996,103.790001,2726600,89.762642
"158",103.839996,104.889999,103.760002,104.139999,2740400,90.065346
"159",104.309998,104.620003,103.970001,104.120003,3525000,90.04805
"160",104.360001,104.980003,104.190002,104.830002,1666000,90.662086
"161",105.040001,106.449997,105.010002,105.739998,2423100,91.449097
"162",105.089996,106.599998,105.089996,106.099998,2214800,91.760437
"163",106.25,107.18,105.959999,106.739998,1990600,92.313942
"164",107.099998,107.889999,106.739998,106.989998,2158400,92.530159
