"","FBHS.Open","FBHS.High","FBHS.Low","FBHS.Close","FBHS.Volume","FBHS.Adjusted"
"1",53.990002,54.720001,53.32,53.889999,1842300,50.525532
"2",53.939999,54.810001,53.830002,54.459999,1041800,51.059944
"3",54.459999,54.75,53.880001,53.950001,1191900,50.581791
"4",53.900002,55.060001,53.900002,54.779999,2122200,51.359966
"5",54.610001,54.610001,53.869999,53.900002,1456100,50.534912
"6",53.830002,54.470001,53.77,54.169998,834200,50.788055
"7",54.02,54.57,53.98,54.470001,969400,51.069328
"8",54.299999,54.540001,53.150002,54.240002,1330400,50.853672
"9",54.360001,54.619999,54.25,54.27,995400,50.881813
"10",54.09,54.389999,53.759998,54,1338500,50.628662
"11",54.09,54.360001,53.68,54.299999,1624800,50.909943
"12",54.240002,55.150002,54.240002,54.860001,1241800,51.434978
"13",54.900002,55.48,54.82,55.41,1319700,51.950645
"14",55.189999,55.700001,55.189999,55.619999,1063800,52.147518
"15",55.939999,56.990002,55.830002,56.759998,1312200,53.216362
"16",56.98,57.25,56.720001,57.02,1181100,53.460117
"17",57.310001,57.310001,56.07,56.459999,1170000,52.935085
"18",56.689999,56.689999,55.84,56,876300,52.503796
"19",56.049999,56.049999,54.950001,55.639999,1044400,52.166283
"20",55.459999,55.75,54.619999,55.130001,1470200,51.688114
"21",55.049999,57,55.049999,56.299999,2613600,52.785072
"22",56.209999,56.220001,55.139999,55.639999,2064300,52.166283
"23",56.049999,56.439999,55.98,56.099998,1119000,52.597569
"24",55.869999,56.07,55.669998,55.860001,1118200,52.372547
"25",56.07,56.07,55.700001,55.82,945600,52.335041
"26",55.919998,55.959999,55.25,55.939999,1081700,52.44754
"27",55.880001,56.389999,55.59,56.279999,1230600,52.766335
"28",56.439999,57.209999,56.099998,57.07,769100,53.507
"29",57.18,57.610001,56.799999,57.080002,601200,53.516373
"30",57.299999,57.299999,56.189999,56.860001,974900,53.310116
"31",56.799999,57.48,56.599998,57.389999,1105400,53.807022
"32",57.450001,57.689999,56.779999,57,1173100,53.441376
