"","SWKS.Open","SWKS.High","SWKS.Low","SWKS.Close","SWKS.Volume","SWKS.Adjusted"
"1",75.220001,76.239998,74.400002,75.150002,2609400,69.962578
"2",75.459999,75.660004,74.5,74.989998,1683900,69.813629
"3",74.660004,75.379997,73.940002,74.57,1832600,69.422615
"4",74.82,75.480003,74.32,74.959999,1608700,69.785683
"5",75.959999,76.959999,75.230003,75.650002,2331200,70.42807
"6",75.690002,77.519997,75.660004,77.309998,1768600,71.973495
"7",77.330002,78.720001,76.510002,78.410004,2119900,72.997551
"8",76.199997,76.910004,74.669998,76.75,4264800,71.452133
"9",76.910004,78.489998,76.690002,78.330002,1963400,72.923073
"10",77.639999,78.43,76.489998,76.889999,2391300,71.582466
"11",77.389999,79.269997,77.160004,79.269997,3106100,73.798187
"12",78.870003,79.449997,78.18,78.459999,4062400,73.044098
"13",85,88.900002,84.690002,88.669998,15776700,82.549324
"14",88.870003,91.07,87.720001,90.169998,6523200,83.94577
"15",90.309998,92.739998,90.309998,92.269997,4553300,85.90081
"16",93,93.779999,91.32,91.870003,3220300,85.52845
"17",92,92.639999,90.940002,91.010002,2343900,84.727829
"18",91.550003,92.440002,91.25,92.010002,1705900,85.658768
"19",91.43,93.080002,90.220001,92.989998,2482200,86.571152
"20",92.32,92.480003,90.279999,91.739998,2486500,85.665359
"21",93.540001,94.489998,91.309998,91.739998,3804800,85.665359
"22",90.800003,91.540001,90.059998,91.110001,2524600,85.077087
"23",91.32,91.910004,90.879997,91.559998,1272500,85.497276
"24",91.449997,91.580002,90.709999,91.389999,1458800,85.338539
"25",91.400002,92.199997,91.169998,91.779999,1305600,85.702698
"26",91.610001,92.339996,90.940002,91.690002,1861700,85.618675
"27",92.07,93.129997,91.239998,92.470001,2753400,86.347015
"28",92.730003,92.75,91.410004,92.209999,1947300,86.10424
"29",92.690002,93.300003,92.269997,92.629997,1290100,86.496422
"30",92.32,92.480003,90.529999,91.800003,1610400,85.721382
"31",92.019997,92.610001,91.25,92.129997,1562600,86.029533
"32",92.339996,92.559998,91.599998,92.43,1287000,86.309662
"33",92.239998,96.669998,91.919998,96.349998,5406600,89.9701
"34",96.629997,97.510002,95.699997,96.57,2578200,90.175545
"35",96.489998,97.169998,96.040001,96.709999,1397100,90.306282
"36",96.860001,96.940002,94.300003,95.309998,1640300,88.998955
"37",94.239998,95,93.019997,94.699997,1448400,88.429359
"38",94.540001,95.68,93.849998,95.629997,1243000,89.297768
"39",95.610001,95.849998,94,94.809998,1722700,88.532074
"40",95.970001,97.150002,94.370003,96.739998,2322500,90.334282
"41",96.980003,97.57,94.709999,94.760002,2348800,88.48539
"42",95.029999,95.32,94.160004,94.919998,1504800,88.634796
"43",94.209999,95.709999,93.43,95.449997,3186400,89.1297
"44",95.220001,95.489998,94.209999,95.050003,1545400,88.756195
"45",96.360001,96.910004,95.389999,96.690002,4067100,90.287582
"46",96.209999,97.669998,95.059998,97.139999,2826200,90.707779
"47",97.739998,98.699997,97.5,98.18,2259600,91.678932
"48",98.480003,99.339996,98.059998,99.040001,2399500,92.481972
"49",98.739998,98.940002,97.949997,98.790001,1214000,92.248535
"50",98.709999,99.379997,98.120003,99.110001,1529000,92.54734
"51",99.220001,99.220001,98,98.110001,1796900,91.613571
"52",98.510002,98.610001,97.510002,97.93,2423600,91.445496
"53",97.949997,98.809998,97.150002,98.190002,1290800,91.688278
"54",98.370003,98.639999,95.339996,95.519997,1804800,89.195061
"55",95.470001,96.779999,94.589996,96.739998,1736100,90.334282
"56",96.540001,97.290001,96.029999,96.5,1111600,90.110168
"57",97.360001,98.349998,96.879997,97.300003,1270800,90.857224
"58",96.410004,97.709999,95.330002,97.190002,1203200,90.754494
"59",97.309998,98.699997,96.550003,97.93,1152600,91.445496
"60",97.849998,97.849998,97,97.230003,1088800,90.791824
"61",97.290001,98.5,97.059998,98.139999,1200100,91.641563
"62",98.309998,98.489998,97.709999,97.980003,1065300,91.492172
"63",98.150002,98.480003,96.949997,97.720001,1149400,91.249374
"64",98.68,100.699997,98.139999,99.349998,2907700,92.771454
"65",99.559998,100.580002,98.610001,98.889999,2025000,92.341919
"66",98.970001,99.809998,97.730003,99.419998,1388200,92.83683
"67",99.43,102.639999,99.110001,101.82,3974700,95.077896
"68",101.900002,102.540001,100.660004,101.529999,1994100,94.807091
"69",100.5,100.82,99.110001,100.139999,2914700,93.509148
"70",100.230003,100.400002,96.980003,97.589996,3727000,91.127998
"71",96.82,99.440002,96.150002,97.470001,2097600,91.015945
"72",97.919998,98.879997,97.919998,98.760002,927400,92.22052
"73",98.18,99.599998,98.050003,99.029999,1564100,92.472641
"74",99.800003,100.599998,99.089996,99.239998,1695800,92.668724
"75",99.5,101.879997,99.349998,101.629997,1900100,94.900467
"76",101.559998,101.760002,100.349998,101.599998,1530400,94.872467
"77",103,105.339996,102.669998,103.910004,3582600,97.029518
"78",104.260002,104.790001,103.959999,104,2726800,97.113564
"79",104.300003,104.300003,102.07,102.970001,2170000,96.151764
"80",103.419998,104.379997,103.050003,104.199997,3035100,97.300323
"81",102.790001,104.330002,99.57,99.739998,4690200,93.135651
"82",100.260002,100.809998,98.510002,99.809998,2295200,93.201012
"83",100,100.730003,99.330002,100.669998,1759900,94.004051
"84",100.18,101.779999,99.599998,101.43,2382900,94.713737
"85",101.32,102.440002,100.879997,100.919998,1514600,94.237503
"86",101.349998,101.68,100.309998,101.459999,1113100,94.741737
"87",101.57,101.809998,100.599998,101.019997,1102300,94.330879
"88",101.330002,102.339996,101.169998,101.93,1094800,95.180626
"89",102.650002,103.07,101.660004,102.5,1240600,95.712883
"90",102.199997,102.919998,101.349998,102.610001,1089700,95.815598
"91",102.599998,102.879997,101.900002,102.519997,1032900,95.993484
"92",102.989998,104.230003,102.629997,103.760002,1293800,97.154556
"93",104.050003,105.510002,103.459999,105.5,1687000,98.783798
"94",104.5,104.720001,100.470001,100.550003,2079300,94.148903
"95",100.629997,103.870003,100.220001,103.199997,1889100,96.630203
"96",103.650002,104.32,103.309998,103.870003,1236800,97.257561
"97",104.449997,105.099998,104.120003,104.959999,1214700,98.27816
"98",105.019997,105.379997,103.559998,105.169998,958700,98.474777
"99",105.489998,105.980003,104.699997,105.419998,969900,98.708878
"100",105.650002,107.18,105.129997,106.040001,1303700,99.289406
"101",106,106.339996,104.5,105.889999,1051100,99.148972
"102",105.800003,107.25,105.769997,106.360001,752600,99.58905
"103",106.980003,107,105.43,106.43,1468100,99.654587
"104",106.790001,107.68,106.25,107.68,1649400,100.824997
"105",108.129997,108.669998,106.510002,108.419998,1577200,101.517906
"106",108.199997,109.199997,107.75,108.150002,1300600,101.265099
"107",107.5,109.43,107.300003,107.860001,1121500,100.993546
"108",108,109.800003,107.709999,109.480003,1527300,102.510422
"109",109.82,111.059998,108.82,111.010002,1526800,103.943016
"110",111.400002,112.110001,104.290001,107.010002,2974300,100.197655
"111",105.260002,105.849998,101,103.760002,4118900,97.154556
"112",104.669998,105.690002,103.470001,104.849998,2062400,98.175179
"113",105.269997,105.559998,101.019997,102.470001,1701800,95.946671
"114",100.739998,102.639999,100.559998,102.279999,1675300,95.768791
"115",102.349998,103.610001,101.089996,101.900002,1923200,95.412964
"116",102.720001,104.550003,102.720001,104.059998,1239800,97.435448
"117",103.900002,104.589996,101.610001,101.809998,1377900,95.328674
"118",102.32,103.57,101.610001,103.300003,1123500,96.723846
