"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume","MS.Adjusted"
"1",43.09,43.630001,42.450001,43.049999,8316900,38.066422
"2",43.299999,43.82,43.040001,43.619999,7747400,38.570435
"3",43.529999,43.630001,42.189999,43.220001,9883200,38.216747
"4",43.560001,44.130001,43.18,43.849998,9152800,38.773815
"5",43.490002,43.540001,42.68,42.709999,11104000,37.765781
"6",42.98,43.52,42.75,43.060001,9074300,38.075264
"7",43.130001,43.669998,42.779999,43.669998,8777100,38.614651
"8",43.599998,43.709999,42.84,43.630001,8595600,38.579281
"9",44.02,44.599998,43.5,43.810001,12904500,38.738449
"10",43.779999,43.84,41.77,42.150002,21840400,37.270615
"11",42.290001,43.150002,41.98,42.860001,15906900,37.898418
"12",42.57,43,41.950001,42.450001,15040100,37.535873
"13",42.48,42.869999,42.349998,42.59,10779600,37.659668
"14",42.200001,42.580002,41.779999,41.959999,12344700,37.102608
"15",42.080002,43.130001,42.029999,42.73,12164200,37.78347
"16",43.200001,43.900002,42.959999,43.860001,13961000,38.782654
"17",43.939999,44.419998,43.75,44.02,10628900,38.924137
"18",43.75,43.950001,43.560001,43.650002,7635600,38.773125
"19",43.240002,43.290001,42.470001,43.119999,7216200,38.302349
"20",43.080002,43.369999,42.32,42.490002,10811000,37.742733
"21",43.299999,43.400002,42.549999,42.700001,9731300,37.929279
"22",42.189999,42.509998,41.830002,42.130001,11481000,37.422951
"23",43.099998,44.599998,42.919998,44.43,16692200,39.465988
"24",44.259998,45.029999,44.139999,44.630001,12577100,39.643639
"25",44.880001,45.029999,44.619999,44.869999,10055700,39.856823
"26",44.580002,44.59,43.619999,43.91,10586500,39.004074
"27",44.349998,45.029999,43.889999,44.849998,13166700,39.839058
"28",45.130001,45.150002,44.34,44.700001,8909400,39.705822
"29",45,45.599998,44.939999,45.259998,13256300,40.203232
"30",45.189999,46.259998,45.099998,46.040001,12958700,40.896099
"31",46.380001,46.75,46,46.490002,10115100,41.295818
"32",46.419998,46.5,45.799999,46.110001,10752500,40.958286
"33",45.549999,46.169998,45.400002,46.150002,8310100,40.993813
"34",46.27,46.700001,46.27,46.560001,7628400,41.358006
"35",46.209999,46.82,46.139999,46.52,7612800,41.322468
"36",46.580002,46.59,46.200001,46.580002,11877100,41.375771
"37",45.889999,45.950001,45.240002,45.529999,11837200,40.443073
"38",45.52,46.029999,45.459999,45.84,7887000,40.718449
"39",45.599998,45.830002,45.130001,45.669998,13789400,40.567436
"40",46.950001,47.169998,46.610001,46.810001,14373700,41.580063
"41",47.080002,47.09,46.040001,46.279999,8477000,41.10928
"42",46.27,47.060001,46.220001,46.830002,11404300,41.597836
"43",46.529999,46.639999,45.98,46.57,9332600,41.366882
"44",46.650002,46.790001,46.209999,46.330002,9411000,41.153709
"45",46.970001,47.330002,46.34,46.389999,11464700,41.207001
"46",46.599998,47.119999,46.540001,46.68,11135400,41.464596
