"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"355",153.333328,155.483337,152.853333,153.223328,6140700,153.223328
"356",153.936661,160,153.143326,159.75,3658800,159.75
"357",160,161.373337,157.526672,159.309998,3034800,159.309998
"358",159.333328,164.470001,158.729996,164.123337,5277600,164.123337
"359",164.333328,164.690002,161.460007,164.460007,2919900,164.460007
"360",164.333328,164.333328,158.743332,161.779999,2641800,161.779999
"361",161.666672,162.800003,160.136673,161.53334,1834200,161.53334
"362",161.53334,164.78334,161.300003,163.570007,2343600,163.570007
"363",163.896667,165.410004,162.876663,164.973328,2133000,164.973328
"364",165,165.639999,162.5,163.490005,2299500,163.490005
"365",164.123337,165.536667,164.123337,165.17334,3176700,165.17334
"366",164.830002,165.333328,163.213333,163.496674,3290700,163.496674
"367",162.906662,163.996674,161.78334,163.556671,2050200,163.556671
"368",162.289993,162.936661,161.053329,162.866669,1833600,162.866669
"369",163.666672,164.666672,162.16333,162.483337,1200300,162.483337
"370",162.916672,163.839996,161,162.360001,1697100,162.360001
"371",162.906662,163.196671,160.720001,161.070007,1710000,161.070007
"372",160.116669,160.886673,155.993332,157.82666,2653500,157.82666
"373",157.856674,161.956665,157.856674,160.926666,1857600,160.926666
"374",162.666672,163.660004,158.703339,158.796661,1881000,158.796661
"375",158.800003,161.78334,157.389999,161.236664,1469700,161.236664
"376",161.33667,161.843338,159.419998,159.493332,1919400,159.493332
"377",158.82666,162.853333,157.266663,162.699997,1852800,162.699997
"378",163.446671,163.446671,160.66333,161.860001,1149300,161.860001
"379",163.073334,163.91333,161.313339,162.463333,2150100,162.463333
"380",162.993332,166.020004,162.116669,165.153336,1802100,165.153336
"381",166.243332,167.21666,164.146667,166.473328,2254200,166.473328
"382",166.666672,167.623337,165.123337,167.369995,2694600,167.369995
"383",167.16333,168.973328,166.763336,168.073334,2645100,168.073334
"384",168.933334,175.039993,168.926666,175,4358100,175
"385",174.506668,177.433334,174.133331,174.779999,3223200,174.779999
"386",174.776672,174.776672,170.806671,172.686661,2396100,172.686661
"387",172.156662,174.953339,171.666672,174.593338,2376000,174.593338
"388",175,176.146667,172.946671,175.970001,1896000,175.970001
"389",174.993332,175.956665,173.433334,173.763336,3066900,173.763336
"390",178.71666,179.660004,172.116669,172.259995,6758700,172.259995
"391",172.259995,173.509995,171.100006,173.289993,2859600,173.289993
"392",173.883331,175.880005,172.570007,174.406662,2788800,174.406662
"393",174.933334,179.766663,174.933334,179.323334,2596500,179.323334
"394",179,179.016663,172.666672,175.653336,2316600,175.653336
"395",176.666672,176.679993,170.490005,173.070007,2218500,173.070007
"396",172.903336,172.903336,166.220001,167.666672,2997000,167.666672
"397",168.233337,170.666672,167.199997,169.396667,2007600,169.396667
"398",170.143326,172.759995,169.973328,172.096664,2218200,172.096664
"399",170.366669,175,170,173.96666,1716000,173.96666
"400",174.616669,174.723328,171.903336,174.199997,1593300,174.199997
"401",174.133331,174.610001,172.57666,173.600006,1350600,173.600006
"402",173.32666,174.333328,171.726669,172.633331,1381200,172.633331
"403",172.933334,173.903336,172.206665,173.093338,1055700,173.093338
"404",173.523331,176.25,173.523331,174.229996,1107600,174.229996
"405",173.720001,175.953339,172.986664,173.67334,1158300,173.67334
"406",174.203339,176.583328,173.406662,173.453339,1249200,173.453339
"407",174.080002,176.770004,174.080002,176.333328,1570200,176.333328
"408",175,176.556671,172.71666,174.256668,1569600,174.256668
"409",175.406662,176.020004,173.58667,174.633331,1153800,174.633331
"410",174.333328,175.776672,172.056671,174.973328,1654800,174.973328
"411",175.679993,176.17334,172.940002,175.119995,1151700,175.119995
"412",175.333328,178.276672,175.333328,176.350006,1333500,176.350006
"413",176.333328,178.493332,175.860001,178.333328,1044000,178.333328
"414",178.5,180.626663,178.149994,179.070007,1282500,179.070007
"415",179.666672,180.710007,179.376663,180.506668,1200600,180.506668
"416",181.220001,181.866669,180.333328,181.740005,1170600,181.740005
"417",182.083328,183.403336,180.253326,181.636673,1098300,181.636673
"418",182.199997,185.100006,182.003326,184.669998,1226100,184.669998
"419",183.970001,186.153336,183.003326,185.056671,1815900,185.056671
"420",184.949997,186.796661,184.5,186.666672,2070300,186.666672
"421",186.333328,186.830002,184.116669,185.343338,1721100,185.343338
"422",185.593338,185.703339,177.986664,178.906662,2715000,178.906662
"423",179.546661,182.746674,178.096664,180.619995,1958100,180.619995
"424",180.473328,181.766663,178.96666,179.320007,1367100,179.320007
"425",180.106674,181.75,179.666672,180.626663,1212600,180.626663
