"","TGT.Open","TGT.High","TGT.Low","TGT.Close","TGT.Volume","TGT.Adjusted"
"1",72.660004,72.889999,71.989998,72.75,3907100,63.285507
"2",73.099998,74.239998,73.099998,73.809998,5316200,64.207626
"3",72.330002,72.720001,70.849998,72.559998,7096300,63.120228
"4",71.980003,72.230003,71.18,71.440002,5235100,62.145943
"5",71.550003,71.870003,71.360001,71.43,3814300,62.137249
"6",71.379997,72.010002,71.010002,71.43,4681800,62.137249
"7",71.68,71.93,71.330002,71.610001,3479900,62.293842
"8",71.43,71.709999,70.790001,71.25,4163200,61.980659
"9",71.07,71.379997,70.029999,70.190002,5332300,61.058571
"10",70.760002,72.080002,70.629997,70.940002,5426700,61.710991
"11",68,68,66.349998,66.849998,19063200,58.153084
"12",66.330002,66.879997,65.059998,65.389999,12274900,56.88303
"13",65.389999,65.410004,63.779999,64.099998,12983500,55.760853
"14",64.07,64.550003,63.549999,63.849998,7909000,55.543369
"15",63.849998,64.419998,63.610001,64.410004,6084400,56.030525
"16",64.730003,65.169998,64.660004,65,5702500,56.543766
"17",64.849998,64.910004,64.120003,64.169998,4393100,55.821735
"18",64.550003,64.769997,62.939999,63.700001,7472000,55.412895
"19",63.700001,64.139999,63.490002,64.120003,5220500,55.778252
"20",63.799999,64.5,63.450001,64.480003,5735100,56.091415
"21",63.98,64.160004,63.459999,63.669998,5307400,55.386784
"22",63.91,64.169998,63.66,63.68,5518400,55.395493
"23",63.860001,64.349998,63.52,63.75,4965300,55.456379
"24",63.77,63.950001,63.360001,63.419998,6003300,55.169315
"25",63.880001,64.160004,63.450001,63.57,4256000,55.299805
"26",63.509998,64.910004,63.380001,64.769997,4511000,56.343685
"27",64.769997,66.540001,64.610001,66.410004,7754800,57.77034
"28",66.510002,66.959999,65.220001,65.730003,5520800,57.178802
"29",65.620003,65.699997,64.529999,64.809998,4218200,56.897858
"30",64.519997,65.660004,64.519997,65.650002,5117100,57.635307
"31",65.5,65.949997,65.239998,65.75,3974000,57.723106
"32",65.769997,65.849998,65.029999,65.199997,3325000,57.240246
"33",65.239998,65.900002,64.919998,65.790001,4235400,57.758221
"34",66.260002,66.389999,65.790001,66.209999,4838600,58.126945
"35",66.059998,66.279999,65.599998,65.940002,3029400,57.889912
"36",66.040001,66.150002,64.870003,64.980003,4867900,57.047108
"37",65.260002,66.639999,64.93,66.510002,6909000,58.390335
"38",66.389999,67.080002,66.230003,66.910004,6839200,58.741489
"39",66.910004,66.910004,57.299999,58.77,45305400,51.595238
"40",58.779999,59.330002,57.349998,57.830002,22808000,50.769993
"41",58,58.52,57.75,57.950001,10976600,50.875362
"42",58.240002,58.279999,57.09,57.349998,9057200,50.348587
"43",57.299999,57.349998,56,56.099998,11313400,49.251202
"44",56.099998,56.43,55.049999,55.139999,13236500,48.408401
"45",55.439999,55.549999,55,55.02,9417300,48.303043
"46",55,55.349998,54.41,55.200001,10878100,48.461063
"47",55.349998,55.880001,55.049999,55.360001,7591300,48.60154
"48",55.380001,55.610001,54.84,55.189999,7522200,48.452301
"49",55.200001,55.369999,54.68,54.75,6000100,48.06601
"50",54.599998,54.709999,54.119999,54.57,8525500,47.907982
"51",54.400002,54.950001,54.25,54.59,6354100,47.925541
"52",54.700001,54.779999,54.290001,54.290001,14193800,47.66217
"53",54.549999,54.639999,53.939999,54.369999,9164000,47.732403
"54",54.41,54.459999,53.23,53.389999,9146700,46.872036
"55",53.349998,53.669998,52.77,53.580002,5869000,47.038845
"56",53.48,53.639999,53.049999,53.139999,5722400,46.652573
"57",53.25,53.349998,52.91,53.119999,4351800,46.634998
"58",53,53.75,52.849998,53.330002,7644400,46.819363
"59",53.189999,53.68,53.18,53.599998,4395800,47.056404
"60",53.650002,55.580002,53.549999,55.150002,9848600,48.417175
"61",55.060001,55.41,54.869999,55.25,4870200,48.504967
"62",55.200001,55.77,55.130001,55.189999,7457800,48.452301
"63",55.220001,55.23,53.849998,54.029999,6970900,47.433914
"64",53.82,53.990002,52.98,53.43,6578300,46.907158
"65",53.549999,53.84,52.720001,52.75,6810800,46.310169
"66",53.16,54.130001,53.07,53.57,8672400,47.030067
"67",53.470001,53.790001,52.970001,53.240002,5782100,46.740349
"68",53.48,54.34,53.400002,53.790001,4978100,47.223209
"69",53.810001,53.900002,53.139999,53.709999,4917500,47.152977
"70",53.360001,53.529999,53.189999,53.400002,4534800,46.880814
"71",53.490002,53.639999,53.290001,53.389999,5087400,46.872036
"72",53.360001,53.68,53.099998,53.68,4702400,47.126633
"73",53.599998,53.82,53.43,53.599998,4371000,47.056404
"74",53.790001,54.380001,53.709999,53.889999,5419600,47.311001
"75",54.209999,54.880001,54.110001,54.639999,5843200,47.969433
"76",54.540001,55.130001,54.540001,54.779999,5948300,48.092342
"77",55.16,55.290001,54.419998,54.82,5717900,48.127472
"78",54.900002,55.16,54.799999,55.150002,4096700,48.417175
"79",55.369999,56.290001,55.209999,55.98,6273500,49.145851
"80",55.98,56.169998,55.68,56.09,3881200,49.242416
"81",56.080002,56.080002,55.360001,55.849998,8428000,49.031712
"82",55.810001,56,55.52,55.77,5164200,48.961487
"83",55.740002,56.34,55.630001,56.16,4017100,49.303871
"84",56.139999,57.540001,55.919998,57.34,7542800,50.339813
"85",57.5,57.68,56.650002,57.290001,5508800,50.295925
"86",57.330002,57.580002,56.830002,57.32,4845500,50.322262
"87",57.509998,57.549999,57.029999,57.299999,4553800,50.304695
"88",57.41,58.650002,57.349998,58.080002,8020700,50.989479
"89",57.880001,58.490002,57.689999,58.41,6954300,51.279182
