"","WELL.Open","WELL.High","WELL.Low","WELL.Close","WELL.Volume","WELL.Adjusted"
"1",67.110001,67.110001,65.830002,66.169998,2085000,52.572758
"2",66.110001,66.910004,65.900002,66.68,2070700,52.977959
"3",67.309998,68.32,66.389999,68.169998,2228000,54.161777
"4",68.080002,68.68,67.489998,68.449997,1908600,54.384235
"5",68.599998,68.860001,67.980003,68.400002,1806600,54.344509
"6",67.900002,67.900002,66.120003,66.32,3252200,52.691929
"7",66.309998,67.059998,65.709999,66.400002,2741100,52.755482
"8",66.089996,66.959999,65.779999,66.849998,1611400,53.11301
"9",66.730003,67.080002,66.209999,66.660004,1156500,52.962063
"10",67.080002,67.639999,66.940002,67.300003,1468600,53.470562
"11",67.279999,67.629997,66.970001,67.080002,2514800,53.295757
"12",66.709999,66.839996,66.040001,66.400002,1770300,52.755482
"13",66.160004,66.800003,65.809998,66.760002,1540800,53.041519
"14",66.849998,67.809998,66.510002,67.68,1884700,53.772472
"15",67.519997,67.989998,66.949997,67.300003,1865800,53.470562
"16",67.25,67.440002,66.029999,66.360001,1571100,52.723709
"17",66.480003,66.889999,65.940002,66.139999,1714600,52.54892
"18",66.370003,66.610001,65.68,65.940002,1189100,52.390015
"19",66.059998,66.589996,65.699997,66.339996,1264200,52.707817
"20",66.480003,67.019997,66.160004,66.300003,2561900,52.676041
"21",66.150002,66.669998,65.239998,65.269997,2041500,51.857689
"22",65.419998,66.449997,65.389999,66.339996,1726800,52.707817
"23",65.660004,66.290001,65.129997,65.43,1802100,52.675617
"24",65.559998,66.379997,65.43,66.169998,1807900,53.271362
"25",66.330002,66.669998,65.779999,65.870003,1406900,53.029846
"26",65.900002,66.43,65.900002,66.029999,2013300,53.158661
"27",66.029999,66.260002,65.199997,65.389999,1653300,52.643421
"28",65.279999,65.889999,65.050003,65.870003,1462000,53.029846
"29",66,66.589996,65.559998,66.290001,1747000,53.367996
"30",66.440002,66.480003,64.870003,65.510002,1346800,52.740028
"31",65.239998,65.690002,64.629997,65.580002,1692800,52.796379
"32",65.669998,66.889999,65.669998,66.080002,1347400,53.19891
"33",66.419998,66.639999,65.379997,65.919998,2199300,53.070095
"34",66.029999,67.089996,65.510002,66.940002,2031400,53.891277
"35",67.809998,68.309998,67.110001,67.699997,2667300,54.503124
"36",68.029999,68.949997,67.589996,68.849998,1773200,55.428951
"37",68.809998,70.099998,68.220001,70.059998,2476800,56.403091
"38",69.910004,70.529999,69.760002,70.040001,1572800,56.38699
"39",70.040001,70.730003,69.860001,70.379997,2360900,56.660706
"40",69.75,70.110001,69.010002,69.480003,2405900,55.936142
"41",69.230003,70.040001,68.75,69.949997,2183800,56.314526
"42",69.940002,69.940002,68.82,69.57,1447000,56.008598
"43",69.080002,69.519997,68.25,68.540001,1477400,55.179382
"44",68.309998,68.620003,67.690002,68.489998,1218100,55.13913
"45",67.809998,68,66.970001,67.019997,1863900,53.955673
"46",66.970001,67.120003,65.589996,65.800003,1913600,52.973492
"47",65.800003,66.919998,65.75,66.169998,2174300,53.271362
"48",66.169998,66.660004,65.349998,66,2061200,53.134502
"49",65.860001,66.139999,65.260002,66.050003,1726400,53.174759
"50",66.269997,67.360001,66.120003,67.239998,2294800,54.13279
"51",67,67.559998,66.919998,67.290001,1709000,54.173042
"52",67.440002,67.93,67.07,67.279999,3462700,54.164997
"53",67.959999,68.199997,67.209999,67.779999,2160800,54.567524
"54",67.910004,68.160004,67.510002,67.82,1933200,54.599735
"55",68,68.800003,67.830002,68.660004,1740100,55.275997
"56",68.699997,70.300003,68.440002,69.599998,2576200,56.032761
"57",69.779999,69.970001,69.529999,69.669998,2364100,56.089115
"58",69.75,70.779999,69.550003,70.129997,2424400,56.459435
"59",70.029999,70.68,69.839996,70.610001,1931400,56.845871
"60",70.529999,71.080002,70.440002,70.93,2334600,57.103508
"61",70.730003,70.980003,70.25,70.779999,1818200,56.982731
"62",70.650002,71.139999,70.480003,70.82,2650400,57.014938
"63",70.82,71.25,70.5,71.150002,2027400,57.280613
"64",71.150002,71.150002,70.449997,70.580002,2834800,56.821728
"65",70.599998,71.529999,70.440002,71.300003,2141300,57.401375
"66",71.220001,71.860001,70.830002,71.580002,2189700,57.626797
"67",71.629997,72.480003,71.629997,72.260002,2163000,58.174236
"68",72.269997,73.029999,72.019997,72.889999,1676800,58.681438
"69",72.879997,73.089996,72.639999,72.790001,1274800,58.600941
"70",72.790001,73.169998,72.449997,72.93,1523300,58.713638
"71",72.889999,73.32,72.690002,72.849998,1819300,58.64922
"72",73.150002,73.459999,73.040001,73.389999,1304000,59.083965
"73",73.440002,74.5,73.309998,74.239998,2448600,59.76828
"74",74.169998,74.25,73.57,73.870003,2300700,59.470406
"75",73.760002,74.110001,73.589996,74.07,1617700,59.631397
"76",73.809998,74.279999,73.559998,73.68,2306800,59.317432
"77",73.870003,73.940002,71.43,72.5,2955300,58.367455
"78",72.489998,72.730003,72.150002,72.669998,1112300,58.504318
"79",72.43,72.480003,71.68,71.830002,1562600,57.82806
"80",71.830002,72.760002,71.519997,72.160004,1287700,58.093723
"81",72.050003,72.050003,70.580002,71.440002,1922700,57.51408
"82",71.529999,71.989998,70.93,71.199997,1670900,57.320866
"83",71.300003,71.440002,70.410004,70.75,2528600,56.95858
"84",70.980003,71.160004,69.559998,69.809998,2182100,56.201828
"85",69.75,70.010002,68.949997,69.860001,1971600,56.242081
"86",68.910004,69.93,68.75,69.800003,1888200,56.902401
"87",69.949997,69.959999,69.010002,69.720001,1813200,56.837185
"88",69.75,69.809998,68.660004,69.029999,1659900,56.274677
"89",69.169998,70.199997,68.849998,70.010002,1498400,57.073589
"90",69.800003,71.57,69.440002,71.5,1856300,58.288273
"91",71.690002,72.300003,71.489998,71.849998,2421100,58.573601
"92",72,72.639999,71.610001,71.660004,1496600,58.418716
"93",71.790001,71.980003,71.059998,71.599998,1395300,58.369804
"94",71.669998,72.879997,71.459999,72.260002,2540000,58.907845
"95",72.32,73.099998,71.900002,72.93,1941800,59.454052
"96",73.209999,73.449997,72.360001,73.239998,1910900,59.706764
"97",73.199997,73.57,72.879997,73.400002,1664700,59.837204
"98",73.529999,73.93,73.220001,73.25,1647700,59.714912
"99",73.419998,73.889999,73.400002,73.529999,1123700,59.943172
"100",73.580002,73.75,73.110001,73.160004,1248900,59.641552
"101",73.330002,73.480003,72.370003,72.529999,1381000,59.127956
"102",72.5,72.970001,72.339996,72.5,1245200,59.1035
"103",72.510002,72.970001,72.389999,72.540001,2493400,59.136105
"104",72.379997,73.019997,71.790001,72.959999,1495200,59.4785
"105",73.339996,74.089996,73.239998,73.790001,1483500,60.15514
"106",73.57,73.650002,73.080002,73.470001,874200,59.894276
"107",73.610001,73.650002,72.959999,73.029999,884600,59.535572
"108",73.029999,73.379997,72.860001,73.18,1341000,59.657864
"109",73.18,73.349998,72.110001,72.900002,1110800,59.429585
"110",72.839996,73.559998,72.410004,73.449997,1231600,59.877953
"111",73.459999,74.040001,73.059998,74.040001,2035300,60.358932
"112",73.959999,74.339996,73.669998,74.139999,1555300,60.440456
"113",74.940002,75.589996,74.160004,74.440002,2332100,60.68502
"114",74.150002,75.209999,74.050003,74.669998,1722000,60.872536
"115",74.82,76.07,74.699997,75.599998,3944200,61.63068
"116",75.669998,76.25,75.449997,76.25,2035200,62.160583
"117",76.300003,77.230003,76.019997,76.919998,2215100,62.70676
"118",76.940002,77.199997,76.529999,77.150002,1762900,62.894283
"119",77.040001,77.699997,76.690002,77.489998,1638800,63.171444
"120",77.32,78.169998,77.120003,77.43,2210200,63.122536
"121",77.669998,78,77.169998,77.660004,1107700,63.310036
"122",77.419998,77.790001,76.360001,76.5,1476600,62.36438
"123",76.519997,77.220001,76.040001,76.529999,1367100,62.388844
"124",76.160004,76.330002,74.459999,74.5,2109900,60.733932
"125",74.830002,75.379997,74.440002,74.849998,1903100,61.019257
"126",75.139999,75.910004,74.739998,75.760002,934900,61.76112
"127",75.790001,75.790001,74.650002,75.089996,1351000,61.214924
"128",74.760002,74.760002,73.019997,73.07,1490100,59.568169
"129",73.099998,73.25,72.160004,72.900002,1527200,59.429585
"130",73.040001,73.190002,72.489998,72.529999,1118000,59.127956
"131",72.580002,72.900002,72.080002,72.610001,983600,59.193172
"132",73.129997,73.93,73.129997,73.709999,1020800,60.089912
"133",73.540001,73.660004,73.110001,73.300003,956400,59.75568
"134",73.889999,74.099998,73.540001,73.75,1087700,60.12252
"135",73.720001,74.190002,73.510002,73.849998,1286300,60.204041
"136",73.919998,74.32,73.639999,74.050003,1255700,60.367096
"137",74.010002,74.269997,73.57,74.129997,1190700,60.432304
"138",74.32,74.489998,73.68,73.699997,1327100,60.08176
"139",73.669998,74.190002,73.300003,73.93,1227400,60.269253
"140",73.959999,74.080002,72.800003,73.150002,1854700,59.633385
"141",73.309998,73.349998,72.290001,73.010002,1623900,59.519264
"142",73.040001,73.580002,72.660004,73.290001,1007700,59.74752
