"","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"1",217.809998,218.880005,214.740005,216.039993,231500,195.166489
"2",216.949997,218.860001,215.889999,217.800003,263900,196.756439
"3",217.820007,219.339996,217.160004,217.779999,234200,196.738403
"4",217.789993,219.330002,215.839996,218.820007,241200,197.677917
"5",218.979996,218.990005,216.669998,216.970001,296600,196.006653
"6",217.720001,219.580002,217.009995,219.419998,277900,198.219925
"7",219.570007,220.479996,218.100006,220.089996,274200,198.825195
"8",219.119995,220.220001,217.970001,219.779999,268900,198.545151
"9",220.5,222.070007,219.050003,219.25,231000,198.06636
"10",217.660004,220.869995,217.210007,217.869995,239500,196.819687
"11",218.720001,222.070007,217.820007,221.179993,335300,199.809891
"12",221.669998,223.100006,218.259995,219.389999,188300,198.192886
"13",219.990005,220.179993,218.089996,218.619995,227900,197.497223
"14",218.419998,219.440002,217.509995,219.149994,148900,197.976013
"15",219.360001,219.889999,217.559998,218.380005,206700,197.280396
"16",219.669998,220.520004,218.380005,219.899994,204700,198.653549
"17",220.710007,221.860001,218.779999,221.860001,278200,200.424194
"18",221.460007,222.149994,220.020004,221.119995,105100,199.755661
"19",219.789993,221.410004,218.25,220.440002,151600,199.141342
"20",221.080002,221.830002,219.179993,219.929993,295500,198.680664
"21",220.330002,222.809998,219.059998,219.5,317000,198.292191
"22",220.100006,223.470001,219.809998,222.190002,358500,200.72229
"23",223.479996,225.800003,220.679993,221.610001,257100,200.198364
"24",222.460007,222.899994,219.669998,222.100006,288900,200.640976
"25",222.869995,229.970001,222.869995,227.850006,672100,205.835434
"26",227.789993,229.949997,227.630005,229.460007,331100,207.289902
"27",227.779999,229.789993,227.649994,229.789993,369900,207.587997
"28",230.050003,231.009995,229.279999,230.710007,292400,208.419159
"29",230.259995,233.460007,229.970001,233.080002,206400,210.56015
"30",231.600006,234.440002,231.600006,233.570007,290400,211.002777
"31",233.419998,234.429993,231.679993,234.110001,199700,211.490601
"32",233.949997,236.399994,233.860001,235.509995,275000,212.755341
