"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"952",224.419998,225.960007,224.380005,225.619995,1644900,224.888657
"953",225.850006,227.199997,224.210007,226.550003,1790100,225.815628
"954",223.050003,225.789993,220.679993,225.419998,1724600,224.689285
"955",226.389999,229.449997,226,227.449997,2635100,226.712708
"956",228.25,228.710007,222.25,223.830002,2283500,223.104431
"957",224.009995,229,223.559998,227.029999,2326500,226.294067
"958",228.759995,229.75,226.210007,226.550003,3762100,225.815628
"959",226.779999,235.600006,225.779999,233.979996,2743200,233.221542
"960",235.190002,236.550003,231.330002,232.660004,2269000,231.905823
"961",231.419998,235.119995,231.210007,234.910004,2384200,234.148544
"962",235.830002,240.509995,235.830002,239.779999,3268900,239.002731
"963",237,238.669998,231.130005,232.100006,2844700,231.347641
"964",232.279999,233.399994,228.330002,230.070007,2209100,229.324234
"965",229,230.860001,225.399994,229.539993,2598300,228.795929
"966",232.380005,235.229996,229.839996,232.440002,2510300,231.686539
"967",235.119995,236.679993,232.839996,234.759995,1659300,233.999008
"968",239.460007,245.490005,238.600006,240.520004,3032700,239.740356
"969",247.039993,247.039993,239.740005,240.339996,3389300,239.560928
"970",242.479996,247.75,239.770004,245.460007,2343300,244.664337
"971",245.699997,248.320007,233.460007,233.779999,3883800,233.022186
"972",233.169998,234.25,224.809998,225.880005,6233200,225.147812
"973",227.970001,234.889999,226.139999,233.139999,3898000,232.384262
"974",233.009995,235.490005,231.550003,232.990005,2316000,232.234772
"975",235,236.279999,233.899994,234.679993,2486000,233.919266
"976",236.339996,236.339996,228.820007,229.649994,2150800,228.905579
"977",228.630005,232.070007,227.770004,229.350006,2400100,228.606552
"978",229.729996,230.369995,223.119995,224.699997,2873800,223.971619
"979",224.130005,227.210007,221.220001,225.830002,2770500,225.097961
"980",225.669998,227.539993,224.119995,225.759995,2353100,225.028183
"981",227,227.809998,218.770004,221.080002,2794900,220.363373
"982",222.350006,222.399994,216.710007,218.259995,3940900,217.55249
"983",214.639999,217.380005,212.419998,217.220001,3205900,216.515869
"984",218.199997,218.550003,215.009995,216.779999,1407200,216.077301
"985",219.509995,224.809998,219.009995,224.630005,3319500,223.901855
"986",226.009995,228,223,225,3879600,224.27066
"987",225.100006,226.020004,223.240005,224.800003,2126500,224.07132
"988",224.619995,226.210007,222.449997,223.339996,3198000,222.616028
"989",222.259995,224.690002,219.820007,224.429993,2521100,223.702484
"990",225.410004,228,225.029999,226.149994,1845500,225.416916
"991",225.300003,226.889999,223.25,223.5,2032300,222.775497
"992",223.520004,224.309998,221.020004,222.839996,2500200,222.117645
"993",223.009995,226.300003,221.940002,223.210007,3264500,222.486465
"994",223.679993,226.050003,221.429993,223.75,1468400,223.024704
"995",223.720001,225.610001,220.910004,221.100006,1925000,220.383301
"996",221.869995,224.720001,220.830002,223.169998,2093000,222.446579
"997",222.839996,223.589996,220.550003,221.899994,1781900,221.18071
"998",222.830002,225.100006,222.440002,224.490005,1613300,223.762314
"999",224.639999,227.410004,222.100006,226.110001,4221400,225.37706
"1000",223.470001,226.580002,220.309998,226.160004,2482700,225.426895
"1001",225.309998,226.070007,222.639999,222.929993,1824100,222.207352
"1002",223.460007,224.919998,220.470001,220.570007,1753300,219.855026
"1003",220.75,223.570007,220.570007,221.490005,611000,220.952347
"1004",223.279999,225.350006,221.460007,222.75,2115100,222.209274
"1005",225.389999,225.649994,222.660004,222.860001,1733600,222.319016
"1006",223.800003,224.850006,220.289993,220.679993,1427200,220.144302
"1007",220.830002,222.350006,219.669998,222.139999,1835500,221.600769
